Compound Id	Viscosity as logVis
[Bmim][MSO4]_4	1.887
[Bmim][MSO4]_5	1.986
[Bmim][MSO4]_6	2.092
[Bmim][MSO4]_7	2.207
[Bmim][MSO4]_8	2.329
[Bmim][MSO4]_9	2.461
[Bmim][TFA]_1	1.013
[Bmim][TFA]_2	1.114
[Bmim][TFA]_3	1.176
[Bmim][TFA]_4	1.243
[Bmim][TFA]_5	1.279
[Bmim][TFA]_6	1.396
[Bmim][TFA]_7	1.415
[Bmim][TFA]_8	1.566
[Bmim][TFA]_9	1.568
[Bmim][TFA]_10	1.724
[Bmim][TFA]_11	1.845
[Bmim][TFA]_12	1.863
[Bmim][TFA]_13	1.949
[Bmim][TFA]_14	2.19
