"Smiles","CSCL-ISHL—S9_AMES","CSCL-ISHL+S9_AMES","CSCL-ISHLoverall_AMES","Kirkland et al 2005 & 2011 [1, 2]*_AMES","US NTP_AMES","ECHA_AMES","Kirkland et al 2005 & 2011 [1, 2]*MLA_invitro","US NTP_MLA_invitro","SCCS_MLA_invitro","CosE_MLA_invitro","ECHA_MLA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_MN_invitro","SCCS_MN_invitro","CosE_MN_invitro","CSCL-ISHL—S9_CA_invitro","CSCL-ISHL+S9_CA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_CA_invitro","US NTP_CA_invitro","EFSA_CA_invitro","SCCS_CA_invitro","CosE_CA_invitro","ECHA_CA_invitro","CSCL-ISHL_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_MN_invivo","US NTP_MN_invivo","EFSA_MN_invivo","SCCS_MN_invivo","CosE_MN_invivo","ECHA_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_CA_invivo","US NTP_CA_invivo","Kirkland et al 2005 & 2011 [1, 2]*_UDS_invivo","Kirkland et al 2005 & 2011 [1, 2]*-transgenic","Kirkland et al 2005 & 2011 [1, 2]*_DNAdmg_invivo","Kirkland et al 2005 & 2011 [1, 2]*_Carc","NTP_Carc","EFSA_Carc","ECHA_Carc"
"C1CO1",,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,,1,,,1,,1,1,,
"S=C1NCCN1",1,1,1,,,,,1,,,0,,,,0,0,0,0,,,,,0,0,,,,,,0,,0,,1,1,,,1
"CCO[S](C)(=O)=O",,,,1,1,,1,,,,,1,,,,,1,1,,,,,,1,1,,,,,1,,,1,1,1,,,
"CCN=C(N)N(N=O)[N+]([O-])=O",,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"CCN(N=O)C#N",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CCN(N=O)C(N)=O",,,,1,1,,1,,,,,1,,,,,1,1,,,,,,1,1,,,,,1,,,1,1,1,,,
"COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,0,1,,,,
"[Na+].[Na+].CCN(Cc1cccc(c1)[S]([O-])(=O)=O)c2ccc(cc2)[C+](c3ccc(cc3)N(CC)Cc4cccc(c4)[S]([O-])(=O)=O)c5ccc(O)cc5[S]([O-])(=O)=O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
"[Na+].CCN(Cc1cccc(c1)[S]([O-])(=O)=O)c2ccc(cc2)[C+](c3ccc(cc3)N(C)C)c4ccc(cc4)N(CC)Cc5cccc(c5)[S]([O-])(=O)=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O",,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,0,
"CO[P](=S)(OC)Oc1ccc(SC)c(C)c1",,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,1,,,,,,,,
"[Fe++].[O-][S]([O-])(=O)=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Fc1cccc2ncccc12",,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,1,,,
"C=O",,,,1,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,0,,,,,1,,,
"[O-][N+](=O)c1oc(cc1)c2csc(NNC=O)n2",,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,
"CCO[P](=O)(OCC)C(C)NC(=O)N(CCCl)N=O",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"O=Cc1occc1",,,,,,,1,1,1,,,,,,,,1,1,,1,,,,,,,,,,,,0,,,1,1,,
"NC(=O)C(=C/c1oc(cc1)[N+]([O-])=O)\c2occc2",,,,1,1,,1,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,1,,,
"Oc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccccc3)O",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"O=CCCCC=O",1,0,1,,1,1,,1,,,1,,,,1,1,,,,,,1,0,,0,,,,0,,,,,,,0,,0
"[Cl-].CN(C)c1ccc(cc1)[C+](c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C",,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,,,
"O=CC1CO1",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"NC(=O)C1CO1",,,,1,1,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,1,1,,,,,
"C1O[C@H]1COc2cccc3ccccc23",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"[O-][N+](=O)c1ccc(cc1)C(=O)OC[C@@H]2CO2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"[O-][N+](=O)c1ccc(OC[C@H]2CO2)cc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"OCC1CO1",1,1,1,1,1,,1,1,,,,,,,1,1,1,1,,,,,1,,1,,,,,1,,,,,1,1,,
"O=CC=O",1,1,1,,1,,,,1,,,,,,1,1,,,,1,,,0,,,,0,,,,,,,,,,,
"OCCNc1ccc(cc1[N+]([O-])=O)N(CCO)CCO",,,,1,1,,,1,,,,,1,1,,,0,0,,0,0,,,,,,0,0,,,,,,,0,0,,
"[H+].[H+].[Cl-].[Cl-].CNc1nc(OC)ccc1N",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"OCCNC1=CC(=O)C(=CC1=O)Nc2ccc(cc2)N(CCO)CCO",,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"Nc1ccc(NCCO)c(c1)[N+]([O-])=O",,,,,1,,,1,0,0,,,,,,,,1,,0,0,,,,,,0,0,,,,,,,,,,
"Nc1ccc(NCCO)cc1[N+]([O-])=O",,,,,,,,,0,,,,1,1,,,,,,,,,,,,,0,0,,,,,,,,,,
"OCCNc1ccc(cc1OCCO)[N+]([O-])=O",,,,1,1,,,,0,0,,,,,,,0,0,,1,1,,,,,,,0,,,,,,,0,,,
"OCCNc1ccccc1[N+]([O-])=O",,,,,,,,,,1,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,
"CO[C@H](C)[C@@](O)(C(C)C)C(=O)OCC1=CCN2CC[C@H](O)[C@@H]12",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"C/C=C/C=C/C=O",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"C1N2CN3CN1CN(C2)C3",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"CN(C)[P](=O)(N(C)C)N(C)C",,,,,0,,,1,,,,1,,,,,,0,,,,,,,,,,,,,1,,,,1,,,
"CCCCCCN(N=O)C(N)=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CCN(CC)CCNc1ccc(CO)c2Sc3ccccc3C(=O)c12",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,,,,
"CC[NH+](CC)CCNc1ccc(CO)c2Sc3ccccc3C(=O)c12.C[S]([O-])(=O)=O",,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,1,,,
"N(Nc1ccccc1)c2ccccc2",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"OO",,,,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"CC(=O)N(O)c1ccc2c(Cc3ccccc23)c1",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,
"Oc1ccc2OCCNc2c1",,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,
"OCCOC(=O)C=C",1,1,1,,,1,,,,,1,,,,1,1,,,,,,,0,,,,,,,,,,,,,,,
"COc1cc(ccc1NCCO)[N+]([O-])=O",,,,,,,,,0,0,,,1,1,,,,,,,,,,,,,0,0,,,,,,,,,,
"O\N=C\1C=CN(O)c2ccccc12",,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"OCCNc1nc(nc2ccccc12)c3sc(cc3)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"OCCN1CCN(\N=C\c2oc(cc2)[N+]([O-])=O)C1=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"NC(=O)N(CCO)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"NNCCO",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Oc1ccc2cc[nH]c2c1",,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"OCCCOC(=O)C=C",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,
"Oc1cccc2cccnc12",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,0,0,,
"CC(O)C(/c1ccccc1)=C(c2ccccc2)/c3ccc(OCCN(C)C)cc3",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"NC(=O)NO",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,1,,,,,
"CCOC(=O)NO",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"[H+].[H+].[Cl-].[Cl-].CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc3ccc(OC)cc13",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"COc1ccc2n(c(C)c(CC(O)=O)c2c1)C(=O)c3ccc(Cl)cc3",,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"CC(I)C1OCC(CO)O1",,,,1,1,,1,1,,,,,,,,,,1,,,,,,0,0,,,,,,,,,,1,1,,
"IC(I)I",,,,1,1,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,
"FC(F)(F)I",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"CC(C)CON=O",,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,1,1,,
"NNC(=O)c1ccncc1",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"ClCCN[P]1(=O)OCCCN1CCCl",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CC(C)O[S](C)(=O)=O",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,1,,1,,,
"Oc1ccc(cc1)C2=C(O)C(=O)c3c(O)cc(O)cc3O2",,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"OC(C1CC1)(c2ccc(Cl)cc2)c3ccc(Cl)cc3",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"OCC1=CC(=O)C(=CO1)O",,,,1,,,,,0,,,,1,,,,,,,1,,,,,,,0,,,,,0,0,,,,,
"CO[C@H](C)[C@](O)(C(=O)OCC1=CCN2CC[C@H](OC(=O)C(/C)=C\C)[C@@H]12)C(C)(C)O",,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,1,1,,
"[Pb++].CN(C)C([S-])=S.CN(C)C([S-])=S",,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,0,,
"CC(C)=CCCC(C)(OC(C)=O)C=C",,,,,,1,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,,
"CCN1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
"O=CCC=O",,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,
"CC1=C(O)C(=O)C=CO1",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"O.[Mn++].[O-][S]([O-])(=O)=O",,,,1,0,,1,,,,,,,,,,1,1,,,,,,1,,,,,,1,,,,,0,,,
"Cc1cc2c([nH]c3ccccc23)nc1N",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Cn1c(cnc1c2sc(N)nn2)[N+]([O-])=O",,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"CO[C@H]1C[C@](C)(O)Cc2cc3C(=O)c4c5OC6OC(C)([C@H](O)[C@H]([C@@H]6O)N(C)C)c5cc(O)c4C(=O)c3c(O)c12",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O",,,,1,1,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,1,,,,1,,,
"S=C1N=CNc2nc[nH]c12",,,,1,,,1,,,,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,,,
"[H+].[Cl-].CN(C)CCN(Cc1sccc1)c2ccccn2",,,,,1,,,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"CNC(=O)O\N=C(/C)SC",,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O",,,,,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"COc1ccc2c(ccc3oc(cc23)[N+]([O-])=O)c1",,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,
"COc1cc(ccc1N)N=Nc2ccccc2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"COc1ccc(cc1)/C=C/c2ccc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"COc1c2ccoc2cc3OC(=O)C=Cc13",,,,1,,,,,,,,,,,,,1,1,,,,,,0,0,,,,,1,1,,,,,,,
"COc1c2occc2cc3C=CC(=O)Oc13",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,1,1,,
"COC(=O)CC(C)=O",1,1,1,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,
"CNc1ccc(O)cc1.CNc2ccc(O)cc2.O[S](O)(=O)=O",,,,,,,,,,,,,,,,,,,,1,1,,,,,,0,0,,,,,,,,,,
"CC1CN1",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
"CBr",,,,1,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,,,
"CCl",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cn1c2ccc3ccccc3c2c4c1ccc5ccccc45",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
"CC(=O)OC[N-][N+](C)=O",,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"Cc1ccc2cc3c(ccc4ccccc34)c5CCc1c25",,,,1,1,,1,,,,,1,,,,,1,0,,,,,,,,,,,,,,,1,,1,,,
"CN(C)c1ccc(cc1)N=Nc2cccc(C)c2",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,
"[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C",,,,,1,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,1,,
"Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl",0,1,1,1,1,,,1,,,,1,,,1,0,1,0,,,,,1,,,,,,,,,,,1,1,,,
"CN(C)c1ccc(Cc2ccc(cc2)N(C)C)cc1",,,,1,1,,1,1,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"Cc1cc(Cc2ccc(N)c(C)c2)ccc1N",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Nc1ccc(Cc2ccc(N)cc2)cc1",,,,,1,,,1,,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,
"CI",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CNN",1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
"COC(=O)C(C)=C",,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,
"CO[S](C)(=O)=O",,,,1,1,,1,1,,,,1,,,,,1,,,,,,,1,,,,,,1,,1,1,1,1,,,
"Cc1ccc2C(=O)c3ccccc3C(=O)c2c1[N+]([O-])=O",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"CC1CN(\N=C\c2oc(cc2)[N+]([O-])=O)C(=O)N1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CN(N=O)C(/N)=N/[N+]([O-])=O",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,1,,1,1,1,1,,,
"Cc1c[n+]([O-])c2ccccc2c1[N+]([O-])=O",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN(N=O)C(=O)c1ccccc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CN(N=O)C#N",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"Cc1ccc(cc1)/C=C/c2ccc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Cc1ccc(N)c(N)c1",,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,0,,,,,,,,
"CC(=O)\C=C\c1ccccc1",,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,
"Cc1ncc(n1CCO)[N+]([O-])=O",,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,1,,,
"CCO[P](=S)(OCC)Oc1nn(C(C)C)c(Cl)n1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"COCC(O)Cn1ccnc1[N+]([O-])=O",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,
"CO[C@@]12[C@H](COC(N)=O)C3=C(N1C[C@@H]4N[C@H]24)C(=O)C(=C(N)C3=O)C",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,1,1,,1,1,1,,,
"Clc1ccc(cc1)c2ccccc2",,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,
"CNC(=O)\C=C(/C)O[P](=O)(OC)OC",,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,
"CNc1ccc(cc1)N=Nc2ccc3ncsc3c2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"[O-][N+](=O)c1sc(cc1)c2nc3ccccc3c(n2)N4CCOCC4",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12",,,,,,,,0,,,,1,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"Nc1cccc2c(N)cccc12",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"Nc1ccc2ccccc2c1",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,0,,,,,,,1,,1,1,,,
"Nc1cccc2ccccc12",0,1,1,1,1,,1,,,,,,,,1,1,1,1,,,,,0,,0,,,,,,,,,,,,,
"[H+].[H+].[Cl-].[Cl-].NCCNc1cccc2ccccc12",,,,1,1,,,0,,,,0,,,,,1,1,,,,,,,,,,,,,,,,,0,0,,
"C1OC1COc2cccc3ccccc23",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,
"C1OC1Cc2cccc3ccccc23",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,
"COc1ccc2cc(ccc2c1)C(C)C(O)=O",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc2O)cc1O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[Cl-].[Cl-].[Ni++]",,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,1,,,,
"[Ni][Ni][Ni]=[S]=S",,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
"Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
"CC1C[S](=O)(=O)CCN1\N=C\c2oc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"CCNC(=O)Nc1sc(cn1)[N+]([O-])=O",,,,1,1,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"[Na+].[O-]N=O",,,,1,1,1,0,,,,,,,,,,1,,,,,1,,,0,,,,,1,,,,0,1,,,
"[O-][N+](=O)c1ccc2CCc3cccc1c23",,,,1,1,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,1,1,,
"Nc1ccccc1[N+]([O-])=O",,,,1,0,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"Nc1cccc(c1)[N+]([O-])=O",1,1,1,,,,,,,,,,,,0,1,,,,,,,1,,,,,,,,,,,,,,,
"Nc1ccc(cc1)[N+]([O-])=O",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,0,,,
"Nc1cc(ccc1C(O)=O)[N+]([O-])=O",,,,1,1,,,1,,,,0,,,,,1,1,,,,,,,,,,,,,,,,,0,0,,
"CCOc1ccc(NC(C)=O)cc1[N+]([O-])=O",,,,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,1,,
"COc1ccc(cc1N)[N+]([O-])=O",,,,1,1,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"COc1ccccc1[N+]([O-])=O",1,1,1,1,1,,,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,0,,,1,1,,
"COc1ccc(cc1)[N+]([O-])=O",1,1,1,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,
"Nc1ccc(cc1)c2ccc(N)c(c2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Nc1ccc(cc1)c2ccc(N)c(c2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"[O-][N+](=O)c1ccc2nc[nH]c2c1",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"OC(=O)c1ccc(cc1)[N+]([O-])=O",,,,1,1,,,,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,1,1,,
"[O-][N+](=O)c1ccc(cc1)c2ccccc2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1cc2c3ccccc3ccc2c4ccccc14",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
"[O-][N+](=O)c1ccc(Oc2ccc(Cl)cc2Cl)cc1",,,,1,1,,1,1,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,1,1,,
"[O-][N+](=O)c1ccc2c(Cc3ccccc23)c1",,,,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,
"NC(=O)N/N=C/c1oc(cc1)[N+]([O-])=O",,,,1,1,,,1,,,,,,,,,1,1,,,,,,0,0,,,,,0,,0,,,1,1,,
"[O-][N+](=O)c1oc(cc1)/C=N/N2CC(=O)NC2=O",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,1,1,,
"CC(=O)NCc1onc(n1)c2oc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CC(=O)Nc1sc(nn1)c2oc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1oc(cc1)c2cscn2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CC(=O)Nc1scc(n1)c2oc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1oc(cc1)c2csc(NC=O)n2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CC(=O)Nc1nc(NC(C)=O)nc(n1)c2oc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+]=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"CN(CCCl)CCCl",,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,
"C[N+]([O-])(CCCl)CCCl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[O-][N+](=O)c1ccc2ccccc2c1",,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
"[O-][N+](=O)c1cccc2ccccc12",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,0,0,,
"Nc1ccc(cc1N)[N+]([O-])=O",1,1,1,1,1,,,1,,,,0,,,1,0,1,0,,,,,0,,,,,,,,,,,,0,0,,
"Nc1ccc(N)c(c1)[N+]([O-])=O",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,0,,,,,,0,,,1,,1,1,,
"[O-][N+](=O)c1ccc(OCC2CO2)cc1",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
"[O-][N+](=O)c1ccc(\C=C/C=C/C=O)cc1",,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
"CC(C)[N+]([O-])=O",,,,1,1,,1,,,,,1,,,,,1,0,,,,,,,,,,,,,,1,,,,,,
"OC(=O)CC[N+]([O-])=O",,,,1,1,,1,1,,,,0,,,,,,1,,,,,,,,,,,,,,,,,0,,,
"[O-][N+](=O)c1ccc2ccc3cccc4ccc1c2c34",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1cccc2cccnc12",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1cc[n+]([O-])c2ccccc12",,,,1,1,,1,1,,,,1,,,,,1,1,,,,,,1,,,,,,,1,,1,,1,,,
"Cc1cccc(c1N)[N+]([O-])=O",,,,,,,,,0,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,
"CC(C)Oc1ccccc1OC(=O)N(C)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"O=NN(Cc1ccccc1)Cc2ccccc2",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
