"Smiles","CSCL-ISHL—S9_AMES","CSCL-ISHL+S9_AMES","CSCL-ISHLoverall_AMES","Kirkland et al 2005 & 2011 [1, 2]*_AMES","US NTP_AMES","ECHA_AMES","Kirkland et al 2005 & 2011 [1, 2]*MLA_invitro","US NTP_MLA_invitro","SCCS_MLA_invitro","CosE_MLA_invitro","ECHA_MLA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_MN_invitro","SCCS_MN_invitro","CosE_MN_invitro","CSCL-ISHL—S9_CA_invitro","CSCL-ISHL+S9_CA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_CA_invitro","US NTP_CA_invitro","EFSA_CA_invitro","SCCS_CA_invitro","CosE_CA_invitro","ECHA_CA_invitro","CSCL-ISHL_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_MN_invivo","US NTP_MN_invivo","EFSA_MN_invivo","SCCS_MN_invivo","CosE_MN_invivo","ECHA_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_CA_invivo","US NTP_CA_invivo","Kirkland et al 2005 & 2011 [1, 2]*_UDS_invivo","Kirkland et al 2005 & 2011 [1, 2]*-transgenic","Kirkland et al 2005 & 2011 [1, 2]*_DNAdmg_invivo","Kirkland et al 2005 & 2011 [1, 2]*_Carc","NTP_Carc","EFSA_Carc","ECHA_Carc"
"Cn1cnc(c1Sc2ncnc3nc[nH]c23)[N+]([O-])=O",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,1,,1,,,
"CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O",1,,,,1,,,,,,,,,,,,,0,,,,,,1,1,,,,,,,,,,,1,,
"c1ccc(cc1)N=Nc2ccccc2",,,,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,1,,
"NC(=O)N=NC(N)=O",1,1,,,,1,,,,,0,,,,0,1,,,,,1,1,,,,,,0,0,,,,,,,,,
"CO[P](=S)(OC)SCN1N=Nc2ccccc2C1=O",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,
"O=[N+]([N-]c1ccccc1)c2ccccc2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C[N-][N+](C)=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
"[Cl-].C[N+](C)(C)c1ccc2C=CC(=O)C(=N/Nc3ccc(N)c(c3)[N+]([O-])=O)\c2c1",,,,,,,,,,,,,0,0,,,,,,,1,,,,,,0,0,,,,,,,,,,
"[Cl-].Cn1cc[n+](C)c1N=Nc2ccc(N)cc2",,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,
"[Cl-].CN(C)c1ccc(cc1)N=Nc2n(C)cc[n+]2C",,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,
"CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"c1ccc2cc3c(ccc4ccccc34)cc2c1",,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,
"Nc1ccc(cc1)c2ccc(N)cc2",,,,1,1,,1,1,,,,1,,,,,1,1,,,,,,1,1,,,,,,1,1,,,1,,,
"NC(=O)Nc1[nH]c2ccccc2n1",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"[O-][N+](=O)c1nccn1CC(=O)NCc2ccccc2",,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,0,,,,,,,,
"c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45",,,,1,1,,1,1,,,,1,,,,,1,1,,,,,,1,,,,,,,1,,1,,1,,,
"OC1C2OC2c3c(cc4ccc5cccc6ccc3c4c56)C1O",,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
"[nH]1nc2ccccc2n1",,,,1,,,,,,,,,,,,,1,1,,,,,,0,,,,,,,,,,,0,,,
"c1ccc2c(c1)ccc3ncccc23",,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,
"c1ccc2c(c1)ccc3cccnc23",,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
"O=C1C=CC(=O)C=C1",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ClC(Cl)(Cl)c1ccccc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"ClCc1ccccc1",1,1,1,1,1,,1,1,,,,1,,,1,1,1,1,,,,,0,0,,,,,,,,,,,1,1,,
"C(OCc1ccccc1)[C@H]2CO2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Nc1ccccc1c2ccccc2",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,1,1,,
"OCC(CO)(CBr)CBr",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"CC(CCl)OC(C)CCl",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,0,,,1,1,,
"ClCCOCOCCCl",,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,
"ClCCOCCCl",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"ClCOCCl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[Mg++].OCC(Br)CBr.O[P]([O-])([O-])=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"CN(C)c1ccc(cc1)C(=O)c2ccc(cc2)N(C)C",,,,1,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,1,,
