Compound Id	Topological polar surface area
324	52.6
325	69.81
326	76.21
327	32.34
328	30.82
329	46.17
330	47.56
331	71.96
332	58.64
333	93.21
334	58.69
335	50.19
336	106.97
337	41.57
339	138.88
340	85.25
342	46.53
343	52.6
344	89.52
345	73.47
346	41.9
347	20.31
348	45.61
349	41.13
350	41.57
351	69.59
352	119.23
353	96.35
354	86.52
355	125.32
356	53.99
357	125.04
358	45.61
359	115.2
360	63.97
361	96.3
362	29.54
363	29.1
364	0
365	74.86
366	98.69
367	123.04
368	41.57
369	63.25
370	70.21
371	38.33
372	64.68
373	38.33
374	44.7
375	0
376	66.76
377	115.54
378	98.61
379	63.63
380	54.57
381	90.51
382	98.69
383	49.41
384	37.38
385	27.96
386	89.52
387	164.48
388	29.54
389	110.96
390	113.07
391	65.62
392	104.6
393	41.82
394	59.32
395	51.13
396	41.46
398	70.64
399	71.05
400	58.43
401	100.3
402	61.6
403	57.01
405	54.57
406	69.59
407	46.61
408	46.15
409	63.63
410	83.6
411	59.32
412	0
413	69.59
414	60.17
415	89.52
416	59.42
417	46.53
418	171.32
419	55.24
420	60.44
421	12.53
422	46.53
423	57.61
424	49.41
425	62.73
426	20.31
427	49.17
428	49.17
429	12.53
430	89.52
431	46.61
432	67.43
433	131.55
434	48.78
435	20.23
436	60.98
437	57.65
438	29.1
439	46.61
440	123.99
441	18.46
442	57.65
443	29.1
444	80.7
445	78.39
446	140.21
447	39.58
448	0
449	38.8
450	45.61
451	70.54
452	50.94
453	59.08
454	74.71
455	46.53
456	26.3
457	201.85
458	111.2
459	50.94
460	12.47
461	140.78
462	43.14
463	58.2
464	122.04
465	51.22
466	88.03
467	63.22
468	50.19
469	34.14
471	67.43
472	130.69
473	56.79
474	20.23
475	131.55
476	76.43
477	46.53
478	46.53
479	86.71
480	40.58
481	38.33
482	69.59
483	80.7
484	39.41
485	0
486	46.53
487	29.46
488	29.46
489	29.46
490	29.46
491	37.3
492	44.02
494	100.88
495	79.95
496	84.19
497	46.53
498	53.93
499	41.13
500	96.65
502	0
504	112.73
505	67.59
506	38.33
507	0
508	36.28
509	20.31
510	0
511	0
512	64.18
513	0
514	20.23
515	37.3
516	37.3
518	82.26
519	43.14
520	129.42
522	60.16
523	171.75
524	0
525	34.14
526	82.98
527	52.6
528	32.67
529	0
530	0
531	20.23
532	149.65
533	69.16
534	12.03
535	26.02
536	57.53
537	49.33
538	0
539	20.23
540	0
541	26.02
542	20.23
543	52.04
544	105.89
545	20.23
546	20.23
547	43.14
548	43.14
549	69.16
550	52.37
551	86.28
552	87.49
553	0
554	12.89
555	12.03
556	52.04
557	3.24
558	20.23
559	17.07
560	0
561	0
562	26.02
563	0
564	26.02
565	52.04
566	9.23
567	0
568	13.14
569	58.28
570	0
571	80.92
572	60.16
573	145.73
574	20.23
575	43.14
576	37.3
577	102.26
578	20.23
579	0
580	0
581	3.24
582	138.26
583	80.44
584	63.93
585	62.73
586	18.46
587	0
588	40.46
589	9.23
590	0
591	34.14
592	46.53
593	13.14
594	207.09
595	0
596	9.23
597	40.46
598	99.16
599	0
600	85.69
601	38.91
602	52.04
603	0
604	38.91
605	0
606	24.72
607	0
608	0
609	0
610	26.02
611	63.37
612	52.37
614	20.23
615	20.31
616	20.23
617	46.25
618	0
619	86.28
620	43.37
621	3.24
622	0
623	26.02
624	123.04
625	0
626	44.02
628	0
629	20.23
630	9.23
631	0
632	54.57
633	74.6
634	9.23
635	56.15
637	89.52
638	0
639	62.75
640	220.19
641	0
642	0
643	103.5
644	9.23
645	52.04
646	0
647	0
648	0
649	63.37
650	38.33
651	52.6
652	112.11
653	41.13
654	20.23
655	0
656	109.72
657	13.14
658	20.23
659	0
660	67.01
661	0
662	0
663	37.38
664	0
665	54.57
666	29.54
667	145
668	275.9
669	0
670	0
671	450.19
672	43.14
673	115.52
674	0
675	113.11
676	35.25
677	9.23
678	18.46
679	0
680	0
681	18.46
682	0
683	0
684	0
685	0
686	0
687	0
688	52.04
689	0
690	9.23
691	9.23
692	9.23
693	40.46
694	9.23
696	152.8
697	13.14
698	118.68
699	13.14
700	46.92
701	0
703	0
704	3.24
705	43.14
706	64.4
707	32.34
708	88.03
709	71.35
710	39.44
711	116.67
712	50.94
713	92.13
714	49.41
715	66.4
716	100.88
717	39.94
718	87.37
719	173.65
720	37.81
721	68.55
722	161.09
723	62.21
724	110.96
727	66.4
728	63.38
729	82.92
730	83.66
731	62.73
732	69.48
733	74.88
734	63.68
735	106.86
736	59.92
737	29.54
738	44.02
739	65.3
740	50.69
741	95.62
742	158.06
743	41.57
744	63.63
745	32.34
746	45.61
747	0
748	106.87
749	98.61
750	164.9
751	0
752	99.78
753	35.53
754	18.46
755	52.6
756	112.73
757	57.37
758	0
759	132.32
760	98.31
761	58.2
762	27.05
763	56.79
764	75.99
765	98.31
766	54.55
767	78.67
768	29.54
769	29.54
770	59.32
771	80.85
772	35.53
773	45.61
774	63.87
775	77.38
776	81.7
777	38.33
778	43.37
779	0
780	159.7
781	99.43
782	46.01
783	20.31
784	38.33
785	110.96
786	37.3
787	35.53
788	32.34
789	30.71
790	70.79
791	59.32
792	20.23
793	12.47
794	47.36
795	59.32
796	59.32
797	85.44
798	68.55
799	46.53
800	74.3
801	51.56
802	157.85
803	0
804	102.78
805	110.96
806	56.79
807	186.09
809	51.75
810	91.65
811	29.54
812	73.59
813	93.61
814	26.3
815	88.03
816	55.76
818	0
819	50.94
820	107.02
821	69.16
822	20.23
823	60.77
825	58.4
826	0
827	94.89
828	20.23
829	84.13
830	0
831	0
832	0
833	54.57
834	0
835	40.46
836	40.46
837	88.77
838	37.3
839	0
840	52.37
841	0
842	3.24
843	20.23
844	26.02
845	26.02
846	56.15
847	68.54
848	86.28
849	20.23
850	43.14
851	41.28
852	20.23
853	0
854	20.23
855	0
856	0
857	52.04
858	35.25
859	132.86
860	252.14
861	12.03
862	35.25
863	0
864	41.57
865	20.23
866	0
867	117.74
868	0
869	74.6
870	0
871	20.23
872	47.58
873	0
874	0
875	0
876	52.04
877	20.23
878	52.37
879	0
880	20.23
881	9.23
882	0
883	0
884	7.76
885	0
886	34.14
887	0
888	107.7
889	18.46
890	0
891	148.16
892	45.61
893	0
894	0
895	18.46
896	9.23
897	0
898	9.23
899	9.23
900	0
901	59.32
903	15.79
904	0
905	54.57
906	9.23
907	50.7
908	33.36
909	42.52
910	21.7
911	23.79
912	50.94
913	82.67
914	58.56
915	62.75
916	110.96
917	95.15
918	60.17
919	67.31
920	85.04
921	82.48
922	69.59
923	0
924	55.84
925	38.33
926	46.53
927	68.65
928	57.97
929	37.3
930	12.89
931	37.3
932	0
933	0
934	0
935	0
936	0
937	9.23
938	20.23
939	43.14
940	63.37
941	74.6
942	47.58
943	20.23
944	0
945	0
946	40.46
947	43.14
948	43.14
949	0
950	0
951	99.36
952	20.23
953	21.26
954	63.37
955	20.23
956	86.28
957	3.24
958	26.02
959	20.31
960	145.73
961	0
962	0
963	128.18
964	65.57
965	9.23
966	115.35
967	20.23
968	63.37
969	0
970	47.58
971	26.02
972	26.02
973	26.02
974	0
975	152.86
976	3.24
977	0
978	62.73
979	63.37
980	82.48
981	20.23
982	0
983	9.23
984	0
985	54.57
986	17.07
987	0
988	0
989	46.53
990	54.57
991	0
992	0
993	0
994	13.14
995	9.23
996	20.23
997	0
998	0
999	0
1000	18.46
1001	49.41
1002	57.65
1003	36.92
1004	103.39
1005	46.53
1006	62.68
1007	85.62
1008	50.8
1009	83.83
1010	46.53
1011	45.61
1012	49.85
1013	56.79
1014	41.99
1015	86.36
1016	132.27
1017	130.69
1018	100.72
1019	86.36
1020	69.72
1021	92.8
1022	56.22
1023	89.67
1024	93.61
1025	102.74
1026	3.24
1027	61.21
1028	88.03
1029	0
1030	0
1031	91.65
1032	154.19
1033	55.4
1034	20.31
1035	121.81
1036	20.23
