Compound Id	Molecular Linear Free Energy Relation overall solute hydrogen bond basicity
224	0.87
225	0.174
226	2.247
227	0.843
228	-0.309
229	0.147
230	2.497
231	0.507
232	0.103
233	0.851
234	0.13
235	0.403
236	0.371
237	0.843
239	0.403
240	0.145
241	0.298
242	0.403
243	0.075
244	0.162
245	0.06
246	0.217
247	0.214
248	1.061
249	0.335
250	0.048
251	1.097
252	7.182
253	0.777
254	0.263
255	1.033
256	0.187
257	2.004
258	0.524
259	0.26
260	0.198
261	2.707
264	0.301
265	1.354
266	0.906
267	2.283
268	1
269	0.413
270	1.314
271	1.056
272	1.061
273	0.523
274	1.284
275	1.505
276	0.32
277	0.323
278	1.313
279	0.631
280	1.105
281	0.446
282	2.936
283	0.489
284	1.469
285	2.787
286	0.96
287	1.576
288	0.555
289	0.385
290	0.514
291	0.813
292	1.686
293	0.856
294	0.852
295	1.142
296	1.736
297	1.021
298	1.295
299	1.186
300	0.613
301	1.204
302	0.753
303	1.527
304	0.978
305	1.039
306	2.562
307	0.054
308	0.818
309	0.228
310	2.156
312	0.874
313	1.403
314	3.17
315	0.572
316	0.568
317	1.027
318	1.606
319	1.13
320	-0.1
321	1.113
322	1.141
323	0.906
324	0.954
325	0.849
326	0.984
327	0.835
328	1.316
329	1.038
330	0.649
331	1.67
332	0.528
333	1.356
334	1.317
335	0.724
336	1.461
337	0.393
339	2.531
340	1.317
342	1.039
343	0.663
344	-0.04
345	1.035
346	1.635
347	0.519
348	0.96
349	0.795
350	1.038
351	1.883
352	2.55
353	1.599
354	1.73
355	2.106
356	0.862
357	2.973
358	1
359	2.201
360	1.638
361	1.508
362	0.704
363	0.736
364	0.085
365	0.835
366	2.187
367	2.546
368	1.086
369	0.871
370	1.367
371	0.484
372	2.587
373	0.462
374	1.26
375	0.107
376	1.634
377	0.07
378	2.785
379	0.638
380	1.864
381	1.367
382	2.143
383	1.037
384	0.466
385	1.247
386	0.098
387	4.037
388	0.704
389	2.102
390	2.755
391	1.044
392	2.717
393	0.721
394	1.114
395	0.854
396	1.067
398	2.164
399	1.428
400	1.712
401	2.311
402	0.243
403	1.019
405	1.85
406	1.883
407	0.317
408	1.217
409	1.094
410	0.555
411	1.063
412	0.093
413	2.017
414	1.142
415	-0.021
416	0.928
417	1.207
418	3.787
419	1.421
420	1.136
421	0.432
422	1.059
423	0.828
424	1.081
425	1.467
426	1.073
427	1.104
428	1.122
429	0.617
430	-0.545
431	0.859
432	0.75
433	1.277
434	1.365
435	0.539
436	1.138
437	1.096
438	0.523
439	0.905
440	0.305
441	0.601
442	1.116
443	0.589
444	1.168
445	0.316
446	2.242
447	0.642
448	0.067
449	0.078
450	0.96
451	1.401
452	0.838
453	0.351
454	1.443
455	0.724
456	0.288
457	4.128
458	0.405
459	0.887
460	1.098
461	1.488
462	-0.282
463	0.511
464	0.829
465	1.012
466	1.609
467	1.636
468	0.807
469	0.827
471	0.68
472	2.672
473	0.514
474	0.515
475	1.133
476	1.773
477	0.609
478	0.598
479	2.192
480	1.14
481	1.281
482	1.955
483	1.183
484	0.922
485	0.092
486	0.537
487	0.009
488	0.204
489	0.074
490	0.223
491	0.448
492	0.276
494	2.274
495	1.715
496	1.341
497	0.555
498	1.306
499	0.528
500	2.87
502	0.147
504	1.779
505	0.587
506	0.756
507	0.04
508	0.867
509	0.796
510	0.046
511	0.057
512	0.213
513	0.09
514	0.436
515	0.462
516	0.434
518	2.481
519	-0.046
520	-0.535
522	1.046
523	2.554
524	0.175
525	0.823
526	1.411
527	0.855
528	0.715
529	0.197
530	0.071
531	-0.044
532	-0.514
533	0.034
534	1.071
535	0.483
536	0.428
537	0.612
538	0.175
539	0.429
540	0.146
541	0.421
542	0.361
543	0.626
544	0.838
545	0.527
546	0.48
547	-0.065
548	-0.069
549	0.153
550	0.096
551	-0.313
552	1.091
553	0.134
554	0.466
555	0.548
556	0.709
557	0.814
558	0.429
559	0.46
560	0.047
561	0.122
562	0.344
563	0.101
564	0.355
565	0.63
566	0.318
567	0.126
568	0.162
569	1.4
570	0.085
571	1.336
572	1.091
573	2.363
574	0.018
575	-0.246
576	0.448
577	2.748
578	0.75
579	0.257
580	0.054
581	0.745
582	2.632
583	0.257
584	1.699
585	1.416
586	0.733
587	0.108
588	0.736
589	0.372
590	0.295
591	0.816
592	0.596
593	0.282
594	3.265
595	0.129
596	0.296
597	0.772
598	1.761
599	0.022
600	1.563
601	0.711
602	0.69
603	0.093
604	0.711
605	0.125
606	0.493
607	0.08
608	0.082
609	0.085
610	0.329
611	0.196
612	0.107
614	0.308
615	0.508
616	0.231
617	0.662
618	0.279
619	-0.306
620	0.85
621	0.731
622	0.085
623	0.279
624	2.684
625	0.125
626	0.553
628	0.108
629	0.021
630	0.192
631	0.246
632	1.824
633	0.841
634	-0.152
635	1.246
637	-0.04
638	0.141
639	0.978
640	3.26
641	0.211
642	0.197
643	1.616
644	0.404
645	0.702
646	0.291
647	0.082
648	0.244
649	0.181
650	0.466
651	0.807
652	2.641
653	0.851
654	0.523
655	0.089
656	1.336
657	0.26
658	0.461
659	0.191
660	0.741
661	0.146
662	0.121
663	0.957
664	0.205
665	1.86
666	0.704
667	1.615
668	7.607
669	0.133
670	0.14
671	6.602
672	-0.187
673	1.123
674	0.143
675	1.661
676	0.488
677	0.248
678	0.214
679	0.171
680	0.237
681	0.267
682	0.151
683	0.03
684	0.122
685	-0.074
686	0.071
687	0.094
688	0.719
689	0.158
690	0.32
691	0.259
692	0.248
693	0.871
694	0.187
696	1.469
697	0.265
698	0.872
699	0.265
700	0.964
701	0.139
703	0.301
704	0.745
705	-0.217
706	1.24
707	0.892
708	1.609
709	1.403
710	0.632
711	3.076
712	0.853
713	1.819
714	0.321
715	0.886
716	2.274
717	0.773
718	1.053
719	1.5
720	1.445
721	1.05
722	1.712
723	1.377
724	2.155
727	1.025
728	1.397
729	0.69
730	1.532
731	1.452
732	1.228
733	2.573
734	0.794
735	1.945
736	1.386
737	1.129
738	0.298
739	1.017
740	1.076
741	2.287
742	0.179
743	1.044
744	0.584
745	0.768
746	1.233
747	0.158
748	0.373
749	2.785
750	1.755
751	0.647
752	2.763
753	0.818
754	0.429
755	0.999
756	1.779
757	1.478
758	0.286
759	1.659
760	0.028
761	0.606
762	0.88
763	1.258
764	0.852
765	-0.027
766	0.232
767	0.407
768	0.704
769	0.722
770	1.085
771	1.594
772	0.804
773	1.008
774	1.63
775	1.164
776	1.395
777	0.829
778	0.89
779	0.215
780	0.617
781	2.641
782	1.473
783	0.448
784	0.534
785	2.104
786	0.411
787	0.762
788	0.933
789	0.423
790	1.124
791	1.075
792	0.399
793	1.211
794	1.386
795	0.972
796	1.105
797	1.184
798	1.217
799	0.627
800	0.485
801	1.059
802	1.592
803	0.159
804	2.113
805	2.095
806	0.894
807	1.613
809	0.758
810	2.127
811	0.6
812	1.247
813	0.647
814	0.514
815	1.642
816	1.256
818	0.219
819	0.955
820	1.602
821	0.088
822	0.429
823	1.95
825	1.331
826	0.165
827	2.141
828	0.424
829	1.104
830	-0.048
831	0.273
832	0.094
833	1.902
834	0.127
835	0.27
836	0.824
837	1.379
838	0.519
839	0.16
840	0.173
841	0.193
842	0.461
843	0.323
844	0.34
845	0.329
846	1.224
847	0.348
848	-0.302
849	0.447
850	-0.122
851	2.052
852	0.365
853	0.058
854	0.387
855	0.071
856	0.115
857	0.739
858	0.576
859	1.299
860	2.911
861	1.071
862	0.562
863	0.197
864	0.378
865	0.421
866	0.189
867	0.579
868	-0.026
869	0.759
870	0.253
871	0.319
872	0.377
873	0.07
874	0.162
875	0.278
876	1.077
877	0.372
878	0.022
879	0.197
880	0.291
881	0.422
882	0.064
883	0.049
884	0.995
885	0.173
886	0.823
887	0.136
888	1.588
889	0.194
890	0.126
891	2.043
892	0.997
893	0.145
894	0.148
895	0.279
896	0.288
897	-0.033
898	0.202
899	0.248
900	0.154
901	1.081
903	0.551
904	0.165
905	1.992
906	0.347
907	1.561
908	0.244
909	0.659
910	1.517
911	0.2
912	0.857
913	1.543
914	1.347
915	0.984
916	2.104
917	1.204
918	1.003
919	0.29
920	1.421
921	2.285
922	2.028
923	0.277
924	1.068
925	0.709
926	0.598
927	1.103
928	1.109
929	0.459
930	0.567
931	0.376
932	0.377
933	0.106
934	0.07
935	0.094
936	0.257
937	0.222
938	0.178
939	-0.069
940	0.136
941	0.781
942	0.377
943	0.312
944	-0.007
945	0.086
946	0.659
947	-0.069
948	-0.137
949	0.181
950	-0.001
951	1.661
952	0.433
953	0.943
954	0.132
955	0.231
956	-0.306
957	0.461
958	0.461
959	0.836
960	2.452
961	0.317
962	0.317
963	2.604
964	1.973
965	0.332
966	1.785
967	0.376
968	-0.136
969	0.021
970	0.377
971	0.345
972	0.279
973	0.268
974	0.253
975	3.014
976	0.745
977	0.125
978	1.434
979	0.192
980	2.285
981	0.94
982	0.253
983	0.211
984	0.05
985	1.881
986	0.577
987	0.228
988	0.056
989	0.724
990	1.962
991	0.222
992	0.152
993	0.045
994	0.3
995	0.288
996	0.481
997	-0.068
998	0.09
999	0.222
1000	0.187
1001	1.027
1002	1.192
1003	1.467
1004	1.609
1005	0.616
1006	0.336
1007	1.233
1008	1.262
1009	0.992
1010	0.594
1011	0.996
1012	0.33
1013	0.76
1014	0.887
1015	1.029
1016	2.295
1017	2.672
1018	1.809
1019	1.2
1020	1.113
1021	1.672
1022	2.102
1023	0.362
1024	0.09
1025	1.464
1026	0.844
1027	1.347
1028	1.627
1029	0.275
1030	0.102
1031	2.063
1032	1.654
1033	1.018
1034	0.906
1035	-0.212
1036	0.425
