Compound Id	Logarithm of octanol/water partition coefficient
266	7.29
267	3.34
268	1.9
269	3.83
270	3.78
271	1.34
272	5.27
273	-0.88
274	6.75
275	1.83
276	3.51
277	3.23
278	-0.8
279	5.12
280	8.3
281	-0.01
282	1.73
283	3.7
284	3.28
285	-0.74
286	3.84
287	2.69
288	3.56
289	5.13
290	1.52
291	3.23
292	3.83
293	1.13
294	5.27
295	3.61
296	4.32
297	5.51
298	1.22
299	22.39
300	4.66
301	2.83
302	4.44
303	1.91
304	4.76
305	4.12
306	1.32
307	5.99
308	4.65
309	4.16
310	3.59
312	3.44
313	5.01
314	3.8
315	3.39
316	3.59
317	4.87
318	4.56
319	3.71
320	3.44
321	3.2
322	3.4
323	5.41
324	5.94
325	2.22
326	1.62
327	1.94
328	5.36
329	4.31
330	2.32
331	2.99
332	3.7
333	-0.57
334	1.14
335	1.06
336	4.76
337	2.3
339	3.36
340	2.12
342	5.4
343	4.28
344	5.29
345	2.64
346	3.72
347	2.18
348	3.84
349	3.8
350	1.64
351	5.21
352	1.57
353	1.7
354	2.22
355	2.94
356	4.57
357	0.31
358	4.49
359	4.38
360	5
361	-0.47
362	4.5
363	3.43
364	-3.62
365	2.34
366	4.12
367	1.48
368	1.12
369	3.37
370	2.7
371	3.1
372	2.2
373	2.59
374	2.3
375	11.74
376	6.06
377	4.3
378	4.2
379	2.04
380	1.38
381	-0.85
382	3.82
383	2.11
384	3
385	5.5
386	5.58
387	5.96
388	3.03
389	4.9
390	1.05
391	6.39
392	3.18
393	2.25
394	5.7
395	3.95
396	2.36
398	4.68
399	0.83
400	1.7
401	3.82
402	4.73
403	2.77
405	3.1
406	6.15
407	3.1
408	4.75
409	2.14
410	-0.63
411	6.2
412	2.04
413	4.59
414	4.16
415	5.11
416	2.97
417	7.81
418	5.07
419	3.34
420	7.63
421	4.67
422	4.98
423	2.9
424	1.89
425	3.06
426	3.16
427	2.32
428	3.5
429	3.67
430	6.22
431	3.69
432	4.91
433	2
434	6.37
435	7.95
436	2.71
437	4.5
438	3.07
439	3.4
440	2.9
441	5.08
442	4.07
443	3.83
444	4.08
445	4.04
446	4.2
447	4.04
448	0.99
449	0.88
450	3.21
451	4.28
452	3.2
453	0.8
454	4.45
455	-0.37
456	6.5
457	-0.72
458	3.56
459	3.9
460	6.88
461	1.1
462	4.64
463	4.56
464	3.43
465	4.9
466	2.98
467	4.1
468	1.04
469	3.39
471	5.68
472	2.75
473	2.91
474	3.09
475	3.1
476	3.94
477	3.25
478	2.81
479	3.9
480	4.79
481	3.22
482	5.14
483	4.28
484	1.4
485	-4.6
486	3.31
487	4.59
488	3.77
489	3.72
490	3.26
491	2.65
492	3.16
494	0.86
495	2.74
496	4.38
497	3.8
498	1.58
499	2.01
500	5.13
502	4.5
504	3.83
505	-0.36
506	1.58
507	2.26
508	-0.61
509	0.28
510	1.67
511	1.5
512	2.08
513	2.32
514	0.53
515	1.47
516	0.78
518	3.75
519	0.93
520	4.74
522	3.74
523	0.18
524	3.92
525	4.37
526	-0.44
527	4.73
528	3.13
529	4.18
530	4.78
531	5.12
532	1.33
533	2.72
534	4.2
535	2.84
536	3.05
537	4.52
538	5.72
539	1.95
540	3.43
541	1.9
542	3.33
543	0.14
544	1.13
545	5.19
546	3.31
547	1.85
548	2.37
549	1.39
550	2.03
551	1.46
552	0.24
553	3.93
554	1.63
555	1.66
556	1.59
557	2.59
558	5.76
559	2.1
560	3.79
561	3.33
562	1.88
563	1.46
564	1.88
565	-0.33
566	2.48
567	2.84
568	1.34
569	-1.69
570	6.1
571	-1.69
572	3.31
573	-10.93
574	4.13
575	3.2
576	2.05
577	3.2
578	3.61
579	4.45
580	4.02
581	1.45
582	2.36
583	1.83
584	-0.49
585	2.18
586	-0.27
587	5.15
588	0.05
589	5.09
590	4.88
591	4.62
592	3.79
593	4.12
594	1.77
595	4.57
596	3.21
597	1.24
598	2.56
599	4.47
600	-0.89
601	0.11
602	1.78
603	4.08
604	0.32
605	3.66
606	4.67
607	3.53
608	3.03
609	8.28
610	2.91
611	2
612	2.16
614	2.84
615	1.12
616	3.06
617	0.21
618	5.13
619	2.1
620	2.7
621	1.3
622	7.74
623	3.32
624	2.78
625	2.09
626	1.6
628	5.7
629	3.88
630	4.51
631	4.87
632	3.53
633	2.81
634	10.36
635	3.69
637	5.34
638	4.36
639	5.02
640	0.44
641	4.62
642	5.23
643	4.78
644	3.45
645	0.89
646	5.69
647	6.39
648	4
649	2.48
650	2.23
651	5.8
652	2.82
653	17.04
654	5.53
655	6.21
656	4.6
657	5.65
658	4.36
659	4.9
660	1.17
661	2.72
662	6.14
663	5.96
664	5.55
665	3.65
666	3.52
667	3.78
668	5.46
669	3.82
670	5.69
671	0.08
672	3.69
673	3.3
674	6.35
675	5.27
676	4.61
677	5.95
678	6.6
679	6.31
680	6.63
681	5.75
682	5.1
683	7.12
684	6.85
685	5.68
686	6.22
687	6.39
688	4.99
689	4.4
690	4.93
691	5.44
692	6.36
693	1.17
694	6.6
696	3.7
697	6.23
698	5
699	6.16
700	4.61
701	4.28
703	6.03
704	4.02
705	4.38
706	4.26
707	0.98
708	2.38
709	7.72
710	6.14
711	-3.4
712	3.7
713	4.6
714	4.25
715	2.77
716	0.73
717	3.24
718	2.63
719	1.63
720	4
721	4.81
722	2.84
723	3.36
724	4.48
727	3.53
728	3.24
729	0.72
730	0.78
731	2.93
732	4.22
733	0
734	4.55
735	1.56
736	3.19
737	3.36
738	3.43
739	4.13
740	4.99
741	3.73
742	3.73
743	3.7
744	2.92
745	2.42
746	3.21
747	6.27
748	-0.27
749	4.85
750	1.4
751	6.89
752	3.34
753	6.24
754	3.11
755	5.14
756	2.86
757	3.42
758	6.5
759	2.84
760	4.93
761	3.88
762	3.82
763	3.87
764	2.75
765	5.18
766	5.6
767	4.48
768	2.17
769	3.13
770	6.05
771	0.77
772	6.5
773	4.65
774	1.4
775	6.58
776	3.61
777	3.66
778	4.78
779	3.72
780	1.7
781	-1.49
782	3.6
783	3.36
784	2.36
785	3.15
786	-0.21
787	5.5
788	4.82
789	3.52
790	4.12
791	7.95
792	-0.4
793	4.93
794	4.6
795	6.8
796	5.95
797	0.9
798	6.2
799	3.13
800	3.9
801	3.1
802	2.2
803	2.48
804	5.7
805	5.33
806	4.3
807	1.56
809	4.32
810	1.86
811	2.5
812	3.94
813	4.3
814	6
815	3.74
816	8.53
818	3.98
819	2.9
820	1.68
821	2.8
822	1.96
823	0.9
825	4.3
826	6.91
827	4.09
828	2.03
829	-0.83
830	2.27
831	5.25
832	5.04
833	8.9
834	2.42
835	6.77
836	3.32
837	-0.77
838	2.24
839	4.72
840	1.73
841	3.86
842	3.31
843	2.15
844	1.89
845	2.92
846	-0.66
847	0.31
848	1.49
849	3.08
850	2.39
851	5.52
852	2.59
853	3.75
854	2.5
855	3.44
856	3.49
857	2.34
858	1.74
859	5.61
860	-0.06
861	4.38
862	1.24
863	3.94
864	3.2
865	2.73
866	4.4
867	0.75
868	5.17
869	0.86
870	5
871	2.9
872	0.93
873	4.6
874	3.44
875	6.94
876	-0.34
877	2.78
878	4.97
879	5.27
880	4.23
881	4.8
882	3.99
883	5.83
884	-5.82
885	5.65
886	5.99
887	5.81
888	4.33
889	4.01
890	5.37
891	3.81
892	3.4
893	7.12
894	5.98
895	6.35
896	3.64
897	6.5
898	5.99
899	6.13
900	6.53
901	6.2
903	3.39
904	5.26
905	4.59
906	0.94
907	3
908	-0.13
909	4.61
910	4.24
911	2.74
912	3.85
913	3.23
914	1.7
915	6.36
916	3.56
917	1.77
918	3.08
919	5.81
920	-0.17
921	4.31
922	4.56
923	6.16
924	1.65
925	3.7
926	3.53
927	3.74
928	6.37
929	1.87
930	3.4
931	2.86
932	6.75
933	3.41
934	3.16
935	1.89
936	4.46
937	4.11
938	2.75
939	2.3
940	1.79
941	0.44
942	0.99
943	2.35
944	4.64
945	2.96
946	4.26
947	2.45
948	3.12
949	4.14
950	4.19
951	-0.09
952	1.46
953	-0.86
954	2.37
955	3.06
956	1.98
957	2.31
958	2.25
959	2.02
960	0.86
961	5.89
962	5.81
963	1.87
964	5.24
965	4.25
966	5.15
967	2.63
968	3.49
969	4.27
970	0.8
971	3.68
972	3.69
973	3.69
974	5.08
975	2.2
976	10.52
977	4.01
978	2.61
979	2.18
980	4.96
981	6.1
982	5.22
983	3.85
984	4.56
985	2.59
986	4.15
987	5.02
988	6.75
989	13.32
990	5.44
991	6.79
992	6.41
993	6.97
994	6.53
995	3.74
996	3.93
997	5.81
998	6.62
999	7.26
1000	6.9
1001	1.69
1002	3.9
1003	0.12
1004	4
1005	3.43
1006	2.85
1007	2.32
1008	2.54
1009	1.91
1010	2.21
1011	4.15
1012	2.7
1013	1.7
1014	4.43
1015	1.85
1016	2.45
1017	3.4
1018	5.27
1019	1.79
1020	3
1021	2.7
1022	1.85
1023	3.7
1024	4.7
1025	-0.21
1026	5.53
1027	4.3
1028	3.51
1029	4.35
1030	1.98
1031	2.9
1032	2.18
1033	4.5
1034	3.02
1035	4.32
1036	2.3
