Compound Id	Wiener index
549	120
550	162
551	206
552	206
553	64
554	64
555	64
556	404
557	138
558	594
559	90
560	62
561	62
562	62
563	10
564	61
565	61
566	100
567	42
568	15
569	56
570	286
571	88
572	452
573	628
574	110
575	279
576	114
577	1086
578	378
579	279
580	84
581	48
582	738
583	197
584	270
585	260
586	27
587	120
588	44
589	420
590	362
591	452
592	528
593	219
594	3869
595	121
596	120
597	116
598	96
599	189
600	32
601	42
602	175
603	79
604	42
605	82
606	436
607	61
608	42
609	680
610	84
611	117
612	156
614	82
615	156
616	84
617	61
618	412
619	234
620	593
621	42
622	560
623	110
624	701
625	31
626	90
628	165
629	140
630	182
631	322
632	690
633	442
634	1096
635	495
637	1082
638	120
639	1864
640	2981
641	238
642	315
643	966
644	182
645	176
646	428
647	426
648	231
649	150
650	258
651	2141
652	625
653	10299
654	466
655	242
656	1747
657	332
658	358
659	430
660	314
661	44
662	253
663	1363
664	211
665	826
666	569
667	1796
668	20207
669	80
670	362
671	15535
672	184
673	334
674	206
675	2850
676	534
677	536
678	537
679	433
680	440
681	414
682	293
683	573
684	486
685	174
686	419
687	419
688	704
689	109
690	384
691	450
692	552
693	152
694	627
696	4529
697	457
698	2430
699	461
700	1343
701	135
703	585
704	300
705	222
706	667
707	212
708	312
709	4160
710	1786
711	139
712	963
713	3548
714	1705
715	527
716	1028
717	753
718	840
719	1270
720	539
721	2079
722	3376
723	1687
724	412
727	1049
728	1333
729	18
730	559
731	386
732	2512
733	400
734	1685
735	1296
736	1386
737	832
738	148
739	2067
740	2233
741	876
742	1082
743	962
744	380
745	457
746	206
747	650
748	378
749	952
750	1189
751	680
752	876
753	1945
754	192
755	1679
756	473
757	622
758	448
759	724
760	860
761	1020
762	721
763	2662
764	332
765	747
766	2278
767	1089
768	504
769	656
770	2244
771	599
772	1945
773	596
774	84
775	1822
776	1148
777	880
778	1112
779	174
780	1140
781	90
782	942
783	684
784	362
785	234
786	9
787	1414
788	1237
789	615
790	1795
791	2661
792	46
793	1212
794	1313
795	2982
796	2425
797	372
798	3560
799	316
800	664
801	852
802	1753
803	98
804	616
805	708
806	1386
807	1591
809	638
810	1103
811	436
812	1387
813	2276
814	2490
815	452
816	6000
818	198
819	767
820	424
821	188
822	61
823	88
825	1930
826	678
827	457
828	58
829	9
830	16
831	730
832	132
833	2560
834	18
835	876
836	516
837	326
838	292
839	174
840	150
841	144
842	158
843	60
844	84
845	84
846	26
847	114
848	197
849	160
850	120
851	1116
852	62
853	61
854	61
855	27
856	109
857	440
858	116
859	896
860	1744
861	546
862	127
863	166
864	394
865	110
866	182
867	336
868	140
869	188
870	342
871	84
872	125
873	109
874	82
875	552
876	121
877	84
878	752
879	301
880	218
881	392
882	88
883	286
884	315
885	378
886	928
887	354
888	1472
889	228
890	188
891	1718
892	505
893	504
894	417
895	464
896	144
897	480
898	542
899	544
900	308
901	2659
903	219
904	197
905	1204
906	28
907	449
908	84
909	672
910	1017
911	112
912	1034
913	738
914	518
915	3136
916	280
917	411
918	802
919	1838
920	172
921	434
922	427
923	459
924	754
925	1252
926	434
927	1565
928	1510
929	88
930	279
931	181
932	971
933	58
934	58
935	18
936	271
937	146
938	82
939	114
940	114
941	188
942	117
943	60
944	111
945	31
946	520
947	117
948	152
949	264
950	84
951	84
952	42
953	27
954	148
955	84
956	240
957	88
958	140
959	307
960	668
961	513
962	545
963	494
964	1136
965	204
966	2411
967	61
968	184
969	84
970	121
971	109
972	110
973	111
974	326
975	471
976	2088
977	84
978	319
979	148
980	612
981	1108
982	388
983	148
984	111
985	538
986	561
987	291
988	470
989	5876
990	2242
991	502
992	412
993	488
994	472
995	146
996	146
997	470
998	496
999	510
1000	558
1001	474
1002	1623
1003	188
1004	1575
1005	316
1006	405
1007	1255
1008	1118
1009	219
1010	226
1011	326
1012	422
1013	425
1014	1300
1015	375
1016	794
1017	976
1018	4892
1019	375
1020	915
1021	926
1022	571
1023	1421
1024	1896
1025	201
1026	940
1027	896
1028	458
1029	388
1030	18
1031	885
1032	2240
1033	1346
1034	575
1035	1144
1036	84
