Compound Id	Mode of action
340	SN2 substitution
341	SN2 substitution
342	SN2 substitution
343	SN2 substitution
344	SN2 substitution
345	SN2 substitution
346	SN2 substitution
347	SN2 substitution
348	SN2 substitution
349	SN2 substitution
350	SN2 substitution
351	SN2 substitution
352	SN2 substitution
353	SN2 substitution
355	(Other)
356	(Other)
357	(Other)
354	(Other)
358	(Other)
359	(Other)
360	(Other)
361	(Other)
362	(Other)
363	(Other)
364	(Other)
365	(Other)
366	(Other)
367	(Other)
368	Aminoalcohol
369	Aminoalcohol
370	Aminoalcohol
371	Aminoalcohol
372	Aminoalcohol
373	Aminoalcohol
374	Aminoalcohol
375	Aminoalcohol
376	Aminoalcohol
377	Aminoalcohol
378	Aminoalcohol
379	Aminoalcohol
380	Aminoalcohol
381	Aminoalcohol
382	Aminoalcohol
383	Aminoalcohol
384	Aminoalcohol
385	Aminoalcohol
386	Aminoalcohol
387	Aminoalcohol
388	Aminoalcohol
389	Aminoalcohol
390	Aminoalcohol
391	Aminoalcohol
392	Aminoalcohol
393	Amine narcotic
394	Amine narcotic
395	Amine narcotic
396	Amine narcotic
397	Amine narcotic
398	Amine narcotic
399	Amine narcotic
400	Amine narcotic
401	Amine narcotic
402	Amine narcotic
403	Amine narcotic
404	Amine narcotic
405	Amine narcotic
406	Amine narcotic
407	Amine narcotic
408	Amine narcotic
409	Amine narcotic
410	Amine narcotic
411	Amine narcotic
412	Amine narcotic
413	Amine narcotic
414	Amine narcotic
415	Amine narcotic
416	Amine narcotic
417	Amine narcotic
418	Amine narcotic
419	Amine narcotic
420	Amine narcotic
421	Amine narcotic
422	Amine narcotic
423	Amine narcotic
424	Amine narcotic
425	Carboxylic acid
426	Carboxylic acid
427	Carboxylic acid
428	Carboxylic acid
429	Carboxylic acid
430	Carboxylic acid
431	Carboxylic acid
432	Carboxylic acid
433	Carboxylic acid
434	Carboxylic acid
435	Carboxylic acid
436	Carboxylic acid
437	Carboxylic acid
438	Carboxylic acid
439	Carboxylic acid
440	Carboxylic acid
441	Carboxylic acid
442	Carboxylic acid
443	Carboxylic acid
444	Carboxylic acid
445	Carboxylic acid
446	Carboxylic acid
447	Carboxylic acid
448	Carboxylic acid
449	Carboxylic acid
450	Carboxylic acid
451	Carboxylic acid
452	Carboxylic acid
453	Carboxylic acid
454	Carboxylic acid
455	Carboxylic acid
456	Carboxylic acid
457	Carboxylic acid
458	Carboxylic acid
459	Carboxylic acid
460	Carboxylic acid
461	Isothiocyanate
462	Isothiocyanate
463	Isothiocyanate
464	Isothiocyanate
465	Isothiocyanate
466	Isothiocyanate
467	Isothiocyanate
468	Isothiocyanate
469	SN2 halo-activation
470	SN2 halo-activation
471	SN2 halo-activation
472	SN2 halo-activation
473	SN2 halo-activation
474	SN2 halo-activation
475	SN2 halo-activation
476	SN2 halo-activation
477	SN2 halo-activation
478	SN2 halo-activation
479	SN2 halo-activation
480	SN2 halo-activation
481	SN2 halo-activation
482	SN2 halo-activation
483	SN2 halo-activation
484	SN2 halo-activation
485	SN2 halo-activation
486	SN2 halo-activation
487	SN2 halo-activation
488	SN2 halo-activation
489	SN2 halo-activation
490	SN2 halo-activation
491	SN2 halo-activation
492	SN2 halo-activation
493	SN2 halo-activation
494	SN2 halo-activation
495	SN2 halo-activation
496	SN2 halo-activation
497	SN2 halo-activation
498	SN2 halo-activation
499	SN2 halo-activation
500	SN2 halo-activation
