Compound Id, Biotransformation half-lives in fish
1302, 0.220825461
1303, 0.390825461
1304, 1.520825461
1305, -0.524174539
1306, 0.010825461
1307, 0.110825461
1308, 0.730825461
1309, -0.149174539
1310, 0.010825461
1311, -0.669174539
1312, -0.839174539
1313, -0.054174539
1314, -0.749174539
1315, -1.254174539
1316, 0.230825461
1317, 1.160825461
1318, -0.059174539
1319, 1.275825461
1320, 2.110825461
1321, 2.070825461
1322, 0.540825461
1323, 0.755825461
1324, -1.399174539
1325, 0.130825461
1326, 0.290825461
1327, -0.379174539
1328, -0.029174539
1329, -1.149174539
1330, 0.890825461
1331, 0.720825461
1332, 1.358325461
1333, -0.469174539
1334, 0.855825461
1335, 0.720825461
1336, 0.700825461
1337, 1.070825461
1338, 1.810825461
1339, 0.195825461
1340, -0.899174539
1341, 1.740825461
1342, -0.009174539
1343, 1.865825461
1344, 2.050825461
1345, -0.659174539
1346, 0.590825461
1347, 0.760825461
1348, -1.239174539
1349, -0.219174539
1350, 2.230825461
1351, 0.170825461
1352, 0.064158761
1353, 0.980825461
1354, 0.100825461
1355, 2.010825461
1356, 0.510825461
1357, 0.100825461
1358, 0.840825461
1359, 0.030825461
1360, 0.290825461
1361, 2.740825461
1362, -0.279174539
1363, 0.315825461
1364, 0.560825461
1365, 0.305825461
1366, 0.723325461
1367, 0.445825461
1368, -1.309174539
1369, -0.519174539
1370, 0.200825461
1371, 0.840825461
1372, -0.209174539
1373, 0.590825461
1374, -1.374174539
1375, 1.470825461
1376, 1.840825461
1377, -0.564174539
1378, 0.640825461
1379, 2.150825461
1380, 1.910825461
1381, -0.429174539
1382, 0.240825461
1383, -1.035174539
1384, 1.020825461
1385, 0.750825461
1386, 0.645825461
1387, -0.189174539
1388, 0.730825461
1389, 0.860825461
1390, 0.170825461
1391, 0.710825461
1392, 1.050825461
1393, 1.300825461
1394, 0.930825461
1395, 1.200825461
1396, -1.009174539
1397, 0.970825461
1398, 0.320825461
1399, 0.570825461
1400, -0.269174539
1401, 1.550825461
1402, 0.450825461
1403, 2.280825461
1404, 0.160825461
1405, 1.240825461
1406, 2.040825461
1407, 0.130825461
1408, 0.330825461
1409, -0.139174539
1410, -1.209174539
1411, 2.189158761
1412, 1.800825461
1413, 2.074158761
1414, 1.352948384
1415, 2.059158761
1416, -0.069174539
1417, 2.554158761
1418, 0.450825461
1419, 0.750825461
1420, 2.375825461
1421, 1.105825461
1422, 2.588825461
1423, 2.344158761
1424, 3
1425, 1.745825461
1426, 2.210825461
1427, -0.199174539
1428, 2.620825461
1429, 2.73417137
1430, 2.634158761
1431, 2.239618512
1432, 2.728825461
1433, 2.335825461
1434, 2.465111161
1435, 2.497492161
1436, 2.437492161
1437, 2.160825461
1438, 1.998825461
1439, 0.730825461
1440, 1.270825461
1441, 2.320825461
1442, 2.464158761
1443, 2.675825461
1444, 1.560825461
1445, 0.325825461
1446, 0.850825461
1447, 2.328825461
1448, 2.465825461
1449, 2.180825461
1450, 2.547492161
1451, 1.275825461
1452, 2.180825461
1453, 0.880825461
1454, 2.397492161
1455, 2.350825461
1456, 2.450825461
1457, 2.590825461
1458, 2.500825461
1459, 2.517492161
1460, 2.434158761
1461, 2.510825461
1462, 2.474158761
1463, 2.630825461
1464, 2.536825461
1465, 2.657492161
1466, 2.324158761
1467, 0.970825461
1468, 0.510825461
1469, 1.395825461
1470, -0.109174539
1471, 0.110825461
1472, 1.360825461
1473, 0.900825461
1474, 1.000825461
1475, 2.400825461
1476, 1.210825461
1477, 1.720825461
1478, 1.250825461
1479, 2.760825461
1480, 2.660825461
1481, -1.129174539
1482, 2.020825461
1483, 2.444158761
1484, 2.507492161
1485, 0.040825461
1486, 1.120825461
1487, 1.930825461
1488, 0.370825461
1489, 0.975825461
1490, 1.140825461
1491, -0.609174539
1492, 0.700825461
1493, 0.900825461
1494, 2.470825461
1495, 2.613325461
1496, 2.234158761
1497, -0.609174539
1498, -0.459174539
1499, -0.469174539
1500, 0.585825461
1501, 0.080825461
1502, -1.079174539
1503, 2.384158761
1504, 2.795220213
1505, 1.690825461
1506, 1.750825461
1507, 1.980825461
1508, 0.130825461
1509, 2.470825461
1510, 2.427492161
1511, 2.364158761
1512, 1.84010757
1513, 2.574158761
1514, 2.610825461
1515, 2.650825461
1516, 0.580825461
1517, 0.430825461
1518, 1.970825461
1519, 0.030825461
1520, -0.599174539
1521, -0.609174539
1522, 1.690825461
1523, 2.010825461
1524, 2.760825461
1525, 1.050825461
1526, -0.214174539
1527, 0.920825461
1528, 0.160825461
1529, 0.450825461
1530, 1.554046583
1531, 0.055825461
1532, -0.779174539
1533, -1.319174539
1534, 0.490825461
1535, 0.340825461
1536, 0.450825461
1537, 0.410825461
1538, 0.240825461
1539, 0.907492161
1540, 0.010825461
1541, 0.800825461
1542, 0.630825461
1543, 1.260825461
1544, 1.020825461
1545, 0.680825461
1546, 0.570825461
