Compound Id, The soil sorption partition coefficient
850, 3.3
851, 2.63
852, 3.04
853, 1.95
854, 1.46
855, 1.32
856, 1.52
857, 2.34
858, 1.84
859, 3.61
860, 2.18
861, 2.69
862, 2.85
863, 3.5
864, 1.77
865, 4.81
866, 3.58
867, 4.66
868, 4.18
869, 2.59
870, 3.58
871, 4.23
872, 2.85
873, 2.07
874, 1.49
875, 3.61
876, 3.76
877, 3.32
878, 2.03
879, 4.67
880, 2.06
881, 3.07
882, 1.29
883, 4.02
884, 2.8
885, 1.71
886, 2.54
887, 2.38
888, 1.56
889, 3.61
890, 3.63
891, 2.26
892, 2.64
893, 1.18
894, 0.56
895, 0.71
896, 2.28
897, 4
898, 2.07
899, 2.2
900, 1.51
901, 3.65
902, 3.9
903, 3.67
904, 4.03
905, 3.2
906, 3.07
907, 2.77
908, 2.26
909, 2.42
910, 2.74
911, 2.38
912, 2.62
913, 1.73
914, 2.21
915, 2.09
916, 2.01
917, 3.53
918, 2.47
919, 2.9
920, 0.53
921, 2.32
922, 4.3
923, 3.52
924, 3.61
925, 3.12
926, 2.48
927, 3.51
928, 2.34
929, 2.95
930, 2
931, 1.94
932, 5.89
933, 2.76
934, 2.98
935, 3.6
936, 2.53
937, 6
938, 1.71
939, 1.8
940, 3.36
941, 3
942, 5.21
943, 2.9
944, 3.11
945, 2.6
946, 3.92
947, 3.32
948, 2.76
949, 2.09
950, 2.1
951, 3.18
952, 3.84
953, 2.04
954, 5
955, 3.7
956, 3.94
957, 2.46
958, 2.59
959, 2.66
960, 1.71
961, 1.52
962, 2.15
963, 3.07
964, 1.16
965, 2.92
966, 2.25
967, 2.41
968, 1.7
969, 1.93
970, 2.06
971, 3.52
972, 1.69
973, 4.16
974, 0
975, 2.26
976, 4.62
977, 1.95
978, 3.48
979, 1.51
980, 1.4
981, 2.74
982, 2.85
983, 2
984, 1.97
985, 1.41
986, 0.7
987, 2.18
988, 2.35
989, 3.92
990, 2.82
991, 1.97
992, 1.73
993, 1.93
994, 0.85
995, 1.82
996, 2.7
997, 3.24
998, 3.38
999, 2.17
1000, 2.66
1001, 2.02
1002, 5.01
1003, 2.28
1004, 1.75
1005, 2.74
1006, 2.8
1007, 2.47
1008, 2.47
1009, 3.08
1010, 3.51
1011, 1.72
1012, 3.45
1013, 1.84
1014, 1.93
1015, 1.85
1016, 4.24
1017, 2.1
1018, 2.52
1019, 2.75
1020, 1
1021, 3.08
1022, 3.25
1023, 2.31
1024, 3.44
1025, 1.52
1026, 2
1027, 2.76
1028, 2.4
1029, 2.05
1030, 2.78
1031, 3.94
1032, 4.01
1033, 2.8
1034, 3.28
1035, 1.72
1036, 3.27
1037, 3.63
1038, 2.6
1039, 0.39
1040, 1.57
1041, 1.64
1042, 2.7
1043, 4.85
1044, 3.55
1045, 3.95
1046, 1.83
1047, 2.11
1048, 2.22
1049, 5.87
1050, 3.83
1051, 4.25
1052, 3.73
1053, 4.82
1054, 4.87
1055, 1.73
1056, 2.17
1057, 4.23
1058, 4.84
1059, 4.63
1060, 4.68
1061, 5.74
1062, 3.11
1063, 2.96
1064, 3.03
1065, 2.17
1066, 3.66
1067, 4.85
1068, 1.73
1069, 4.2
1070, 4.37
1071, 2.02
1072, 4.64
1073, 4
1074, 5.95
1075, 5.77
1076, 3.8
1077, 0.48
1078, 2.47
1079, 2.18
1080, 1.63
1081, 3.75
1082, 2.49
1083, 2.75
1084, 2.55
1085, 4
1086, 2.61
1087, 2.3
1088, 3.72
1089, 3.98
1090, 5
1091, 2.7
1092, 5
1093, 2.76
1094, 5
1095, 2
1096, 2
1097, 1.8
1098, 2.74
1099, 2.53
1100, 2.56
1101, 1.75
1102, 2.37
1103, 3.79
1104, 3
1105, 2
1106, 2.4
1107, 5.35
1108, 2.6
1109, 2.04
1110, 5.26
