Compound Id	AutocorrelationMass [ATSm3]
13862559	23.710
5593	14.025
123	11.996
11773	12.332
13846663	16.664
10451	67.854
7852	8.670
7872	12.771
13662	15.768
12637	11.439
376	13.877
6780	14.499
6794	13.665
21106018	16.568
72551	12.328
15427	11.166
13859497	18.435
11576	16.439
6635	43.039
21111781	12.996
11080	10.997
13835630	10.495
105291	15.377
14846	12.439
13868640	32.611
21105859	12.996
11862	17.305
8910	10.0
14227	17.568
10437210	14.661
11589	15.439
64699	41.599
8098	14.332
589165	16.919
6781	16.435
12933	24.836
13853758	13.332
9893	13.664
6621	16.771
558878	11.332
8855	14.859
10980	25.744
206561	16.435
15855	15.664
13835126	17.568
5882	19.210
13864445	23.710
21170967	16.435
12478	11.830
21105870	11.332
13229	13.218
13849989	11.332
24535	14.997
18019	60.504
73390	15.602
6674	25.744
11591	15.771
67360	9.166
553578	11.332
10437335	15.795
14593	14.989
10432	29.796
7745	10.103
21159695	12.332
7891	10.0
10972	25.744
11557190	51.279
8183	19.210
12219	13.653
880	13.384
1446	17.767
2923	20.973
6775	12.332
12954	11.218
8576	9.166
21105848	15.660
68109	59.609
7882	9.332
120548	14.329
10181339	14.439
6788	16.0
13853943	15.103
11672	12.332
57726	21.996
10892	16.103
6898	16.328
1905	26.896
21106470	14.997
6950	14.357
13860434	15.660
12972	11.664
21106148	16.435
10664	15.435
7890	10.0
71876	14.771
7176	16.103
15965	15.771
67653	11.903
13487	13.0
9088156	37.536
7871	11.664
68224	63.636
18	17.767
4511751	28.486
10181338	16.103
10756390	63.636
84971	13.657
388391	13.657
13871489	20.870
11629	15.660
2241	12.052
21106519	13.332
11460	13.052
7189	14.328
8521	60.173
13876103	16.328
11510	35.275
14349	9.670
7211	19.542
2937774	17.767
11584	26.744
21105998	15.664
6736	16.0
4963	14.716
6789	19.903
6737	19.903
59482	14.664
81814	27.389
14021447	64.849
71	17.767
80863	17.831
955	15.435
7145	15.103
917	17.831
3350	17.767
10616	19.210
7172	19.542
10257	19.542
953	14.771
1151	20.903
21106571	29.614
6827	16.0
11422	15.052
21106163	29.614
10025	14.877
13835344	15.328
15853	10.166
21106140	17.328
10801109	28.563
86394	21.570
21106145	18.435
62310	18.435
13835706	22.644
7092	20.051
1448	22.206
8182	18.877
21106518	13.997
10437239	16.543
13848793	18.103
68676	25.246
16180	11.0
7600	15.328
13846959	15.103
6773	17.772
7340	12.499
13837329	20.877
21106581	18.435
16475	17.435
7146	17.767
185	17.437
6828	16.0
11488212	16.771
6646	13.657
10801842	15.085
16387	25.669
11586	20.210
62472	20.210
16388	29.444
21108576	13.997
6480	15.499
23083	18.878
10628694	17.464
7892	10.332
71437	37.958
5644	56.817
10909	18.0
10918	18.0
8935	15.997
4510206	16.329
7757	14.771
13846749	17.435
2298886	33.5
6550	19.103
8341	16.664
7208	18.877
11882	11.0
4611	15.439
13835351	17.772
8374	16.771
70682	19.305
13492	14.0
13677	17.0
6739	16.664
17347	19.442
7875	14.771
11777	35.275
7310	16.546
11465	14.218
2157	20.541
8150	21.542
7302	18.328
7202	17.723
7042	21.874
6035	15.328
11776	45.916
10908	18.0
10850	18.0
556589	14.996
7299	17.0
8577	10.670
21106900	17.993
17652	21.970
5915	13.799
10106	25.380
63518	15.664
17868	16.859
6706	28.408
10851	18.0
11588	33.570
79969	17.439
6675	33.570
71193	22.721
2206	22.570
13867714	16.997
4445317	20.664
10849	18.0
11595	17.771
1906	16.048
6193	41.352
