Compound Id	AutocorrelationPolarizability [ATSp2]
3954	218.238
55205	265.369
11021	454.715
14198	813.517
29026	322.528
5976	335.920
13875258	514.067
9903	580.618
7183	596.973
21181	272.352
13839416	251.782
7851	354.840
18410	538.549
13865680	456.251
21112023	457.251
503239	428.817
4878	329.334
932	334.787
12010	397.648
63908	370.690
5830	432.028
13839308	417.311
14680	361.186
28682	381.956
14169248	337.657
63310	516.285
11671339	628.602
391428	769.827
122446	345.094
238	393.892
7239	513.6
11863	363.580
2041618	N/A
13851576	476.653
13854248	448.897
10437215	405.506
8070	505.358
370	360.682
455090	420.581
11632	321.807
14840	419.220
2656	853.236
78828	587.203
10422	357.312
20939	660.849
69914	621.557
9976	403.010
73479	468.335
924	480.070
6883	455.022
5979	771.783
577	299.678
13658	572.315
21106366	499.773
7419	527.520
14299946	511.277
331	453.542
7448	571.734
7509	405.840
12632	392.928
61001	590.725
28982	446.806
11604	449.853
62534	469.624
62408	483.777
123207	445.538
75951	376.191
13837787	406.442
13839123	475.014
59483	553.759
18724	605.691
7850	380.472
13875432	404.921
8665	391.149
13839128	473.676
13875219	402.122
456015	452.159
55084	399.388
6974	481.239
8657	393.156
13849981	574.528
26824	593.732
72793	382.103
21106014	493.498
6296	642.937
14256731	599.231
13860775	434.581
7140	494.354
13869339	436.047
13647	388.310
764	328.347
7800	411.840
8071	546.111
13835932	231.793
7809	366.298
4449	433.572
13839110	472.865
29029	382.802
21106525	481.077
7142	447.502
132	444.608
12220	419.518
20570	449.852
21106144	465.930
7190	489.118
8140	550.803
13869451	440.151
15461	732.433
76394	373.583
7518	550.205
8520	589.092
8883	849.596
6079	523.777
2931	340.520
10536	476.982
25552	532.360
13848808	517.328
10181341	461.966
10328	639.823
15846	380.192
5596	365.559
4962	418.520
13869462	513.930
11871	536.881
10265270	709.690
222538	405.015
768	537.059
2849146	397.250
8674	459.496
13869480	427.570
12635	482.748
65523	401.052
6999	645.040
2441	940.188
7662	640.478
13856352	456.216
7506	517.303
6897	512.704
8186	532.346
15431	605.911
58234	963.324
21106146	456.919
15387	412.756
8574	392.544
1015	464.854
26325090	346.795
13842573	467.698
9564	425.867
221226	429.045
8912	444.949
7848	421.991
13875441	471.988
13863774	452.610
13871718	497.846
10179239	709.690
10227261	689.148
776	552.688
906	650.175
21168813	538.517
4366810	415.366
7170	804.185
12821	396.436
13619	477.385
392	360.167
8097	671.708
299166	465.290
21106013	492.518
13869414	424.213
21111817	570.564
7511	463.897
24641	444.328
21106020	486.513
17131	572.494
10756	740.210
7984	342.820
10404	588.853
13853953	505.198
12218	451.031
21105897	576.449
13862559	647.274
5593	521.440
123	398.475
11773	467.108
13846663	685.753
10451	749.274
7852	419.552
7872	454.899
13662	388.307
12637	393.196
376	360.089
6780	616.525
6794	650.386
21106018	516.412
72551	435.079
15427	520.413
13859497	568.399
11576	606.485
6635	898.046
21111781	477.309
11080	361.918
13835630	378.283
105291	313.651
14846	469.938
13868640	622.632
21105859	476.004
11862	425.078
8910	543.160
14227	576.091
10437210	457.023
11589	569.053
64699	508.763
8098	621.799
589165	631.523
6781	487.738
12933	513.407
13853758	586.166
9893	577.928
6621	553.876
558878	528.504
8855	589.004
10980	593.587
206561	484.859
15855	713.043
13835126	567.732
5882	528.977
13864445	666.586
21170967	478.330
12478	394.208
21105870	509.003
13229	497.373
13849989	539.733
24535	614.104
18019	763.189
73390	457.154
6674	626.989
11591	518.684
67360	438.194
553578	528.504
10437335	452.933
14593	397.812
10432	615.804
7745	236.962
21159695	550.611
7891	541.046
10972	604.210
