Compound Id	MDE [MDEC-13]
120489	0.5
10197150	0.0
374462	0.0
13839575	0.0
8569	0.0
11600	1.155
5889	0.0
191367	0.0
6967	2.828
192642	3.533
1078	0.0
23101	0.0
17558	1.651
55123	0.0
68179	0.0
733	0.0
11042	2.0
21132380	2.309
9349	0.0
73412	0.0
235	0.0
7827	0.0
68156	0.0
773	0.0
17880	0.0
20119	1.0
70714	0.0
7225	0.0
7786	0.0
7224	0.0
13448	0.0
7673	0.0
10940	2.828
10939	1.414
13842993	0.0
29025	0.0
1664	0.0
7128	2.828
455420	0.0
11866	0.0
21105905	0.5
10772050	0.0
26765	0.816
7681	0.0
7837	0.0
553642	0.0
21106560	0.5
11830	0.0
7810	0.0
7815	0.0
13842001	0.0
21169510	0.333
11930	2.0
10437135	0.333
7835	0.0
19956441	0.0
78	0.0
67991	0.0
455353	0.0
13875281	1.414
2039535	0.333
13837686	0.0
7240	0.5
123993	2.449
7849	0.0
7803	0.167
11783	0.0
13839441	0.0
18219	0.0
83866	0.0
13875160	1.0
11865	0.0
11077	2.309
21106586	4.012
13835772	1.414
83850	0.0
7221	0.5
11699	0.577
7385	0.333
7391	0.333
7670	4.866
13860335	0.0
19231	0.0
29005	0.516
7443	0.0
22191	1.544
7802	0.816
7389	0.0
7241	0.0
6179	0.0
7694	0.516
24972	4.441
62489	0.5
6286	0.0
7528	2.0
11660	1.591
62230	0.0
8568	0.756
7129	2.828
69371	0.0
10784857	0.0
21105871	1.155
13839082	1.0
63889	0.0
21109330	0.0
10937	2.828
7236	0.0
1577	0.0
122090	0.0
8909	0.0
11716	0.577
12231	0.5
10384035	0.333
6270	0.0
156255	0.0
7659	4.327
11409	2.149
6402	4.112
11919	0.0
7856	0.0
13257	1.0
21106036	0.0
13840690	0.0
7765	0.0
7538	0.577
71787	0.707
441	0.0
2606	0.0
11795	0.25
6287	0.0
14692	0.0
7223	0.0
7685	0.0
123860	0.0
7672	0.0
9970	0.0
13857694	0.0
16159	1.414
7088	1.5
28969	1.155
12069	0.0
11265	4.619
13648	1.414
13876539	0.0
7533	2.942
7131	1.414
7434	0.707
13866817	0.0
6977	4.441
13854136	1.414
447	0.816
13837760	0.0
13835151	1.0
191	0.0
7234	0.5
71628	0.0
7132	1.414
11087	0.0
18801	0.0
13837988	0.0
10696	0.0
76894	0.0
12456	0.0
12445	1.755
69569	0.0
12809	0.0
7138	0.0
10236	5.181
13863618	0.0
4446445	0.0
3954	0.0
55205	0.894
11021	1.0
14198	4.112
29026	0.0
5976	0.0
13875258	1.0
9903	0.0
7183	3.868
21181	0.707
13839416	0.0
7851	0.0
18410	0.2
13865680	0.816
21112023	1.392
503239	1.0
4878	0.0
932	0.0
12010	0.0
63908	0.5
5830	0.0
13839308	0.0
14680	0.0
28682	1.414
14169248	0.816
63310	1.682
11671339	0.0
391428	3.688
122446	2.0
238	0.0
7239	0.5
11863	0.0
2041618	0.0
13851576	0.0
13854248	0.0
10437215	0.25
8070	1.651
370	0.143
455090	1.0
11632	0.0
14840	0.0
2656	1.191
78828	0.0
10422	2.335
20939	3.868
69914	0.0
9976	0.5
73479	1.651
924	1.0
6883	0.816
5979	0.0
577	0.0
13658	7.229
21106366	1.155
7419	0.25
14299946	0.0
331	0.0
7448	1.265
7509	0.471
12632	0.756
61001	1.5
28982	0.632
11604	0.707
62534	1.0
62408	1.414
123207	0.0
75951	1.373
13837787	0.0
13839123	2.942
59483	0.0
18724	1.5
7850	0.0
13875432	0.0
8665	0.632
13839128	2.804
13875219	0.0
456015	0.5
55084	0.447
6974	0.0
8657	0.707
