Compound Id	XLogP
10849	6.584
11595	1.632
1906	1.079
6193	1.248
67270	1.414
16177	5.405
6033	1.414
6478	6.244
15517	1.366
10841	6.584
13574	-1.052
8319	3.642
7964	0.890
15789876	-1.275
21105699	1.968
13622	7.940
10829	6.584
11507	4.098
7585	0.292
6790	3.853
15495	3.381
13860	1.345
10831	6.584
56515	0.769
20124	3.462
744	-1.192
10343	2.577
218253	6.122
454319	18.918
76154	1.72
33084	1.371
67414	5.568
220998	3.563
15867	1.641
7901	5.403
14627	2.267
21106570	3.276
10449	6.840
10813	6.584
199342	6.362
15755	4.653
15702	2.938
62484	2.988
4522053	-0.488
8273	3.462
11883	8.306
8262	3.462
642951	2.337
15747	8.368
15524	4.020
13837303	3.18
305	-2.247
230	-0.178
14995	4.442
10733068	7.490
256210	2.304
33421	6.007
67470	4.231
33416	-0.950
14994	4.02
15756	4.231
12938	1.370
6588	4.559
15475	4.653
7279	2.035
23886	5.374
14472	3.014
15476	4.231
42330	1.002
2991	5.677
12682	6.907
4762	3.515
361	0.002
6592	7.029
11884	5.974
15488	6.333
15478	4.864
21106573	3.067
11003	4.910
15489	6.333
15861	6.907
7155	1.807
64155	1.953
2627	3.192
24142	8.509
8073	2.569
44152	0.636
26325080	8.528
8916	3.501
4267	2.266
33455	6.007
15619	6.907
96749	-3.325
18336	2.218
5236	-0.767
440	-3.896
2973	0.899
3173	2.627
2185	6.1
1361549	6.337
7915	5.972
30600	5.374
1438	3.135
15477	4.442
10437836	1.968
8120	2.452
26010	6.007
7152	1.845
13846658	5.274
8470	1.920
3544	5.342
15621	6.907
33934	5.163
7913	6.143
7994	1.605
2468	2.483
6840	4.632
12133	0.61
11632871	-0.592
34863	5.259
63968	3.869
61739	2.113
68437	6.907
66895	6.029
26260	6.907
33932	6.007
33933	6.218
5027	1.075
192748	2.128
8282	2.535
5004	2.282
34188	6.103
13114	1.529
18280	4.194
12024	3.321
2068	-0.435
6835	5.207
78998	7.112
72056	3.638
4626	3.809
2169	1.535
23115	2.216
6492	1.902
4103087	1.864
9824	4.845
15473	5.374
34664	5.259
9053802	6.48
37904	6.103
13856959	5.895
12586	4.593
5368	4.845
707	3.834
34665	5.259
17098	5.374
17099	6.218
84188	4.538
15620	6.907
8111	7.814
3210	4.346
49469	2.457
967	2.313
158870	4.116
2915	4.605
83330	4.390
157093	4.116
4768	1.995
34864	5.259
14993	2.832
8329	5.328
970	7.814
7917	6.541
136000	4.116
34866	5.259
83374	4.116
2297538	1.077
20848	1.952
457145	4.116
8067	3.372
37918	6.103
457140	4.749
34865	5.048
8241	3.896
14620	1.07
6593	4.078
21782117	3.005
135983	4.116
10540	9.444
25472	2.032
25605	6.103
6464	3.163
25677	5.144
136001	4.116
136003	4.327
34666	5.259
82753	3.861
10438331	3.896
2121	2.298
1278	2.838
4457	-0.659
62265	1.157
11974	4.532
31991	3.507
481441	7.780
34867	5.259
84235	4.116
13087	5.312
2079	2.079
2424	-0.625
5256	1.548
7315	5.498
15474	5.374
37915	5.259
40191	5.355
29348	1.231
26011	5.048
28287	1.122
62632	7.681
30932	4.103
22172	1.893
5899	4.089
2297441	2.063
37905	6.103
3987	3.480
33617	1.487
2283071	7.230
34830	3.135
16568	0.775
108106	7.424
69223	4.269
35581	5.144
23912	4.501
13302	1.383
4932499	7.230
3006	4.167
56793	5.355
13090	3.408
34868	5.259
10243	2.246
13850879	-0.015
56791	5.144
14674	0.056
15729	1.583
8060	4.939
9040	1.497
34870	5.259
30881	1.428
17587	2.009
34869	5.048
457144	4.327
5807	-2.120
9026	2.375
3008	2.016
4575	2.079
135925	4.116
4759	1.530
82777	5.355
34871	5.259
454495	5.144
6688	3.210
36319	2.666
533188	5.355
34872	5.259
10169	11.276
11891	7.110
56792	5.144
26325081	9.668
8058	4.574
20493	3.37
36278	2.873
35580	5.144
82755	4.212
82842	2.238
15417	2.804
46262	5.355
136002	4.327
28941	3.592
56123	4.476
5342	3.824
56784	6.314
16182	5.144
56785	5.144
56790	6.199
26563	-1.140
13303	1.346
82765	5.24
82767	4.108
12705	1.806
14826	4.158
30816	1.955
16481	1.780
97173	4.212
102720	4.212
7051	4.631
21924	5.048
102721	4.212
33458	6.199
82818	5.355
3548	2.848
35579	5.144
38839	2.330
27749	1.476
34667	5.259
56795	5.144
56788	5.144
1994	3.941
8939	3.881
16482	2.588
36972	5.355
21106365	3.911
4760	2.266
34873	5.259
7967	1.556
559096	2.120
35582	5.144
56771	5.240
13520	3.858
56774	5.24
9873	4.256
3463	3.550
37744	5.451
12874	2.223
46893	5.144
82807	5.355
35081	5.24
56769	5.451
35584	5.144
3864	2.007
13300034	4.305
10292746	3.005
33829	3.731
102833	4.212
47912	5.144
13844817	4.326
82817	5.355
82762	4.212
2839	2.296
6842	4.438
82754	4.212
157094	4.212
3229	4.072
5237	2.501
82840	3.054
34189	5.144
16736498	0.839
7968	1.285
29117	4.216
33304	5.144
56794	5.144
13837319	5.034
457138	4.212
39406	5.24
56780	5.24
27793	4.634
106355	4.212
6767	4.603
34847	5.24
102897	4.212
2581	7.679
6417	4.091
103011	4.212
82712	4.212
56781	5.24
45444	5.24
102947	4.212
102933	4.212
33457	6.199
8287	2.268
33280	5.144
36029	2.603
46263	5.355
56777	5.240
33666	5.336
56787	5.355
16736486	4.355
102801	4.212
82873	5.360
8288	3.802
4025	3.695
17339596	-0.146
33456	5.144
2629	4.216
33386	5.144
2003	4.156
6514	4.966
36973	5.24
97172	4.212
36974	5.24
82819	5.451
15572	4.219
102856	4.212
13115	1.774
8800	8.336
29153	8.336
35583	5.144
82820	5.24
45445	5.24
4886542	3.508
103066	4.212
46894	5.24
32873	3.404
35563	2.605
17684	5.340
44885	2.980
46710	2.384
33326	1.986
4745	2.023
26325088	4.148
56772	5.24
34848	5.24
56760	5.336
84346	5.336
26325085	4.901
28552	0.781
12364	4.181
56755	5.336
82796	3.991
35265	5.680
56789	5.144
4599	2.771
24638	0.9
56768	5.24
13328	3.032
4437893	7.133
6371	4.939
56778	5.24
3277	5.507
4526760	4.210
21568	0.092
96948	4.308
16415	6.295
193215	4.156
26325087	4.570
37779	5.451
56779	5.24
11274	6.224
35585	5.24
84344	5.451
56786	5.355
82797	7.487
5363	4.009
541032	2.601
31129	3.433
37749	2.944
56776	5.24
46264	5.355
83413	5.336
43354	5.240
457139	4.423
21429023	4.355
97055	4.308
4927801	9.280
34859	5.336
7260	3.318
19939	3.661
56756	5.336
4719431	3.46
102798	4.212
36976	5.336
45446	5.24
56767	5.336
8093	4.905
29631	4.756
34850	5.24
14348	8.248
559213	4.181
6453	3.748
84345	5.24
56766	5.336
102722	4.308
33281	5.144
1262	3.750
36975	5.240
154865	4.308
102741	4.308
26325082	10.808
32555	-0.861
82740	5.547
215802	6.726
30459	5.355
23977588	0.839
4333	4.372
18941	2.624
97198	4.308
37019	5.336
