Compound Id	ChiPath [VP-0]
13866817	5.577
6977	6.232
13854136	4.887
447	5.165
13837760	4.204
13835151	4.887
191	5.539
7234	4.887
71628	6.223
7132	5.295
11087	5.922
18801	5.267
13837988	5.577
10696	15.633
76894	N/A
12456	7.027
12445	5.908
69569	13.584
12809	7.234
7138	4.502
10236	6.232
13863618	4.742
4446445	5.969
3954	5.290
55205	5.530
11021	5.464
14198	6.983
29026	6.190
5976	4.432
13875258	6.273
9903	5.431
7183	6.887
21181	5.530
13839416	5.137
7851	6.527
18410	7.234
13865680	5.464
21112023	5.596
503239	5.574
4878	4.204
932	6.397
12010	7.071
63908	4.925
5830	5.248
13839308	5.041
14680	6.584
28682	5.035
14169248	6.054
63310	5.866
11671339	12.578
391428	7.146
122446	5.908
238	4.742
7239	5.611
11863	7.207
2041618	N/A
13851576	6.058
13854248	5.021
10437215	5.949
8070	5.665
370	6.598
455090	5.574
11632	6.131
14840	7.657
2656	7.814
78828	13.885
10422	6.808
20939	6.983
69914	12.578
9976	7.151
73479	5.535
924	5.834
6883	5.703
5979	7.803
577	4.140
13658	6.894
21106366	6.002
7419	6.508
14299946	15.080
331	5.112
7448	6.724
7509	7.559
12632	7.151
61001	6.852
28982	5.464
11604	5.464
62534	5.665
62408	5.665
123207	5.480
75951	6.645
13837787	5.020
13839123	5.679
59483	12.0
18724	6.757
7850	7.084
13875432	4.891
8665	5.165
13839128	5.679
13875219	4.891
456015	5.351
55084	7.559
6974	5.721
8657	5.165
13849981	7.723
26824	17.225
72793	6.645
21106014	5.429
6296	6.9
14256731	8.967
13860775	5.295
7140	5.665
13869339	5.021
13647	5.228
764	4.204
7800	7.559
8071	5.799
13835932	4.358
7809	7.463
4449	5.138
13839110	5.679
29029	6.935
21106525	5.594
7142	5.112
132	5.112
12220	8.065
20570	5.704
21106144	5.425
7190	5.665
8140	5.947
13869451	5.021
15461	7.594
76394	4.464
7518	6.407
8520	17.225
8883	6.552
6079	5.799
2931	7.649
10536	7.467
25552	6.463
13848808	6.073
10181341	5.449
10328	6.292
15846	6.897
5596	4.334
4962	4.911
13869462	5.809
11871	6.948
10265270	6.812
222538	5.443
768	5.010
