Compound Id	ChiPath [SP-2]
21106015	1.0
7727	1.354
558928	1.0
6093	0.707
693	0.707
11110	1.707
6311	1.802
8896	1.768
5977	1.732
7728	1.354
2340753	2.914
6340	2.488
9253	3.521
7626	3.023
7604	2.183
7553	1.0
12209	1.707
394562	1.354
10325184	2.914
83734	3.521
6315	1.802
7627	3.023
7717	1.354
387	2.488
60524	1.802
11109	1.707
63631	2.488
6100	0.707
13866746	4.768
7010	1.922
14998	3.311
12446	2.183
7560	1.0
258	1.354
10053	3.0
124968	2.743
7716	1.354
7552	1.0
7737	1.768
10571	2.630
17619	N/A
11809	1.354
13836713	1.0
13836589	1.707
11833	1.707
13835235	1.0
7767	1.707
7030	2.390
13836021	1.354
10124	2.488
59573	2.871
10777	2.488
6341	2.488
10018	2.121
558020	2.743
12626	1.707
13836591	1.707
11996	3.311
6165	2.914
7714	1.354
13862665	2.536
6042	3.0
7630	3.023
259	2.183
7607	2.183
5894	1.802
21108550	3.365
7772	1.707
21111806	3.377
236	2.121
9614	2.743
62808	2.743
10492	2.536
7736	1.768
11055	3.311
10446	4.159
7463	2.302
7619	3.023
7016	1.922
13871721	1.354
7739	1.768
7706	2.536
7028	2.390
5730	3.0
6316	1.802
8903	2.121
24590970	3.521
21011	2.183
9325	3.239
415	1.354
55090	2.914
10947	1.922
10772140	1.802
28994	1.0
13839553	1.354
3973	3.497
71312	3.521
3951	2.488
592	2.488
8904	2.121
8899	1.768
60329	1.707
6406	2.630
2916	0.707
2293678	3.521
6119	1.732
29015	2.121
11680	2.302
7624	3.023
7615	2.183
7090	4.701
6122	1.732
7024	2.390
55188	2.871
11117	2.121
13835224	1.802
6176	3.521
62249	3.675
13803	2.871
10755	2.871
9377	2.061
15077490	3.521
7823	2.061
11125	2.061
6307	1.802
7787	2.121
6334	1.802
13255	3.023
109838	2.061
11849	2.061
173	1.732
66656	N/A
13837280	1.802
11845	2.061
11094	2.536
13854944	2.183
29000	2.183
8398	1.922
10791	2.630
8733	1.354
10786	2.630
8554	2.121
92731	4.131
7788	2.121
9233	1.354
1020	2.121
11992	3.143
6187	4.5
8158	2.091
11023	2.302
11731	1.0
11207996	3.143
1609	1.707
7721	1.354
1095	1.768
11121	2.061
10498	1.354
7065	3.010
7791	2.121
109705	9.896
7636	3.023
7621	3.023
11551	2.091
13835836	2.683
7711	1.354
8543	1.354
6040	1.707
10445	4.159
11351244	3.122
7770	1.707
23150	5.298
12161	2.914
13874867	3.143
31029	1.0
4444456	1.354
7769	1.707
18607	1.354
10001	3.023
7747	3.365
10788	2.630
23621376	1.707
5993	1.802
8560	2.061
555074	2.061
10437074	2.743
13861343	3.521
7705	2.536
8141	2.390
10512	1.707
11180	3.521
7701	2.536
62589	2.743
7686	2.743
5439	2.183
11056	3.311
7026	2.390
66675	4.5
2005981	1.732
7622	3.023
7684	2.743
8900	1.768
11025	2.302
7475	2.683
59674	1.707
21171407	1.0
11095	2.536
13837537	2.121
10614293	4.159
6326	1.802
56117	3.664
7466	2.302
29036	1.732
7761	2.890
21168808	2.390
11104	3.365
16778	2.061
13835376	2.414
127750	2.414
10790	2.630
2018460	3.675
68503	2.914
13863629	2.559
7674	2.743
1143	1.732
1108	2.743
7029	2.390
29001	3.023
11788	2.743
11732	3.311
7688	2.743
7515	2.656
11794	2.536
13836520	2.939
11678	2.302
2038738	2.912
8562	2.061
29012	2.890
21106535	1.922
13875283	3.365
13867413	2.302
13837702	1.707
5949	2.061
71089	2.743
7551	1.0
11706	2.656
66996	2.743
61487	2.914
10797	3.347
26325086	4.366
7478	2.683
11799	2.536
13839199	2.743
13835459	2.121
11793	2.536
10534	2.475
9326	3.239
63863	5.298
659	1.732
7459	2.302
10787	2.630
12228	N/A
18688	4.056
10795	3.347
55130	3.523
11086	2.743
11841	3.719
12012	2.414
4489	3.365
48024	2.743
11024	2.302
512621	N/A
66655	5.255
21106032	1.707
6330	1.802
11035	2.656
13439	5.298
7021	1.922
7018	1.922
120464	2.871
11864	2.414
4444608	2.061
10948	1.922
11761	3.023
12229	2.743
24099	1.707
22453	3.151
12499	5.155
7833	2.414
7657	3.523
7013	1.922
13837281	2.488
5708	2.091
7703	2.536
4512642	2.414
4516601	2.414
11244	2.488
4516599	2.414
11846	2.061
7812	2.061
10652594	N/A
7766	1.707
844	3.023
13816	1.922
19953955	2.061
7776	1.707
1141	3.377
11857	2.475
66021	2.743
10497	1.354
70715	2.743
21106520	2.743
66809	2.912
10452	7.023
10433	3.485
29107	2.488
10265264	3.365
13874733	2.743
11911	2.914
7811	2.061
13836399	2.414
7676	2.743
7064	3.010
349	2.414
