Compound Id	APol
28986	22.457
10526	21.408
17443	15.803
68832	18.832
21800	24.749
10179173	24.749
81815	10.191
29016	23.259
7003	20.592
59447	19.002
13839109	20.968
13865426	19.634
7678	19.364
13842613	19.421
71430	20.968
7760	22.457
971	15.363
10420	23.259
11695	18.839
12643	18.030
7219	20.748
11784	14.747
7482	23.259
13838404	11.577
7679	18.030
15443	21.124
11434292	44.733
65936	14.1
13835209	15.312
7677	20.328
6342	13.574
15438	24.749
1348	13.241
11216	23.791
68328	37.644
4517338	14.750
11194	23.791
11819	23.791
13402	29.176
20843	18.094
55091	13.296
10487	20.075
15954	23.791
11045	23.259
11210	23.791
7521	20.748
7641	20.748
11543	23.791
13638	23.422
11752	14.943
7242	19.421
11843	23.259
7530	22.095
15765	24.749
10101	18.119
16791	23.415
11029	23.791
9633	25.972
28992	18.094
18717	23.791
6106	13.794
99440	23.791
7838	22.457
120621	18.037
9581	18.347
15413	32.108
7710	15.381
7536	23.259
7689	14.747
10710415	19.634
14751	24.749
7073	26.353
24533	18.094
7238	18.456
13835293	18.406
13866593	20.335
13875196	18.347
120489	15.803
10197150	12.915
374462	15.908
13839575	22.301
8569	26.884
11600	16.165
5889	16.328
191367	18.839
6967	20.748
192642	18.037
1078	14.249
23101	47.827
17558	29.176
55123	23.259
68179	22.890
733	13.020
11042	19.421
21132380	19.421
9349	16.218
73412	17.604
235	17.123
7827	22.795
68156	19.370
773	10.147
17880	26.509
20119	18.037
70714	14.290
7225	15.427
7786	19.508
7224	16.754
13448	32.269
7673	16.944
10940	19.421
10939	21.124
13842993	19.050
29025	27.842
1664	15.001
7128	23.842
455420	26.884
11866	22.088
21105905	19.421
10772050	12.331
26765	18.037
7681	17.461
7837	23.791
553642	23.415
21106560	19.421
11830	21.485
7810	22.278
7815	22.795
13842001	22.464
21169510	18.518
11930	19.804
10437135	18.896
7835	24.755
19956441	19.804
78	15.427
67991	30.964
455353	24.593
13875281	19.168
2039535	18.896
13837686	16.876
7240	18.088
123993	26.884
7849	29.176
7803	23.259
11783	15.617
13839441	18.406
18219	16.221
83866	20.166
13875160	19.168
11865	24.502
11077	19.421
21106586	22.728
13835772	18.456
83850	20.166
7221	18.088
11699	21.932
7385	23.842
7391	21.550
7670	28.644
