Compound Id	ALOGP [ALogP]
8186	0.388
15431	1.596
58234	0.943
21106146	1.302
15387	-2.703
8574	-2.413
1015	-0.420
26325090	-1.446
13842573	0.429
9564	-0.279
221226	-0.193
8912	-0.524
7848	-0.776
13875441	0.429
13863774	1.302
13871718	-0.674
10179239	-0.742
10227261	-0.827
776	-0.420
906	0.0
21168813	0.388
4366810	0.565
7170	1.146
12821	-0.426
13619	-2.489
392	-1.210
8097	-0.451
299166	-0.646
21106013	1.404
13869414	-0.802
21111817	0.696
7511	-1.092
24641	-0.897
21106020	1.404
17131	1.363
10756	1.122
7984	-2.165
10404	-0.750
13853953	1.404
12218	-1.896
21105897	-0.199
13862559	2.233
5593	-0.420
123	-0.653
11773	0.069
13846663	1.096
10451	5.060
7852	-1.154
7872	-1.746
13662	0.268
12637	-2.847
376	-1.274
6780	0.0
6794	0.719
21106018	0.926
72551	-1.261
15427	-0.964
13859497	-0.495
11576	1.044
6635	3.634
21111781	-0.244
11080	-1.210
13835630	-1.298
105291	0.776
14846	-1.631
13868640	1.778
21105859	-0.501
11862	0.649
8910	-2.880
14227	0.490
10437210	-1.233
11589	0.067
64699	0.656
8098	0.0
589165	0.271
6781	0.608
12933	0.564
13853758	-0.177
9893	-0.466
6621	-0.080
558878	2.489
8855	0.0
10980	0.649
206561	-0.381
15855	1.595
13835126	0.490
5882	0.420
13864445	2.233
21170967	0.608
12478	-0.426
21105870	0.019
13229	1.055
13849989	2.340
24535	1.075
18019	9.519
73390	0.262
6674	0.649
11591	-0.432
67360	-1.895
553578	2.489
10437335	0.262
14593	-0.587
10432	0.960
7745	-1.2
21159695	-0.924
7891	-1.290
10972	0.649
11557190	6.352
8183	0.420
12219	-1.064
880	-0.625
1446	-1.160
2923	1.523
6775	0.069
12954	-1.140
8576	-2.991
21105848	-0.705
68109	5.269
7882	-2.701
120548	-0.174
10181339	-0.143
6788	0.642
13853943	-0.090
11672	0.069
57726	-1.289
10892	-0.292
6898	-0.483
1905	0.007
21106470	0.0
6950	0.0
13860434	-0.705
12972	-1.820
21106148	0.608
10664	0.2
7890	-2.777
71876	-0.314
7176	-0.449
15965	-0.316
67653	-0.216
13487	-1.038
9088156	3.792
7871	-2.184
68224	5.948
18	-1.160
4511751	0.471
10181338	-0.292
10756390	5.948
84971	-2.430
388391	-2.430
13871489	-0.712
11629	-0.705
2241	-0.635
21106519	-1.212
11460	-0.533
7189	-0.714
8521	7.19
13876103	0.517
11510	1.317
