Compound Id	E
13835932	0.62
65750	0.62
15461	0.62
11830	0.621
6122	0.622
1095	0.623
7641	0.623
63903	0.627
10497	0.628
8904	0.629
7688	0.629
13874733	0.63
10437135	0.63
11660	0.63
1020	0.631
21106520	0.631
18724	0.631
11042	0.633
31029	0.634
21106560	0.634
21132380	0.634
8531	0.637
15855	0.638
6100	0.64
13837281	0.64
21105905	0.64
66809	0.641
7448	0.645
6179	0.648
7659	0.649
24535	0.65
15702	0.65
25552	0.651
11871	0.653
15409	0.654
20843	0.657
10940	0.657
10251740	0.658
11077	0.659
24972	0.659
9326	0.66
13885245	0.66
6524	0.66
28969	0.661
6967	0.663
8900	0.664
12229	0.664
9360	0.667
10253	0.669
8902	0.67
9350	0.67
7786	0.671
6999	0.674
15965	0.675
6088	0.676
10937	0.676
21106036	0.677
6977	0.677
10364	0.679
62489	0.68
10384035	0.68
11409	0.68
8243	0.68
7391	0.681
21108577	0.681
13257	0.684
70682	0.684
4228778	0.684
13658	0.685
28992	0.686
6528	0.686
7739	0.687
21168808	0.688
8335	0.688
8374	0.688
21111820	0.689
6897	0.689
13863629	0.69
12228	0.69
21112023	0.69
6665	0.69
247721	0.693
10437215	0.695
11731	0.696
13865438	0.699
120489	0.7
2039535	0.7
13837319	0.7
7278	0.703
13875160	0.705
8899	0.706
7238	0.708
21106135	0.709
773	0.71
2916	0.71
12225	0.71
10197150	0.71
55091	0.71
26325085	0.71
26325087	0.71
26325088	0.71
11862	0.711
8241	0.713
3210	0.716
8950	0.717
7676	0.718
66996	0.72
10437074	0.72
66896	0.72
30595	0.722
7710	0.723
7809	0.723
63908	0.724
221226	0.724
21105959	0.725
66021	0.727
17443	0.727
84971	0.728
388391	0.728
10236	0.728
13837303	0.729
13648	0.73
2849146	0.73
222538	0.73
73390	0.73
10437335	0.73
11576	0.73
11589	0.73
7175	0.73
79969	0.73
11784	0.732
7765	0.733
6883	0.733
7241	0.734
13875230	0.736
7689	0.738
2038738	0.74
11785	0.74
9218	0.74
7224	0.742
11600	0.744
7551	0.747
558875	0.748
21106366	0.748
78	0.75
7225	0.75
10181339	0.75
13839308	0.751
65523	0.752
7157	0.754
2937774	0.755
502855	0.755
14556	0.756
30572	0.757
58234	0.757
67460	0.759
9349	0.76
8883	0.76
65936	0.761
13875281	0.762
4445317	0.762
10534	0.764
6898	0.766
13644	0.771
12061	0.771
29036	0.775
199342	0.775
66895	0.779
62534	0.78
62408	0.78
13837329	0.78
4489	0.781
15495	0.784
66887	0.785
7389	0.787
9893	0.788
63518	0.79
12060	0.793
62310	0.793
7420	0.794
13856009	0.795
59482	0.795
12816	0.796
14678	0.796
21171407	0.8
7984	0.8
28982	0.8
206561	0.8
19709	0.8
21168831	0.801
21105897	0.802
13860335	0.803
6881	0.804
55443	0.804
453675	0.804
971	0.805
9579	0.805
21105878	0.806
21168813	0.806
60121	0.807
15427	0.808
1141	0.81
63310	0.81
11021	0.81
305	0.81
13846663	0.81
79280	0.81
21106091	0.81
13876539	0.811
5830	0.811
69340	0.811
63889	0.814
2606	0.814
10992	0.815
8674	0.816
9943	0.817
7132	0.818
235	0.82
13839082	0.82
13839110	0.82
13840690	0.821
13871718	0.821
21105871	0.822
21105998	0.822
7131	0.823
13856352	0.824
13866817	0.825
24722	0.825
7221	0.826
7223	0.829
9903	0.829
13839105	0.83
10246	0.83
18336	0.83
14866	0.83
466305	0.83
13865680	0.831
11604	0.831
13634	0.832
76394	0.834
440	0.836
28682	0.837
447	0.837
11667	0.838
13835772	0.84
6774	0.84
21168826	0.84
8071	0.84
13839128	0.84
194092	0.84
27296	0.84
28973	0.84
8186	0.842
13839123	0.843
11154	0.845
5979	0.845
7240	0.847
13857694	0.847
7220	0.849
7745	0.85
13839151	0.85
64699	0.85
12259	0.85
62517	0.85
13848467	0.85
13848808	0.85
9911	0.85
72556	0.85
15753	0.85
67465	0.85
7129	0.851
13837686	0.853
13839174	0.86
61538	0.86
12244	0.86
10248	0.86
61411	0.86
69177	0.86
13865424	0.862
917	0.865
7248	0.866
21106144	0.866
21106524	0.87
13863774	0.87
11651	0.87
16119	0.87
11610	0.87
11332993	0.87
10243171	0.87
10801842	0.87
11661	0.871
7138	0.871
12674	0.871
13837988	0.872
6775	0.874
11672	0.874
21106146	0.874
6108	0.876
21106008	0.878
8657	0.879
13875258	0.879
70715	0.88
70714	0.88
11596	0.88
10244	0.88
70988	0.88
86435	0.88
65785	0.88
70652	0.88
7673	0.882
6745	0.884
3544	0.885
8868	0.888
8097	0.891
11773	0.894
13875392	0.896
6916	0.897
21105859	0.899
13630	0.9
7443	0.9
8665	0.9
6633	0.9
16804	0.9
7406	0.902
6907	0.902
10892	0.903
10181338	0.903
299166	0.904
136966	0.904
120548	0.904
73479	0.905
11783	0.906
4611	0.906
13846749	0.908
13875432	0.909
12823	0.911
7176	0.912
221082	0.913
12231	0.914
21106519	0.914
13875219	0.915
8935	0.916
4514586	0.918
10181341	0.919
21106018	0.92
13835344	0.92
7685	0.921
238	0.921
21159695	0.922
13853758	0.922
13835151	0.923
13875320	0.923
14227	0.924
5709	0.929
12821	0.93
913	0.932
8070	0.936
7140	0.936
7190	0.936
7310	0.937
21106140	0.939
12478	0.94
1266393	0.94
455090	0.94
503239	0.94
10991	0.94
191058	0.94
10986	0.94
57726	0.94
21106525	0.942
13860692	0.946
13876103	0.946
7234	0.948
6621	0.95
9564	0.95
21111822	0.95
13869462	0.95
10254	0.95
11460	0.95
7397	0.95
6642	0.95
11465	0.95
11422	0.95
3918	0.952
6794	0.953
21106014	0.954
5889	0.955
13835126	0.955
21111781	0.956
924	0.957
10857	0.96
8140	0.96
65	0.96
13860491	0.96
13863618	0.962
13860641	0.962
13869434	0.962
13854136	0.966
6781	0.968
13838404	0.97
13837760	0.97
6630	0.972
7383	0.974
123207	0.978
10008	0.98
1664	0.98
4878	0.98
21106020	0.98
61765	0.98
13862559	0.98
7662	0.98
21106148	0.98
10411	0.98
20570	0.982
13860775	0.988
2157	0.988
21105795	0.99
2241	0.99
10616	0.99
62466	0.99
62485	0.99
62472	0.994
11586	0.994
7518	0.995
4962	0.998
7681	1
21106013	1
10972	1
10980	1
6674	1
6035	1
21106900	1
2005981	1.001
81815	1.002
11584	1.005
7189	1.01
11591	1.01
13840647	1.01
13029	1.01
21106172	1.01
21106145	1.01
64155	1.011
13851576	1.014
13837787	1.015
68676	1.015
6635	1.019
11582	1.02
13853953	1.02
6988	1.02
11083	1.02
13854242	1.021
13869480	1.027
11585	1.028
11488212	1.028
13864445	1.03
86394	1.03
9965	1.03
2206	1.03
42330	1.03
4575	1.03
2079	1.03
4590	1.031
21108548	1.032
13854248	1.033
6974	1.037
6646	1.04
11629	1.04
21106019	1.045
509179	1.045
89076	1.048
10664	1.05
13869414	1.05
7279	1.05
62964	1.05
18219	1.053
13869451	1.053
880	1.055
75956	1.055
6023	1.059
456015	1.06
13869339	1.06
13875441	1.06
206493	1.061
15093	1.062
4599	1.062
1577	1.063
7239	1.063
434	1.064
6079	1.064
7202	1.066
764	1.067
10400	1.067
13662	1.068
955	1.07
13030	1.07
7001	1.07
71437	1.07
4759	1.07
33617	1.07
13872122	1.078
13842573	1.08
17347	1.08
21106581	1.08
10586285	1.08
11595	1.08
62060	1.081
5976	1.09
63906	1.09
13835351	1.09
6773	1.09
30881	1.09
2923	1.095
21105870	1.096
6658	1.1
11422351	1.1
7208	1.1
71193	1.1
67270	1.1
6033	1.1
76154	1.1
3548	1.1
642951	1.102
13860	1.104
40130	1.105
13860434	1.107
21111817	1.108
5596	1.11
5915	1.11
13047	1.11
25472	1.11
62467	1.12
14620	1.12
6828	1.127
21105848	1.129
11080	1.13
7211	1.13
7092	1.13
28947	1.13
11366	1.13
18	1.14
1446	1.14
71	1.14
7146	1.14
13860817	1.14
11625	1.14
12133	1.14
205483	1.142
1253	1.145
4745	1.149
392	1.15
11778	1.15
7172	1.15
13868640	1.15
18707	1.15
123	1.153
502245	1.155
13860720	1.16
21106571	1.16
21106163	1.16
44152	1.16
10257	1.17
13875356	1.17
19766	1.17
124	1.172
204209	1.173
7142	1.18
13853943	1.18
58563	1.18
10864	1.18
21106540	1.18
132	1.183
331	1.183
6550	1.183
78467	1.186
7315	1.186
11087	1.188
6339	1.19
13875212	1.19
21108576	1.19
26516	1.19
4768	1.19
20848	1.19
4963	1.194
13859497	1.199
12640	1.2
6106	1.2
776	1.2
7145	1.2
6480	1.2
1448	1.2
38364	1.2
10343	1.2
559096	1.2
3534	1.2
8098	1.211
21361761	1.211
1361549	1.212
11961	1.216
7302	1.216
967	1.217
556589	1.219
13846959	1.22
10837	1.22
7299	1.22
2169	1.22
526	1.228
21106518	1.23
27488	1.23
10437210	1.24
11954	1.24
21111772	1.24
27749	1.24
7199	1.243
15517	1.25
589165	1.25
17868	1.25
5027	1.25
8183	1.254
5882	1.254
192748	1.255
9120	1.26
67594	1.262
13856959	1.264
15489	1.267
6780	1.268
4744	1.268
62484	1.27
768	1.28
10437836	1.284
2991	1.285
13848793	1.288
7150	1.29
361	1.29
8182	1.296
992	1.299
21106470	1.3
2121	1.3
392447	1.303
577	1.304
6788	1.304
10437239	1.305
953	1.308
13868660	1.31
6675	1.31
11588	1.31
4437893	1.311
1906	1.317
1015	1.32
10870	1.32
10975	1.32
906	1.326
105291	1.328
7042	1.33
21106570	1.33
12044	1.33
2185	1.33
13063	1.331
6736	1.337
8528	1.34
68568	1.34
8876	1.34
5775	1.34
10909	1.347
10918	1.347
8855	1.35
256210	1.35
49179	1.35
5557	1.355
24326358	1.356
21486195	1.356
10328	1.36
12047	1.36
10849	1.362
8470	1.363
10851	1.369
11769	1.37
13677	1.37
13846658	1.37
12045	1.37
65763	1.378
10432	1.38
5142	1.382
13867714	1.384
21105699	1.384
10850	1.384
1151	1.39
6852	1.39
4514549	1.398
48085	1.399
14627	1.4
87265	1.4
65701	1.4
18941	1.4
10831	1.402
10813	1.402
10908	1.402
551	1.407
16359	1.407
7044	1.407
28552	1.41
29282	1.41
10829	1.411
8060	1.413
15619	1.414
6737	1.417
96749	1.42
29117	1.424
6688	1.43
4760	1.43
12874	1.43
10841	1.431
26325182	1.431
18177	1.433
8262	1.434
8273	1.434
17339596	1.436
3277	1.44
15621	1.441
26260	1.441
5162	1.441
12682	1.442
5593	1.448
8329	1.448
6789	1.45
11776	1.45
15488	1.45
707	1.45
83191	1.45
5774	1.45
92494	1.45
92468	1.45
11489	1.458
6586	1.46
15620	1.47
15861	1.47
12705	1.47
12730	1.47
472932	1.473
6950	1.473
3350	1.477
218253	1.49
4333	1.49
63968	1.494
6706	1.497
68437	1.497
11038	1.5
2068	1.5
5236	1.5
6855	1.5
13090	1.5
13303	1.5
13302	1.5
133166	1.5
8067	1.505
6840	1.508
8030	1.51
3008	1.512
6739	1.52
2283071	1.536
8807	1.54
5791	1.54
11286	1.542
21106059	1.545
13839012	1.55
7151	1.56
10903	1.56
6835	1.565
5145918	1.568
15475	1.57
15755	1.57
14995	1.57
14994	1.57
67470	1.57
15476	1.57
15477	1.57
15478	1.57
15524	1.57
15756	1.57
8058	1.579
15473	1.58
17099	1.58
17098	1.58
33933	1.58
15474	1.58
11003	1.583
8093	1.586
36029	1.586
58496	1.589
6735	1.59
4932499	1.592
8341	1.598
6592	1.604
6371	1.607
2297441	1.61
7155	1.616
3693	1.616
89258	1.618
26010	1.62
30600	1.62
33455	1.62
33934	1.62
33932	1.62
10628694	1.626
11294	1.63
4268	1.63
6604	1.638
23886	1.64
33421	1.64
6838	1.64
6002	1.64
6753	1.641
1262	1.647
6807	1.65
4470736	1.65
20124	1.66
4911	1.66
62265	1.663
64016	1.665
8319	1.67
6790	1.67
6588	1.67
3652	1.67
185	1.68
75995	1.68
2271976	1.686
457140	1.69
84188	1.69
136000	1.69
135983	1.69
136001	1.69
136002	1.69
158870	1.69
157093	1.69
83374	1.69
457144	1.69
135925	1.69
457145	1.69
136003	1.69
84235	1.69
139025	1.7
8282	1.71
34667	1.71
34871	1.71
34873	1.71
56784	1.71
34872	1.71
4343	1.71
1710	1.713
6600	1.72
230	1.728
5660	1.73
5932	1.74
196288	1.74
9797	1.743
9824	1.749
4103087	1.75
34868	1.75
37905	1.75
34869	1.75
37918	1.75
37915	1.75
34867	1.75
25605	1.75
26011	1.75
34870	1.75
34666	1.75
21924	1.75
3216	1.75
6057	1.76
5807	1.767
6610	1.77
21587143	1.77
61739	1.78
34866	1.78
34665	1.78
34664	1.78
37904	1.78
34864	1.78
34188	1.78
34865	1.78
9786472	1.78
6478	1.781
65272	1.79
744	1.8
6492	1.8
11708	1.8
10438331	1.8
2927	1.8
5554	1.8
2928	1.805
27793	1.81
82754	1.81
457138	1.81
102897	1.81
457139	1.81
102947	1.81
97173	1.81
102720	1.81
102801	1.81
102833	1.81
102721	1.81
102856	1.81
102933	1.81
103066	1.81
106355	1.81
82755	1.81
82712	1.81
157094	1.81
103011	1.81
102798	1.81
82762	1.81
97172	1.81
2925	1.81
18547147	1.81
4380	1.815
2424	1.817
34863	1.82
2760	1.82
11974	1.83
32555	1.83
19232038	1.83
13835294	1.835
6514	1.837
33281	1.84
56786	1.84
56789	1.84
33456	1.84
46264	1.84
4777	1.84
10481872	1.849
5550	1.86
553649	1.861
8124942	1.868
56787	1.88
35583	1.88
82807	1.88
56794	1.88
33386	1.88
33457	1.88
47912	1.88
82817	1.88
46893	1.88
33280	1.88
35582	1.88
33304	1.88
46263	1.88
19232037	1.88
10169	1.89
5542	1.89
5376	1.891
8101973	1.894
21106365	1.895
8351654	1.897
2975965	1.898
13300034	1.9
197564	1.91
34874	1.92
36972	1.92
56788	1.92
533188	1.92
35579	1.92
16182	1.92
46262	1.92
35580	1.92
82818	1.92
56790	1.92
56795	1.92
33458	1.92
82777	1.92
35584	1.92
56785	1.92
56792	1.92
34189	1.92
5233	1.92
2075	1.92
3438	1.923
102834	1.93
102722	1.93
154865	1.93
96948	1.93
102743	1.93
102857	1.93
154866	1.93
106356	1.93
102787	1.93
102741	1.93
97240	1.93
97055	1.93
97198	1.93
102742	1.93
2915	1.959
4447447	1.96
193441	1.96
2654	1.964
1278	1.97
56793	1.97
454495	1.97
40191	1.97
56791	1.97
35581	1.97
56775	1.97
56770	1.97
5553	1.97
25677	1.98
2699	1.98
60858	1.982
91432	1.982
6453	1.987
8103122	2
33282	2.01
46285	2.01
46284	2.01
82806	2.01
56776	2.01
47913	2.01
32952	2.01
45446	2.01
43353	2.01
56773	2.01
12549	2.01
5633	2.01
14916	2.011
541032	2.021
5541	2.04
97257	2.05
97224	2.05
102923	2.05
96868	2.05
96864	2.05
97234	2.05
97233	2.05
154062	2.05
97142	2.05
12699	2.055
36975	2.06
56778	2.06
43354	2.06
37779	2.06
45445	2.06
36974	2.06
35585	2.06
34848	2.06
84344	2.06
34850	2.06
82819	2.06
56772	2.06
82820	2.06
16415	2.06
