Compound Id	Hydrophobicity
421	1.69
422	2.50
423	0.87
424	1.38
425	1.61
426	0.65
427	1.54
428	1.98
429	2.71
430	2.95
431	3.51
432	3.20
433	3.58
434	2.80
435	2.88
436	3.87
437	1.38
438	1.95
439	2.61
440	3.43
441	-1.41
442	-0.59
443	1.84
444	1.05
445	0.74
446	1.72
447	-1.22
448	3.72
449	3.18
450	3.05
451	4.16
452	3.12
453	3.40
454	2.39
455	3.40
456	2.33
457	3.83
458	2.54
459	2.34
460	1.81
461	2.87
462	3.43
463	2.30
464	2.97
465	2.92
466	3.95
467	3.15
468	2.92
469	2.73
470	0.28
471	1.61
472	0.70
473	1.17
474	1.12
475	1.25
476	1.08
477	1.20
478	1.04
479	1.12
480	1.61
481	0.63
482	1.61
483	0.76
484	1.69
485	1.05
486	-0.81
487	1.61
488	1.43
489	0.81
490	1.85
491	1.98
492	0.68
493	1.65
494	2.06
495	0.85
496	1.02
497	3.04
498	1.88
499	2.35
500	2.48
501	2.48
502	2.44
503	1.98
504	1.97
505	2.93
506	3.53
507	2.48
508	2.44
509	1.93
510	1.93
