Compound Id,LogBCF
t150,3.34
t151,3.33
t154,3.29
t155,3.43
t156,3.38
t160,3.98
t161,3.76
t162,3.53
t163,3.72
t164,3.86
t166,3.11
t167,4.33
t168,3.95
t169,4.22
t171,4.17
t172,4.56
t173,4.53
t175,4.46
t176,4.85
t177,4.71
t178,4.39
t179,3.51
t180,4.85
t181,4.28
t182,4.63
t184,4.58
t185,4.81
t188,4.38
t191,1.82
t192,1.68
t193,2.24
t194,2.33
t195,2.21
t196,2.35
t197,2.82
t198,2.97
t200,3.45
t201,3.49
t202,3.04
t203,3.57
t207,4.14
t208,4.11
t209,3.95
t210,4.24
t212,4.21
t213,4.08
t214,3.35
t215,4.23
t216,4.51
t218,1.37
t219,0.93
t221,1.13
t222,0.46
t225,0.59
t226,0.4
t227,0.35
t229,1.78
t230,0.74
t231,2.62
t232,0.57
t233,0.96
t234,1.57
t235,1.7
t236,1.78
t239,1.72
t240,0.54
t244,2.84
t245,1.65
t248,2.77
t249,2.41
t251,2.68
t252,3.53
t253,0.91
t256,2.21
t257,2.8
t259,2.51
t262,2.64
t263,3.95
t266,0.22
t268,1.97
t269,2.43
t271,1.19
t272,1.06
t273,1.16
t274,0.27
t276,1.92
t277,0.01
t279,0.46
t281,-0.24
t282,0.62
t284,-0.48
t286,1
t287,-0.3
t288,1.85
t289,0.87
t290,0.99
t291,1.7
t293,0.58
t294,2.18
t295,3.12
t296,0.38
t297,0.72
t298,0.34
t299,0.65
t300,1.36
t301,0.94
t303,1.33
t304,1
t306,0.43
t307,0.63
t308,0.52
t312,1.33
t313,0.67
t314,1.26
t315,0.88
t316,0.8
t323,1.6
t324,1
t327,0.6
t328,0.6
t330,0.76
t331,0.95
t334,3.11
t335,0
t336,0.24
t339,0.93
t340,0.34
t342,3.65
t344,2.24
t345,1.26
t346,0.65
t349,2.23
t350,1.98
t351,1.51
t352,2.16
t354,1.18
t355,0.32
t357,-0.3
t358,0.59
t359,0.58
t360,0.05
t361,1.42
t363,-0.08
t364,-0.15
t366,0.3
t368,-0.18
t369,0.51
t370,0.51
t372,1.19
t373,-0.52
t374,1.13
t378,1.98
t380,0.9
t381,0.42
t382,2.55
t383,3.05
t384,0.76
t385,0.86
t386,1.42
t387,0.55
t388,1.87
t389,1
t390,0.75
t391,0.82
t392,1.31
t393,0.38
t394,0.85
t398,0.66
t402,-0.1
t403,0.11
t404,0.49
t406,1.28
t407,0.65
t408,0.28
t410,0.2
t411,0.81
t412,0.2
t413,1.56
t416,0.49
t422,0.92
t423,3.28
t427,-0.26
t431,0.85
t432,2.03
t433,2.63
t434,0.79
t436,0.7
t437,0.48
t440,0.14
t441,0.78
t442,2.49
t446,1.71
t448,0.68
t449,2.76
t450,1.6
t451,2.62
t452,0.89
t453,0.78
t455,0.38
t458,0.26
t459,2.3
t460,2.28
t463,0.61
t464,1.11
t465,0.31
t466,0.58
t468,1.08
t469,1.22
t470,2.05
t471,1.07
t472,0.84
t473,2.32
