Compound Id	KierHallSmarts [khs.dssC]
17097	0
6856	1
13693	1
21106365	0
5606	1
12275	1
18	1
67788	1
5612	1
10986	2
12236	0
61560	4
61352	2
6845	0
8182	2
21171396	0
11472	1
24499	0
61101	0
21106146	0
6768	0
60012	1
7284	0
13856885	0
19816	0
6386	0
68220	1
28952	1
8058	1
6771	1
21159597	1
2991	1
12017	0
67790	1
72806	2
7120	0
13863774	0
74935	2
12307	1
62631	1
16896	2
10235	0
69150	0
6746	0
23472	1
5091	1
13090	0
24905	1
12100	0
7118	0
7355	0
7296	0
10664	0
123905	0
454604	1
61717	1
9886	0
955	0
7145	0
12864	0
8793	0
1118	0
65703	2
63555	1
453633	1
6601	1
2980	0
165975	1
453910	1
512092	1
2372	1
9779	1
16612	0
66916	0
61264	1
11614	0
71166	0
8470	1
2169	0
11982	0
200562	0
70280	0
10778469	1
15983	2
67282	1
9838	0
5816	1
27057	2
7268	0
10289	1
63453	2
56797	1
1061203	2
14760	2
8310	1
11443	0
18177	2
24341	1
9109	0
59462	2
7758	2
13836549	0
6420	0
59526	0
8463	0
61280	0
7162	0
67007	2
62931	1
68907	0
12499	0
12249	0
21170967	0
8045	1
7909	1
21171999	1
61475	1
8118	0
12072	0
21111786	0
9554	1
61569	1
7275	4
14360	2
12071	1
6576	0
74932	0
7207	2
61399	0
9824	1
21106020	0
64618	0
13073	2
11290	0
62486	0
10824	0
10034	1
10833	1
15216	0
81679	0
7166	0
63538	1
284177	0
6846	1
64166	2
65903	1
21171513	0
66547	2
453123	1
12213	2
7163	0
1441	1
3542441	0
13863300	2
5555	1
9856	1
15474	0
2016563	1
7203	0
15796	0
6751	1
6857	1
11516	4
5532	0
6900	1
6642	0
7125	1
70500	1
5562	1
8054	1
67230	2
67257	1
15359	1
2063	2
9572	1
6797	0
9946	0
6593	0
9826	1
66528	0
61789	0
3229	0
13856959	1
76286	0
7201	0
15636	0
13927	1
483123	1
21105887	1
7830	1
10408	0
9535	0
6484	0
21106127	0
6709	0
75176	0
12523	1
68247	1
62332	0
11900	0
70915	0
62289	5
7214	0
15471	0
62361	1
11468	1
7202	0
13853943	0
10035	1
12681	0
7292	0
74171	0
75956	0
7315	1
105768	1
15161	1
306959	1
58578	0
18227	0
70806	0
16310	1
3924	2
9219	1
66512	1
526	0
13925	0
7167	0
65693	0
27749	1
1484	0
2356	0
8057	2
6610	1
7060	0
8030	1
11593	0
61517	1
7313	1
60933	1
610932	1
525531	1
10274392	1
3008	1
6546	1
4029	0
8459	1
13924	0
12670	3
2621	0
4233	1
63515	2
1540	0
15683	1
2359	0
6837	1
9073	1
17440	1
4959	1
17704	1
15113	2
61086	0
61785	0
63077	0
6725	0
21106036	0
8567	1
13865683	2
62479	0
3395	0
13853953	0
9549	0
8086	0
21106095	0
10864	0
7171	2
11972	2
21106013	0
61281	0
12263	0
6508	0
11901	0
10834	0
13721	0
3005	2
60006	0
11249	0
11429	0
7148	0
120011	0
25605	0
10378	4
11641	0
28714	1
9130	1
61087	0
13422	3
62928	0
9569	1
2066	1
9515	1
13887609	4
13697	0
2384	0
61672	0
13075	0
2695	1
9442	0
13707	1
15724	0
2661194	0
6229	3
8106	0
10181821	0
14688	0
2848685	0
2673	1
5739	0
5561	1
12680	1
2745027	0
6753	1
62668	2
13105	0
5686	1
14810	0
4286892	0
9873	1
523754	1
60090	1
14584	0
2424	2
6468	2
1909	1
70071	1
4740	2
12329	0
59885	2
7274	0
72680	3
29135	0
11397	1
10630	0
11581	0
11427	0
59403	0
7169	0
69973	0
11146	0
21168823	0
25097	0
10426	1
6838	0
8331	1
61014	1
7923	1
63718	1
6858	0
61148	0
6763	1
10848	2
59487	1
10633	1
6714	0
63567	0
10619	1
11279086	1
13323	1
62363	1
11967	0
9206	1
11577	0
11428	0
67597	0
63320	0
11582	0
6713	0
21272	0
58568	1
60158	0
29117	0
8366	1
12355	0
8254	1
57727	1
18409	1
4596	2
2468	1
3214	2
7260	0
3215	1
7210	0
10618	3
967	0
2272143	1
61540	6
5129	1
12057	1
6213	3
6438	2
84451	0
13837584	2
62340	1
21106035	0
21106576	0
5399	2
67212	1
12504	0
21111865	0
6588	0
11902	0
11567	0
4471	1
12722	0
86040	1
6783	1
20311	2
70990	0
528656	0
21106145	1
21106581	1
11267	0
11395	0
59164	1
69450	0
11337	0
64012	0
10284	1
226885	1
8329	2
12339	1
10230	1
9805	0
12874	0
8800	0
62303	0
61150	2
60173	0
3613	1
8104	0
17162	0
69027	0
6220	1
305	3
3300	1
71976	1
8816	0
11594	1
6848	0
4819	0
5882	1
2068	2
13835294	2
6639	0
2911	1
21106178	2
60889	0
85490	3
6899	2
69290	0
7037	0
11903	0
8188	1
59546	1
62472	1
11283	0
62389	0
6381	0
10169	0
11586	1
13066	0
63522	1
11277	1
14613	0
8298	1
