Compound Id	AutocorrelationCharge [ATSc1]
12199	0.546
387	0.066
7073	0.266
15468	0.0
13439	0.0
7670	0.120
21105987	0.271
6656	0.287
13885245	0.268
13837281	0.135
7876	0.095
13882337	0.088
21106517	0.088
11412	0.086
26801	0.0
21159680	0.040
9078	0.085
83703	0.0
13876103	0.260
59482	0.119
6657	0.075
12044	0.0
21105867	0.075
11889	0.001
21106014	0.176
21106112	0.299
21111819	0.172
21108245	0.344
67835	0.271
17019	0.012
60586	0.361
21111817	0.162
21171496	0.093
11892	0.0
10800462	0.488
10771160	0.193
61434	0.350
21105932	0.083
69057	0.118
16685	0.379
6862	0.163
63909	0.188
11510	0.140
85185	0.283
21865	0.123
6479	0.119
64147	0.193
21106008	0.482
8140	0.169
3756	0.192
62236	0.162
20548	0.456
12818	0.143
15622	0.141
71784	0.209
13869655	0.116
18707	0.155
4611	0.192
11778	0.112
69628	0.087
13873600	0.121
15440	0.128
9900	0.428
68896	0.092
10772050	0.377
65	0.170
15317	0.128
6954	0.061
13667	0.075
11970	0.090
60848	0.0
13860817	0.116
12229	0.077
12675	0.001
11083	0.162
10881	0.094
97904	0.238
6481	0.222
13875161	0.027
6621	0.267
11327	0.194
1847	0.145
14836	0.075
8154	0.383
11509	0.087
13869661	0.378
63459	0.062
65701	0.129
10322	0.217
71655	0.179
62466	0.145
6739	0.075
6480	0.062
723	0.384
21106518	0.148
64111	0.291
7189	0.196
11417	0.090
7140	0.190
67879	0.190
11263	0.407
21106017	0.116
10895	0.090
8341	0.075
63931	0.091
7589	0.171
13835557	0.262
6943	0.293
62682	0.225
7797	0.625
29129	0.291
62532	0.3
3708	0.506
8438	0.299
64644	0.230
58563	0.221
62485	0.145
7190	0.190
68568	0.172
953	0.217
6787	0.326
132	0.265
571424	0.214
58968	0.241
9128	0.240
11588	0.198
452568	0.0
7090	0.254
21171506	0.404
10245	0.0
13865630	0.542
11246	0.458
7430	0.0
13448	0.0
21111758	0.292
12831	0.156
14942	0.0
6735	0.027
62359	0.118
21108549	0.387
7847	0.277
12674	0.0
62938	0.0
20140	0.119
10273	0.119
15644	0.147
11824	0.553
61196	0.242
21723	0.001
66365	0.139
62618	0.542
73658	0.251
7921	0.029
13867055	0.320
11304	0.0
13835126	0.160
69792	0.255
21111776	0.140
13881395	0.117
78722	0.378
21170125	0.115
33137	0.125
11145	0.0
6574	0.170
73537	0.388
14309	0.115
7175	0.275
13859497	0.476
14956	0.172
1306	0.338
13835344	0.291
13258	0.077
17720	0.058
33621	0.257
66385	0.096
11507	0.087
12013	0.192
6023	0.165
7186	0.147
776	0.062
21111723	0.519
62471	0.284
10303	0.183
14348	0.083
258907	0.374
10894	0.027
21159611	0.352
14918	0.167
12690	0.120
61763	0.126
19669	0.083
60464	0.475
60093	0.449
7662	0.125
53706	0.232
11332993	0.171
21106121	0.154
13868642	0.080
6828	0.0
70309	0.158
13867714	0.128
10248	0.075
79453	0.351
12669	0.144
59562	0.053
6878	0.062
7199	0.225
21112367	0.227
39404	0.165
9454	0.277
9218	0.258
11781	0.384
17347	0.163
11638	0.306
7740	0.141
217532	0.192
70512	0.441
12244	0.075
60032	0.058
62536	0.197
72274	0.170
6950	0.053
18107	0.392
11971	0.255
8998	0.112
1928	0.365
10977	0.362
91446	0.230
11585	0.302
11589	0.190
62484	0.283
63310	0.383
11776	0.084
23422	0.365
10380	0.201
7176	0.350
8382	0.115
88942	0.317
638258	0.068
13036	0.165
6724	0.281
11289	0.190
11626	0.248
13846959	0.093
10396	0.203
10243171	0.171
124	0.267
191	0.384
9225	0.256
81061	0.172
10972	0.217
11369	0.113
11773	0.191
10297844	0.198
6482	0.275
11576	0.190
10256859	0.316
73183	0.090
68122	0.217
5593	0.128
11587	0.185
608157	0.098
68837	0.273
5878	0.298
10181338	0.361
13257	0.077
62884	0.172
75095	0.217
1446	0.354
20160	0.171
62307	0.140
2005830	0.349
6079	0.230
10980	0.217
13866746	0.515
61190	0.339
31082	0.0
58333	0.158
6942	0.127
7301	0.061
21112244	0.027
63002	0.576
12045	0.0
15603	0.064
7300	0.062
8187	0.196
15410	0.0
67145	0.061
63057	0.027
7925	0.001
21111810	0.123
62633	0.012
7302	0.159
11372	0.253
