Compound Id	BCUT [BCUTw-1l]
9929	11.890
5584	11.996
6854	11.996
61739	11.996
66716	11.996
2632	11.996
655	11.988
34195	11.953
8055	11.996
8111	11.850
84452	11.996
5027	11.89
5237	11.988
13846015	11.998
7069	11.89
67479	11.89
13882366	11.999
7098	11.997
2656	11.890
61311	11.850
21105876	11.85
7097	11.997
10287	11.850
21159574	11.89
22012	11.999
29023	11.890
66369	11.850
7091	11.999
13835351	11.989
71995	11.996
83338	11.993
17879	11.890
20971	11.999
21112533	11.998
76852	11.989
61383	11.9
16951	11.999
11897	11.890
9571	11.999
7325	11.999
12691	11.850
11373	11.999
61273	11.996
10407	11.850
70450	11.989
10425	11.890
10609	11.997
2388	11.85
70652	11.850
21159598	11.996
6716	11.996
9961	11.850
14582	11.996
960	11.996
11898	11.996
11421	11.996
21106172	11.999
6575	11.850
6916	11.850
71926	11.989
73945	11.890
9089	11.997
10289059	11.999
6825	11.997
11961	11.999
19862	11.989
15092	11.996
12524	11.850
12667	11.996
21168862	11.999
71672	11.850
70048	11.890
7311	11.850
62914	11.998
8807	11.850
15105	11.953
21111772	11.994
16208	11.999
6872	11.996
2915	11.998
8099	11.996
67953	11.996
62933	11.996
60263	11.850
19739	11.996
59146	11.999
60357	11.890
2179	11.996
25604	11.953
14585	11.999
19331	11.989
69970	11.999
15998	11.850
10363	11.996
72174	11.999
61561	11.989
63211	11.996
21106171	11.999
6823	11.999
532	11.996
6552	11.989
6033	11.999
2923	11.999
65785	11.850
454393	11.999
73131	11.996
5142	11.999
13846658	11.996
18708	11.996
10256	11.996
9075	11.996
65715	11.993
11580	11.989
6705	11.996
12114	11.953
15308	12.0
68579	11.999
15088	11.953
4444774	11.996
6928	11.997
6550	11.989
11595	11.996
616466	11.998
1103	11.989
19099	11.996
29090	11.890
21168888	11.997
7100	11.890
6655	11.999
12941	11.997
4445872	11.890
13837329	11.996
62501	11.89
7138	11.999
11437	11.850
6781	11.999
7914	11.999
66675	11.998
21169500	11.999
7889	11.996
205386	11.9
21733	11.89
12515	11.9
21170956	11.993
62372	11.999
11899	11.890
5374	11.890
67895	11.997
29002	11.989
21168556	11.996
8836	11.850
16109	11.996
61759	11.996
21106571	11.850
7103	11.996
60596	11.998
8862	11.999
10033	11.996
14414	11.988
11969	11.989
66759	11.89
66460	11.850
6770	11.996
6901	11.850
7119	11.999
61388	11.999
8662	11.850
21111849	11.996
63350	11.996
68350	11.999
70962	11.9
21106124	11.996
12291	11.996
59892	11.999
12696	11.996
19526	11.999
21159439	11.996
8434	11.993
7121	11.999
6757	11.999
70660	11.996
62756	11.998
16096	11.999
6834	11.999
4775	11.993
16644	11.953
7427	11.850
3581	11.996
970	11.850
6840	11.997
13493	11.996
3915	11.989
8860	11.988
11013	11.996
6592	11.850
11447	11.89
5004	11.996
5820	11.997
21106163	11.999
12274	11.989
5899	11.850
60188	11.999
78873	11.997
11475	11.999
6235	11.999
10801689	11.999
10582	11.850
11398	11.999
745600	11.850
9413	11.997
6586	11.996
64143	11.996
328957	11.996
13699	11.890
11974	11.850
17097	11.989
6856	11.996
13693	11.996
21106365	11.999
5606	11.996
12275	11.850
18	11.996
67788	11.993
5612	11.999
10986	11.996
12236	11.89
61560	11.996
61352	11.995
6845	11.996
8182	11.996
21171396	11.997
11472	11.850
24499	11.996
61101	11.953
21106146	11.999
6768	11.999
60012	11.999
7284	11.999
13856885	11.998
19816	11.850
6386	11.89
68220	11.850
28952	11.996
8058	11.996
6771	11.988
21159597	11.996
2991	11.85
12017	11.890
67790	11.999
72806	11.989
7120	11.999
13863774	11.850
74935	11.890
12307	11.9
62631	11.890
16896	11.790
10235	11.996
69150	11.989
6746	11.85
23472	11.993
5091	11.996
13090	11.85
24905	11.85
12100	11.996
7118	11.999
7355	11.996
7296	11.993
10664	11.850
123905	11.999
454604	11.996
61717	11.9
