Compound Id	ChiChain [SCH-6]
11795	0.0
13220	0.0
10775	0.0
10755	0.0
16689	0.0
11055	0.0
7619	0.0
10737	0.0
69505	0.102
11056	0.0
7385	0.102
14752	0.102
7475	0.0
7761	0.0
10777	0.0
63026	0.236
7626	0.0
17558	0.0
12924	0.0
7515	0.0
10776	0.0
55090	0.0
21106526	0.0
7027	0.144
8490	0.0
14679	0.25
12809	0.0
13864773	0.0
7387	0.102
11998	0.236
11763	0.236
6119	0.0
21170543	0.102
8141	0.144
12810	0.0
21106016	0.0
6341	0.0
13860641	0.083
10364	0.102
21106583	0.0
9614	0.102
16268	0.0
7514	0.0
13875281	0.083
15846	0.0
11170	0.0
8157	0.0
11087	0.102
7391	0.102
13875320	0.083
13619	0.0
7465	0.0
6248	0.0
55085	0.0
29036	0.0
15480	0.0
5889	0.102
8552	0.0
55110	0.102
21106133	0.0
13860775	0.083
7882	0.0
13838404	0.0
8576	0.0
11909	0.0
11875	0.0
19231	0.102
7678	0.102
11530	0.144
361265	0.102
62737	0.0
447	0.083
15443	0.102
66464	0.25
6728	0.083
971	0.102
62577	0.236
66754	0.236
10301338	0.0
12640	0.144
21069	0.0
10008	0.102
177126	0.0
21111768	0.102
87514	0.236
10989	0.102
2016737	0.0
7225	0.102
8524	0.0
1013221	0.236
11107	0.0
21349	0.0
2005898	0.144
8537	0.102
5978	0.0
1477	0.0
11694	0.0
6332	0.0
2005963	0.236
7690	0.102
7683	0.102
13835293	0.0
61707	0.0
2005897	0.102
12225	0.144
66578	0.0
11244	0.0
1414905	0.236
60308	0.236
26072	0.213
12444	0.0
17801	0.0
10759	0.0
15794	0.0
11064	0.0
11370	0.0
18604	0.083
6149	0.0
66568	0.102
6156	0.0
7334	0.0
10420	0.0
13400	0.0
7419	0.102
25609	0.0
10571	0.0
14729	0.083
7621	0.0
21111805	0.083
10534	0.0
70705	0.0
14753	0.102
12807	0.0
7627	0.0
11410	0.083
21111882	0.083
21132380	0.083
13839109	0.0
13471	0.083
7672	0.102
7641	0.083
7689	0.102
7676	0.102
21106169	0.0
13863629	0.102
11062	0.088
13248	0.0
6042	0.0
8335	0.083
7673	0.102
13860692	0.083
10001	0.0
7881	0.0
11655	0.102
11783	0.102
11765	0.083
13856579	0.0
28777	0.102
7802	0.0
67360	0.0
13860335	0.102
11210	0.0
7890	0.0
11077	0.083
7803	0.0
7229	0.102
13842613	0.083
13835895	0.0
7883	0.0
630	0.0
9349	0.083
11862	0.0
21106134	0.083
13876621	0.0
13881329	0.083
9917	0.144
21105871	0.083
1031	0.0
7521	0.083
7235	0.102
6726	0.083
1071	0.0
11063	0.088
287294	0.0
60121	0.083
59438	0.083
12150	0.0
12144	0.102
61553	0.083
7611	0.0
14991	0.083
59556	0.0
13835151	0.083
9350	0.083
13844	0.102
96573	0.102
11066	0.0
62628	0.0
9357	0.0
66996	0.102
14609	0.083
10432	0.083
1479	0.083
7610	0.0
11708	0.083
10467	0.0
8882	0.25
7651	0.083
764	0.083
653	0.0
392	0.083
24633	0.201
9611	0.0
5705	0.083
11757	0.0
69826	0.102
13450	0.0
7747	0.0
11603	0.083
