Compound Id	BCUT [BCUTp-1l]
62314	7.27513
59426	5.11923
370	3.71192
7007	7.25031
17221	4.08270
14890	3.625
7901	3.94505
78543	4.77962
13875258	5.96275
7241	4.00209
13849	4.157
9563	4.28981
15708	5.39534
13875432	4.83868
21111781	3.91173
14436	5.07446
13875219	4.71643
7795	4.50965
21106513	4.46450
28982	4.70668
18685	3.94155
13839174	5.22293
78	4.04503
13860491	5.63738
62877	4.82944
13868660	6.22387
8665	4.65732
13869414	4.69465
11021	4.30687
7519	5.60175
13842573	4.78875
11242	3.98675
333	4.86395
7480	4.29750
13869339	5.52943
62226	6.22402
13839151	5.06575
59439	7.22625
7236	4.01093
11038	7.38087
6991	5.61639
16257	4.23518
13646	5.887
11350	4.96235
7634	3.64134
9849	3.85843
10955	3.95448
6983	4.77554
10251740	3.76349
6652	4.19793
1131173	6.14749
9546	4.16450
7632	4.03281
1013196	6.23561
23718	5.52751
11179	6.11361
10795	6.06429
10445	5.91194
10742	5.74935
7657	4.19331
6338	2.95861
8659	4.43820
7248	5.53148
8531	5.56448
11818	5.82084
61026	6.610
10428	4.17366
10253	6.22825
11911	6.08325
11790	4.23260
13040	5.56548
7509	4.17366
13473	5.30694
12829	5.63728
21242799	5.50871
13451	5.74905
14888	5.67672
6176	4.42962
8013	4.38537
13032	5.68337
21106562	5.54487
7448	5.49906
21168731	5.18994
13875381	6.40912
61200	3.96268
7879	5.01389
11607	4.16863
13839308	3.92271
7129	6.11983
16887	5.75559
8579	5.12729
7900	5.12671
7744	4.05578
11879	3.74777
6628	5.96120
21106155	4.91082
21111850	5.59939
11883	5.11705
7866	3.71683
13881571	4.75787
9360	3.898
14787	4.339
12451	5.97317
13856009	4.39415
13848467	3.82852
8138	6.83880
9326	3.95184
13644	4.415
6677	5.21854
70682	6.39765
72625	6.05387
7132	4.43584
13835630	4.09076
12060	4.72637
66344	5.51310
6990	5.96605
21105859	4.30191
6985	5.72491
66551	4.60797
8098	6.37196
74169	5.86986
191427	4.97822
21106167	4.12829
7135	4.07843
11091	3.66327
6277	4.87031
207215	3.58510
7915	3.94536
6177	4.03612
13861	3.92397
21168837	8.94487
15526	3.74043
13033	4.74880
67466	4.97130
7388	3.52579
14165	5.03081
10649	3.76169
13866817	6.00744
7635	3.72675
14163	4.91233
21111896	5.83990
4642	3.95046
11500	6.75793
25942	4.88590
21105878	4.68506
5704	5.60893
8911	7.40597
25757	5.83635
65689	4.94105
13836283	5.53744
16011	5.10312
6253	6.41492
24133	5.85571
16237	6.04225
60497	4.07902
11651	4.67707
7518	6.08075
21106018	4.86859
60662	5.75263
73531	3.99362
63882	4.27144
12823	4.33472
34095	3.94355
56234	4.72262
63307	4.37087
87265	3.96394
21844	5.75363
12821	4.170
11181	3.83937
521915	3.71081
22006	5.68115
12822	4.17465
13868640	7.23675
63180	4.74868
9964	4.12064
8852	6.03747
10471	4.03962
16931	4.76563
13837582	5.67404
13837760	4.70625
5975	5.53770
4878	4.64730
12478	4.15529
123	3.80979
11022	4.31410
8528	5.37019
11080	4.73043
68939	4.30944
68309	3.98268
63658	4.19435
14346	4.33125
68282	4.68171
5408	4.72910
5596	4.86164
11489	5.52054
62546	3.97221
1017	4.22703
13421	5.75574
26065	5.43371
21998	5.32264
26066	5.74935
7581	6.08722
17976	5.83334
26068	5.75475
7580	5.95642
15532	6.31984
9478	4.13709
13231	5.09750
21106102	3.89841
63017	4.45958
9903	6.82275
73565	5.67199
7511	4.18348
21106174	5.90926
7659	6.07642
6977	6.00396
13865426	4.01781
6794	5.67411
20521	5.13814
5931	5.21662
21106522	6.25059
21111905	6.20469
6883	4.35671
13622	5.12381
13869451	5.64612
11073	7.71452
9328	3.89593
6143	7.499
21111798	3.81089
7908	3.71901
13870160	5.92923
12061	3.83976
11930	4.57650
21105937	3.82944
21171406	7.23693
17428	8.12883
61765	4.19379
6974	5.37243
31931	6.50164
11511	6.93556
13438	3.87893
15431	5.57637
11517	3.90980
13837686	5.08318
13854818	6.38208
10935	7.69699
21106578	5.72155
11885	5.11721
37466	8.02951
67735	4.42471
17383	3.69251
60103	3.86542
7871	4.11279
23643	3.44779
13869434	5.87873
12972	4.66540
11432	6.01260
26091	4.84165
13860633	5.79110
81759	4.76431
6881	4.75021
7961	4.78638
13839123	4.98235
21168833	5.12139
29080	6.37550
7437	5.62671
9910	6.33190
21111816	6.18543
8873	5.66862
6951	7.05455
13875441	4.97850
2863	3.71929
13626	5.982
6788	6.09598
11485	4.23506
19037	3.73109
11433	6.05429
477171	3.72408
7917	3.94552
72054	4.87790
21111785	4.31502
17163	4.73534
69446	3.99732
13254	3.64747
10790335	4.500
21106019	3.85622
8319	6.06277
63447	5.31884
126037	4.06472
20151	4.93915
21159424	4.91079
6774	4.77890
10857	5.32768
69896	3.65338
21112332	4.12321
61802	6.81987
13839110	4.90856
2005824	5.19464
9564	4.78518
6988	4.96093
6633	5.56828
24729	3.98764
100	4.29695
26031	2.69862
13839128	5.06575
75563	6.16674
10181341	3.88204
6160	5.65539
11460	4.66646
15420	4.79503
60129	4.85796
4962	4.33240
9908	5.75296
96816	4.94897
11663	4.20172
72534	4.33578
12173	4.38075
8876	6.85057
8070	4.19953
13839080	4.80485
6790	5.73498
11662	4.23787
56139	4.35110
880	4.19179
5242	4.41225
10250	4.44250
4963	4.41090
10254	4.50928
589165	6.52852
12480	5.38806
1013337	4.79350
3635	4.60374
20732	4.75225
61354	5.50718
60191	3.24519
352	4.70615
9612	3.89122
6191	2.39835
14830	5.41481
18688	4.50768
13038	5.60477
11919	5.37272
7507	4.19331
7183	5.92536
10355	6.08253
7088	6.63629
6287	3.16093
13850405	3.80189
21106521	3.78371
6342	6.56799
13861934	4.65825
17481	6.74019
6998	3.99747
3973	4.04669
60340	4.46204
8097	6.91344
13857694	6.12578
73564	4.12732
13875377	6.27084
13837988	6.37067
