Compound Id	ALOGP [AMR]
8160	31.108
13673	18.053
13875180	9.472
7013	29.669
7224	6.199
11180	30.6
12221	45.414
7392	10.188
7903	48.418
63871	32.191
11882	43.825
21106525	14.573
13851576	13.311
7893	42.257
7894	40.035
19108	53.673
13869480	11.538
924	14.291
13840647	15.226
13875160	11.118
6409	30.760
6654	18.564
11057	34.933
6630	15.226
62314	24.950
59426	14.436
370	32.225
7007	38.620
17221	33.046
14890	19.745
7901	42.292
78543	27.359
13875258	14.101
7241	6.199
13849	12.390
9563	10.597
15708	42.033
13875432	8.180
21111781	13.610
14436	32.167
13875219	8.180
7795	36.447
21106513	25.701
28982	12.915
18685	34.935
13839174	13.569
78	6.199
13860491	15.226
62877	21.262
13868660	19.562
8665	9.880
13869414	11.538
11021	12.779
7519	12.821
13842573	11.164
11242	22.083
333	10.631
7480	25.438
13869339	9.838
62226	28.623
13839151	13.569
59439	17.291
7236	26.714
11038	22.545
6991	13.946
16257	12.866
13646	14.291
11350	10.631
7634	20.332
9849	8.838
10955	21.481
6983	10.631
10251740	8.838
6652	15.013
1131173	23.630
9546	30.582
7632	24.018
1013196	11.992
23718	34.735
11179	33.556
10795	37.071
10445	38.149
10742	38.243
7657	35.099
6338	13.694
8659	34.829
7248	15.649
8531	20.701
11818	38.589
61026	30.011
10428	38.997
10253	19.770
11911	31.267
11790	38.997
13040	21.355
7509	38.377
13473	19.178
12829	21.355
21242799	15.966
13451	43.262
14888	21.355
6176	29.897
8013	27.389
13032	21.355
21106562	18.950
7448	20.701
21168731	14.819
13875381	16.620
61200	11.020
7879	42.743
11607	11.701
13839308	10.748
7129	14.429
16887	21.355
8579	48.326
7900	45.343
7744	30.639
11879	33.142
6628	15.340
21106155	15.832
21111850	15.830
11883	46.737
7866	35.137
13881571	15.915
9360	3.437
14787	33.334
12451	40.205
13856009	10.770
13848467	13.608
8138	13.692
9326	3.437
13644	10.770
6677	16.832
70682	44.092
72625	19.019
7132	10.770
13835630	38.865
12060	16.240
66344	14.369
6990	15.340
21105859	14.593
6985	15.340
66551	34.826
8098	0.0
74169	18.323
191427	25.556
21106167	11.701
7135	28.479
11091	27.088
6277	30.270
207215	15.190
7915	45.203
6177	26.346
13861	7.071
21168837	27.892
15526	30.903
13033	12.445
67466	23.219
7388	8.794
14165	13.682
10649	23.977
13866817	11.231
7635	21.402
14163	13.682
21111896	20.656
4642	12.588
11500	18.168
25942	17.040
21105878	14.632
5704	19.257
8911	34.939
25757	11.718
65689	16.666
13836283	8.444
16011	16.666
6253	28.385
24133	8.595
16237	11.231
60497	32.347
11651	14.174
7518	14.215
21106018	13.682
60662	12.204
73531	18.064
63882	27.178
12823	12.892
34095	37.846
56234	12.712
63307	15.876
87265	20.240
21844	18.323
12821	8.763
11181	23.552
521915	16.832
22006	15.340
12822	10.421
13868640	17.198
63180	12.445
9964	14.293
8852	0.0
10471	22.551
16931	15.480
13837582	8.444
13837760	5.129
5975	14.765
4878	5.129
12478	8.763
123	8.859
11022	14.554
8528	8.444
11080	6.787
68939	20.145
68309	26.592
63658	12.944
14346	7.442
68282	5.463
5408	15.951
5596	6.787
11489	5.899
62546	26.005
1017	7.442
13421	40.149
26065	41.568
21998	38.060
26066	42.998
7581	39.230
17976	42.712
26068	39.550
7580	38.157
15532	19.883
9478	39.874
13231	59.810
21106102	28.526
63017	38.995
9903	12.642
73565	43.279
7511	41.288
21106174	16.967
7659	16.506
6977	16.506
13865426	31.602
6794	22.879
20521	45.350
5931	31.323
21106522	10.783
21111905	16.733
6883	11.988
13622	49.614
13869451	9.838
11073	22.545
9328	5.967
6143	29.448
21111798	2.618
7908	47.684
13870160	5.733
12061	15.613
11930	32.729
21105937	13.610
21171406	19.562
17428	24.992
61765	12.473
6974	11.164
31931	16.733
11511	22.7
13438	30.895
15431	18.746
11517	25.759
13837686	8.180
13854818	5.502
10935	22.545
21106578	15.226
11885	49.648
37466	46.761
67735	43.711
