Compound Id	L
29025	4.073
1664	4.079
7128	4.084
455420	4.088
11866	4.089
21105905	4.093
10772050	4.102
26765	4.102
7681	4.11
7837	4.115
553642	4.119
21106560	4.124
11830	4.13
7810	4.13
7815	4.133
13842001	4.135
21169510	4.136
11930	4.141
10437135	4.148
7835	4.153
19956441	4.159
78	4.164
67991	4.168
455353	4.171
13875281	4.173
2039535	4.175
13837686	4.178
7240	4.18
123993	4.18
7849	4.182
7803	4.183
11783	4.185
13839441	4.2
18219	4.203
83866	4.203
13875160	4.205
11865	4.208
11077	4.214
21106586	4.214
13835772	4.218
83850	4.226
7221	4.23
11699	4.23
7385	4.23
7391	4.242
7670	4.244
13860335	4.248
19231	4.25
29005	4.251
7443	4.256
22191	4.256
7802	4.257
7389	4.26
7241	4.263
6179	4.267
7694	4.275
24972	4.277
62489	4.279
6286	4.28
7528	4.288
11660	4.289
62230	4.29
8568	4.29
7129	4.292
69371	4.292
10784857	4.298
21105871	4.31
13839082	4.312
63889	4.314
21109330	4.315
10937	4.317
7236	4.32
1577	4.327
122090	4.327
8909	4.329
11716	4.331
12231	4.334
10384035	4.337
6270	4.338
156255	4.342
7659	4.344
11409	4.346
6402	4.348
11919	4.348
7856	4.349
13257	4.35
21106036	4.35
13840690	4.353
7765	4.353
7538	4.356
71787	4.36
441	4.361
2606	4.369
11795	4.37
6287	4.37
14692	4.38
7223	4.385
7685	4.386
123860	4.386
7672	4.395
9970	4.407
13857694	4.41
16159	4.411
7088	4.413
28969	4.414
12069	4.416
11265	4.417
13648	4.425
13876539	4.426
7533	4.426
7131	4.428
7434	4.433
13866817	4.435
6977	4.441
13854136	4.442
447	4.449
13837760	4.45
13835151	4.452
191	4.457
7234	4.478
71628	4.479
7132	4.501
11087	4.502
18801	4.516
13837988	4.518
10696	4.52
76894	4.535
12456	4.537
12445	4.539
69569	4.539
12809	4.554
7138	4.557
10236	4.565
13863618	4.57
4446445	4.579
3954	4.58
55205	4.582
11021	4.584
14198	4.584
29026	4.585
5976	4.586
13875258	4.586
9903	4.59
7183	4.59
21181	4.594
13839416	4.6
7851	4.6
18410	4.6
13865680	4.612
21112023	4.613
503239	4.616
4878	4.618
932	4.619
12010	4.62
63908	4.626
5830	4.628
13839308	4.634
14680	4.635
28682	4.636
14169248	4.641
63310	4.648
11671339	4.648
391428	4.649
122446	4.652
238	4.657
7239	4.663
11863	4.663
2041618	4.671
13851576	4.672
13854248	4.674
10437215	4.675
8070	4.677
370	4.68
455090	4.685
11632	4.685
14840	4.686
2656	4.688
78828	4.689
10422	4.69
20939	4.693
69914	4.695
9976	4.698
73479	4.7
924	4.701
6883	4.704
5979	4.718
577	4.723
13658	4.725
21106366	4.726
7419	4.73
14299946	4.73
331	4.732
7448	4.732
7509	4.733
12632	4.735
61001	4.736
28982	4.737
11604	4.741
62534	4.744
62408	4.744
123207	4.745
75951	4.753
13837787	4.76
13839123	4.77
59483	4.77
18724	4.772
7850	4.772
13875432	4.773
8665	4.773
13839128	4.774
13875219	4.775
456015	4.78
55084	4.794
6974	4.802
8657	4.803
13849981	4.803
26824	4.803
72793	4.807
21106014	4.809
6296	4.813
14256731	4.815
13860775	4.818
7140	4.819
13869339	4.82
13647	4.826
764	4.827
7800	4.838
8071	4.84
13835932	4.843
7809	4.848
4449	4.853
13839110	4.856
29029	4.856
21106525	4.859
7142	4.86
132	4.867
12220	4.875
20570	4.876
21106144	4.878
7190	4.89
8140	4.896
13869451	4.909
15461	4.909
76394	4.916
7518	4.917
8520	4.918
8883	4.934
6079	4.947
2931	4.95
10536	4.95
25552	4.959
13848808	4.961
10181341	4.962
10328	4.964
15846	4.97
5596	4.975
4962	4.978
13869462	4.983
11871	4.984
10265270	4.984
222538	5.007
768	5.01
2849146	5.012
8674	5.022
13869480	5.023
12635	5.023
65523	5.028
6999	5.029
2441	5.043
7662	5.045
13856352	5.064
7506	5.071
6897	5.075
8186	5.081
15431	5.09
58234	5.091
21106146	5.097
15387	5.1
8574	5.12
1015	5.128
26325090	5.129
13842573	5.135
9564	5.135
221226	5.135
8912	5.135
7848	5.143
13875441	5.144
13863774	5.154
13871718	5.155
10179239	5.156
10227261	5.157
776	5.16
906	5.161
21168813	5.167
4366810	5.17
7170	5.17
12821	5.181
13619	5.191
392	5.2
8097	5.203
299166	5.205
21106013	5.206
13869414	5.207
21111817	5.208
7511	5.215
24641	5.218
21106020	5.22
17131	5.221
10756	5.226
7984	5.227
10404	5.23
13853953	5.235
12218	5.245
21105897	5.246
13862559	5.248
5593	5.249
123	5.25
11773	5.26
13846663	5.264
10451	5.267
7852	5.27
7872	5.27
13662	5.271
12637	5.272
376	5.277
6780	5.28
6794	5.287
21106018	5.29
72551	5.29
15427	5.294
13859497	5.295
11576	5.296
6635	5.296
21111781	5.3
11080	5.304
13835630	5.31
105291	5.312
14846	5.321
13868640	5.324
21105859	5.328
11862	5.328
8910	5.34
14227	5.341
10437210	5.342
11589	5.355
64699	5.36
8098	5.37
589165	5.376
6781	5.38
12933	5.38
13853758	5.386
9893	5.388
6621	5.39
558878	5.391
8855	5.397
10980	5.399
206561	5.4
15855	5.402
13835126	5.404
5882	5.408
13864445	5.419
21170967	5.42
12478	5.42
21105870	5.424
13229	5.427
13849989	5.434
24535	5.435
18019	5.441
73390	5.45
6674	5.454
11591	5.46
67360	5.46
553578	5.463
10437335	5.487
14593	5.49
10432	5.492
7745	5.51
21159695	5.514
7891	5.515
10972	5.526
11557190	5.532
8183	5.535
12219	5.56
880	5.57
1446	5.573
2923	5.573
6775	5.595
12954	5.606
8576	5.606
21105848	5.608
68109	5.61
7882	5.61
120548	5.613
10181339	5.616
6788	5.617
13853943	5.627
11672	5.634
57726	5.634
10892	5.636
6898	5.647
1905	5.65
21106470	5.654
6950	5.669
13860434	5.673
12972	5.677
21106148	5.69
10664	5.692
7890	5.696
71876	5.697
7176	5.716
15965	5.718
67653	5.72
13487	5.72
9088156	5.73
7871	5.732
68224	5.736
18	5.738
4511751	5.74
10181338	5.741
10756390	5.744
84971	5.75
388391	5.75
13871489	5.75
11629	5.752
2241	5.767
21106519	5.771
11460	5.773
7189	5.78
8521	5.78
13876103	5.785
11510	5.79
14349	5.79
7211	5.796
2937774	5.8
11584	5.8
21105998	5.801
6736	5.802
4963	5.818
6789	5.834
6737	5.856
59482	5.858
81814	5.86
14021447	5.86
71	5.868
80863	5.87
955	5.876
7145	5.88
917	5.88
3350	5.883
10616	5.9
7172	5.903
10257	5.905
953	5.916
1151	5.917
21106571	5.922
6827	5.922
11422	5.924
21106163	5.926
10025	5.926
13835344	5.935
15853	5.94
21106140	5.942
10801109	5.945
86394	5.948
21106145	5.951
62310	5.955
13835706	5.964
7092	5.977
1448	5.981
8182	5.988
21106518	6.007
10437239	6.014
13848793	6.015
68676	6.018
16180	6.02
7600	6.039
13846959	6.042
6773	6.05
7340	6.05
13837329	6.051
21106581	6.059
16475	6.06
7146	6.065
185	6.068
6828	6.07
11488212	6.085
6646	6.087
10801842	6.09
16387	6.09
11586	6.097
62472	6.1
16388	6.11
21108576	6.111
6480	6.114
23083	6.12
10628694	6.125
7892	6.128
71437	6.13
5644	6.14
10909	6.146
10918	6.147
8935	6.15
4510206	6.17
7757	6.18
13846749	6.186
2298886	6.19
6550	6.193
8341	6.2
7208	6.2
11882	6.2
4611	6.204
13835351	6.21
8374	6.21
70682	6.214
13492	6.219
13677	6.226
6739	6.23
17347	6.234
7875	6.24
11777	6.26
7310	6.26
11465	6.268
2157	6.279
8150	6.28
7302	6.287
7202	6.29
7042	6.305
6035	6.307
11776	6.307
10908	6.31
10850	6.312
556589	6.313
7299	6.313
8577	6.318
21106900	6.329
17652	6.33
5915	6.332
10106	6.341
63518	6.343
17868	6.344
6706	6.346
10851	6.347
11588	6.351
79969	6.363
6675	6.364
71193	6.364
2206	6.368
13867714	6.388
4445317	6.402
10849	6.405
11595	6.426
1906	6.43
6193	6.44
67270	6.455
16177	6.46
6033	6.469
6478	6.469
15517	6.47
10841	6.473
13574	6.49
8319	6.49
7964	6.49
15789876	6.498
21105699	6.5
