Compound Id	ChiChain [VCH-7]
10433	0.0
11992	0.0
10253	0.044
60886	0.078
83962	1.375
12161	0.0
7671	0.0
10446	0.0
62249	0.0
11526	0.0
7672	0.2
7786	0.0
8335	0.039
7657	0.0
22453	0.0
7065	0.0
13875283	0.038
7553	0.0
11409	0.047
3631	0.0
13835836	0.0
55084	0.0
7694	0.0
7482	0.0
11716	0.0
11045	0.0
7515	0.0
13836549	0.035
13836674	0.0
6967	0.056
6977	0.072
21168808	0.0
960	0.0
61213	0.0
7472	0.0
11207996	0.0
29016	0.0
7747	0.0
7627	0.0
10571	0.0
7076	0.0
7003	0.0
9614	0.012
7739	0.0
8883	0.577
7757	0.0
7511	0.0
7509	0.0
29005	0.0
10420	0.0
7478	0.0
7475	0.0
7463	0.0
21111806	0.021
21111820	0.0
21171407	0.0
11910	0.0
13850082	0.0
7872	0.0
7875	0.0
7913	0.0
7670	0.0
8568	0.0
14846	0.0
7800	0.0
11843	0.0
29012	0.0
10797	0.0
7538	0.0
7536	0.0
11755	0.0
7706	0.0
7761	0.0
10492	0.0
11680	0.0
11706	0.0
10653	0.0
68179	0.0
11727	0.0
21108550	0.021
9724	1.179
11731	0.0
8950	0.023
14866	0.030
6720	0.117
7559	0.0
10236	0.072
7012	0.0
11065	0.0
28981	0.0
99681	0.088
8525	0.0
6176	0.0
7081	0.0
6313	0.0
9903	0.128
55123	0.0
12012	0.0
7534	0.0
10791	0.0
11125	0.0
7782	0.0
6316	0.0
9325	0.021
123860	0.0
28986	0.0
6335	0.0
7616	0.0
7129	0.016
10788	0.0
7621	0.0
8329688	0.0
10777	0.0
441	0.0
7838	0.0
5949	0.0
29029	0.0
7772	0.0
256	0.0
512	0.0
21169510	0.0
7676	0.036
13875281	0.059
7220	0.019
7248	0.044
11661	0.044
12674	0.070
8097	0.111
12972	0.0
9976	0.0
7514	0.0
215929	0.0
11025	0.0
7734	0.0
7016	0.0
1095	0.0
2038738	0.010
12259	0.090
13836589	0.0
172	0.0
13836520	0.020
13875230	0.059
18219	0.0
10801109	0.0
29004	0.039
7871	0.0
21153	0.0
7802	0.0
12218	0.0
12632	0.0
7760	0.0
11095	0.0
21106173	0.039
7607	0.0
13866746	0.034
7577	0.0
7506	0.0
9228	0.042
7239	0.039
11647	0.042
7530	0.1
1266019	0.0
109838	0.0
6321	0.0
13874867	0.0
6314	0.0
4510484	0.0
62530	0.018
13842613	0.043
7391	0.013
7242	0.018
26325086	0.042
13862665	0.0
15443	0.059
124968	0.007
9581	0.022
66809	0.010
221082	0.019
13875320	0.082
6642	0.094
13835376	0.0
127750	0.0
13857694	0.063
7673	0.063
7662	0.082
363458	0.042
7684	0.046
61111	0.009
13875196	0.022
11042	0.043
24972	0.043
28992	0.033
13875160	0.059
13875258	0.082
9994	0.0
29015	0.0
4446445	0.0
4444608	0.0
394562	0.0
13839199	0.025
18724	0.012
7238	0.013
21105959	0.039
13866817	0.063
13875392	0.082
13839575	0.0
6322	0.0
558020	0.007
21132380	0.043
13677	0.075
65750	0.018
63903	0.018
10940	0.043
13865438	0.039
13868640	0.109
29001	0.0
21106135	0.039
13837988	0.063
10400	0.033
8067	0.106
13839109	0.0
21105905	0.018
11077	0.043
906	0.064
13865426	0.0
10710415	0.0
21106560	0.018
20843	0.033
15965	0.016
70682	0.0
13658	0.05
11862	0.0
7710	0.0
7809	0.0
7765	0.0
6794	0.014
26516	0.023
17131	0.048
21106520	0.025
924	0.014
13862559	0.082
6788	0.084
13861343	0.0
73412	0.0
8904	0.0
13874733	0.025
24535	0.028
25552	0.024
10437215	0.008
11087	0.081
10909	0.104
10918	0.104
15489	0.061
2441	1.230
10939	0.102
11784	0.028
8868	0.061
7518	0.086
21106019	0.048
24533	0.014
1020	0.0
2039535	0.008
8374	0.016
21106586	0.0
11756	0.0
71089	0.019
7688	0.019
8902	0.0
10937	0.043
6897	0.016
17443	0.008
6883	0.016
11785	0.028
7240	0.014
503239	0.009
21106571	0.094
10908	0.098
3463	2.189
16388	0.0
6828	0.032
7161	0.080
8141	0.0
7679	0.036
4444456	0.0
66996	0.022
13840690	0.023
11667	0.043
13864445	0.082
21108548	0.081
21106163	0.094
14256731	0.0
6311	0.0
30595	0.042
13865424	0.044
13229	0.0
7175	0.042
7157	0.042
917	0.113
13875356	0.109
12044	0.058
12682	0.118
71628	0.0
9363	0.009
6296	0.123
70715	0.038
62632	0.0
78998	0.0
11884	0.0
16177	0.0
15853	0.0
67360	0.0
11866	0.0
15846	0.0
29026	0.0
11846	0.0
7770	0.0
7717	0.0
62808	0.007
21106366	0.023
7420	0.023
21168831	0.023
455090	0.009
71437	0.867
13063	0.077
558878	0.0
25886	0.0
71430	0.067
559096	0.398
13868660	0.102
707	0.252
387	0.0
10018	0.0
61001	0.028
20570	0.011
21106540	0.094
15855	0.080
7790	0.0
8903	0.0
62489	0.010
8899	0.0
13634	0.014
13630	0.049
553578	0.0
66565	0.016
10437135	0.008
66021	0.022
7221	0.014
7383	0.023
6339	0.0
6736	0.082
10851	0.102
10850	0.096
23977588	2.010
24043	0.0
12069	0.0
191367	0.0
11799	0.0
7615	0.0
11265	0.0
