Compound Id	Weight
7848	192.051363
61487	150.004413
11863	178.035713
7810	164.020063
7766	150.004413
7711	135.988762
7552	121.973112
6092	107.957462
12010	212.006199
11830	197.990548
10497	183.974898
31029	169.959248
6100	155.943598
12228	108.039527
6042	131.930033
13836713	74.019021
13803	136.055571
7815	118.081622
7560	76.034671
6103	62.019021
6635	257.813116
6087	49.992328
7721	90.050321
6083	93.941812
1039	62.019021
6088	141.927948
13837281	163.875411
56232	173.177965
5979	233.813116
13837190	76.052430
7074	142.099380
7170	162.140851
10534	92.0626
10410	134.109551
68503	148.055571
14694	133.950162
7090	146.034335
7028	86.073165
10487	118.054928
13492	176.156501
15747	190.172151
8356	134.109551
18971812	146.011013
14688	229.240565
71876	184.146330
7128	120.0939
7183	134.109551
7088	134.109551
15461	148.125201
13299573	211.926003
7073	144.115030
2340753	177.899646
8554	86.073165
10340	82.041865
13487	162.140851
7385	120.0939
8531	134.109551
7448	134.109551
764	110.036779
10325184	177.899646
6406	100.052430
12066	74.036779
7738	68.026215
10404	148.125201
7419	134.109551
7219	106.078250
11660	120.0939
6999	134.109551
18688	130.099380
7737	72.057515
1108	92.0626
236	78.046950
7521	106.078250
7641	106.078250
7659	120.0939
11871	150.053693
55130	130.099380
10433	130.099380
11992	116.083730
10253	134.109551
60886	271.987226
83962	196.146330
12161	152.050485
7671	144.115030
10446	116.083730
62249	116.083730
11526	90.031694
7672	162.004413
7786	122.022392
8335	134.109551
7657	130.099380
22453	130.099380
7065	116.083730
13875283	110.053179
7553	119.957462
11409	120.0939
3631	183.971433
13835836	118.099380
55084	158.130680
7694	144.115030
7482	130.099380
11716	144.115030
11045	130.099380
7515	116.083730
13836549	185.990419
13836674	76.007978
6967	106.078250
6977	120.0939
21168808	98.019021
960	256.240231
61213	114.004784
7472	116.083730
11207996	115.075905
29016	130.099380
7747	116.083730
7627	102.068080
10571	102.068080
7076	142.099380
7003	126.068080
9614	96.037528
7739	84.003371
8883	136.125201
7757	200.177630
7511	172.146330
7509	158.130680
29005	144.115030
10420	130.099380
7478	118.062994
7475	116.083730
7463	102.068080
21111806	114.028107
21111820	98.019021
21171407	167.943598
11910	86.073165
13850082	196.146330
7872	172.146330
7875	200.177630
7913	228.208930
7670	142.135765
8568	144.115030
14846	172.146330
7800	158.130680
11843	130.099380
29012	116.083730
10797	114.104465
7538	144.115030
7536	130.099380
11755	88.052430
7706	102.068080
7761	116.083730
10492	102.068080
11680	102.068080
11706	116.083730
10653	88.052430
68179	127.099714
11727	57.021464
21108550	114.028107
9724	138.140851
11731	93.991092
8950	118.078250
14866	160.125201
6720	154.135765
7559	56.026215
10236	120.0939
7012	86.073165
11065	86.073165
28981	128.120115
99681	196.146330
8525	88.052430
6176	100.088815
7081	100.088815
6313	72.057515
9903	118.078250
55123	130.099380
12012	116.083730
7534	128.120115
10791	100.088815
