Compound Id	ChiCluster [SC-3]
34848	1.504
84344	1.423
34850	1.413
82819	1.423
56772	1.519
82820	1.423
16415	1.240
56779	1.423
56768	1.509
56777	1.615
84345	1.413
34668	1.504
16736486	2.803
8111	0.667
642951	1.107
13300034	1.877
96965	1.638
33198	1.656
82783	1.532
34852	1.532
37000	1.532
37019	1.628
56765	1.628
39198	1.628
82740	1.445
56761	1.532
56756	1.628
56766	1.628
83413	1.724
34851	1.618
36976	1.628
56767	1.714
56763	1.702
5775	2.952
21106145	1.0
11422351	1.912
56787	1.212
35583	1.202
82807	1.308
56794	1.308
33386	1.212
33457	1.116
47912	1.308
82817	1.299
46893	1.404
33280	1.299
35582	1.404
33304	1.299
46263	1.202
553171	0.577
10488	0.289
34667	1.093
34871	1.199
34873	1.093
56784	0.997
34872	1.199
970	0.605
556589	0.333
29153	0.889
11917	0.962
204209	0.908
21106581	1.0
15827	1.762
70806	0.742
4437893	0.697
9824	0.737
2908	1.292
33407	1.935
36985	1.848
35205	1.935
15637	1.935
82821	1.945
8329	0.718
2625	1.439
86007	1.215
13835344	0.704
76154	1.344
73390	0.402
11773	0.408
11582	0.704
7172	1.0
2991	0.526
34853	1.513
37745	1.513
36978	1.610
34190	1.706
34191	1.610
36771	1.610
36710	1.696
56757	1.605
549017	1.529
84347	1.711
56764	1.605
56758	1.605
47914	1.711
56762	1.529
33984	1.6
33983	1.686
34860	1.724
82738	1.820
36982	1.724
36979	1.820
47915	1.734
56783	1.820
36981	1.811
37004	1.734
36980	1.811
222538	0.402
13848793	0.622
7176	0.691
7211	1.0
65523	0.402
13090	0.526
82751	2.041
36989	2.041
8800	0.822
62060	2.420
2975965	1.282
33282	1.395
46285	1.404
46284	1.491
82806	1.501
56776	1.597
47913	1.404
32952	1.481
45446	1.587
43353	1.491
56773	1.491
26325089	1.234
6588	0.772
2849146	0.402
10437335	0.402
33281	1.276
56786	1.286
56789	1.382
33456	1.488
46264	1.286
9187483	0.955
5978	2.0
10257	0.939
