Compound Id	EccentricConnectivityIndex
5233	288
197564	483
193441	496
9579	88
7533	63
6164	24
56559	467
9053802	279
29000	31
7434	74
6312	19
8398	29
11898	600
72522	542
7928	486
14348	434
2581	384
11891	338
7917	294
7915	254
7901	216
7892	182
7882	150
8574	122
932	96
7812	54
7837	74
6040	38
258	24
1004	14
682	6
9391	29
63156	54
12626	38
60524	19
59674	38
10248	76
16119	76
12643	45
11752	31
21106900	112
15753	110
3210	273
392447	120
13854242	140
7600	137
13872989	14
62597	24
4937830	14
69177	89
10244	89
8733	24
7568	14
6633	63
12229	45
31006	537
13860434	101
5551	496
13866593	54
21106015	14
13839174	63
11021	77
8960	2
11465	116
4590	171
2157	123
11809	24
748	2
12823	77
10328	54
120621	38
12445	45
20119	47
6334	19
55205	65
13816	29
26765	45
192642	36
122446	43
21181	63
28994	14
11460	90
7145	80
6550	96
106796	400
5550	477
5633	496
13860335	60
24099	38
15702	200
10996	144
7279	131
5091	521
1262	260
880	92
13837702	38
21106535	29
12225	29
773	20
864	2
415	24
1141	54
1664	45
21361761	282
21105998	95
12640	29
6480	83
10437210	88
776	70
8273	144
7397	92
71787	54
4777	345
9219586	391
2457	223
1266393	47
7021	29
11694	61
11244	24
13850879	260
6600	161
62964	180
3322	341
13047	89
10438331	155
5976	63
13846959	88
6688	158
5542	639
19232037	705
19232038	852
18547147	933
21587143	1111
11286	138
8070	76
55091	29
733	29
25472	170
18801	74
68156	54
10857	63
589165	92
6610	238
8470	157
953	88
6593	144
21105870	107
63889	58
123207	58
123	77
2241	69
62466	80
62485	88
63968	168
13839128	67
83866	54
18707	67
7961	24
4450907	289
10254	76
62467	80
5236	123
5660	336
305	108
3741	207
12244	76
13839151	63
13257	58
32555	297
13835336	14
13835861	24
73479	88
13839123	67
9911	80
13865680	67
11604	71
13835772	54
61538	76
194092	101
8528	54
3008	170
7140	80
4611	150
21105859	100
13846658	168
66567	62
8140	67
1019	20
67465	114
79280	150
5807	240
11595	126
2068	122
6646	79
7443	77
83850	54
12060	102
14678	129
61411	89
28982	77
6330	19
11795	47
173	9
67270	89
6033	99
7092	78
58563	88
2925	281
8341	108
13839105	67
65	67
13846663	99
21106091	124
65785	208
11596	140
10243171	115
62517	92
86435	173
70652	208
70988	171
10464	31
13839012	151
4333	304
21106169	24
13839110	63
13839082	58
21105871	54
9874	101
11332993	103
28973	161
27296	129
11651	102
8665	77
61707	24
3584	476
4744	286
466305	170
10246	76
21109330	34
10948	29
13835224	19
13835235	14
81815	51
2206	111
86394	100
54833	793
7155	147
230	109
11576	99
2606	29
2079	186
42330	140
8657	71
10903	153
6907	172
11193	41
20545	500
6649	43
8012	36
6333	19
971	45
9454	115
577	54
10181339	120
44152	140
137720	260
13846749	140
8900	20
6177	29
7469	54
7064	54
10001	38
6341	24
259	31
1005	19
9326	54
967	102
11589	113
5596	54
13249	367
3951	24
8552	65
7701	47
7888	203
12013	279
2863	169
7803	87
171	9
7866	139
3756	239
10033	467
370	111
12071	579
10035	639
13884973	45
13029	76
6706	89
4962	67
4575	182
11591	113
9218	103
11107	65
3277	283
8183	112
79969	173
9350	58
10980	88
11588	88
