Compound Id	PetitjeanShapeIndex [topoShape]
62489	0.667
8899	0.0
13634	0.667
13630	0.333
553578	1.0
66565	0.333
10437135	1.0
66021	0.333
7221	0.667
7383	1.0
6339	0.5
6736	0.667
10851	1.0
10850	1.0
23977588	0.75
24043	1.0
12069	0.75
191367	1.0
11799	0.667
7615	1.0
11265	1.0
67653	0.8
21106032	0.667
1348	0.5
66896	0.875
62534	0.75
62408	1.0
7389	1.0
38364	0.333
12045	0.75
2003	0.5
17784	1.0
12637	0.833
21106524	0.667
13875212	0.333
19475	1.0
13647	0.667
21168826	0.667
6780	0.667
10841	1.0
25889	1.0
25890	0.8
10227261	0.833
220998	1.0
12954	1.0
13851576	0.667
12047	1.0
16736498	0.75
6478	0.667
8912	0.0
10849	1.0
11038	0.667
89076	0.833
199342	0.8
19477	1.0
6287	1.0
13811	1.0
14169248	1.0
10437074	0.333
21105878	0.75
21168813	0.667
235	0.667
8186	1.0
13872122	0.75
8098	0.667
6737	0.667
6789	1.0
15861	0.5
4445317	0.75
11632	1.0
13885245	1.0
8674	1.0
7132	0.667
11783	0.333
27488	0.333
10813	0.667
7202	0.75
30516	0.75
26325090	0.8
21112023	1.0
13876539	1.0
68676	0.75
551	0.5
11776	0.333
66895	0.833
66887	1.0
9893	0.75
63518	0.8
59482	1.0
6881	1.0
13839308	1.0
10586285	0.75
218253	0.75
7689	0.333
63310	0.667
7299	1.0
10829	0.667
12957	0.667
84036	0.667
68152	1.0
24041	0.75
19953955	1.0
14556	0.75
21106140	1.0
1361549	1.0
10831	0.667
23886	0.75
33421	0.75
70714	0.333
15755	1.0
14995	0.667
14994	0.667
67470	1.0
15476	1.0
15756	1.0
6592	0.5
21943	1.0
10106	1.0
19956441	0.75
11930	1.0
10384035	1.0
65936	0.667
14227	0.667
11584	0.75
13867714	0.75
19957731	1.0
120489	0.667
7302	1.0
16387	0.8
502245	0.8
5708	1.0
16159	1.0
13648	0.667
13835126	1.0
34863	0.75
23730	1.0
23621376	0.667
21106146	0.667
12231	0.333
15619	0.75
15789876	1.0
7224	0.667
11600	0.667
21106144	0.667
13863774	1.0
7138	0.667
6604	1.0
25677	0.75
6840	0.75
12816	0.667
21111781	0.667
15475	1.0
15477	0.667
15478	0.5
15524	0.75
158870	1.0
157093	1.0
83374	0.75
457144	1.0
135925	0.667
457145	1.0
8807	0.667
19476	0.667
28969	1.0
13863629	1.0
7278	0.75
13644	0.667
21106014	0.667
6852	0.75
6735	0.667
30572	1.0
21106013	0.667
26260	1.0
4932499	0.75
12586	1.0
7964	1.0
6193	1.0
15620	0.667
11708	0.667
13859497	1.0
9943	0.667
456015	0.667
63906	1.0
15621	1.0
11632871	0.0
13856009	0.667
8876	0.667
21106020	1.0
15488	0.75
84188	1.0
136000	1.0
135983	0.75
136001	1.0
136002	1.0
136003	0.5
84235	0.75
82755	0.75
82712	1.0
157094	0.75
103011	1.0
102798	0.667
82762	0.5
13849665	1.0
24326358	1.0
5894	0.5
68437	1.0
26010	0.75
30600	0.75
33455	1.0
33934	1.0
33932	0.75
34866	0.75
34665	1.0
34664	0.75
37904	0.75
34864	0.75
34188	1.0
34865	1.0
11974	0.667
33416	0.0
15409	0.8
21106036	1.0
8855	0.667
2915	0.5
13328	0.5
7225	0.667
7685	0.333
21111817	0.667
20124	1.0
2923	0.667
21106470	0.667
56793	0.75
454495	0.75
40191	1.0
56791	1.0
35581	0.75
56774	0.75
82765	1.0
2185	0.8
13853953	0.667
457140	0.5
27793	0.5
82754	0.5
457138	0.75
102897	0.75
457139	0.5
102947	1.0
97173	0.75
102720	1.0
102801	1.0
102833	0.75
102721	1.0
102856	1.0
102933	0.75
103066	0.75
97172	0.75
7030	0.5
62484	0.75
87265	1.0
12699	0.75
21429023	0.5
13837303	0.8
78	0.667
13837329	0.75
65701	1.0
59577	0.667
2283071	0.5
13104	1.0
21106008	0.75
247721	0.8
4489	0.667
13835706	1.0
2275	0.5
3918	1.0
106355	1.0
102741	1.0
97055	0.75
97198	0.75
5993	0.5
28682	0.667
13856959	1.0
553649	0.8
13848341	0.75
10864	0.667
10169	1.0
8860	0.75
6838	1.0
34874	0.75
36972	1.0
56788	1.0
533188	0.75
35579	0.75
16182	0.8
46262	1.0
35580	1.0
82818	0.75
56790	1.0
56795	1.0
33458	0.75
82777	1.0
35584	1.0
