Compound Id	ZagrebIndex
15619	68.0
15789876	84.0
7224	34.0
11600	36.0
21106144	46.0
13863774	46.0
7138	40.0
6604	62.0
25677	82.0
6840	76.0
12816	34.0
21111781	44.0
15475	62.0
15477	62.0
15478	62.0
15524	62.0
158870	68.0
157093	68.0
83374	68.0
457144	68.0
135925	68.0
457145	68.0
8807	68.0
19476	24.0
28969	44.0
13863629	30.0
7278	48.0
13644	40.0
21106014	40.0
6852	60.0
6735	56.0
30572	40.0
21106013	46.0
26260	68.0
4932499	74.0
12586	56.0
7964	64.0
6193	68.0
15620	68.0
11708	36.0
13859497	56.0
9943	34.0
456015	34.0
63906	40.0
15621	68.0
11632871	64.0
13856009	40.0
8876	50.0
21106020	46.0
15488	64.0
84188	68.0
136000	68.0
135983	68.0
136001	68.0
136002	68.0
136003	68.0
84235	68.0
82755	74.0
82712	74.0
157094	74.0
103011	74.0
102798	74.0
82762	74.0
13849665	86.0
24326358	60.0
5894	16.0
68437	68.0
26010	70.0
30600	70.0
33455	70.0
33934	70.0
33932	70.0
34866	76.0
34665	76.0
34664	76.0
37904	76.0
34864	76.0
34188	76.0
34865	76.0
11974	48.0
33416	60.0
15409	56.0
21106036	52.0
8855	50.0
2915	72.0
13328	122.0
7225	34.0
7685	30.0
21111817	40.0
20124	56.0
2923	46.0
21106470	50.0
56793	82.0
454495	82.0
40191	82.0
56791	82.0
35581	82.0
56774	88.0
82765	88.0
2185	66.0
13853953	46.0
457140	68.0
27793	74.0
82754	74.0
457138	74.0
102897	74.0
457139	74.0
102947	74.0
97173	74.0
102720	74.0
102801	74.0
102833	74.0
102721	74.0
102856	74.0
102933	74.0
103066	74.0
97172	74.0
7030	26.0
62484	50.0
87265	40.0
12699	82.0
21429023	114.0
13837303	72.0
78	34.0
13837329	64.0
65701	46.0
59577	34.0
2283071	74.0
13104	72.0
21106008	54.0
247721	56.0
4489	36.0
13835706	62.0
2275	22.0
3918	90.0
106355	74.0
102741	80.0
97055	80.0
97198	80.0
5993	16.0
28682	40.0
13856959	76.0
553649	66.0
13848341	38.0
10864	46.0
10169	96.0
8860	76.0
6838	88.0
34874	82.0
36972	82.0
56788	82.0
533188	82.0
35579	82.0
16182	82.0
46262	82.0
35580	82.0
82818	82.0
56790	82.0
56795	82.0
33458	82.0
82777	82.0
35584	82.0
56785	82.0
56792	82.0
34189	82.0
34859	94.0
84346	94.0
56760	94.0
56755	94.0
33666	94.0
13867413	24.0
6781	50.0
13865630	46.0
7241	34.0
12061	42.0
15473	70.0
17099	70.0
17098	70.0
33933	70.0
15474	70.0
34868	76.0
37905	76.0
34869	76.0
37918	76.0
37915	76.0
34867	76.0
25605	76.0
26011	76.0
34870	76.0
34666	76.0
21924	76.0
36973	88.0
37744	88.0
46894	88.0
45444	88.0
56769	88.0
56780	88.0
34847	88.0
39406	88.0
35081	88.0
56781	88.0
56771	88.0
6842	76.0
10101	32.0
13835351	58.0
6773	58.0
102834	80.0
102722	80.0
154865	80.0
96948	80.0
102743	80.0
102857	80.0
154866	80.0
106356	80.0
102787	80.0
97240	80.0
102742	80.0
136966	40.0
13054	48.0
7636	32.0
21105699	58.0
29107	22.0
7029	26.0
19231	34.0
67460	46.0
9873	82.0
17868	58.0
6524	92.0
8243	96.0
6528	104.0
13837319	88.0
8241	80.0
11422	50.0
6855	66.0
69982	58.0
97257	86.0
97224	86.0
102923	86.0
96868	86.0
96864	86.0
97234	86.0
97233	86.0
154062	86.0
97142	86.0
2075	108.0
21106148	50.0
6023	44.0
65763	56.0
56782	100.0
36977	100.0
83414	100.0
84348	100.0
82823	100.0
11586	60.0
1278	76.0
62472	60.0
26563	72.0
36975	88.0
56778	88.0
43354	88.0
37779	88.0
45445	88.0
36974	88.0
35585	88.0
34848	88.0
84344	88.0
34850	88.0
82819	88.0
56772	88.0
