Compound Id	ChiPath [VP-2]
6827	4.796
20939	3.368
7817	1.391
11788	2.364
13835316	1.445
6270	4.387
454209	1.424
9633	2.457
9377	1.750
9243	0.267
11148	0.0
923	0.0
6121	1.887
6315	1.934
6118	2.845
8577	3.646
14349	3.292
7852	2.939
14680	2.585
7776	1.878
7330	1.092
6122	3.505
7732	0.622
11729	1.732
6307	2.196
13255	2.335
10512	1.774
13837797	1.115
6098	0.463
10536	3.544
7827	2.837
9233	2.344
18607	1.978
5730	3.857
10526	2.128
120464	3.033
24590970	3.035
7733	0.469
7850	2.835
11865	2.481
7714	1.421
10437	1.067
6097	0.802
12219	3.603
7848	3.250
61487	4.219
11863	2.896
7810	2.543
7766	2.189
7711	1.836
7552	1.482
6092	1.389
12010	2.828
11830	2.475
10497	2.121
31029	1.768
6100	1.793
12228	N/A
6042	3.629
13836713	0.836
13803	4.424
7815	2.231
7560	1.171
6103	0.949
6635	3.804
6087	0.0
7721	1.524
6083	0.0
1039	1.225
6088	0.0
13837281	2.420
56232	4.328
5979	5.558
13837190	0.695
7074	2.773
7170	3.980
10534	1.477
10410	3.084
68503	4.260
14694	1.569
7090	1.864
7028	1.824
10487	2.853
13492	3.650
15747	4.003
8356	2.720
18971812	2.487
14688	5.743
71876	3.330
7128	2.565
7183	3.065
7088	3.616
15461	3.603
13299573	2.567
7073	3.179
2340753	1.863
8554	1.673
10340	1.224
13487	3.296
7385	2.236
8531	2.527
7448	2.524
764	1.516
10325184	2.176
6406	1.272
12066	0.934
7738	0.793
10404	2.943
7419	2.589
7219	1.839
11660	2.339
6999	3.021
18688	2.970
7737	1.319
1108	1.655
236	1.155
7521	2.155
7641	2.158
7659	2.665
11871	3.649
55130	2.289
10433	2.430
11992	1.892
10253	3.011
60886	3.262
83962	5.709
12161	3.949
7671	3.050
10446	2.706
62249	2.742
11526	0.658
7672	3.530
7786	3.088
8335	2.476
7657	2.403
22453	2.061
7065	1.907
13875283	1.796
7553	1.090
11409	2.280
3631	1.651
13835836	1.478
55084	2.678
7694	2.324
7482	1.970
11716	2.281
11045	1.928
7515	1.574
13836549	1.884
13836674	0.752
6967	2.084
6977	2.588
21168808	2.376
960	5.386
61213	1.471
7472	1.828
11207996	1.862
29016	2.523
7747	2.196
7627	1.658
10571	1.678
7076	2.270
7003	1.667
9614	1.296
7739	1.610
8883	4.878
7757	3.676
7511	2.969
7509	2.616
29005	2.262
10420	1.909
7478	1.116
7475	1.555
7463	1.159
21111806	1.440
21111820	2.081
21171407	1.324
11910	2.484
13850082	3.931
7872	3.108
7875	3.815
7913	4.522
7670	3.735
8568	2.401
14846	3.094
7800	2.740
11843	2.047
29012	1.694
10797	2.712
7538	2.387
7536	2.033
11755	1.281
7706	1.340
7761	2.150
10492	1.823
11680	1.326
11706	1.680
10653	0.930
68179	2.034
11727	0.315
21108550	1.436
9724	4.915
11731	2.247
8950	1.978
14866	4.076
6720	4.203
7559	0.372
10236	2.517
7012	1.522
11065	1.796
28981	2.447
99681	4.719
8525	0.925
6176	2.806
7081	1.713
