Compound Id,A
7776,0
7777,0.08
7782,0
7786,0
7787,0
7788,0
7790,0
7791,0.06
7794,0.08
7800,0
7802,0
7803,0.62
7809,0
7810,0
7811,0.16
7812,0.37
7815,0
7817,0
7823,0
7827,0
7833,0
7835,0.16
7837,0.37
7838,0
7848,0
7849,0
7850,0
7851,0.16
7852,0
7856,0.08
7866,0.62
7871,0
7872,0
7875,0
7882,0.37
7888,0.62
7890,0
7891,0
7892,0.37
7901,0.37
7913,0
7915,0.37
7917,0.37
7928,0.37
7929,0
7954,0
7956,0
7957,0
7961,0.5
7964,0
7984,1.5
8012,0.6
8030,0.179
8058,0.011
8060,0.012
8067,0
8070,0.464
8071,0.68
8093,0.178
8097,0
8098,0
8111,0
8140,0.54
8141,0
8158,0
8182,0.927
8183,0.629
8186,0
8241,0
8243,0
8262,0.06
8273,0.44
8282,1.09
8319,0.19
8329,0
8335,0
8341,0.552
8356,0
8374,0
8398,0.37
8470,0.483
8520,0
8521,0
8525,0
8528,0.53
8531,0
8543,0.05
8544,0
8552,0.62
8554,0
8560,0
8562,0.08
8568,0
8569,0
8574,0.37
8576,0.16
8577,0
8657,0.59
8665,0.57
8674,0
8733,0.38
8763,0
8788,0
8799,0
8800,0
8804,0
8807,0
8816,0
8817,0
8855,0
8860,0
8868,0
8876,0
8878,0
8883,0
8896,0
8899,0
8900,0.608
8902,0
8903,0
8904,0
8908,0
8909,0
8910,0
8912,0
8935,0.21
8950,0
8960,0.39
9016,0.21
9120,0.11
9218,0.62
9228,0
9233,0
9243,0
9251,0.07
9253,0.09
9254,0.09
9256,0.105
9286,0.1
9325,0
9326,0.61
9349,0.2
9350,0.63
9360,0.68
9363,0
9377,0
9391,0.37
9392,0
9411,0
9454,0.6
9461,0
9484,0
9547,0.7
9564,0.85
9574,0.64
9579,0.362
9581,0
9614,0
9633,0
9642,0
9646,0
9724,0
9797,0
9824,0
9873,0
9874,0.57
9893,0
9903,0
9911,0.52
9943,0
9965,0.94
9970,0.32
9976,0
9990,0
9994,0
10001,0.61
10008,0.32
10018,0
10025,1.1
10033,0.62
10035,0.62
10053,0
10054,0
10101,0
10106,0
10113,0
10124,0
10162,0
10169,0
10236,0
10244,0.38
10246,0.58
10248,0.37
10253,0
10254,0.5
10257,0
10328,0.4
10340,0
10343,0.04
10364,0.12
10400,0
10404,0
10410,0
10411,0.64
10420,0
10422,0.24
10432,0.68
10433,0
10437,0
10441,0
10445,0
10446,0
10449,0
10451,0
10452,0
10464,0.56
10487,0
10488,0
10492,0
10497,0
10498,0.02
10511,0.33
10512,0
10526,0
10534,0
10536,0
10540,0
10542,0
10571,0
10616,0.82
10653,0
10664,0.79
10669,0
10696,0
10709,0
10755,0
10756,0.147
10765,0
10777,0
10781,0
10786,0
10787,0.33
10788,0
10790,0.33
10791,0
10795,0
10797,0
10813,0
10829,0
10831,0
10837,0.17
10841,0
10849,0
10850,0
10851,0
10857,0.48
10864,0
10870,1.14
10892,0.24
10903,0.59
10908,0
10909,0
10918,0
10937,0
10939,0
10940,0
10947,0.33
10948,0.58
10972,0.64
10975,1.05
10979,0
10980,0.63
10986,0.66
10991,0.23
10992,0.33
10996,0.41
11003,0.17
11021,0.39
11023,0
11024,0.31
11025,0
11029,0.33
11035,0
11036,0.33
11038,0
11042,0
11045,0
11055,0
11056,0.31
11065,0
11077,0
11080,0.74
11083,0.91
11086,0
11087,0
11094,0
11095,0
11099,0
11104,0
11107,0.62
11109,0
11110,0
11117,0
11121,0
11125,0
11146,0
11148,0
11153,0.07
11154,0.13
11180,0.31
11193,0.6
11194,0.31
11210,0.31
11216,0.31
11228,0
11230,0
11239,0.33
11244,0.45
11265,0
11283,0
11286,0.462
11294,0.68
11366,0.99
11369,0.3
11409,0
11422,0
11460,0.4
11465,0.39
11489,1.034
11525,0.35
11526,0
11543,0.33
11551,0
11563,0.64
11576,0.59
11582,0
11584,0
11585,0
11586,0
11588,0.63
11589,0.61
11591,0.62
11595,0.54
11596,0.56
11600,0
11604,0.52
11610,0.31
11625,0.64
11629,0.27
11632,0
11647,0
11651,0.57
11660,0
11661,0
11667,0
11672,0
11678,0.33
11680,0
11694,0.45
11695,0.24
11699,0.24
11706,0
11708,0
11716,0
11727,0
11729,0
11731,0
11732,0.31
11739,0.31
11749,0
11752,0.37
11755,0
11756,0
11761,0
11769,0.7
11773,0
11776,0
11778,0.35
11783,0
11784,0
11785,0
11788,0
11793,0.33
11794,0.33
11795,0.55
11799,0
11806,0.12
11809,0.4
11811,0.08
11819,0.33
11830,0
11833,0
11841,0
11843,0
11845,0.09
11846,0
11849,0
11857,0
11861,0.33
11862,0
11863,0
11864,0.09
11865,0
11866,0
11871,0
11875,0.75
11882,0
11883,0
11884,0
11891,0.37
11897,0
11898,0.37
11899,0
11900,0
11901,0
11902,0
11906,0
11910,0
11911,0.1
11917,0
11919,0
11930,0
11954,0.35
11961,0.25
11974,0
11992,0
11996,0
12010,0
12012,0
12013,0.62
12017,0
12044,0
12045,0
12047,0
12060,0.55
12061,0
12066,0
12069,0
12071,0.62
12072,0
12133,0.21
12161,0
12197,0.18
12201,0
12209,0.1
12218,0
12219,0
12220,0
12225,0.42
12228,0
12229,0.38
12231,0
12244,0.51
12259,0
12442,0.09
12445,0.4
12446,0
12456,0.12
12478,0.8
12499,0.79
12549,0
12577,0.16
12586,0
12626,0.37
12632,0
12635,0
12637,0
12640,0.44
12643,0.37
12674,0
12682,0
12699,0
12705,0.17
12730,0.11
12809,0
12816,0
12821,0.84
12823,0.4
12874,0.12
12933,0.217
12954,0
12957,0
12972,0
13029,0.62
13030,0.68
13047,0.46
13054,0
13063,0
13090,0
13104,0
13229,0
13249,0.62
13255,0
13257,0.51
13302,0.28
13303,0.23
13328,0
13402,0
13439,0
13448,0
13487,0
13492,0
13619,0
13622,0
13630,0
13634,0
13638,0.13
13644,0
13647,0
13648,0
13658,0
13662,0
13677,0
13803,0
13811,0
13816,0.4
13860,0
14198,0
14227,0
14348,0.37
14349,0
14556,0
14620,0.2
14627,0.27
14672,0
14678,0.55
14680,0
14688,0
14692,0
14694,0
14751,0
14829,0.01
14840,0
14846,0
14866,0
14916,0.202
14994,0
14995,0
14998,0
15016,0.285
15093,0.248
15387,0.16
15409,0
15413,0
15427,0.1
15438,0
15443,0
15461,0
15473,0
15474,0
15475,0
15476,0
15477,0
15478,0
15482,0.08
15484,0
15486,0.33
15488,0
15489,0
15495,0.15
15517,0
15520,0.296
15524,0
15619,0
15620,0
15621,0
15637,0
15702,0.41
15747,0
15753,0.37
15755,0
15756,0
15765,0
15802,0
15803,0.32
15827,0
15846,0
15853,0
15855,0
15861,0
15954,0.33
15965,0
16119,0.37
16159,0
16177,0
16180,0
16182,0
16359,0.745
16387,0
16388,0
16415,0
16425,0
16641,0.1
16778,0.3
16791,0
16804,0.35
16841,0
17098,0
17099,0
17131,0
17347,0
17443,0
17558,0
17619,0
17784,0
17868,0
17880,0.12
17976,0
18019,0
18177,0.776
18219,0
18336,0
18410,0
18607,0
18685,0.75
18688,0
18707,0.5
18717,0.3
18724,0
18801,0.48
18920,0.33
18941,0.17
19231,0
19475,0
19476,0
19477,0
19709,0.2
19766,0.7
20119,0.4
20124,0
20132,0
20198,1.18
20545,0.6
20570,0
20843,0
20848,0.14
20939,0
21011,0.33
21153,0
21181,0.4
21800,0
21924,0
21943,0
22191,0.09
22408,0
22453,0
22814,0
23055,0.01
23101,0
23150,0
23208,0.09
23255,0.16
23730,0
23886,0
24041,0
24043,0
24099,0.41
24142,0
24263,0
24533,0
24535,0
24641,0.11
24722,0
24972,0
25472,0.47
25552,0
25605,0
25677,0
25886,0
25889,0
25890,0
26010,0
26011,0
26260,0
26516,0
26563,0
26765,0.4
26824,0
27296,0.57
27488,0
27749,0.32
27793,0
28552,0.22
28682,0
28947,0.66
28969,0
28973,0.57
28981,0
28982,0.55
28986,0
28992,0
28993,0
28994,0.4
29000,0.37
29001,0
29004,0
29005,0
29008,0.23
29012,0
29015,0
29016,0
29025,0
29026,0
29029,0
29036,0.12
29040,0.2
29107,0
29117,0
29153,0
29282,0.11
29400,1.3
30516,0
30572,0
30595,0
30600,0
30713,0.18
30881,0.22
31006,0.38
31029,0
32555,0.51
32952,0
33198,0
33280,0
33281,0
33282,0
33304,0
33316,0
33386,0
33407,0
33416,0
33421,0
33455,0
33456,0
33457,0
33458,0
33617,0.22
33666,0
33932,0
33933,0
33934,0
33983,0
33984,0
33985,0
33986,0
34095,0.75
34188,0
34189,0
34190,0
34191,0
34192,0
34664,0
34665,0
34666,0
34667,0
34668,0
34847,0
34848,0
34850,0
34851,0
34852,0
34853,0
34854,0
34859,0
34860,0
34863,0
34864,0
34865,0
34866,0
34867,0
34868,0
34869,0
34870,0
34871,0
34872,0
34873,0
34874,0
35081,0
35108,0
35205,0
35206,0
35566,0
35579,0
35580,0
35581,0
35582,0
35583,0
35584,0
35585,0
35912,0
36029,0
36710,0
36771,0
36972,0
36973,0
36974,0
36975,0
36976,0
36977,0
36978,0
36979,0
36980,0
36981,0
36982,0
36983,0
36984,0
36985,0
36986,0
36987,0
36988,0
36989,0
36990,0
37000,0
37004,0
37019,0
37744,0
37745,0
37779,0
37904,0
37905,0
37915,0
37918,0
38364,0
38403,0.07
39198,0
39406,0
40130,1.088
40191,0
42330,0.59
43353,0
43354,0
44152,0.6
45444,0
45445,0
45446,0
45447,0
45448,0
46136,0
46137,0
46262,0
46263,0
46264,0
46284,0
46285,0
46893,0
46894,0
47912,0
47913,0
47914,0
47915,0
47916,0
48024,0.19
48085,0.751
49179,0.32
54833,0.582
55075,1.35
55084,0
55090,0
55091,0.47
55123,0
55130,0
55188,0
55205,0.4
55443,0.33
56020,0
56117,0
56144,0.06
56232,0
56442,0
56559,0.37
56755,0
56756,0
56757,0
56758,0
56759,0
56760,0
56761,0
56762,0
56763,0
56764,0
56765,0
56766,0
56767,0
56768,0
56769,0
56770,0
56771,0
56772,0
56773,0
56774,0
56775,0
56776,0
56777,0
56778,0
56779,0
56780,0
56781,0
56782,0
56783,0
56784,0
56785,0
56786,0
56787,0
56788,0
56789,0
56790,0
56791,0
56792,0
56793,0
56794,0
56795,0
57726,0.31
58234,0.158
58496,0
58563,0.55
59447,0.3
59482,0
59483,0.124
59573,0
59577,0
59674,0.37
60121,0.2
60329,0.16
60524,0.37
60858,0.213
60886,0
61001,0
61111,0
61149,0.15
61191,0.84
61213,0
61266,0
61346,0
61411,0.55
61487,0
61538,0.52
61707,0.57
61739,1.03
61765,0.72
62060,0
62230,0.31
62249,0
62265,1.343
62310,0.02
62408,0
62466,0.49
62467,0.5
62472,0
62484,0
62485,0.49
62489,0
62517,0.56
62530,0
62534,0
62589,0.06
62597,0.38
62628,0.75
62632,0
62808,0
62826,0.05
62827,0
62964,0.45
63054,0.75
63156,0.37
63310,0
63518,0
63631,0
63863,1.036
63889,0.49
63903,0
63906,0
63908,0.72
63968,0.49
64016,1.55
64155,0
64699,0.65
65234,1.233
65272,0.7
65523,0
65701,0
65750,0
65763,0
65785,0.56
65936,0
66021,0
66565,0
66567,0.54
66655,0
66656,0
66675,0
66809,0
66887,0
66895,0
66896,0
66996,0
67270,0.55
67360,0
67414,0
67460,0
67465,0.54
67470,0
67594,0
67653,0
67991,0
68152,0
68156,0.48
68179,0
68224,0
68328,0
68437,0
68503,0
68568,0.8
68676,0
68832,0.07
69177,0.38
69340,0.33
69371,0
69569,0
69914,0
69982,0
70652,0.56
70660,0.324
70682,0
70714,0
70715,0
70806,0
70850,0.08
70988,0.56
71089,0
71193,0.33
71312,0.07
71390,0.11
71430,0
71433,0
71437,0
71628,0
71787,0.44
71876,0
72056,0.75
72522,0.37
72551,0.08
72556,0.31
72793,0.09
73390,0
73412,0
73479,0.52
73583,0
75662,0.26
75951,0.07
75956,0
75995,0
76154,0
76394,0.35
76894,0.073
78467,0.934
78828,0
78998,0
79280,0.54
79969,0.63
81815,0.58
82712,0
82736,0
82738,0
82740,0
82751,0
82754,0
82755,0
82762,0
82765,0
82777,0
82783,0
82806,0
82807,0
82817,0
82818,0
82819,0
82820,0
82821,0
82822,0
82823,0
83191,0
83374,0
83413,0
83414,0
83734,0.09
83850,0.55
83866,0.5
83962,0
84036,0
84188,0
84235,0
84344,0
84345,0
84346,0
84347,0
84348,0
84971,0.85
86007,0
86394,0.58
86435,0.56
87265,0
89076,0
89258,0.808
91432,0
92468,0
92494,0
92731,0.07
96749,1.43
96864,0
96868,0
96948,0
96965,0
97055,0
97142,0
97172,0
97173,0
97198,0
97224,0
97233,0
97234,0
97240,0
97257,0
99440,0.33
99596,0
99681,0
102720,0
102721,0
102722,0
102741,0
102742,0
102743,0
102787,0
102798,0
102801,0
102833,0
102834,0
102856,0
102857,0
102897,0
102923,0
102933,0
102947,0
103011,0
103066,0
105291,0
106355,0
106356,0
106796,0.4
107412,0.11
108106,0
109705,0
109838,0
120464,0
120489,0
120548,0.96
120621,0.4
122090,0
122446,0.4
123207,0.49
123860,0
123993,0.33
124968,0
127750,0
127983,0
133166,0
135925,0
135983,0
136000,0
136001,0
136002,0
136003,0
136966,0
137720,0.6
139025,0.21
154062,0
154865,0
154866,0
156255,0
157093,0
157094,0
158870,0
191058,0.65
191367,0
192642,0.4
192748,0
193441,0.36
194092,0.52
196288,0.21
197564,0.36
199342,0
204209,0
205483,0
206493,0.249
206561,0.36
215929,0
218253,0
220998,0
221082,0
221117,0
221226,0.72
222538,0
247721,0
256210,0.28
299166,0.26
363458,0
374462,0
388391,0.85
390927,0.2
391428,0
392447,0.374
394562,0
453675,0.33
454209,0
454215,0.09
454495,0
454638,0
455090,0
455353,0.3
455420,0
456015,0
457138,0
457139,0
457140,0
457144,0
457145,0
466305,0.58
472932,2.139
499714,0.268
502245,0
502855,0
503239,0
509179,0
512621,0.274
533188,0
541032,1.42
549017,0
550258,0
552744,0.181
553171,0
553578,0
553642,0
553649,0
553742,0.09
555074,0
556589,0
558020,0
558875,0.11
558878,0
558883,0
558917,0.27
558928,0.11
559096,0
589165,0.48
642951,0
1266019,0
1266393,0.45
1361549,0
1406720,0
2005981,0.894
2018165,0.09
2018460,0.09
2038738,0
2039535,0
2041618,0.047
2056044,0.13
2062437,0.08
2271976,0.09
2282428,0.07
2283071,0
2293678,0.12
2297441,0.11
2340753,0
2849146,0
2937774,0.36
2975965,0
3102535,1.51
3841535,0.298
4103087,0.21
4228778,0
4366810,0.24
4437893,0
4444100,1.35
4444102,0.226
4444107,0
4444362,0
4444456,0
4444479,0
4444553,0.105
4444608,0
4445317,0
4446445,0
4447447,0.22
4449912,0
4450907,0.5
4470736,0.32
4471584,0.11
4481813,0.35
4483638,0
4483639,0
4510484,0
4512361,0
4512642,0
4514529,0.1
4514549,0.28
4514586,0.23
4516599,0
4516601,0
4575338,0.36
4927801,0
4932499,0
4937830,0.38
5026296,0.28
5145918,0
8101973,0
8103122,0.32
8124942,0
8329688,0
8351654,0
9053802,0.37
9088156,0.118
9095782,0
9187483,0
9219586,0.448
9786472,0.21
10179173,0
10179239,0
10181338,0.709
10181339,0.6
10181341,0.219
10197150,1.764
10205670,0.81
10227261,0
10243171,0.56
10251740,0.343
10265264,0
10265270,0
10292746,0.03
10325078,0
10325184,0
10384035,0
10437074,0
10437135,0
10437210,0.44
10437215,0
10437239,0
10437335,0
10437836,0
10438331,0.46
10481872,0.168
10586285,0
10606755,0.77
10614293,0
10628694,0.82
10652594,0.109
10675065,0.23
10710415,0
10733068,0
10756390,0
10771217,0.9
10772050,1.01
10772140,0.051
10784857,0.049
10801109,0
10801842,0.13
11207996,0
11332993,0.57
11351244,0
11422351,0
11434292,0.066
11439687,0
11488212,0.32
11557190,0
11632871,0
11671339,0
13299573,0
13300034,0
13571291,0.07
13835126,0
13835151,0.23
13835209,0.72
13835224,0.58
13835235,0.58
13835293,0.7
13835294,0
13835316,0
13835336,0.52
13835344,0
13835351,0
13835376,0
13835459,0.3
13835550,0.04
13835604,0.82
13835630,0.67
13835706,0
13835772,0.52
13835836,0
13835861,0.52
13835932,1.05
13835977,0.16
13836021,0.28
13836399,0.26
13836520,0
13836549,0
13836589,0
13836591,0.29
13836674,0
13836713,0
13837190,0
13837280,0.08
13837281,0
13837303,0
13837319,0
13837329,0
13837537,0.06
13837650,0
13837686,0.32
13837702,0.42
13837760,0.88
13837787,0.05
13837797,0
13837988,0
13838404,0.15
13839012,0.56
13839082,0.57
13839105,0.56
13839109,0
13839110,0.57
13839123,0.52
13839128,0.5
13839151,0.51
13839174,0.39
13839199,0
13839308,0
13839416,0.72
13839441,0.72
13839553,0.77
13839575,0
13840647,0.2
13840690,0
13842001,0.25
13842573,0.67
13842613,0
13846658,0.538
13846663,0.56
13846749,0.607
13846959,0.46
13848341,0
13848467,0.3
13848793,0
13848808,0.01
13849665,0
13849981,0.244
13849989,0.282
13850082,0
13850142,0.2
13850879,0.45
13851576,0
13853215,0
13853758,0.23
13853943,0.3
13853953,0
13854136,0.23
13854242,0.377
13854248,0.25
13854944,0.23
13856009,0
13856352,0.29
13856959,0
13857694,0
13859497,0
13860335,0.41
13860434,0.382
13860491,0.2
13860641,0.23
13860692,0.23
13860720,0.35
13860775,0.23
13860817,0.3
13861343,0
13862559,0
13862665,0
13863618,0.12
13863629,0
13863774,0
13864445,0
13865424,0
13865426,0
13865438,0
13865630,0
13865680,0.52
13866593,0.39
13866746,0
13866817,0
13867413,0
13867714,0
13868640,0
13868660,0
13869339,0.3
13869414,0.16
13869434,0.2
13869451,0.3
13869462,0.2
13869480,0.24
13871489,0.3
13871718,0.354
13871721,0.35
13872122,0
13872989,0.38
13874733,0
13874867,0
13875160,0
13875196,0
13875212,0
13875219,0.67
13875230,0
13875258,0
13875281,0
13875283,0
13875320,0
13875356,0
13875392,0
13875432,0.69
13875441,0.7
13876103,0.353
13876539,0
13884973,0.62
13885245,0
14021447,0
14169248,0
14256731,0
14299946,0.671
14441700,0.01
15077490,0.09
15789876,0
16736486,0
16736498,0
17339596,0.74
18547147,0.46
18971812,0
19232037,0.46
19232038,0.46
19953955,0
19956441,0
19957731,0
21105591,0.158
21105594,0.151
21105699,0
21105795,0.74
21105848,0.027
21105859,0.537
21105870,0.489
21105871,0.57
21105878,0
21105897,0.01
21105905,0
21105959,0
21105998,0.44
21106008,0
21106013,0
21106014,0
21106015,0.39
21106018,0.67
21106019,0
21106020,0
21106032,0
21106036,0
21106058,0.253
21106059,0.226
21106077,0.166
21106091,0.56
21106135,0
21106140,0
21106144,0
21106145,0
21106146,0
21106148,0
21106163,0
21106169,0.57
21106172,0.82
21106173,0
21106179,0.11
21106365,0.266
21106366,0
21106470,0
21106518,0.3
21106519,0.21
21106520,0
21106524,0
21106525,0.23
21106535,0.42
21106540,0
21106560,0
21106570,0.06
21106571,0
21106581,0
21106586,0
21106900,0.37
21108548,0
21108550,0
21108576,0.32
21108577,0
21109330,0.58
21111772,0.3
21111781,0
21111806,0
21111817,0
21111820,0
21111822,0.12
21112023,0
21112738,0.19
21132380,0
21159695,0.23
21168808,0
21168813,0
21168826,0
21168831,0
21169510,0
21171407,0
21361761,0.439
21429023,0
21486195,0
21587143,0.46
21782117,0.09
23621376,0
23977588,0
24326358,0
24590970,0
26286843,0.196
26325080,0
26325081,0
26325082,0
26325083,0
26325084,0
26325085,0.72
26325086,0
26325087,0.81
26325088,0.81
26325089,0
26325090,0
26325182,0
26325183,0
