Compound Id,Liquid vapor pressure
PCDE-132,-3.75
PCDE-137,-3.7
PCDE-138,-3.77
PCDE-139,-3.46
PCDE-140,-3.57
PCDE-146,-3.42
PCDE-147,-3.42
PCDE-149,-3.37
PCDE-153,-3.46
PCDE-154,-3.19
PCDE-156,-3.87
PCDE-157,-3.93
PCDE-163,-3.5
PCDE-166,-3.64
PCDE-167,-3.64
PCDE-170,-4.42
PCDE-174,-4.14
PCDE-177,-4.23
PCDE-180,-4.2
PCDE-181,-4.17
PCDE-187,-3.92
PCDE-189,-4.33
PCDE-190,-4.22
PCDE-194,-4.76
PCDE-195,-4.8
PCDE-199,-4.52
PCDE-203,-4.5
PCDE-206,-5.16
PCDE-209,-5.8
PCDF-000,0.15
PCDF-016,-1.84
PCDF-083,-3.79
PCDF-114,-4.71
PCDF-118,-5.25
PCDF-131,-5.85
PCDF-135,-6.15
PCN-01,0.56
PCN-02,0.57
PCN-03,-0.46
PCN-05,-0.38
PCN-13,-1.15
PCN-27,-1.71
PCN-28,-1.7
PCN-34,-1.56
PCN-50,-2.25
PCN-52,-2.16
PCN-53,-2.4
PCN-66,-2.82
PCN-67,-2.82
PCN-69,-2.91
PCN-71,-2.92
PCN-73,-3.53
