Compound Id	MDE [MDEC-12]
9614	0.0
5730	0.0
7551	0.0
2282428	0.0
9251	0.0
3441	0.0
9461	1.155
8329688	0.5
61346	0.0
9095782	0.0
21171407	1.414
7782	1.5
11755	0.667
10653	1.155
8525	1.155
6341	0.0
259	1.414
23621376	1.155
7021	0.0
11244	0.0
1141	0.0
21111806	0.0
21108550	0.0
9325	0.0
7961	0.0
10251740	0.0
66021	0.0
10437074	0.0
66996	0.0
6042	0.0
6326	0.0
10325078	0.0
11117	0.0
2062437	0.0
13867413	0.577
10675065	0.0
7630	0.0
7026	0.0
8554	0.0
7028	1.145
13835459	0.0
29004	0.0
13634	1.770
6106	0.0
10765	1.890
7713	3.302
4483639	3.302
4483638	3.302
10113	1.890
7469	2.149
7472	1.5
6649	2.309
21943	2.621
84036	2.804
68152	0.0
25889	1.442
7018	0.0
7716	1.651
23255	1.414
11230	1.890
7730	2.309
13838404	0.0
971	0.0
10008	0.0
7688	1.040
1664	0.0
71089	0.909
8543	0.0
6316	0.5
62826	0.0
10197150	0.0
10488	0.0
21168808	1.145
13647	0.0
221117	2.746
7220	2.004
10364	2.004
7672	0.0
59674	1.807
11752	1.155
13816	1.155
29107	0.0
61707	0.0
10464	1.414
65936	0.0
2038738	0.0
31029	1.414
6122	0.0
13836589	1.633
13836591	1.310
10948	1.155
13835209	0.0
13861343	0.0
4489	0.0
11351244	0.0
577	0.0
9360	0.0
9350	0.0
9326	0.0
9253	0.0
83734	0.0
71312	0.0
2293678	0.0
23055	1.0
10054	0.0
7714	1.651
6315	1.414
13299573	0.0
7689	0.0
11784	0.0
11785	0.0
9411	1.0
3631	0.0
7788	0.0
21105795	0.0
7791	0.0
13866746	0.0
70714	0.0
70715	0.0
7514	3.135
11036	3.135
472932	0.0
105291	0.5
5976	0.0
6188	0.0
99596	0.0
7712	3.302
6308	1.890
9646	0.0
2056044	0.0
61149	0.0
5889	0.0
21106520	1.520
13874733	1.633
13839199	1.373
1078	0.0
13836549	0.0
1015	0.0
7770	1.807
11525	2.309
12626	1.807
7772	1.807
10777	0.0
7016	2.309
7607	2.149
73583	0.0
7241	0.0
7225	0.0
78	0.0
60329	1.310
1609	1.040
13854944	1.633
13835861	1.0
24099	0.0
12816	0.0
9943	0.0
10772050	0.0
13837760	0.0
4878	0.0
17443	0.766
120489	0.696
9349	0.0
11600	1.040
764	0.0
21106535	0.0
7721	1.651
9233	2.309
18607	2.149
13837281	0.0
66567	0.0
7676	0.0
156255	0.0
9547	0.0
6406	0.0
13862665	1.807
29001	1.0
7024	1.633
7787	0.0
15077490	0.0
63054	0.0
11799	1.651
7466	1.0
10053	0.0
6307	1.0
7711	1.651
18971812	0.0
10781	2.252
11783	0.0
7685	0.0
13630	0.0
63889	0.0
9228	0.0
1108	1.851
10534	0.0
7679	0.0
12643	0.0
7684	1.633
12499	0.0
24590970	0.0
6950	0.0
56144	0.0
11110	3.614
12209	3.614
10124	0.0
24041	2.956
25886	3.181
19477	3.135
17784	1.755
3973	0.0
7224	0.0
11833	2.621
29000	1.633
8398	2.149
6040	1.807
14672	0.0
21011	2.149
10947	2.309
6165	1.890
13837702	0.0
235	0.0
55091	0.0
66809	1.016
62489	1.155
11080	0.0
5596	0.0
392	0.0
13257	1.633
12231	1.373
2606	0.0
8528	0.0
8878	0.0
19231	0.0
7681	0.0
11911	0.0
6342	0.0
18219	0.0
7248	3.517
11661	3.619
7710	0.0
768	0.0
11125	1.709
10492	1.414
7463	2.0
7706	1.807
11680	1.807
7701	1.651
10001	1.0
7627	0.0
10571	0.0
5708	2.309
19953955	1.5
13848341	1.155
76394	0.0
13835604	0.0
7138	0.0
7443	0.0
913	0.0
5709	0.0
7673	0.0
13875432	0.0
13875219	0.0
13837686	0.0
7013	0.0
92731	0.0
13874867	0.816
71787	1.0
7745	0.0
7678	0.0
13255	1.633
59447	1.040
48024	1.633
8868	0.0
5593	0.0
13835932	0.0
28981	3.605
4510484	3.605
7534	3.623
215929	3.377
13662	0.0
123207	0.0
7090	0.0
12201	2.942
11109	3.614
12446	2.942
7769	1.807
63631	0.0
24263	3.080
6364	2.726
7221	1.851
7240	1.671
6186	0.0
6187	0.0
7238	1.341
13835772	1.373
13839082	1.633
21105871	1.520
13860335	0.0
24533	1.437
28992	1.633
20843	1.155
21106032	0.0
6156	0.0
789	0.5
13836520	1.520
10628694	0.0
185	0.0
21106036	0.0
