Compound Id	BPol
455090	14.459
503239	14.459
13860775	11.095
13869480	11.095
13869414	11.095
11849	17.221
11083	5.213
6988	5.213
8140	5.213
65	5.213
10857	5.213
6633	5.213
21111822	11.026
7239	11.026
6550	8.042
26325086	18.866
71430	18.866
21106173	18.866
7765	11.326
13859497	11.349
6775	5.693
11672	5.693
11773	5.693
12012	15.992
7761	15.992
8552	14.076
62249	15.992
7515	15.992
7475	15.992
29012	15.992
11706	15.992
7064	14.076
11992	15.992
10446	15.992
7065	15.992
11207996	13.941
7747	15.992
11193	14.076
19956441	14.736
11107	14.076
11694	15.396
11930	18.036
9903	10.932
4963	7.950
953	7.950
21106146	8.908
21106144	8.908
13863774	8.908
73479	8.610
58563	7.950
299166	10.228
13875320	8.942
13875258	8.942
13875392	8.942
21112023	9.813
13851576	8.942
11769	9.056
10432	9.056
10328	9.056
63310	14.622
59573	31.430
7161	16.263
6720	20.636
13850142	19.678
390927	19.678
206493	8.152
11667	9.988
21106018	8.072
12823	8.072
55205	15.830
69982	15.630
10710415	15.722
13865426	14.764
6780	8.972
8098	8.972
6658	15.655
9970	15.305
7528	16.625
7530	19.265
11489	10.292
526	7.680
6339	7.346
7984	13.118
21111817	7.714
63906	7.714
3350	7.517
1446	7.517
18	7.517
71	7.517
7146	7.517
11121	15.305
555074	15.305
7811	15.738
8562	17.058
7624	17.058
8158	18.378
6079	6.844
434	6.844
8071	6.844
21105959	12.848
13865438	12.848
21106135	12.848
7391	12.848
28982	10.932
13839110	10.932
13839151	10.932
13865680	10.932
11604	10.932
13839128	10.932
13839174	10.932
13839105	10.932
13839123	10.932
11021	10.932
20570	14.232
7131	10.932
5830	10.932
24972	13.572
10992	10.932
553171	14.494
13860817	5.646
11778	5.646
13860720	5.646
136966	7.626
13848793	9.433
30572	11.095
7866	20.636
19957731	21.296
10257	6.885
7211	6.885
7172	6.885
13875356	6.953
13875212	6.953
13868640	6.953
10864	6.919
21181	15.830
12445	15.830
122446	15.830
62534	9.930
62408	9.930
11830	15.615
13835836	19.137
13835376	19.137
127750	19.137
13836399	17.221
13884973	15.305
13839416	15.305
21109330	15.305
18707	6.083
6883	11.620
7189	9.704
28969	11.620
61765	9.704
21111781	11.620
5915	9.704
68568	8.384
64699	7.251
7140	9.704
8070	9.704
7190	9.704
10181341	9.704
221226	13.373
10526	14.632
120464	14.632
7150	11.620
12259	17.491
13860	13.124
11563	10.014
7003	13.806
7662	4.540
13862559	4.540
13864445	4.540
13865630	21.053
553642	15.305
8876	8.746
906	8.746
13638	17.058
6480	10.066
11866	14.872
13839109	17.908
11591	8.475
9454	9.813
21106148	10.824
6781	10.824
206561	12.144
13803	33.346
8560	17.491
11094	17.491
11023	17.491
11055	17.491
10786	17.491
7619	17.491
10755	17.491
11551	17.491
221082	10.932
7129	10.932
8950	10.932
15965	15.992
13868660	8.383
7092	13.468
924	14.005
