Compound Id	VAdjMa
5977	3.0
7330	3.322
62827	4.0
7546	3.322
7737	3.322
11756	3.585
4514549	1.0
3102535	3.807
363458	3.807
7556	3.0
56442	3.0
4449912	3.0
7957	3.0
7564	3.0
1114	3.0
7777	3.585
7606	3.585
8904	3.585
8903	3.585
6149	3.322
6125	3.0
29040	3.807
454215	3.807
7029	3.585
7739	3.322
9391	3.807
7733	3.322
394562	3.322
6322	3.322
60524	3.322
6330	3.322
6334	3.322
5993	3.322
6100	2.585
13837190	3.322
13835224	3.322
7728	3.322
13839553	3.322
558020	3.807
62808	3.807
124968	3.807
14829	3.322
21111820	3.585
10437	3.0
6121	3.0
558875	3.0
8544	3.322
7553	3.0
11526	3.585
592	3.585
10771217	3.585
10498	3.322
6119	3.0
81815	4.0
14694	3.585
30713	3.585
7555	3.0
6120	3.0
24043	3.807
19476	3.807
6177	3.807
8012	3.807
12957	3.807
13875283	4.0
1020	3.585
10340	3.585
12225	3.585
1348	3.585
844	3.807
29015	3.585
10018	3.585
7717	3.322
6311	3.322
7732	3.322
6321	3.322
13871721	3.322
62597	3.322
6313	3.322
256	3.322
9016	3.807
9254	3.807
14441700	3.585
61213	3.585
7727	3.322
13836021	3.322
8733	3.322
13863629	3.807
9363	3.807
61111	3.807
7560	3.0
11729	3.0
10606755	4.322
38403	4.322
7636	3.807
374462	3.585
3951	3.585
7616	3.585
552744	3.585
8896	3.322
7615	3.585
387	3.585
5439	3.585
13837650	3.0
13853215	4.0
9392	4.0
7552	3.0
6118	3.0
733	3.585
454209	3.585
66565	4.0
7817	3.807
7081	3.807
11809	3.322
13837280	3.322
236	3.585
11731	3.0
8141	3.585
29036	3.0
13837537	3.585
2340753	3.585
10325184	3.585
107412	4.0
11099	3.322
6309	3.322
558883	3.322
56020	3.322
11806	3.322
1095	3.322
8351654	4.170
3168	3.322
10709	3.322
6312	3.322
258	3.322
6320	3.322
6146	3.322
415	3.322
4444456	3.322
12229	3.807
9614	3.807
5730	3.322
7551	3.0
2282428	3.807
9251	3.807
3441	3.807
9461	4.0
8329688	3.585
61346	4.170
9095782	4.0
21171407	3.0
7782	3.585
11755	3.585
10653	3.585
8525	3.585
6341	3.585
259	3.585
23621376	3.585
7021	3.585
11244	3.585
1141	4.0
21111806	4.0
21108550	4.0
9325	4.0
7961	3.585
10251740	4.0
66021	3.807
10437074	3.807
66996	3.807
6042	3.322
6326	3.322
10325078	4.0
11117	3.585
2062437	3.807
13867413	3.807
10675065	4.170
7630	3.807
7026	3.585
8554	3.585
7028	3.585
