Compound Id	ChiChain [SCH-6]
9614	0.102
5730	0.0
7551	0.0
2282428	0.0
9251	0.0
3441	0.0
9461	0.0
8329688	0.0
61346	0.0
9095782	0.0
21171407	0.0
7782	0.0
11755	0.0
10653	0.0
8525	0.0
6341	0.0
259	0.0
23621376	0.0
7021	0.0
11244	0.0
1141	0.083
21111806	0.083
21108550	0.083
9325	0.083
7961	0.0
10251740	0.083
66021	0.102
10437074	0.102
66996	0.102
6042	0.0
6326	0.0
10325078	0.0
11117	0.125
2062437	0.0
13867413	0.0
10675065	0.0
7630	0.0
7026	0.144
8554	0.125
7028	0.144
13835459	0.125
29004	0.068
13634	0.102
6106	0.0
10765	0.0
7713	0.0
4483639	0.0
4483638	0.0
10113	0.0
7469	0.0
7472	0.0
6649	0.0
21943	0.0
84036	0.0
68152	0.0
25889	0.0
7018	0.0
7716	0.0
23255	0.0
11230	0.0
7730	0.0
13838404	0.0
971	0.102
10008	0.102
7688	0.102
1664	0.102
71089	0.102
8543	0.0
6316	0.0
62826	0.0
10197150	0.0
10488	0.102
21168808	0.144
13647	0.102
221117	0.083
7220	0.102
10364	0.102
7672	0.102
59674	0.0
11752	0.0
13816	0.0
29107	0.0
61707	0.0
10464	0.0
65936	0.102
2038738	0.102
31029	0.0
6122	0.0
13836589	0.0
13836591	0.0
10948	0.0
13835209	0.0
13861343	0.0
4489	0.083
11351244	0.417
577	0.083
9360	0.083
9350	0.083
9326	0.083
9253	0.0
83734	0.0
71312	0.0
2293678	0.0
23055	0.0
10054	0.0
7714	0.0
6315	0.0
13299573	0.0
7689	0.102
11784	0.102
11785	0.102
9411	0.0
3631	0.0
7788	0.125
21105795	0.083
7791	0.125
13866746	0.045
70714	0.102
70715	0.102
7514	0.0
11036	0.0
472932	0.102
105291	0.186
5976	0.068
6188	0.0
99596	0.0
7712	0.0
6308	0.0
9646	0.0
2056044	0.0
61149	0.0
5889	0.102
21106520	0.102
13874733	0.102
13839199	0.102
1078	0.0
13836549	0.037
1015	0.25
7770	0.0
11525	0.0
12626	0.0
7772	0.0
10777	0.0
7016	0.0
7607	0.0
73583	0.0
7241	0.102
7225	0.102
78	0.102
60329	0.0
1609	0.0
13854944	0.0
13835861	0.0
24099	0.0
12816	0.102
9943	0.102
10772050	0.0
13837760	0.083
4878	0.083
17443	0.102
120489	0.102
9349	0.083
11600	0.201
764	0.083
21106535	0.0
7721	0.0
9233	0.0
18607	0.0
13837281	0.0
66567	0.0
7676	0.102
156255	0.236
9547	0.083
6406	0.0
13862665	0.0
29001	0.0
7024	0.144
7787	0.125
15077490	0.0
63054	0.045
11799	0.0
7466	0.0
10053	0.0
6307	0.0
7711	0.0
18971812	0.0
10781	0.0
11783	0.102
7685	0.102
13630	0.102
63889	0.083
9228	0.083
1108	0.102
10534	0.0
7679	0.102
12643	0.102
7684	0.102
12499	0.037
24590970	0.0
6950	0.25
56144	0.0
11110	0.0
12209	0.0
10124	0.0
24041	0.0
25886	0.0
19477	0.0
17784	0.0
3973	0.0
7224	0.102
11833	0.0
29000	0.0
8398	0.0
6040	0.0
14672	0.0
21011	0.0
10947	0.0
6165	0.0
13837702	0.0
235	0.102
55091	0.0
66809	0.102
62489	0.102
11080	0.083
5596	0.083
392	0.083
13257	0.083
12231	0.083
2606	0.0
8528	0.083
8878	0.417
19231	0.102
7681	0.102
11911	0.0
6342	0.0
18219	0.0
7248	0.083
11661	0.083
7710	0.0
768	0.219
11125	0.0
10492	0.0
7463	0.0
7706	0.0
11680	0.0
7701	0.0
10001	0.0
7627	0.0
10571	0.0
5708	0.0
19953955	0.0
13848341	0.0
76394	0.083
13835604	0.0
7138	0.102
7443	0.083
913	0.102
5709	0.102
7673	0.102
13875432	0.083
13875219	0.083
13837686	0.083
7013	0.0
92731	0.0
13874867	0.0
71787	0.0
7745	0.0
7678	0.102
13255	0.236
59447	0.102
48024	0.102
8868	0.25
5593	0.25
13835932	0.0
28981	0.0
4510484	0.0
7534	0.0
215929	0.0
13662	0.083
123207	0.083
7090	0.102
12201	0.0
11109	0.0
12446	0.0
7769	0.0
63631	0.0
24263	0.809
6364	0.475
7221	0.102
7240	0.102
6186	0.0
6187	0.0
7238	0.102
13835772	0.083
13839082	0.083
21105871	0.083
13860335	0.102
24533	0.102
28992	0.083
20843	0.083
21106032	0.0
6156	0.0
789	0.0
13836520	0.102
10628694	0.316
185	0.219
21106036	0.068
