Compound Id	HybridizationRatio
7538	0.875
370	0.875
7073	0.875
26325090	1.0
6898	0.2
556589	0.1
13854242	0.222
7310	0.222
11595	0.222
6593	0.0
2441	0.9
56117	1.0
68676	0.125
6635	0.0
62265	0.0
20939	0.6
6828	0.0
6577	0.0
13104	1.0
21106570	0.0
18177	0.111
15755	0.0
67470	0.0
15756	0.0
15524	0.0
14995	0.0
14994	0.0
15475	0.0
15478	0.0
15476	0.0
15477	0.0
62484	0.125
29025	0.778
7851	1.0
7856	1.0
454638	0.867
1406720	0.867
21105998	0.4
61411	0.4
69177	0.4
10244	0.4
15855	0.5
24535	0.556
14678	0.4
13846663	0.4
69340	0.4
63863	1.0
63968	0.0
70660	0.714
62628	1.0
123860	1.0
4611	0.3
13885245	0.3
6745	0.3
13876103	0.2
7279	0.222
6592	0.077
3756	0.917
13850082	0.583
1266019	0.583
7850	1.0
541032	0.0
58234	1.0
218253	0.0
8912	1.0
2424	0.375
66656	1.0
71437	1.0
10831	0.167
10829	0.167
10851	0.167
10813	0.167
13677	0.167
10849	0.167
10850	0.167
10909	0.167
10918	0.167
10841	0.167
10908	0.167
642951	0.125
917	0.5
9824	0.0
1278	0.0
10437836	0.714
2206	0.625
7849	1.0
17558	1.0
13439	1.0
13402	1.0
76154	0.25
2915	0.0
6794	0.4
21106519	0.4
65750	0.5
12637	1.0
20198	0.8
7302	0.0
10903	0.0
13839012	0.0
6855	0.083
7315	0.0
13846658	0.0
26325182	0.0
10025	0.75
967	0.0
28993	0.4
15846	1.0
29029	0.889
7670	0.889
9976	0.889
12632	0.889
6287	1.0
23886	0.0
33421	0.0
67465	0.3
15753	0.3
79280	0.4
28973	0.4
7852	1.0
72551	0.778
24641	0.778
18410	1.0
8910	1.0
4366810	0.875
7848	1.0
14256731	0.727
6907	0.3
8860	0.0
62310	0.3
70988	0.3
86435	0.3
6840	0.077
10801842	0.857
11974	0.0
15461	0.455
10404	0.455
89258	0.125
192748	0.125
6835	0.0
11003	0.0
10756	0.8
2656	1.0
13837329	0.2
502855	0.2
34863	0.0
6753	0.0
14692	0.6
12456	1.0
10438331	0.0
8574	1.0
18336	0.222
59482	0.364
8935	0.4
60886	0.0
66675	1.0
15488	0.0
15489	0.0
558878	0.5
553578	0.5
55084	0.889
7509	0.889
7800	0.889
12954	1.0
13229	1.0
158870	0.0
157093	0.0
83374	0.0
457144	0.0
135925	0.0
457145	0.0
84188	0.0
136000	0.0
135983	0.0
136001	0.0
136002	0.0
136003	0.0
84235	0.0
457140	0.0
12674	0.5
64155	0.3
970	0.0
4590	0.3
8111	0.0
12013	0.923
12044	0.077
12045	0.077
12047	0.077
7299	0.077
21106140	0.273
