Compound Id	ChiCluster [VC-3]
9614	0.063
5730	2.916
7551	0.0
2282428	0.584
9251	0.734
3441	0.794
9461	0.179
8329688	0.389
61346	0.613
9095782	0.592
21171407	0.0
7782	0.0
11755	0.236
10653	0.059
8525	0.083
6341	0.341
259	0.065
23621376	0.0
7021	0.051
11244	0.276
1141	0.110
21111806	0.126
21108550	0.126
9325	0.109
7961	2.093
10251740	0.105
66021	0.146
10437074	0.189
66996	0.113
6042	2.658
6326	0.525
10325078	1.404
11117	0.0
2062437	0.718
13867413	0.059
10675065	0.195
7630	0.167
7026	0.129
8554	0.0
7028	0.167
13835459	0.0
29004	0.289
13634	0.096
6106	0.0
10765	0.333
7713	0.0
4483639	0.0
4483638	0.0
10113	0.289
7469	0.353
7472	0.25
6649	0.197
21943	0.141
84036	0.1
68152	1.271
25889	0.340
7018	0.129
7716	0.0
23255	0.236
11230	0.316
7730	0.0
13838404	4.374
971	0.075
10008	0.075
7688	0.129
1664	0.096
71089	0.1
8543	0.0
6316	0.463
62826	0.287
10197150	0.105
10488	0.059
21168808	0.354
13647	0.204
221117	0.471
7220	0.096
10364	0.083
7672	0.567
59674	0.0
11752	0.102
13816	0.072
29107	0.315
61707	0.357
10464	0.083
65936	0.065
2038738	0.05
31029	0.0
6122	1.464
13836589	0.0
13836591	0.0
10948	0.129
13835209	0.0
13861343	2.093
4489	0.136
11351244	0.289
577	0.134
9360	0.138
9350	0.138
9326	0.119
9253	0.741
83734	0.985
71312	0.824
2293678	1.264
23055	1.001
10054	2.201
7714	0.0
6315	0.463
13299573	0.894
7689	0.146
11784	0.189
11785	0.189
9411	0.176
3631	0.318
7788	0.0
21105795	0.171
7791	0.0
13866746	0.251
70714	0.327
70715	0.196
7514	0.102
11036	0.129
472932	0.146
105291	0.186
5976	0.195
6188	1.110
99596	0.697
7712	0.0
6308	0.408
9646	2.0
2056044	0.427
61149	0.455
5889	0.096
21106520	0.167
13874733	0.167
13839199	0.129
1078	0.129
13836549	0.283
1015	0.122
7770	0.0
11525	0.105
12626	0.0
7772	0.0
10777	0.407
7016	0.102
7607	0.144
73583	1.665
7241	0.065
7225	0.083
78	0.083
60329	0.0
1609	0.0
13854944	0.316
13835861	1.050
24099	0.0
12816	0.096
9943	0.096
10772050	1.739
13837760	0.129
4878	0.149
17443	0.053
120489	0.041
9349	0.159
11600	0.186
764	0.149
21106535	0.129
7721	0.0
9233	0.0
18607	0.0
13837281	0.643
66567	0.673
7676	0.189
156255	0.272
9547	0.172
6406	0.218
13862665	0.083
29001	0.289
7024	0.289
7787	0.0
15077490	1.013
63054	0.260
11799	0.0
7466	0.042
10053	3.446
6307	0.408
7711	0.0
18971812	0.996
10781	1.570
11783	0.327
7685	0.254
13630	0.327
63889	0.189
9228	0.252
1108	0.167
10534	0.0
7679	0.102
12643	0.105
7684	0.224
12499	0.292
24590970	0.937
6950	0.129
56144	0.641
11110	0.0
12209	0.0
10124	0.354
24041	0.141
25886	0.1
19477	0.1
17784	1.242
3973	0.531
7224	0.083
11833	0.0
29000	0.408
8398	0.289
6040	0.0
14672	1.112
21011	0.183
10947	0.129
6165	0.893
13837702	0.0
235	0.096
55091	1.752
66809	0.053
62489	0.068
11080	0.171
5596	0.148
392	0.171
13257	0.167
12231	0.182
2606	1.9
8528	0.149
8878	0.408
19231	0.129
7681	0.224
11911	2.093
6342	0.857
18219	0.0
7248	0.263
11661	0.263
7710	0.0
768	0.169
11125	0.0
10492	0.408
7463	0.059
7706	0.083
11680	0.059
7701	0.065
10001	0.473
7627	0.319
10571	0.337
5708	0.1
19953955	0.0
13848341	0.118
76394	0.083
13835604	0.0
7138	0.118
7443	0.149
913	0.129
5709	0.129
7673	0.327
13875432	0.264
13875219	0.264
13837686	0.228
7013	0.327
92731	0.893
13874867	0.203
71787	0.131
7745	0.167
7678	0.129
13255	0.333
59447	0.204
48024	0.224
8868	0.142
5593	0.137
13835932	0.211
28981	0.167
4510484	0.118
7534	0.391
215929	0.102
13662	0.118
123207	0.327
7090	0.217
12201	0.408
11109	0.0
12446	0.25
7769	0.0
63631	0.516
24263	1.351
6364	1.218
7221	0.096
7240	0.075
6186	2.024
6187	1.557
7238	0.068
13835772	0.209
13839082	0.241
21105871	0.241
13860335	0.118
24533	0.091
28992	0.258
20843	0.224
21106032	0.0
6156	6.0
789	0.235
13836520	0.118
10628694	0.169
185	0.177
21106036	0.220
