Compound Id	ALOGP [AMR]
19957731	34.209
10257	7.78
7211	7.78
7172	7.78
13875356	17.198
13875212	17.198
13868640	17.198
10864	12.489
21181	29.409
12445	32.366
122446	32.265
62534	12.944
62408	12.944
11830	33.292
13835836	31.675
13835376	32.644
127750	31.882
13836399	30.042
13884973	32.646
13839416	26.2
21109330	32.665
18707	16.779
6883	11.988
7189	13.335
28969	11.716
61765	12.473
21111781	13.610
5915	9.943
68568	11.664
64699	35.475
7140	12.721
8070	12.721
7190	12.721
10181341	11.769
221226	13.555
10526	27.873
120464	31.272
7150	19.682
12259	27.511
13860	14.862
11563	21.166
7003	35.580
7662	16.847
13862559	16.847
13864445	16.847
13865630	41.663
553642	30.869
8876	0.0
906	0.0
13638	27.282
6480	5.502
11866	28.293
13839109	32.750
11591	13.513
9454	12.641
21106148	11.206
6781	11.206
206561	13.933
13803	27.273
8560	26.355
11094	30.441
11023	30.608
11055	32.803
10786	31.613
7619	33.401
10755	34.326
11551	29.234
221082	16.051
7129	14.429
8950	14.902
15965	19.814
13868660	19.562
7092	11.142
924	14.291
13860641	14.573
21106525	14.573
10991	14.573
13869434	15.226
6630	15.226
13840647	15.226
13860491	15.226
13869462	15.226
63903	13.676
62530	13.262
13856352	13.386
551	1.619
14627	1.945
191	29.360
558917	51.297
6301	49.754
10616	11.109
5882	11.109
8183	11.109
6646	32.441
84971	32.441
388391	32.441
10980	15.818
10972	15.818
6674	15.818
361	14.913
13063	10.351
10797	35.519
28986	32.065
7760	29.953
7838	28.388
230	36.459
13842001	34.868
18801	27.858
21108576	14.993
21106518	14.993
62466	12.944
62485	12.944
11460	13.138
10254	12.944
21169510	37.221
880	12.866
7397	11.991
8674	14.632
62517	14.174
11651	14.174
10437215	15.142
60121	14.174
21105859	14.593
13848467	13.608
120548	16.236
2923	17.430
28947	16.756
21105878	14.632
11625	21.465
7815	30.949
7827	34.839
11761	38.184
14998	28.948
21168831	14.780
15482	41.991
10975	10.345
10870	10.345
10837	10.345
9120	10.345
1448	10.345
22191	34.025
15438	30.792
14751	29.252
8909	23.293
10265264	34.878
10179173	34.878
21800	31.797
15765	31.797
11699	32.306
7810	30.856
12069	25.960
13839575	35.1
1253	13.107
7176	14.553
10181338	14.535
21105848	16.174
10892	14.535
124	14.333
87265	20.240
13848808	14.553
13860434	16.174
11629	16.174
73390	16.282
10437335	16.282
38364	19.830
27488	19.830
14227	16.386
13835126	16.386
17347	14.338
7385	13.676
7128	14.268
11660	15.853
11409	15.853
7659	16.506
6977	16.506
10236	16.506
11366	19.411
21106172	19.411
7001	19.411
13029	19.411
13030	19.411
11422351	22.146
6665	12.889
8341	2.565
6739	2.565
7208	14.439
992	14.439
8182	14.439
11038	22.545
16791	33.564
11864	30.175
12161	29.263
12061	15.613
7837	27.734
18717	33.9
15954	33.659
11029	29.406
10511	29.406
11819	33.492
99440	35.853
11543	31.952
11739	32.506
11194	33.678
11216	32.673
11210	31.299
7202	14.218
21168813	16.273
6881	15.794
8186	16.273
21105870	17.595
21106366	15.320
15517	18.484
25890	44.437
13811	49.905
7809	35.357
7042	13.674
6706	18.383
68179	29.512
5979	41.878
55123	29.901
7803	29.314
18688	35.409
7482	33.174
10420	32.553
11843	31.062
7536	31.171
55130	34.847
10433	35.720
7657	35.099
22453	34.447
11045	33.174
29016	33.608
14169248	32.587
11632	35.702
11265	39.048
65763	15.799
392447	17.463
8097	15.554
11585	16.211
78467	14.555
1906	15.430
11488212	14.666
14556	16.282
7383	17.763
6642	33.013
589165	17.934
11961	21.069
21111772	21.069
11954	21.069
21106586	36.407
6790	4.222
8319	4.222
21106581	14.660
21106145	14.660
6023	18.507
11588	21.166
6675	21.166
8883	40.404
68503	31.430
10614293	38.149
7833	32.144
4516601	35.136
4516599	36.843
4512361	35.136
4512642	36.843
7835	29.391
15093	17.384
11286	16.273
5142	15.364
96749	37.346
61538	19.071
10246	19.071
12244	19.071
10248	19.071
9911	19.071
16119	19.071
13871718	15.054
25552	17.621
13658	22.93
12060	16.240
11647	29.672
61739	5.129
8282	5.129
6492	5.129
21106571	22.462
21106163	22.462
21106540	22.462
6737	5.616
6789	5.616
61001	17.205
4446445	35.623
71628	38.339
59577	37.870
11875	29.112
12010	36.204
455353	32.954
205483	17.360
7278	16.538
11576	18.224
6897	16.282
6035	18.359
13835344	18.086
10181339	16.634
11589	17.570
30595	17.491
7175	17.491
7157	17.491
8807	10.319
11865	30.785
20124	8.599
17619	24.737
2068	29.578
5236	29.176
4103087	14.567
6736	5.502
6788	5.502
83962	53.433
7044	16.725
16359	16.725
10986	17.990
191058	17.990
13835630	38.865
2937774	18.227
11708	27.892
86394	38.299
10411	18.482
349	29.267
11035	33.519
11104	37.439
10795	37.071
305	35.624
10445	38.149
71193	16.838
67270	16.644
6033	16.644
21159695	17.898
13853758	18.490
18724	19.127
15427	16.711
10996	26.952
6296	42.646
11776	25.797
17868	0.0
13867714	0.0
21105699	0.0
376	32.272
11586	15.878
62472	15.878
11584	20.588
29026	31.205
57726	42.468
7802	32.865
441	31.3
9633	28.953
11465	17.432
10243171	18.368
11332993	18.368
11610	17.889
11422	18.835
194092	16.796
