Compound Id	complementary information content index neighbourhood symmetry of 0 order
460	2.295
461	2.823
462	3.362
463	3.944
464	2.689
465	3.675
466	3.815
467	2.019
468	2.476
469	3.505
470	3.407
471	3.578
472	2.324
473	2.5
474	3.734
475	1.822
476	3.55
477	3.24
478	3.211
479	3.198
480	2.425
481	3.205
482	2.122
483	2.986
484	3.359
485	4.81
486	1.53
487	3.02
488	2.568
489	3.065
490	2.772
491	3.041
492	2.181
493	3.279
494	3.233
495	2.383
496	3.587
497	3.738
498	3.084
499	3.23
500	1.639
501	1.867
502	3.521
503	2.934
504	3.617
505	3.137
506	3.542
507	2.4
508	3.13
509	3.517
510	3.393
511	3.397
512	2.63
513	3.632
514	3.632
515	3.365
516	3.993
517	3.086
518	3.024
519	3.73
520	2.441
521	3.618
522	2.383
523	2.924
524	3.208
525	3.208
526	3.453
527	3.56
528	3.047
529	2.4
530	2.823
531	2.597
532	3.047
533	2.844
534	3.177
535	2.858
536	3.682
537	3.247
538	3.517
539	2.862
540	4.121
541	3.176
542	3.077
543	3.973
544	2.964
545	2.57
546	3.84
547	3.72
548	3.643
549	3.587
550	3.058
551	3.37
552	3.112
553	2.795
554	3.233
555	3.344
556	3.055
557	3.436
558	1.59
559	2.299
560	3.672
561	3.67
562	3.912
563	3.024
564	3.018
565	3.769
566	3.898
567	3.243
568	3.639
569	3.73
570	3.137
571	3.024
572	2.928
573	3.527
574	3.352
575	3.024
576	3.024
577	3.468
578	3.168
579	3.065
580	3.065
581	3.011
582	3.011
583	3.024
584	3.881
585	3.63
586	3.073
587	2.978
588	2.647
589	3.072
590	3.079
591	3.126
592	3.446
593	3.871
594	3.67
595	3.536
596	4.211
597	2.632
598	3.948
599	4.031
600	3.024
601	3.065
602	3.214
603	2.67
604	2.065
605	3.421
606	3.514
607	3.874
608	2.803
609	3.309
610	3.652
611	3.427
612	3.509
613	2.862
614	3.194
615	3.578
616	3.019
617	2.92
618	4.211
619	3.675
620	3.91
621	3.439
622	3.828
623	3.828
624	4.219
625	2.655
626	4.218
627	3.469
628	3.391
629	3.726
630	3.396
631	3.289
632	3.28
633	2.597
634	2.597
635	3.766
636	3.858
637	3.164
638	3.418
639	4.065
640	4.096
641	4.332
642	3.35
643	3.885
