Compound Id	VCC_logS
t431	-1.560
t432	-3.600
t433	-5.720
t434	-5.840
t436	-2.450
t437	-3.320
t440	-1.860
t441	-0.550
t442	-4.680
t446	-4.070
t448	-1.410
t449	-1.320
t450	-4.740
t451	-3.930
t452	-3.660
t453	-2.290
t455	-2.080
t458	-4.020
t459	-4.500
t460	-4.530
t463	-2.090
t464	-0.360
t465	-2.360
t466	-3.770
t468	-4.230
t469	-5.500
t470	-4.790
t471	-4.630
t472	-3.940
t473	-3.210
p1	-4.70
p5	-3.99
p6	-5.21
p7	-5.86
p12	-4.32
p13	-4.47
p14	-5.05
p21	-4.56
p23	-5.13
p25	-3.64
p26	-5.03
p34	-6.18
p40	-7.69
p43	-8.27
p45	-4.42
p47	-4.58
p48	-5.00
p49	-4.56
p50	-5.01
p51	-5.01
p55	-3.60
p59	-2.84
p61	-1.62
p67	-4.28
p68	-4.54
p70	-1.76
p71	-3.75
p73	-2.51
p75	-3.85
p76	-3.91
p77	-3.85
p80	-2.37
p83	-3.60
p85	-4.16
p86	-5.20
p87	-4.57
p88	-3.32
p97	-1.52
p99	-1.77
p101	-1.82
p105	-2.62
p109	-6.35
p110	-3.59
p112	-3.33
p115	-2.45
p119	-4.62
p120	-3.94
p141	-3.12
p142	-5.19
p143	-5.61
p145	-5.68
p152	-5.60
p153	-5.59
p157	-4.73
p158	-5.44
p159	-6.16
p165	-5.62
p170	-6.95
p174	-6.98
p183	-7.59
p186	-7.61
p187	-7.61
p189	-2.27
p190	-2.58
p199	-3.83
p204	-6.54
p205	-6.72
p206	-5.83
p211	-6.45
p217	-8.00
p220	-1.93
p223	-1.66
p224	-2.19
p228	-2.09
p237	-1.54
p238	-1.83
p241	-1.65
p242	-2.03
p243	-1.60
p246	-3.59
p247	-4.48
p250	-3.16
p254	-6.27
p255	-6.65
p258	-4.90
p260	-0.92
p261	-4.68
p264	-6.77
p265	-6.04
p267	-6.41
p270	-7.45
p275	0.13
p278	-0.62
p280	0.52
p283	1.00
p285	-0.85
p292	-1.43
p302	-2.43
p305	-3.22
p309	-1.79
p310	-1.74
p311	-2.64
p317	-2.83
p318	-2.81
p319	-3.33
p320	-3.62
p321	-2.75
p322	-0.78
p325	-2.00
p326	-1.52
p329	-2.20
p332	-1.71
p333	-2.69
p337	-2.26
p338	-3.40
p343	-3.51
p347	-1.98
p348	-4.88
p353	0.46
p356	-1.58
p362	-3.46
p365	-0.08
p367	-3.68
p371	-1.06
p375	-3.32
p377	-2.78
p379	-1.97
p395	-2.81
p396	-2.39
p397	-2.73
p399	-1.74
p400	-1.32
p401	-3.40
p405	-0.43
p409	-0.67
p414	-4.92
p415	-4.70
p417	-5.09
p419	-1.87
p421	-1.71
p424	-2.37
p425	0.13
p426	-2.18
p435	-1.71
p438	-6.01
p439	-4.96
p443	-5.30
p444	-7.60
p445	-6.39
p447	-5.51
p454	-2.26
p456	-2.54
p457	-2.34
p461	-3.58
p462	-3.49
p467	-4.91
e2	-2.85
e6	-2.81
e8	-4.82
e11	-4.37
e21	-0.71
e23	-1.35
e24	-2.06
e40	-1.28
e41	-0.25
e50	-5.43
e68	-4.86
e76	-4.49
e78	-3.52
e79	-4.67
e83	-5.01
e84	-5.31
e89	-3.95
e96	-2.56
e98	-1.42
e103	-3.1
e104	-3.07
e112	-3.21
e118	-4.2
e128	-0.59
e144	-3.12
e147	-1.16
e160	-1.51
e165	-3.06
e172	-2.98
e177	-5.17
e190	-5.3
e191	-2.27
e196	-3.03
e197	-1.37
e202	-3.68
e203	-1.42
e214	-0.31
e219	-7.52
e222	0.9
e238	-2.98
e240	-3.78
e243	-4.77
e246	-3.32
e251	-5.69
e252	-5.01
e254	-4.82
e257	-3.27
e260	-3.3
e264	-3.24
e288	-3.74
e301	-3.22
e302	-2.36
e303	-4.47
e304	-7.65
e305	-4.93
e307	-2.52
e309	-1.47
e312	-3.69
e315	-3.94
e323	-3.81
e327	-0.62
e332	-3.18
e335	-2.84
e341	-6.99
e343	-1.57
e349	-5.13
e358	-3.2
e363	-0.75
e377	-3.22
e378	-4.68
e379	-3.22
e381	-5.41
e382	-3.22
e384	-0.48
e386	-3.85
e388	-2.58
e390	-1.14
e398	-1.27
e399	-6.27
e402	-3.37
e403	-4.86
e404	-4.87
e405	-3.29
e406	-6.51
e407	-2.17
e409	-3.11
e413	-7.28
e414	-4.5
e420	-2.8
e422	-5.77
e424	-1.01
e427	-5.94
e429	-2.12
e431	-5.08
e435	-4.18
e436	-3.9
e437	-4.19
e438	-5.12
e441	-5.59
e448	-2.57
e450	-6.98
e451	-5.7
e452	-3.45
e459	-6.91
e460	-5.38
e468	-5.56
e469	-5.25
e471	-6.72
e472	-2.5
e473	-3.61
e474	-3.15
e475	-2.82
e476	-7.66
e479	-6.48
e491	-7.68
e492	-5.18
e493	-3.96
e494	-6.05
e495	-6.04
e497	-4.37
e504	0.01
e506	-7.32
e509	-4.28
e513	-2.18
e514	-5.42
e515	-3.73
e525	-4.55
e526	-2.07
e529	-3.11
e535	-4.2
e539	-4.4
e540	-5.07
e546	-3.16
e548	-3.28
e549	-6.31
e554	-5.47
e555	-6.27
e556	-5.32
e557	-3.85
e558	-8.34
e559	-7.66
e561	-7.37
e565	-4.16
e567	-5.52
e568	-5.5
e569	-5.13
e585	-8.21
e587	-6.55
e592	-6.47
e596	-5.11
e600	-5.92
e602	-3.94
e606	-5.18
e607	-5.85
e608	-3.94
e609	-2.96
e614	-1.15
e625	-3.45
e629	-5.71
e630	-3.88
e637	-4.62
