Compound Id	THSA
p159	494.96
p165	513.43
p170	491.09
p174	487.49
p183	499.52
p186	601.68
p187	622.96
p189	399.02
p190	405.26
p199	466.11
p204	430.28
p205	555.23
p206	532.44
p211	549.40
p217	563.54
p220	395.86
p223	536.33
p224	400.29
p228	463.12
p237	406.61
p238	456.55
p241	332.08
p242	358.79
p243	344.01
p246	470.71
p247	615.83
p250	422.26
p254	518.53
p255	591.20
p258	340.24
p260	318.50
p261	470.53
p264	698.23
p265	528.15
p267	582.73
p270	582.65
p275	371.33
p278	424.78
p280	279.56
p283	306.11
p285	194.04
p292	454.67
p302	389.36
p305	440.94
p309	495.50
p310	415.31
p311	506.18
p317	373.89
p318	388.25
p319	451.69
p320	445.33
p321	508.32
p322	438.07
p325	485.31
p326	442.74
p329	383.58
p332	340.91
p333	315.94
p337	271.92
p338	417.60
p343	523.06
p347	392.82
p348	504.43
p353	350.99
p356	353.67
p362	527.10
p365	323.14
p367	559.28
p371	484.23
p375	901.56
p377	396.51
p379	365.59
p395	207.43
p396	418.46
p397	419.76
p399	370.82
p400	404.30
p401	396.08
p405	317.09
p409	76.52
p414	837.04
p415	664.84
p417	662.07
p419	333.22
p421	149.34
p424	403.53
p425	377.53
p426	519.40
p435	346.85
p438	698.48
p439	594.50
p443	808.21
p444	873.70
p445	769.54
p447	652.29
p454	396.65
p456	378.33
p457	378.30
p461	542.75
p462	524.07
p467	573.61
e2	254.81
e6	241.08
e8	651.78
e11	596.47
e21	335.41
e23	435.79
e24	373.22
e40	262.70
e41	206.53
e50	427.95
e68	496.46
e76	714.40
e78	441.96
e79	670.68
e83	637.78
e84	760.11
e89	520.66
e96	332.55
e98	323.08
e103	491.49
e104	372.51
e112	687.20
e118	375.75
e128	417.27
e144	417.38
e147	293.98
e160	417.48
e165	355.07
e172	355.62
e177	590.77
e190	708.17
e191	304.52
e196	338.08
e197	350.59
e202	350.19
e203	318.73
e214	295.68
e219	1590.27
e222	292.51
e238	586.33
e240	370.33
e243	734.72
e246	438.55
e251	658.56
e252	663.41
e254	615.87
e257	521.96
e260	536.06
e264	600.99
e288	509.71
e301	576.42
e302	637.46
e303	616.48
e304	635.85
e305	648.31
e307	404.61
e309	238.69
e312	402.51
e315	737.91
e323	432.10
e327	377.84
e332	486.09
e335	383.34
e341	891.75
e343	338.84
e349	714.30
e358	487.87
e363	187.21
e377	390.99
e378	374.84
e379	361.06
e381	409.52
e382	372.72
e384	374.66
e386	443.71
e388	414.26
e390	233.93
e398	368.48
e399	569.17
e402	380.48
e403	425.28
e404	542.50
e405	406.38
e406	431.72
e407	449.89
e409	629.87
e413	736.63
e414	502.92
e420	402.39
e422	700.01
e424	440.66
e427	531.44
e429	365.36
e431	390.01
e435	318.37
e436	534.90
e437	489.57
e438	492.81
e441	542.93
e448	385.38
e450	537.00
e451	470.42
e452	595.88
e459	917.79
e460	713.23
e468	398.82
e469	976.38
e471	557.39
e472	565.13
e473	584.57
e474	442.18
e475	479.87
e476	966.28
e479	680.00
e491	651.21
e492	578.49
e493	514.09
e494	649.53
e495	932.71
e497	404.44
e504	515.57
e506	1071.17
e509	447.66
e513	439.76
e514	786.45
e515	419.78
e525	466.03
e526	354.07
e529	650.71
e535	542.08
e539	423.09
e540	701.57
e546	359.34
e548	403.23
e549	474.98
e554	775.98
e555	540.17
e556	609.58
e557	712.31
e558	566.27
e559	831.95
e561	977.50
e565	591.58
e567	464.99
e568	414.31
e569	567.05
e585	593.40
e587	646.81
e592	676.54
e596	754.24
e600	609.11
e602	503.89
e606	517.45
e607	493.73
e608	506.11
e609	401.16
e614	245.45
e625	756.31
e629	678.11
e630	403.59
e637	761.62
