Compound Id	min_HA_HD
p112	0
p115	1
p119	0
p120	4
p141	1
p142	0
p143	0
p145	0
p152	0
p153	0
p157	0
p158	0
p159	0
p165	0
p170	0
p174	0
p183	0
p186	0
p187	0
p189	0
p190	0
p199	0
p204	0
p205	1
p206	0
p211	0
p217	1
p220	0
p223	3
p224	2
p228	1
p237	2
p238	1
p241	2
p242	4
p243	4
p246	0
p247	1
p250	1
p254	7
p255	6
p258	4
p260	3
p261	1
p264	0
p265	0
p267	0
p270	0
p275	1
p278	2
p280	4
p283	2
p285	4
p292	1
p302	2
p305	2
p309	2
p310	2
p311	2
p317	0
p318	0
p319	3
p320	0
p321	3
p322	2
p325	3
p326	1
p329	3
p332	3
p333	1
p337	0
p338	6
p343	2
p347	2
p348	1
p353	2
p356	1
p362	2
p365	1
p367	10
p371	4
p375	7
p377	1
p379	1
p395	2
p396	3
p397	3
p399	3
p400	4
p401	1
p405	1
p409	3
p414	8
p415	12
p417	5
p419	3
p421	5
p424	3
p425	3
p426	4
p435	3
p438	3
p439	4
p443	4
p444	4
p445	4
p447	5
p454	3
p456	5
p457	5
p461	6
p462	8
p467	2
e2	1
e6	1
e8	5
e11	6
e21	1
e23	6
e24	5
e40	0
e41	2
e50	0
e68	6
e76	6
e78	6
e79	4
e83	4
e84	5
e89	3
e96	1
e98	4
e103	5
e104	1
e112	3
e118	0
e128	1
e144	3
e147	3
e160	1
e165	0
e172	0
e177	0
e190	1
e191	1
e196	0
e197	2
e202	0
e203	2
e214	1
e219	4
e222	2
e238	1
e240	1
e243	7
e246	2
e251	4
e252	8
e254	6
e257	3
e260	8
e264	6
e288	6
e301	6
e302	5
e303	5
e304	1
e305	6
e307	4
e309	4
e312	0
e315	6
e323	2
e327	1
e332	0
e335	4
e341	0
e343	1
e349	7
e358	3
e363	4
e377	2
e378	0
e379	2
e381	0
e382	2
e384	4
e386	7
e388	2
e390	1
e398	2
e399	0
e402	1
e403	3
e404	6
e405	2
e406	0
e407	9
e409	6
e413	0
e414	3
e420	1
e422	8
e424	3
e427	0
e429	3
e431	0
e435	0
e436	6
e437	4
e438	0
e441	0
e448	1
e450	0
e451	3
e452	3
e459	1
e460	8
e468	2
e469	10
e471	0
e472	5
e473	6
e474	3
e475	4
e476	3
e479	8
e491	0
e492	0
e493	3
e494	0
e495	10
e497	3
e504	2
e506	2
e509	3
e513	4
e514	3
e515	2
e525	1
e526	3
e529	4
e535	5
e539	0
e540	7
e546	0
e548	3
e549	0
e554	2
e555	0
e556	2
e557	3
e558	0
e559	1
e561	3
e565	4
e567	2
e568	3
e569	0
e585	0
e587	6
e592	0
e596	1
e600	4
e602	3
e606	0
e607	0
e608	3
e609	3
e614	4
e625	8
e629	5
e630	2
e637	5
