Compound Id	WPSA1
e21	98.23
e23	180.48
e24	223.19
e40	28.99
e41	82.64
e50	28.03
e68	131.09
e76	461.14
e78	124.85
e79	374.72
e83	318.92
e84	401.23
e89	160.72
e96	46.61
e98	99.18
e103	127.59
e104	30.29
e112	366.62
e118	73.33
e128	129.06
e144	81.99
e147	70.99
e160	153.31
e165	32.42
e172	32.66
e177	262.00
e190	404.76
e191	64.01
e196	48.91
e197	89.21
e202	47.16
e203	67.84
e214	82.04
e219	2375.60
e222	96.38
e238	211.64
e240	54.07
e243	501.69
e246	129.18
e251	343.49
e252	260.03
e254	185.52
e257	100.77
e260	336.85
e264	273.51
e288	156.47
e301	389.48
e302	442.11
e303	371.49
e304	221.55
e305	372.53
e307	156.59
e309	56.95
e312	52.89
e315	498.76
e323	173.17
e327	130.72
e332	154.84
e335	63.38
e341	627.35
e343	77.94
e349	451.91
e358	101.12
e363	107.70
e377	78.67
e378	37.13
e379	57.12
e381	38.97
e382	60.56
e384	136.94
e386	207.74
e388	71.09
e390	67.89
e398	96.83
e399	180.00
e402	53.73
e403	72.35
e404	190.91
e405	175.62
e406	98.96
e407	243.68
e409	314.10
e413	84.64
e414	217.04
e420	167.79
e422	241.16
e424	121.44
e427	115.94
e429	107.49
e431	72.63
e435	39.57
e436	218.52
e437	254.51
e438	149.09
e441	147.24
e448	146.86
e450	116.99
e451	45.78
e452	306.00
e459	657.71
e460	352.30
e468	29.16
e469	607.86
e471	169.77
e472	350.26
e473	395.59
e474	183.65
e475	234.90
e476	974.36
e479	399.18
e491	210.88
e492	190.00
e493	165.68
e494	269.40
e495	614.21
e497	62.07
e504	220.33
e506	894.65
e509	176.72
e513	184.62
e514	515.72
e515	218.64
e525	186.13
e526	98.82
e529	310.82
e535	204.41
e539	48.81
e540	355.80
e546	47.55
e548	71.19
e549	98.94
e554	511.41
e555	173.17
e556	215.62
e557	404.20
e558	95.10
e559	585.58
e561	1102.04
e565	247.72
e567	46.93
e568	24.00
e569	198.38
e585	108.94
e587	191.31
e592	300.85
e596	418.66
e600	231.98
e602	153.81
e606	123.34
e607	108.63
e608	162.60
e609	85.59
e614	176.99
e625	502.83
e629	367.02
e630	210.25
e637	423.93
