Compound Id	Temperature
[Hmim][BF4]_5	308.15
[Hmim][BF4]_6	303.15
[Hmim][BF4]_7	298.15
[Hmim][BF4]_8	293.15
[Hmim][BF4]_9	293.15
[Hmim][BF4]_10	288.15
[Omim][BF4]_1	353.15
[Omim][BF4]_2	348.15
[Omim][BF4]_3	343.15
[Omim][BF4]_4	333.15
[Omim][BF4]_5	323.15
[Omim][BF4]_6	318.15
[Omim][BF4]_7	313.15
[Omim][BF4]_8	308.15
[Omim][BF4]_9	303.15
[Omim][BF4]_10	298.15
[Omim][BF4]_11	293.15
[Omim][BF4]_12	288.15
[Omim][BF4]_13	283.15
[Omim][BF4]_14	278.15
[Omim][BF4]_15	273.15
[Dmim][BF4]_1	303.15
[Dmim][BF4]_2	293.15
[Dmim][BF4]_3	283.15
[iBmim][BF4]_1	313.15
[iBmim][BF4]_2	311.15
[iBmim][BF4]_3	308.15
[iBmim][BF4]_4	305.15
[iBmim][BF4]_5	303.15
[iBmim][BF4]_6	301.15
[iBmim][BF4]_7	298.15
[iBmim][BF4]_8	296.15
[iBmim][BF4]_9	293.15
[iBmim][BF4]_10	288.15
[EOHmim][BF4]_1	298.15
[EOHmim][BF4]_2	293.15
[EOHmim][BF4]_3	283.15
[Bmim][OTf]_1	283.1
[Bmim][OTf]_2	283.15
[Bmim][OTf]_3	288.15
[Bmim][OTf]_4	293.1
[Bmim][OTf]_5	293.15
[Bmim][OTf]_6	298.1
[Bmim][OTf]_7	298.15
[Bmim][OTf]_8	303.1
[Bmim][OTf]_9	303.15
[Bmim][OTf]_10	308.15
[Bmim][OTf]_11	313.1
[Bmim][OTf]_12	323.1
[Bmim][OTf]_13	323.15
[Bmim][OTf]_14	333.1
[Bmim][OTf]_15	343.1
[Bmim][OTf]_16	343.15
[Bmim][OTf]_17	353.1
[Emim][TF2N]_1	353.15
[Emim][TF2N]_2	353.1
[Emim][TF2N]_3	343.15
[Emim][TF2N]_4	343.1
[Emim][TF2N]_5	343
[Emim][TF2N]_6	333.15
[Emim][TF2N]_7	333.1
[Emim][TF2N]_8	333
[Emim][TF2N]_9	323.15
[Emim][TF2N]_10	323.1
[Emim][TF2N]_11	323
[Emim][TF2N]_12	313.15
[Emim][TF2N]_13	313.1
[Emim][TF2N]_14	303.15
[Emim][TF2N]_15	303.1
[Emim][TF2N]_16	303
[Emim][TF2N]_17	298.15
[Emim][TF2N]_18	298
[Emim][TF2N]_19	293.15
[Emim][TF2N]_20	293.1
[Emim][TF2N]_21	283.15
[Emim][TF2N]_22	283.1
[Emim][TF2N]_23	278.15
[Emim][TF2N]_24	273.15
[Prmim][TF2N]_1	293
[Bmim][TF2N]_1	353.15
[Bmim][TF2N]_2	353.1
[Bmim][TF2N]_3	348.15
[Bmim][TF2N]_4	343.15
[Bmim][TF2N]_5	343.1
[Bmim][TF2N]_6	333.15
[Bmim][TF2N]_7	333.1
[Bmim][TF2N]_8	323.15
[Bmim][TF2N]_9	323.1
[Bmim][TF2N]_10	313.15
[Bmim][TF2N]_11	313.1
[Bmim][TF2N]_12	303.15
[Bmim][TF2N]_13	303.1
[Bmim][TF2N]_14	298.15
[Bmim][TF2N]_15	298.1
[Bmim][TF2N]_16	298
[Bmim][TF2N]_17	296.1
[Bmim][TF2N]_18	295.1
[Bmim][TF2N]_19	293.15
[Bmim][TF2N]_20	293.1
[Bmim][TF2N]_21	293
[Bmim][TF2N]_22	288.15
[Bmim][TF2N]_23	283.15
[Bmim][TF2N]_24	283.1
[Bmim][TF2N]_25	278.15
[Bmim][TF2N]_26	273.15
[Hmim][TF2N]_1	433.15
[Hmim][TF2N]_2	393.15
[Hmim][TF2N]_3	373.15
[Hmim][TF2N]_4	368.05
[Hmim][TF2N]_5	363.15
[Hmim][TF2N]_6	358.1
[Hmim][TF2N]_7	353.15
[Hmim][TF2N]_8	348.05
[Hmim][TF2N]_9	343.15
[Hmim][TF2N]_10	343
[Hmim][TF2N]_11	338.1
[Hmim][TF2N]_12	333.15
[Hmim][TF2N]_13	328.1
[Hmim][TF2N]_14	323.15
[Hmim][TF2N]_15	318.05
[Hmim][TF2N]_16	313.15
[Hmim][TF2N]_17	313.1
[Hmim][TF2N]_18	308.05
[Hmim][TF2N]_19	303.15
[Hmim][TF2N]_20	298.15
[Hmim][TF2N]_21	298.1
[Hmim][TF2N]_22	293.15
[Hmim][TF2N]_23	293.1
[Hmim][TF2N]_24	283.15
[Hmim][TF2N]_25	283.1
[Hmim][TF2N]_26	278.15
[Hmim][TF2N]_27	273.15
[Hmim][TF2N]_28	268.15
[Hmim][TF2N]_29	263.15
[Hmim][TF2N]_30	258.15
[Omim][TF2N]_1	353.15
[Omim][TF2N]_2	353.1
[Omim][TF2N]_3	343.15
[Omim][TF2N]_4	343.1
[Omim][TF2N]_5	333.15
[Omim][TF2N]_6	333.1
[Omim][TF2N]_7	323.15
[Omim][TF2N]_8	323.1
[Omim][TF2N]_9	313.15
[Omim][TF2N]_10	313.1
[Omim][TF2N]_11	303.15
[Omim][TF2N]_12	303.1
[Omim][TF2N]_13	298.15
[Omim][TF2N]_14	298.1
[Omim][TF2N]_15	293.15
[Omim][TF2N]_16	293.1
[Omim][TF2N]_17	283.15
[Omim][TF2N]_18	283.1
[Dmim][TF2N]_1	323.15
[Dmim][TF2N]_2	313.15
[Dmim][TF2N]_3	303.15
[Dmim][TF2N]_4	298.15
[Dmim][TF2N]_5	293.15
[Dmim][TF2N]_6	293.1
[Emim][DCA]_1	313.15
[Emim][DCA]_2	303.15
[Emim][DCA]_3	301
[Emim][DCA]_4	298.15
[Emim][DCA]_5	298
[Emim][DCA]_6	295.15
[Emim][DCA]_7	293.15
[Emim][DCA]_8	283.15
[Emim][DCA]_9	273.15
[Bmim][DCA]_1	301
[Bmim][DCA]_2	298.15
[Prmim][I]_1	293.15
[Prmim][I]_2	298.15
[Prmim][I]_3	303.15
[Prmim][I]_4	313.15
[Prmim][I]_5	323.15
[Prmim][I]_6	333.15
[Prmim][I]_7	353.15
[Bmim][I]_1	298.15
[Hmim][I]_1	298.15
[IBmim][I]_1	298.15
[Bmim][MSO4]_1	343.15
[Bmim][MSO4]_2	333.15
[Bmim][MSO4]_3	323.15
[Bmim][MSO4]_4	318.15
[Bmim][MSO4]_5	313.15
[Bmim][MSO4]_6	308.15
[Bmim][MSO4]_7	303.15
[Bmim][MSO4]_8	298.15
[Bmim][MSO4]_9	293.15
[Bmim][TFA]_1	353.1
[Bmim][TFA]_2	343.1
[Bmim][TFA]_3	343
[Bmim][TFA]_4	333.1
[Bmim][TFA]_5	333
[Bmim][TFA]_6	323.1
[Bmim][TFA]_7	323
[Bmim][TFA]_8	313.1
[Bmim][TFA]_9	313
[Bmim][TFA]_10	303
[Bmim][TFA]_11	298
[Bmim][TFA]_12	293.15
[Bmim][TFA]_13	293
[Bmim][TFA]_14	283
