Compound Id	Energy of the Highest Occupied Molecular Orbital
141	-8.91
142	-10.33
143	-11.42
144	-11.23
145	-11.99
146	-10.86
147	-11
148	-10.66
149	-9.41
150	-11.27
151	-11.12
152	-10.53
153	-11.45
154	-9.2
155	-11.73
156	-11.06
157	-10.49
158	-10.8
159	-11.2
160	-9.19
161	-9.04
162	-9.15
163	-8.98
164	-10.34
165	-9.6
166	-10.82
167	-9.33
168	-9.56
169	-10.3
170	-9.11
171	-8.43
172	-11.19
173	-11.11
174	-9.99
175	-8.94
176	-10.81
177	-11.25
178	-11.17
179	-8.66
180	-10.18
181	-9.32
182	-8.38
183	-9.22
184	-10.64
185	-11.23
186	-10.52
187	-11.08
188	-10.57
189	-11.22
190	-10.49
191	-10.94
192	-9.49
193	-9.93
194	-10.76
195	-10.52
196	-10.51
197	-10.85
198	-10.5
199	-10.48
200	-10.39
201	-10.98
202	-8.44
203	-11.07
204	-10.85
205	-10.68
206	-11.06
207	-10.48
208	-10.42
209	-11.06
210	-9.99
211	-10.61
212	-9.67
213	-10.69
214	-9.14
215	-8.12
216	-9.62
217	-9.23
218	-10.47
219	-9.41
220	-8.5
221	-9.23
222	-10.58
223	-10.77
224	-10.59
225	-10.44
226	-11.13
227	-10.21
228	-11.06
229	-9.39
230	-9.79
231	-10.17
232	-9.9
233	-9.53
234	-10.26
235	-9.23
236	-10.78
237	-11.25
238	-11.37
239	-9.44
240	-10.36
241	-11.07
242	-10.39
243	-10.31
244	-10.06
245	-9.84
246	-9.97
247	-10.01
248	-8.94
249	-9.01
250	-10.75
251	-10.56
252	-10.43
253	-10.99
254	-10.97
255	-9.16
256	-9.89
257	-9.7
258	-11.32
259	-10.76
260	-10.78
261	-9.17
262	-12.07
263	-8.44
264	-11.58
265	-12.56
266	-11.91
267	-10.37
268	-13.12
269	-11.91
270	-12.18
271	-10.37
272	-13.31
273	-9.54
274	-10.65
275	-10.14
276	-9.6
277	-11.53
278	-10.98
279	-10.42
280	-10.35
281	-8.94
282	-9.11
283	-8.89
284	-9.58
285	-10.17
286	-10.64
287	-11.69
288	-9.24
289	-8.88
290	-8.89
291	-9.09
292	-9.14
293	-8.93
294	-11.13
295	-10.94
296	-11
297	-8.89
298	-9.68
299	-11.03
300	-11.85
301	-11.14
302	-11.13
303	-8.75
304	-11.29
305	-8.93
306	-10.77
307	-10.04
308	-10.07
309	-9.65
310	-8.95
311	-10.3
312	-10.9
313	-10.18
314	-8.42
315	-9.39
316	-8.89
317	-8.55
318	-9.43
319	-10.81
320	-8.91
321	-10.41
322	-9.54
323	-9.67
324	-10.55
325	-9.21
326	-9.65
327	-10.53
328	-9.72
329	-9.68
330	-9.99
331	-9.9
332	-9.01
333	-8.76
334	-9.99
335	-11.21
336	-10.28
337	-12.1
338	-10.15
339	-11.58
340	-11.54
341	-11.01
342	-7.3
343	-8.89
344	-12.55
345	-10.82
346	-9.2
347	-9.22
348	-8.51
349	-9.1
350	-11.29
351	-9.53
352	-11.83
353	-8.46
354	-8.19
355	-9.2
356	-12.24
357	-10.89
358	-11.69
359	-12.01
360	-10.61
361	-9.53
362	-9.54
363	-11.64
364	-10.49
365	-9.12
366	-10.37
367	-10.39
368	-9.54
369	-11.03
370	-10.39
371	-10.31
372	-9.55
373	-9.62
374	-9.58
375	-10.62
376	-10.51
377	-10.39
378	-10.89
379	-9.51
380	-9.43
381	-8.43
382	-12.63
383	-10.74
384	-8.75
385	-10.51
386	-8.79
387	-11.01
388	-12.09
389	-8.83
390	-11.83
391	-9.17
392	-9.72
393	-10.41
394	-10.88
395	-11.06
396	-10.61
397	-10.44
398	-9.06
399	-10.43
400	-11.96
401	-12.24
402	-8.84
403	-10.55
404	-8.86
405	-9.03
406	-9.26
407	-9.22
408	-9.11
409	-11.34
410	-10.97
411	-9.25
412	-10.58
413	-8.76
414	-12.26
415	-9.98
416	-10.54
417	-10.74
418	-11.04
419	-10.5
420	-8.85
421	-10.67
422	-9.71
423	-8.98
424	-9.7
425	-9.09
426	-10.78
427	-8.86
428	-10.54
429	-8.78
430	-10.66
431	-10.79
432	-9.2
433	-10.89
434	-9.43
435	-10.47
436	-10.18
437	-10.18
438	-8.91
439	-9.21
440	-8.93
441	-10.26
442	-9.5
443	-9.47
444	-10.38
445	-9.17
446	-11.76
447	-11.63
448	-9.84
449	-10.74
450	-8.62
451	-10.03
452	-11.8
453	-11.67
454	-11.49
455	-11.37
456	-9.21
457	-9.97
458	-11.85
459	-11.66
460	-11.73
