Compound Id	Highest positive partial charge on the molecule
PCB-115	0.197069
PCDE-102	0.300151
PCB-120	0.194603
PCB-148	0.199344
PCB-110	0.182725
PCDE-119	0.337277
PBDE-033	0.34695
PCB-151	0.195289
PCB-154	0.198984
PCDE-116	0.306098
PCDE-117	0.286623
PCB-136	0.180395
PCN-67	0.194679
PCDE-090	0.348769
PCDE-091	0.256758
PCB-108	0.194418
PBDE-035	0.320678
PCB-106	0.189118
PCB-123	0.194445
PCB-131	0.198158
PCB-107	0.195595
PCB-134	0.195183
PCDE-110	0.334896
PCN-69	0.196152
PCN-71	0.197911
PCB-118	0.193865
PCB-135	0.194418
PCDD-14	0.196486
PBDE-037	0.324564
PCB-144	0.198388
PCDE-108	0.380156
PCDE-109	0.352464
PCB-122	0.189954
PCDE-123	0.369725
PCDE-087	0.288937
PCDE-089	0.297219
PCB-105	0.179713
PCB-188	0.199666
PCB-133	0.1951
PCB-127	0.195235
PCB-146	0.19521
PCB-132	0.180444
PCDE-085	0.294061
PCB-168	0.199298
PCB-153	0.194529
PCB-141	0.191462
PCB-158	0.198254
PCB-163	0.196313
PCB-130	0.195182
PCB-202	0.195448
PCB-176	0.198761
PCB-138	0.194232
PCDE-105	0.321617
PCDE-082	0.289844
PCB-126	0.1868
PCB-186	0.179554
PCB-129	0.192198
PCDE-149	0.274114
PBDE-069	0.344289
PCDE-146	0.341978
PCB-175	0.199291
PCB-183	0.198939
PCDE-139	0.234222
PCB-128	0.179696
PCB-185	0.183839
PBDE-047	0.29735
PCB-187	0.195774
PCN-73	0.198094
PCB-181	0.195011
PCB-137	0.194795
PCB-167	0.194959
PCDE-140	0.291438
PBDE-066	0.338874
PCDE-166	0.286085
PCDE-167	0.354564
PCB-157	0.189786
PCDE-137	0.328632
PCDD-27	0.181177
PCDE-130	0.315216
PCB-174	0.18902
PCB-197	0.199243
PCB-192	0.194282
PCB-201	0.199606
PCDE-138	0.284955
PBDE-077	0.31639
PCB-204	0.199948
PCB-172	0.195477
PCDE-156	0.309426
PCB-180	0.195264
PCDE-187	0.285126
PCDE-157	0.3606
PCB-190	0.183178
PCB-191	0.199191
PCDE-128	0.285653
PCB-170	0.192019
PCDE-174	0.323281
PCB-198	0.195131
PCDE-181	0.270804
PCB-169	0.186662
PCB-203	0.195565
PCDE-180	0.321108
PCB-196	0.199609
PCB-199	0.196037
PCDE-177	0.277241
PCDD-42	0.218934
PCDE-189	0.343235
PCB-195	0.180372
PCDE-170	0.321927
PCDE-203	0.262874
PCB-208	0.195746
PBDE-115	0.322404
PCB-205	0.18852
PCDF-114	0.233732
PCDE-194	0.313833
PCB-206	0.189314
PCDE-206	0.300004
PCDF-118	0.223146
PCDE-209	0.250998
PCDF-131	0.21536
PCDF-135	0.202768
PCDD-75	0.128754
PCB-001	0.168734
PCDE-001	0.308714
PCN-05	0.174605
PCB-007	0.191004
PBDE-001	0.331533
PCDE-014	0.394492
PCB-019	0.176171
PCDE-012	0.338796
PCB-018	0.186296
PCB-015	0.170971
PCB-024	0.177365
PCB-032	0.17639
PCB-026	0.183515
PCB-031	0.182825
PCDE-032	0.305714
PCB-053	0.183251
PCDE-017	0.264375
PCDE-039	0.387186
PCN-28	0.192546
PCDE-038	0.375815
PCDE-021	0.296664
PCB-052	0.185902
PCDF-016	0.208944
PBDE-008	0.331833
PCB-061	0.18849
PCB-041	0.177766
PBDE-015	0.305601
PCDE-075	0.300813
PCDE-068	0.393507
PCDE-049	0.283312
PCB-098	0.198168
PCDE-071	0.34197
PCB-070	0.183505
PCB-060	0.177175
PCB-121	0.19893
PCDE-079	0.377141
PCN-53	0.196524
PCB-084	0.17974
PCB-090	0.194883
PCDE-081	0.367963
PCB-113	0.193527
PCB-119	0.198319
PCB-097	0.193627
PCB-116	0.157551
PCDE-100	0.240194
PCB-125	0.188193
PCDE-120	0.374656
PCDE-101	0.291677
PCN-66	0.192915
PCDE-115	0.294482
PCDE-099	0.296786
PCB-114	0.188443
PCB-139	0.198008
PCB-149	0.194415
PCDE-097	0.305642
PCDE-118	0.31414
PCB-143	0.188905
PCB-124	0.189295
PCDE-114	0.327695
PCDE-154	0.295041
PCDE-126	0.353735
PCB-179	0.195049
PBDE-075	0.326659
PCB-178	0.195713
PCDE-147	0.294121
PCDE-153	0.28828
PCDE-163	0.326243
PCB-182	0.199679
PCB-177	0.195692
PCB-156	0.189044
PCB-171	0.198751
PCDE-132	0.286749
PCDF-083	0.230866
PCB-193	0.196637
PCDD-48	0.201574
PCB-200	0.181684
PBDE-099	0.311578
PBDE-082	0.313111
PCDE-190	0.325417
PCB-189	0.189597
PCB-207	0.199868
PCDE-199	0.315487
PCDE-195	0.263791
PCDD-66	0.20352
PCDD-73	0.207569
BBz-01	0.168534
BBz-02	0.17283
BBz-03	0.19002
BBz-04	0.174409
BBz-05	0.177672
BBz-06	0.193466
BBz-07	0.194323
BBz-08	0.182144
BBz-09	0.197202
BBz-10	0.196832
BBz-11	0.20018
BBz-12	0.003299
CBz-00	0.143634
CBz-01	0.169603
CBz-02	0.171105
CBz-03	0.192124
CBz-04	0.173674
CBz-05	0.176877
CBz-06	0.192986
CBz-07	0.197502
CBz-08	0.179443
CBz-09	0.197598
CBz-10	0.193883
CBz-11	0.197808
CBz-12	0.014796
PBB-001	0.168082
PBB-002	0.178208
PBB-003	0.168453
PBB-004	0.169402
PBB-005	0.174439
PBB-006	0.17739
PBB-007	0.189287
PBB-008	0.170323
PBB-009	0.184048
PBB-010	0.173485
PBB-011	0.177978
PBB-012	0.182417
PBB-013	0.178317
PBB-014	0.19167
PBB-015	0.170082
PBB-016	0.174062
PBB-017	0.190543
PBB-018	0.18399
PBB-019	0.174606
PBB-020	0.177546
PBB-021	0.176945
PBB-022	0.175503
PBB-023	0.194928
PBB-024	0.17947
PBB-025	0.190739
PBB-026	0.184746
PBB-027	0.179508
PBB-028	0.190619
PBB-029	0.192605
PBB-030	0.193497
PBB-031	0.184067
PBB-032	0.174998
PBB-033	0.181579
PBB-034	0.191136
PBB-035	0.182143
PBB-036	0.192333
PBB-037	0.182488
PBB-038	0.187034
PBB-039	0.192449
PBB-040	0.174747
PBB-041	0.178056
PBB-042	0.191497
PBB-043	0.194505
PBB-044	0.184233
PBB-045	0.179212
PBB-046	0.175734
PBB-047	0.191605
PBB-048	0.193852
PBB-049	0.191778
PBB-050	0.194514
PBB-051	0.191215
PBB-052	0.184317
PBB-053	0.184431
PBB-054	0.175423
PBB-055	0.178764
PBB-056	0.181703
PBB-057	0.195623
PBB-058	0.191629
PBB-059	0.180393
PBB-060	0.178408
PBB-061	0.19183
PBB-062	0.196433
PBB-063	0.195713
PBB-064	0.180455
PBB-065	0.198041
PBB-066	0.191651
PBB-067	0.193975
PBB-068	0.192045
PBB-069	0.194911
PBB-070	0.184784
PBB-071	0.18442
PBB-072	0.191737
PBB-073	0.190624
PBB-074	0.193876
PBB-075	0.194746
PBB-076	0.190798
PBB-077	0.182283
PBB-078	0.187905
PBB-079	0.192896
PBB-080	0.192899
PBB-081	0.187028
PBB-082	0.179161
PBB-083	0.19499
PBB-084	0.180095
PBB-085	0.192264
PBB-086	0.191777
PBB-087	0.184429
PBB-088	0.197411
PBB-089	0.178864
PBB-090	0.195184
PBB-091	0.192046
PBB-092	0.195109
PBB-093	0.197744
PBB-094	0.194148
PBB-095	0.184713
PBB-096	0.179794
PBB-097	0.194768
PBB-098	0.195445
PBB-099	0.194857
PBB-100	0.19554
PBB-101	0.195015
PBB-102	0.194463
PBB-103	0.195708
PBB-104	0.195268
PBB-105	0.18195
PBB-106	0.192377
PBB-107	0.196176
PBB-108	0.192146
PBB-109	0.19778
PBB-110	0.184364
PBB-111	0.196158
PBB-112	0.198707
PBB-113	0.191271
PBB-114	0.191738
PBB-115	0.197626
PBB-116	0.156988
PBB-117	0.198807
PBB-118	0.194849
PBB-119	0.195758
PBB-120	0.195235
PBB-121	0.196053
PBB-122	0.191119
PBB-123	0.192651
PBB-124	0.190462
PBB-125	0.189083
PBB-126	0.187894
PBB-127	0.193294
PBB-128	0.180033
PBB-129	0.191955
PBB-130	0.195495
PBB-131	0.198309
PBB-132	0.180935
PBB-133	0.195511
PBB-134	0.198211
PBB-135	0.194574
PBB-136	0.18069
PBB-137	0.193081
PBB-138	0.19549
PBB-139	0.198391
PBB-140	0.196184
PBB-141	0.191962
PBB-142	0.172617
PBB-143	0.192136
PBB-144	0.198551
PBB-145	0.198112
PBB-146	0.195782
PBB-147	0.198405
PBB-148	0.196485
PBB-149	0.195255
PBB-150	0.196061
PBB-151	0.198317
PBB-152	0.197381
PBB-153	0.195709
PBB-154	0.196411
PBB-155	0.196117
PBB-156	0.192338
PBB-157	0.191054
PBB-158	0.198597
PBB-159	0.192509
PBB-160	0.180297
PBB-161	0.198877
PBB-162	0.196546
PBB-163	0.199236
PBB-164	0.189524
PBB-165	0.199252
PBB-166	0.173015
PBB-167	0.195807
PBB-168	0.196586
PBB-169	0.187698
PBB-170	0.192065
PBB-171	0.199008
PBB-172	0.195851
PBB-173	0.175229
PBB-174	0.192347
PBB-175	0.199294
PBB-176	0.198872
PBB-177	0.19869
PBB-178	0.1987
PBB-179	0.197783
PBB-180	0.19626
PBB-181	0.193191
PBB-182	0.19697
PBB-183	0.199221
PBB-184	0.198923
PBB-185	0.185217
PBB-186	0.177725
PBB-187	0.198777
PBB-188	0.197956
PBB-189	0.192128
PBB-190	0.184415
PBB-191	0.19942
PBB-192	0.192036
PBB-193	0.199647
PBB-194	0.192301
PBB-195	0.181123
PBB-196	0.199757
PBB-197	0.19945
PBB-198	0.19524
PBB-199	0.199021
PBB-200	0.181925
PBB-201	0.199524
PBB-202	0.198122
PBB-203	0.196341
PBB-204	0.197148
PBB-205	0.189066
PBB-206	0.192737
PBB-207	0.199913
PBB-208	0.198412
PBB-209	0.020525
PBDD-01	0.181455
PBDD-02	0.197476
PBDD-03	0.1866
PBDD-04	0.201396
PBDD-05	0.180128
PBDD-06	0.184601
PBDD-07	0.197869
PBDD-08	0.200344
PBDD-09	0.181935
PBDD-10	0.201435
PBDD-11	0.198465
PBDD-12	0.198789
PBDD-13	0.204901
PBDD-14	0.197464
PBDD-15	0.189608
PBDD-16	0.198605
PBDD-17	0.201156
PBDD-18	0.186945
PBDD-19	0.204226
PBDD-20	0.20263
PBDD-21	0.202289
PBDD-22	0.201659
PBDD-23	0.184905
PBDD-24	0.200585
PBDD-25	0.204229
PBDD-26	0.202649
PBDD-27	0.181687
PBDD-28	0.207672
PBDD-29	0.206053
PBDD-30	0.20571
PBDD-31	0.205082
PBDD-32	0.198362
PBDD-33	0.20113
PBDD-34	0.201318
PBDD-35	0.198161
PBDD-36	0.190495
PBDD-37	0.20498
PBDD-38	0.189794
PBDD-39	0.204971
PBDD-40	0.202334
PBDD-41	0.187743
PBDD-42	0.204887
PBDD-43	0.204347
PBDD-44	0.204887
PBDD-45	0.202795
PBDD-46	0.180751
PBDD-47	0.204375
PBDD-48	0.203273
PBDD-49	0.186306
PBDD-50	0.201706
PBDD-51	0.208365
PBDD-52	0.20826
PBDD-53	0.20772
PBDD-54	0.206616
PBDD-55	0.206145
PBDD-56	0.205693
PBDD-57	0.199258
PBDD-58	0.205037
PBDD-59	0.198944
PBDD-60	0.205047
PBDD-61	0.204838
PBDD-62	0.19897
PBDD-63	0.191011
PBDD-64	0.205376
PBDD-65	0.18229
PBDD-66	0.205378
PBDD-67	0.20879
PBDD-68	0.208353
PBDD-69	0.208154
PBDD-70	0.206556
PBDD-71	0.19973
PBDD-72	0.199627
PBDD-73	0.20865
PBDD-74	0.200208
PBDD-75	0.135865
PBDE-003	0.321811
PBDE-004	0.304641
PBDE-005	0.324573
PBDE-006	0.349119
PBDE-009	0.314061
PBDE-011	0.32545
PBDE-014	0.357759
PBDE-016	0.321397
PBDE-017	0.306599
PBDE-018	0.321649
PBDE-019	0.306864
PBDE-020	0.342609
PBDE-021	0.318037
PBDE-022	0.32522
PBDE-023	0.316067
PBDE-024	0.327185
PBDE-025	0.340806
PBDE-026	0.340228
PBDE-027	0.351412
PBDE-028	0.323307
PBDE-029	0.330884
PBDE-031	0.322755
PBDE-034	0.361686
PBDE-036	0.340528
PBDE-038	0.356005
PBDE-039	0.344222
PBDE-040	0.314764
PBDE-041	0.320284
PBDE-042	0.312134
PBDE-043	0.335718
PBDE-044	0.315065
PBDE-045	0.300839
PBDE-046	0.323506
PBDE-048	0.320825
PBDE-049	0.312553
PBDE-050	0.29939
PBDE-051	0.308884
PBDE-052	0.311802
PBDE-053	0.323557
PBDE-054	0.282018
PBDE-055	0.336441
PBDE-056	0.340684
PBDE-057	0.334676
PBDE-058	0.355524
PBDE-059	0.345763
PBDE-060	0.318932
PBDE-061	0.343553
PBDE-062	0.320914
PBDE-063	0.317016
PBDE-064	0.328194
PBDE-065	0.321946
PBDE-067	0.3338
PBDE-068	0.35381
PBDE-070	0.338339
PBDE-071	0.349382
PBDE-072	0.353233
PBDE-073	0.364046
PBDE-074	0.316003
PBDE-076	0.357992
PBDE-078	0.340126
PBDE-079	0.332605
PBDE-080	0.326588
PBDE-081	0.343295
PBDE-083	0.329133
PBDE-084	0.317271
PBDE-085	0.310847
PBDE-086	0.332318
PBDE-087	0.31005
PBDE-088	0.296254
PBDE-089	0.322366
PBDE-090	0.326566
PBDE-091	0.302621
PBDE-092	0.325739
PBDE-093	0.311194
PBDE-094	0.337475
PBDE-095	0.317389
PBDE-096	0.29692
PBDE-097	0.314141
PBDE-098	0.315903
PBDE-100	0.301232
PBDE-101	0.310646
PBDE-102	0.322789
PBDE-103	0.316067
PBDE-104	0.283603
PBDE-105	0.334698
PBDE-106	0.330106
PBDE-107	0.332929
PBDE-108	0.349656
PBDE-109	0.340203
PBDE-110	0.343931
PBDE-111	0.34792
PBDE-112	0.340984
PBDE-113	0.358646
PBDE-114	0.31241
PBDE-116	0.317844
PBDE-117	0.323282
PBDE-118	0.332052
PBDE-119	0.342518
PBDE-120	0.347112
PBDE-121	0.357305
PBDE-122	0.351921
PBDE-123	0.350132
PBDE-124	0.349552
PBDE-125	0.360345
PBDE-126	0.328968
PBDE-127	0.326442
PBDE-128	0.307084
PBDE-129	0.325628
PBDE-130	0.322885
PBDE-131	0.31159
PBDE-132	0.316996
PBDE-133	0.320635
PBDE-134	0.31291
PBDE-135	0.332247
PBDE-136	0.29174
PBDE-137	0.322964
PBDE-138	0.307705
PBDE-139	0.296964
PBDE-140	0.314629
PBDE-141	0.322063
PBDE-142	0.307319
PBDE-143	0.334044
PBDE-144	0.31188
PBDE-145	0.295791
PBDE-146	0.319108
PBDE-147	0.301034
PBDE-148	0.329999
PBDE-149	0.316385
PBDE-150	0.288908
PBDE-151	0.31307
PBDE-152	0.310651
PBDE-153	0.303961
PBDE-154	0.315095
PBDE-155	0.275416
PBDE-156	0.328508
PBDE-157	0.34603
PBDE-158	0.338575
PBDE-159	0.343637
PBDE-160	0.337241
PBDE-161	0.353454
PBDE-162	0.344261
PBDE-163	0.339309
PBDE-164	0.354988
PBDE-165	0.354101
PBDE-166	0.319425
PBDE-167	0.34344
PBDE-168	0.353668
PBDE-169	0.31788
PBDE-170	0.319168
PBDE-171	0.310203
PBDE-172	0.316846
PBDE-173	0.309537
PBDE-174	0.328771
PBDE-175	0.325707
PBDE-176	0.290454
PBDE-177	0.311571
PBDE-178	0.327015
PBDE-179	0.305466
PBDE-180	0.315248
PBDE-181	0.296859
PBDE-182	0.326382
PBDE-183	0.310717
PBDE-184	0.287505
PBDE-185	0.30975
PBDE-186	0.306665
PBDE-187	0.311977
PBDE-188	0.302556
PBDE-189	0.339972
PBDE-190	0.335711
PBDE-191	0.349838
PBDE-192	0.350593
PBDE-193	0.350551
PBDE-194	0.312481
PBDE-195	0.30812
PBDE-196	0.323546
PBDE-197	0.284947
PBDE-198	0.323635
PBDE-199	0.323245
PBDE-200	0.301336
PBDE-201	0.297925
PBDE-202	0.299834
PBDE-203	0.308563
PBDE-204	0.298319
PBDE-205	0.347077
PBDE-206	0.319799
PBDE-207	0.295773
PBDE-208	0.296229
PBDE-209	0.291799
PBDF-001	0.24101
PBDF-002	0.23104
PBDF-003	0.236588
PBDF-004	0.228334
PBDF-005	0.233524
PBDF-006	0.246455
PBDF-007	0.223701
PBDF-008	0.239272
PBDF-009	0.23918
PBDF-010	0.241778
PBDF-011	0.233664
PBDF-012	0.22976
PBDF-013	0.229272
PBDF-014	0.221079
PBDF-015	0.237325
PBDF-016	0.223694
PBDF-017	0.226777
PBDF-018	0.234662
PBDF-019	0.234701
PBDF-020	0.205207
PBDF-021	0.239036
PBDF-022	0.224166
PBDF-023	0.231737
PBDF-024	0.231769
PBDF-025	0.234228
PBDF-026	0.23323
PBDF-027	0.224694
PBDF-028	0.244682
PBDF-029	0.24457
PBDF-030	0.247234
PBDF-031	0.239068
PBDF-032	0.21655
PBDF-033	0.229785
PBDF-034	0.219081
PBDF-035	0.232257
PBDF-036	0.237579
PBDF-037	0.240108
PBDF-038	0.240461
PBDF-039	0.227943
PBDF-040	0.22779
PBDF-041	0.235947
PBDF-042	0.230336
PBDF-043	0.206022
PBDF-044	0.23549
PBDF-045	0.221914
PBDF-046	0.219331
PBDF-047	0.212597
PBDF-048	0.232906
PBDF-049	0.222865
PBDF-050	0.237201
PBDF-051	0.236989
PBDF-052	0.239708
PBDF-053	0.231846
PBDF-054	0.209769
PBDF-055	0.230139
PBDF-056	0.216305
PBDF-057	0.23186
PBDF-058	0.229911
PBDF-059	0.23252
PBDF-060	0.223974
PBDF-061	0.232819
PBDF-062	0.238632
PBDF-063	0.224701
PBDF-064	0.222753
PBDF-065	0.228065
PBDF-066	0.225401
PBDF-067	0.230446
PBDF-068	0.242919
PBDF-069	0.245581
PBDF-070	0.237656
PBDF-071	0.245925
PBDF-072	0.237273
PBDF-073	0.214683
PBDF-074	0.217293
PBDF-075	0.208512
PBDF-076	0.222501
PBDF-077	0.238733
PBDF-078	0.206494
PBDF-079	0.234049
PBDF-080	0.220461
PBDF-081	0.225853
PBDF-082	0.22848
PBDF-083	0.228887
PBDF-084	0.213305
PBDF-085	0.19998
PBDF-086	0.210649
PBDF-087	0.215584
PBDF-088	0.228728
PBDF-089	0.218171
PBDF-090	0.23031
PBDF-091	0.235281
PBDF-092	0.23799
PBDF-093	0.229271
PBDF-094	0.23827
PBDF-095	0.237247
PBDF-096	0.229918
PBDF-097	0.20767
PBDF-098	0.210366
PBDF-099	0.207919
PBDF-100	0.222687
PBDF-101	0.237288
PBDF-102	0.223371
PBDF-103	0.231061
PBDF-104	0.222015
PBDF-105	0.220807
PBDF-106	0.223563
PBDF-107	0.214761
PBDF-108	0.223947
PBDF-109	0.235784
PBDF-110	0.244197
PBDF-111	0.21579
PBDF-112	0.21173
PBDF-113	0.206998
PBDF-114	0.226939
PBDF-115	0.213428
PBDF-116	0.216232
PBDF-117	0.206568
PBDF-118	0.221151
PBDF-119	0.23571
PBDF-120	0.221715
PBDF-121	0.236485
PBDF-122	0.227223
PBDF-123	0.228602
PBDF-124	0.228441
PBDF-125	0.208714
PBDF-126	0.214176
PBDF-127	0.199997
PBDF-128	0.222031
PBDF-129	0.212687
PBDF-130	0.205269
PBDF-131	0.214558
PBDF-132	0.212469
PBDF-133	0.205652
PBDF-134	0.226911
PBDF-135	0.203798
PBN-01	0.169917
PBN-02	0.173439
PBN-03	0.174059
PBN-04	0.191111
PBN-05	0.175765
PBN-06	0.172555
PBN-07	0.176674
PBN-08	0.188877
PBN-09	0.175031
PBN-10	0.17698
PBN-11	0.17547
PBN-12	0.177211
PBN-13	0.181124
PBN-14	0.194812
PBN-15	0.178182
PBN-16	0.177945
PBN-17	0.191526
PBN-18	0.176621
PBN-19	0.193665
PBN-20	0.19296
PBN-21	0.192715
PBN-22	0.195777
PBN-23	0.180908
PBN-24	0.191865
PBN-25	0.192353
PBN-26	0.180605
PBN-27	0.173698
PBN-28	0.196754
PBN-29	0.184593
PBN-30	0.192617
PBN-31	0.184239
PBN-32	0.199718
PBN-33	0.196315
PBN-34	0.196503
PBN-35	0.196474
PBN-36	0.180011
PBN-37	0.196227
PBN-38	0.182344
PBN-39	0.194915
PBN-40	0.196994
PBN-41	0.177819
PBN-42	0.19488
PBN-43	0.197363
PBN-44	0.194095
PBN-45	0.197343
PBN-46	0.182504
PBN-47	0.195195
PBN-48	0.1818
PBN-49	0.180459
PBN-50	0.194932
PBN-51	0.199265
PBN-52	0.197891
PBN-53	0.200655
PBN-54	0.1959
PBN-55	0.198257
PBN-56	0.185369
PBN-57	0.200894
PBN-58	0.201146
PBN-59	0.201579
PBN-60	0.197557
PBN-61	0.198181
PBN-62	0.197927
PBN-63	0.185006
PBN-64	0.200471
PBN-65	0.183008
PBN-66	0.19814
PBN-67	0.200101
PBN-68	0.203061
PBN-69	0.201491
PBN-70	0.187989
PBN-71	0.202696
PBN-72	0.200354
PBN-73	0.203782
PBN-74	0.203952
PBN-75	0.012094
PCB-000	0.154042
PCB-038	0.186092
PCB-049	0.193455
PCB-050	0.197081
PCB-057	0.195002
PCB-058	0.193864
PCB-059	0.181297
PCB-062	0.195988
PCB-068	0.194119
PCB-073	0.193057
PCB-089	0.178233
PCB-094	0.193943
PCB-096	0.179298
PCB-100	0.198021
PCB-104	0.197803
PCB-109	0.197616
PCB-111	0.195515
PCB-140	0.198789
PCB-142	0.17336
PCB-147	0.195397
PCB-150	0.198791
PCB-152	0.194589
PCB-159	0.194759
PCB-160	0.181817
PCB-161	0.198845
PCB-162	0.195918
PCB-164	0.18855
PCB-165	0.196232
PCB-166	0.174748
PCB-173	0.174019
PCB-184	0.199297
PCB-194	0.191713
PCB-209	0.027485
PCDD-03	0.185355
PCDD-04	0.214434
PCDD-05	0.17985
PCDD-06	0.185333
PCDD-07	0.19894
PCDD-08	0.201305
PCDD-09	0.18279
PCDD-13	0.204021
PCDD-15	0.188206
PCDD-16	0.199904
PCDD-17	0.201775
PCDD-18	0.185655
PCDD-19	0.215509
PCDD-20	0.206348
PCDD-21	0.216993
PCDD-22	0.208293
PCDD-23	0.185629
PCDD-24	0.201526
PCDD-25	0.202508
PCDD-26	0.200967
PCDD-28	0.206636
PCDD-29	0.204889
PCDD-30	0.205082
PCDD-31	0.204199
PCDD-32	0.197166
PCDD-33	0.202318
PCDD-34	0.201903
PCDD-35	0.197378
PCDD-36	0.188728
PCDD-37	0.208944
PCDD-38	0.188395
PCDD-39	0.202903
PCDD-40	0.211368
PCDD-41	0.186678
PCDD-43	0.209726
PCDD-44	0.209829
PCDD-45	0.204549
PCDD-46	0.17944
PCDD-47	0.202634
PCDD-49	0.186861
PCDD-50	0.202516
PCDD-51	0.20701
PCDD-52	0.212912
PCDD-53	0.206719
PCDD-54	0.205669
PCDD-55	0.205224
PCDD-56	0.20507
PCDD-57	0.198249
PCDD-58	0.206631
PCDD-59	0.197987
PCDD-60	0.203373
PCDD-61	0.213564
PCDD-62	0.197941
PCDD-63	0.189463
PCDD-64	0.207341
PCDD-65	0.180871
PCDD-67	0.207679
PCDD-68	0.207012
PCDD-69	0.207429
PCDD-70	0.205593
PCDD-71	0.198974
PCDD-72	0.198424
PCDD-74	0.199187
PCDE-004	0.28479
PCDE-006	0.358603
PCDE-011	0.344543
PCDE-016	0.320469
PCDE-018	0.323138
PCDE-019	0.266392
PCDE-020	0.344863
PCDE-026	0.337151
PCDE-027	0.361757
PCDE-034	0.398738
PCDE-036	0.378937
PCDE-040	0.310085
PCDE-043	0.3547
PCDE-044	0.309431
PCDE-045	0.263999
PCDE-046	0.316882
PCDE-050	0.26133
PCDE-051	0.262298
PCDE-052	0.312867
PCDE-053	0.319443
PCDE-054	0.220411
PCDE-057	0.336987
PCDE-058	0.383427
PCDE-059	0.355185
PCDE-069	0.357349
PCDE-072	0.377548
PCDE-073	0.392589
PCDE-076	0.375394
PCDE-078	0.358851
PCDE-080	0.365189
PCDE-083	0.346464
PCDE-084	0.297954
PCDE-086	0.334973
PCDE-088	0.254751
PCDE-092	0.345608
PCDE-093	0.301085
PCDE-094	0.351565
PCDE-095	0.296726
PCDE-096	0.258223
PCDE-098	0.312027
PCDE-103	0.3004
PCDE-104	0.214911
PCDE-106	0.321909
PCDE-107	0.331413
PCDE-111	0.365459
PCDE-112	0.346948
PCDE-113	0.386656
PCDE-121	0.388072
PCDE-122	0.364077
PCDE-124	0.357509
PCDE-125	0.37283
PCDE-127	0.36296
PCDE-129	0.325959
PCDE-131	0.295173
PCDE-133	0.337024
PCDE-134	0.289905
PCDE-135	0.343913
PCDE-136	0.251169
PCDE-141	0.324936
PCDE-142	0.27827
PCDE-143	0.331684
PCDE-144	0.293968
PCDE-145	0.235732
