Compound Id	Molecular volume
PBB-053	319.42
PBB-054	313.45
PBB-055	315.9
PBB-056	316.42
PBB-057	317.85
PBB-058	318.56
PBB-059	317.94
PBB-060	316.83
PBB-061	313.12
PBB-062	315.74
PBB-063	318.55
PBB-064	319.46
PBB-065	315.64
PBB-066	318.15
PBB-067	317.47
PBB-068	320.22
PBB-069	319.69
PBB-070	318.05
PBB-071	317.94
PBB-072	320.3
PBB-073	319.74
PBB-074	318.1
PBB-075	321.27
PBB-076	316.89
PBB-077	316.89
PBB-078	316.45
PBB-079	319.44
PBB-080	321.21
PBB-081	317.13
PBB-082	344.32
PBB-083	346.29
PBB-084	343.35
PBB-085	346.6
PBB-086	343.4
PBB-087	345.92
PBB-088	342.93
PBB-089	344.7
PBB-090	348.69
PBB-091	346.82
PBB-092	347.93
PBB-093	343.38
PBB-094	346.68
PBB-095	346.23
PBB-096	340.96
PBB-097	347.24
PBB-098	347.56
PBB-099	348.69
PBB-100	348.53
PBB-101	347.71
PBB-102	346.78
PBB-103	347.89
PBB-104	342.83
PBB-105	343.95
PBB-106	343.44
PBB-107	345.72
PBB-108	345.9
PBB-109	346.24
PBB-110	345.58
PBB-111	347.76
PBB-112	346.56
PBB-113	348.13
PBB-114	344.21
PBB-115	346.81
PBB-116	341.15
PBB-117	346.97
PBB-118	345.46
PBB-119	347.6
PBB-120	347.73
PBB-121	349.9
PBB-122	344.47
PBB-123	346.05
PBB-124	346.11
PBB-125	345.76
PBB-126	344.48
PBB-127	347
PBB-128	372.35
PBB-129	371.72
PBB-130	374.63
PBB-131	370.6
PBB-132	372.22
PBB-133	376.06
PBB-134	370.98
PBB-135	374.09
PBB-136	368.03
PBB-137	374.06
PBB-138	374.55
PBB-139	374.15
PBB-140	375.1
PBB-141	373.34
PBB-142	368.66
PBB-143	372.12
PBB-144	373.37
PBB-145	368.33
PBB-146	376.45
PBB-147	374.53
PBB-148	377.4
PBB-149	374.5
PBB-150	371.59
PBB-151	373.66
PBB-152	368.99
PBB-153	376.36
PBB-154	377.68
PBB-155	373.41
PBB-156	371.45
PBB-157	371.93
PBB-158	373.24
PBB-159	373.38
PBB-160	371.78
PBB-161	375.33
PBB-162	373.69
PBB-163	374.41
PBB-164	373.09
PBB-165	376.38
PBB-166	372.26
PBB-167	373.57
PBB-168	374.79
PBB-169	372.92
PBB-170	399.37
PBB-171	398.68
PBB-172	401.28
PBB-173	396.49
PBB-174	399.53
PBB-175	400.65
PBB-176	395.35
PBB-177	400.66
PBB-178	401.11
PBB-179	395.41
PBB-180	401.8
PBB-181	399.73
PBB-182	402.85
PBB-183	401.78
PBB-184	398.96
PBB-185	398.82
PBB-186	393.56
PBB-187	402.28
PBB-188	398.9
PBB-189	399.38
PBB-190	399.79
PBB-191	401.11
PBB-192	401.8
PBB-193	401.13
PBB-194	426.87
PBB-195	424.49
PBB-196	427.41
PBB-197	423.7
PBB-198	426.31
PBB-199	427.79
PBB-200	420.75
PBB-201	423.26
PBB-202	423.08
PBB-203	427.47
PBB-204	424.42
PBB-205	426.21
PBB-206	452.2
PBB-207	449.08
PBB-208	448.51
PBB-209	474.38
PBDD-01	237.67
PBDD-02	238.3
PBDD-03	265.44
PBDD-04	267.73
PBDD-05	267.07
PBDD-06	268.07
PBDD-07	268.53
PBDD-08	268.16
PBDD-09	267.99
PBDD-10	266.45
PBDD-11	269.04
PBDD-12	268.81
PBDD-13	293.76
PBDD-14	295.11
PBDD-15	296.04
PBDD-16	296.34
PBDD-17	295.98
PBDD-18	295.74
PBDD-19	297.91
PBDD-20	298.27
PBDD-21	297.98
PBDD-22	297.87
PBDD-23	297.92
PBDD-24	297.71
PBDD-25	296.27
PBDD-26	297
PBDD-27	320.85
PBDD-28	323.84
PBDD-29	324.25
PBDD-30	323.97
PBDD-31	323.73
PBDD-32	325.71
PBDD-33	325.66
PBDD-34	325.29
PBDD-35	325.07
PBDD-36	324.14
PBDD-37	326.23
PBDD-38	326.1
PBDD-39	324.22
PBDD-40	326.41
PBDD-41	324.03
PBDD-42	328.35
PBDD-43	328.32
PBDD-44	326.31
PBDD-45	328.6
PBDD-46	328.29
PBDD-47	325.65
PBDD-48	324.95
PBDD-49	351.53
PBDD-50	351.43
PBDD-51	352.07
PBDD-52	354.09
PBDD-53	353.95
PBDD-54	352.21
PBDD-55	354.38
PBDD-56	352.05
PBDD-57	353.87
PBDD-58	355.88
PBDD-59	355.73
PBDD-60	353.62
PBDD-61	355.69
PBDD-62	353.2
PBDD-63	379.62
PBDD-64	381.6
PBDD-65	381.52
PBDD-66	379.36
PBDD-67	380.13
PBDD-68	382.22
PBDD-69	382.16
PBDD-70	380.06
PBDD-71	383.77
PBDD-72	383.83
PBDD-73	407.6
PBDD-74	409.53
PBDD-75	435.01
PBDE-003	241.87
PBDE-004	268.39
PBDE-005	269.29
PBDE-006	271.87
PBDE-009	272.7
PBDE-011	272.75
PBDE-014	272.52
PBDE-016	296.46
PBDE-017	298.44
PBDE-018	298.7
PBDE-019	297.75
PBDE-020	299.89
PBDE-021	297.47
PBDE-022	299.03
PBDE-023	299.49
PBDE-024	299.97
PBDE-025	302.01
PBDE-026	301.67
PBDE-027	302.34
PBDE-028	301.15
PBDE-029	299.36
PBDE-031	300.89
PBDE-034	301.69
PBDE-036	303.43
PBDE-038	298.67
PBDE-039	302.32
PBDE-040	324.2
PBDE-041	324.43
PBDE-042	326.19
PBDE-043	326.91
PBDE-044	326.31
PBDE-045	325.79
PBDE-046	326.36
PBDE-048	326.71
PBDE-049	328.59
PBDE-050	327.96
PBDE-051	328.56
PBDE-052	328.78
PBDE-053	328.64
PBDE-054	324.96
PBDE-055	327.82
PBDE-056	327.6
PBDE-057	329.76
PBDE-058	329.67
PBDE-059	330.19
PBDE-060	327.23
PBDE-061	325.9
PBDE-062	327.66
PBDE-063	329.19
PBDE-064	329.91
PBDE-065	327.72
PBDE-067	329.63
PBDE-068	331.92
PBDE-070	329.51
PBDE-071	330.07
PBDE-072	331.67
PBDE-073	332.17
PBDE-074	329.02
PBDE-076	327.31
PBDE-078	328.21
PBDE-079	331.25
PBDE-080	334.3
PBDE-081	328.02
PBDE-083	354.68
PBDE-084	353.49
PBDE-085	354.3
PBDE-086	352.3
PBDE-087	354.62
PBDE-088	353.77
PBDE-089	354.71
PBDE-090	356.64
PBDE-091	355.97
PBDE-092	357.17
PBDE-093	353.81
PBDE-094	356.67
PBDE-095	356.18
PBDE-096	352.97
PBDE-097	354.26
PBDE-098	356.15
PBDE-100	357.95
PBDE-101	356.93
PBDE-102	356.62
PBDE-103	358.23
PBDE-104	355.32
PBDE-105	355.87
PBDE-106	355.4
PBDE-107	357.55
PBDE-108	358
PBDE-109	358.16
PBDE-110	358.1
PBDE-111	359.61
PBDE-112	358.25
PBDE-113	360.38
PBDE-114	354.54
PBDE-116	353.17
PBDE-117	357.65
PBDE-118	357.32
PBDE-119	360.17
PBDE-120	359.41
PBDE-121	362.52
PBDE-122	355.17
PBDE-123	357.52
PBDE-124	357.51
PBDE-125	357.87
PBDE-126	355.42
PBDE-127	359.34
PBDE-128	380.12
PBDE-129	380.28
PBDE-130	382.45
PBDE-131	381.33
PBDE-132	382.46
PBDE-133	384.66
PBDE-134	381.54
PBDE-135	384.27
PBDE-136	380.95
PBDE-137	382.01
PBDE-138	382.35
PBDE-139	383.69
PBDE-140	384.34
PBDE-141	382.59
PBDE-142	379.53
PBDE-143	382.43
PBDE-144	383.97
PBDE-145	381.04
PBDE-146	384.88
PBDE-147	383.93
PBDE-148	386.7
PBDE-149	383.83
PBDE-150	382.67
PBDE-151	384.28
PBDE-152	381.04
PBDE-153	384.53
PBDE-154	386.53
PBDE-155	384.89
PBDE-156	383.27
PBDE-157	383.63
PBDE-158	385.88
PBDE-159	385.31
PBDE-160	383.88
PBDE-161	388.18
PBDE-162	385.42
PBDE-163	385.87
PBDE-164	385.99
PBDE-165	388.02
PBDE-166	383.24
PBDE-167	385.19
PBDE-168	388.16
PBDE-169	384.28
PBDE-170	407.8
PBDE-171	408.73
PBDE-172	410.39
PBDE-173	407.29
PBDE-174	410.04
PBDE-175	411.6
PBDE-176	409.06
PBDE-177	410.34
PBDE-178	411.91
PBDE-179	409.13
PBDE-180	410.48
PBDE-181	409.46
PBDE-182	412.28
PBDE-183	411.86
PBDE-184	410.77
PBDE-185	409.79
PBDE-186	406.7
PBDE-187	412.1
PBDE-188	410.96
PBDE-189	410.91
PBDE-190	411.65
PBDE-191	413.81
PBDE-192	413.75
PBDE-193	413.81
PBDE-194	435.73
PBDE-195	434.87
PBDE-196	437.63
PBDE-197	436.5
PBDE-198	437.64
PBDE-199	438.03
PBDE-200	434.98
PBDE-201	436.97
PBDE-202	437.05
PBDE-203	437.71
PBDE-204	436.79
PBDE-205	439.43
PBDE-206	462.85
PBDE-207	462.31
PBDE-208	462.76
PBDE-209	488.01
PBDF-001	226.5
PBDF-002	228.77
PBDF-003	228.31
PBDF-004	227.57
PBDF-005	253.72
PBDF-006	255.77
PBDF-007	255.14
PBDF-008	256.22
PBDF-009	257.81
PBDF-010	257.24
PBDF-011	252.15
PBDF-012	256.26
PBDF-013	257.45
PBDF-014	258.39
PBDF-015	259.51
PBDF-016	259.34
PBDF-017	255.62
PBDF-018	257.79
PBDF-019	259.43
PBDF-020	257.35
PBDF-021	281.17
PBDF-022	282.33
PBDF-023	283.57
PBDF-024	285.11
PBDF-025	284.7
PBDF-026	279.33
PBDF-027	282.98
PBDF-028	285.46
PBDF-029	287.11
PBDF-030	286.47
PBDF-031	281.51
PBDF-032	284.98
PBDF-033	286.42
PBDF-034	285.8
PBDF-035	280.76
PBDF-036	285.4
PBDF-037	286.89
PBDF-038	285.25
PBDF-039	283.27
PBDF-040	285.8
PBDF-041	286.94
PBDF-042	286.59
PBDF-043	287.27
PBDF-044	288.15
PBDF-045	287.83
PBDF-046	287.08
PBDF-047	285.39
PBDF-048	286.36
PBDF-049	308.36
PBDF-050	310.77
PBDF-051	312.52
PBDF-052	311.86
PBDF-053	306.38
PBDF-054	312.2
PBDF-055	313.67
PBDF-056	313.04
PBDF-057	307.8
PBDF-058	312.58
PBDF-059	314.27
PBDF-060	309.09
PBDF-061	312.73
PBDF-062	309.91
PBDF-063	306.87
PBDF-064	312.92
PBDF-065	314.35
PBDF-066	313.59
PBDF-067	308.71
PBDF-068	314.45
PBDF-069	316.02
PBDF-070	311.26
PBDF-071	314.46
PBDF-072	312.15
PBDF-073	314.09
PBDF-074	315.56
PBDF-075	310.93
PBDF-076	313.81
PBDF-077	312.9
PBDF-078	313.15
PBDF-079	314.1
PBDF-080	313.83
PBDF-081	314.41
PBDF-082	316.25
PBDF-083	314.64
PBDF-084	315.87
PBDF-085	317.71
PBDF-086	314.69
PBDF-087	338.08
PBDF-088	339.59
PBDF-089	339.04
PBDF-090	333.31
PBDF-091	340.07
PBDF-092	341.47
PBDF-093	335.93
PBDF-094	339.98
PBDF-095	336.89
PBDF-096	334.24
PBDF-097	341.78
PBDF-098	343.07
PBDF-099	338.08
PBDF-100	341.3
PBDF-101	338.33
PBDF-102	335.11
PBDF-103	340.31
PBDF-104	338.1
PBDF-105	342.19
PBDF-106	343.58
PBDF-107	338.97
PBDF-108	341.8
PBDF-109	339.24
PBDF-110	342.09
PBDF-111	341.81
PBDF-112	341.94
PBDF-113	343.8
PBDF-114	341.91
PBDF-115	367.52
PBDF-116	368.85
PBDF-117	363.63
PBDF-118	367.23
PBDF-119	363.79
PBDF-120	361.01
PBDF-121	367.62
PBDF-122	364.94
PBDF-123	363.97
PBDF-124	362.85
PBDF-125	369.23
PBDF-126	367.03
PBDF-127	365.39
PBDF-128	369.69
PBDF-129	367.9
PBDF-130	369.86
PBDF-131	395.16
PBDF-132	392.62
PBDF-133	391.48
PBDF-134	389.85
PBDF-135	418.24
PBN-01	193.46
PBN-02	195.25
PBN-03	220.76
PBN-04	222.99
PBN-05	220.77
PBN-06	221.18
PBN-07	223.4
PBN-08	223.05
PBN-09	219
PBN-10	222.83
PBN-11	224.86
PBN-12	224.65
PBN-13	248.55
PBN-14	247.94
PBN-15	248.62
PBN-16	250.63
PBN-17	250.34
PBN-18	246.48
PBN-19	250.48
PBN-20	252.72
PBN-21	252.61
PBN-22	248.55
PBN-23	246.14
PBN-24	250.6
PBN-25	250.78
PBN-26	252.45
PBN-27	273.2
PBN-28	276.39
PBN-29	278.39
PBN-30	278.2
PBN-31	273.77
PBN-32	273.63
PBN-33	278.08
PBN-34	277.83
PBN-35	273.17
PBN-36	276.25
PBN-37	278.01
PBN-38	273.47
PBN-39	278.03
PBN-40	275.82
PBN-41	273.36
PBN-42	279.57
PBN-43	275.54
PBN-44	280.26
PBN-45	278.27
PBN-46	270.5
PBN-47	278.29
PBN-48	279.9
PBN-49	298.11
PBN-50	303.24
PBN-51	304.05
PBN-52	305.69
PBN-53	300.89
PBN-54	305.82
PBN-55	303.18
PBN-56	300.83
PBN-57	301.12
PBN-58	303.11
PBN-59	298.31
PBN-60	305.67
PBN-61	302.78
PBN-62	300.93
PBN-63	325.83
PBN-64	327.65
PBN-65	328.05
PBN-66	330.82
PBN-67	331.81
PBN-68	328.44
PBN-69	328.19
PBN-70	328.68
PBN-71	325.83
PBN-72	329.86
PBN-73	353.05
PBN-74	350.01
PBN-75	381.09
PCB-000	202.21
PCB-038	267.53
PCB-049	289.74
PCB-050	292.84
PCB-057	289.06
PCB-058	290.35
PCB-059	287.8
PCB-062	286.22
PCB-068	291.64
PCB-073	290.34
PCB-089	313.41
PCB-094	314.92
PCB-096	314.58
PCB-100	316.81
PCB-104	316.02
PCB-109	308.99
PCB-111	312.72
PCB-140	337.03
PCB-142	332.58
PCB-147	336.33
PCB-150	338.57
PCB-152	335.49
PCB-159	332.72
PCB-160	328.95
PCB-161	332.65
PCB-162	333.09
PCB-164	331.38
PCB-165	332.39
PCB-166	329.12
PCB-173	354.14
PCB-184	359.67
PCB-194	373.21
PCB-209	419.85
PCDD-03	252.68
PCDD-04	254.36
PCDD-05	253.83
PCDD-06	254.77
PCDD-07	254.68
PCDD-08	254.59
PCDD-09	253.35
PCDD-13	274.27
PCDD-15	276.13
PCDD-16	276.35
PCDD-17	276.18
PCDD-18	275.12
PCDD-19	277.73
PCDD-20	277.83
PCDD-21	277.87
PCDD-22	276.73
PCDD-23	276.87
PCDD-24	277.35
PCDD-25	275.86
PCDD-26	276.46
PCDD-28	297.43
PCDD-29	297.83
PCDD-30	297.59
PCDD-31	296.51
PCDD-32	298.5
PCDD-33	298.95
PCDD-34	298.86
PCDD-35	297.8
PCDD-36	297.96
PCDD-37	299.46
PCDD-38	298.48
PCDD-39	297.64
PCDD-40	298.9
PCDD-41	297.59
PCDD-43	300.2
PCDD-44	299.18
PCDD-45	300.63
PCDD-46	299.14
PCDD-47	298.56
PCDD-49	318.63
PCDD-50	319.14
PCDD-51	319.54
PCDD-52	321.01
PCDD-53	320.14
PCDD-54	319.04
PCDD-55	320.63
PCDD-56	319.2
PCDD-57	320.39
PCDD-58	321.93
PCDD-59	320.97
PCDD-60	320.24
PCDD-61	321.68
PCDD-62	320.37
PCDD-63	340.75
PCDD-64	342.17
PCDD-65	341.22
PCDD-67	341.1
PCDD-68	342.26
PCDD-69	342.58
PCDD-70	340.84
PCDD-71	343.08
PCDD-72	343.39
PCDD-74	363.33
PCDE-004	255.84
PCDE-006	257.99
PCDE-011	257.82
PCDE-016	277.59
PCDE-018	279.03
PCDE-019	277.04
PCDE-020	278.75
PCDE-026	280.15
PCDE-027	279.98
PCDE-034	282.66
PCDE-036	280.47
PCDE-040	298.55
PCDE-043	301.25
PCDE-044	299.94
PCDE-045	298.91
PCDE-046	301.07
PCDE-050	301.2
PCDE-051	302.48
PCDE-052	302.06
PCDE-053	302.81
PCDE-054	300.1
PCDE-057	301.03
PCDE-058	302.78
PCDE-059	301.5
PCDE-069	303.81
PCDE-072	303.22
PCDE-073	303.28
PCDE-076	300.17
PCDE-078	300.29
PCDE-080	304.23
PCDE-083	322.61
PCDE-084	320.77
PCDE-086	321.03
PCDE-088	320.61
PCDE-092	324.1
PCDE-093	321.22
PCDE-094	324.91
PCDE-095	321.8
PCDE-096	321.98
PCDE-098	324.35
PCDE-103	324.4
PCDE-104	324.18
PCDE-106	320.74
PCDE-107	322.73
PCDE-111	325.12
PCDE-112	322.97
PCDE-113	325.16
PCDE-121	327.28
PCDE-122	322.47
PCDE-124	322.94
PCDE-125	322.9
PCDE-127	323.99
PCDE-129	342.4
PCDE-131	342.82
PCDE-133	345.66
PCDE-134	342.85
PCDE-135	346.6
PCDE-136	343.98
PCDE-141	343.88
PCDE-142	340.98
PCDE-143	344.65
PCDE-144	344.08
PCDE-145	343.62
PCDE-148	348.48
PCDE-150	345.66
PCDE-151	343.87
PCDE-152	344.4
PCDE-155	347.52
PCDE-158	344.95
PCDE-159	344.81
PCDE-160	343.26
PCDE-161	346.68
PCDE-162	344.73
PCDE-164	344.82
PCDE-165	346.8
PCDE-168	346.85
PCDE-169	344.16
PCDE-171	364.31
PCDE-172	365.37
PCDE-173	362.72
PCDE-175	365.61
PCDE-176	365.68
PCDE-178	365.91
PCDE-179	366.24
PCDE-182	368.24
PCDE-183	365.29
PCDE-184	367.22
PCDE-185	363.91
PCDE-186	364.23
PCDE-188	367.88
PCDE-191	366.33
PCDE-192	366.53
PCDE-193	366.41
PCDE-196	388
PCDE-197	386.98
PCDE-198	386.17
PCDE-200	385.91
PCDE-201	387.73
PCDE-202	387.52
PCDE-204	387.69
PCDE-205	386.16
PCDE-207	407.45
PCDE-208	407.64
PCDF-001	219.79
PCDF-002	221.87
PCDF-003	221.26
PCDF-004	221.15
PCDF-005	240.96
PCDF-006	242.19
PCDF-007	241.83
PCDF-008	242.85
PCDF-009	243.16
PCDF-010	243.53
PCDF-011	239.21
PCDF-012	242.86
PCDF-013	243.9
PCDF-014	244.63
PCDF-015	244.85
PCDF-017	242.32
PCDF-018	244.92
PCDF-019	244.4
PCDF-020	244.46
PCDF-021	261.95
PCDF-022	262.69
PCDF-023	264.01
PCDF-024	264.32
PCDF-025	264.64
PCDF-026	259.74
PCDF-027	263.08
PCDF-028	265.13
PCDF-029	265.57
PCDF-030	265.91
PCDF-031	261.53
PCDF-032	264.58
PCDF-033	265.14
PCDF-034	265.37
PCDF-035	260.88
PCDF-036	264.44
PCDF-037	266.55
PCDF-038	264.91
PCDF-039	263.75
PCDF-040	265.58
PCDF-041	265.9
PCDF-042	266.47
PCDF-043	266.56
PCDF-044	266.81
PCDF-045	267.48
PCDF-046	266.29
PCDF-047	265.67
PCDF-048	265.43
PCDF-049	282.75
PCDF-050	284.89
PCDF-051	285.15
PCDF-052	285.61
PCDF-053	280.96
PCDF-054	285.62
PCDF-055	286.2
PCDF-056	286.54
PCDF-057	281.72
PCDF-058	285.7
PCDF-059	287.64
PCDF-060	282.65
PCDF-061	285.99
PCDF-062	283.21
PCDF-063	281.47
PCDF-064	285.76
PCDF-065	286.35
PCDF-066	286.65
PCDF-067	282.43
PCDF-068	286.86
PCDF-069	288.9
PCDF-070	284.29
PCDF-071	287.32
PCDF-072	284.85
PCDF-073	286.43
PCDF-074	288.44
