Compound Id	Polarizability derived from the heat of formation
CBz-05	16.503792
CBz-06	16.687511
CBz-07	16.796886
CBz-08	18.800107
CBz-09	18.958219
CBz-10	18.987619
CBz-11	21.21552
CBz-12	23.535433
PBB-001	23.736221
PBB-002	24.140612
PBB-003	24.312528
PBB-004	26.828686
PBB-005	27.123316
PBB-006	27.225291
PBB-007	27.516038
PBB-008	27.372282
PBB-009	27.419478
PBB-010	26.982492
PBB-011	27.655221
PBB-012	27.669197
PBB-013	27.859586
PBB-014	27.743935
PBB-015	28.073043
PBB-016	30.194163
PBB-017	30.553477
PBB-018	30.511443
PBB-019	30.122494
PBB-020	30.645059
PBB-021	30.7299
PBB-022	30.802528
PBB-023	30.881953
PBB-024	30.528412
PBB-025	31.043093
PBB-026	30.896584
PBB-027	30.456282
PBB-028	31.235806
PBB-029	31.018091
PBB-030	30.826857
PBB-031	31.103818
PBB-032	30.596705
PBB-033	30.726913
PBB-034	30.796942
PBB-035	31.243534
PBB-036	31.256087
PBB-037	31.472253
PBB-038	31.135185
PBB-039	31.490486
PBB-040	33.581342
PBB-041	33.778217
PBB-042	33.982505
PBB-043	33.937332
PBB-044	33.881511
PBB-045	33.661311
PBB-046	33.476015
PBB-047	34.36847
PBB-048	34.067562
PBB-049	34.265184
PBB-050	33.953846
PBB-051	33.844734
PBB-052	34.183072
PBB-053	33.771798
PBB-054	33.415867
PBB-055	34.304655
PBB-056	34.180557
PBB-057	34.398356
PBB-058	34.225299
PBB-059	34.029841
PBB-060	34.485472
PBB-061	34.345915
PBB-062	34.179566
PBB-063	34.604881
PBB-064	34.178601
PBB-065	34.124541
PBB-066	34.606381
PBB-067	34.566904
PBB-068	34.654659
PBB-069	34.354413
PBB-070	34.435766
PBB-071	33.943546
PBB-072	34.493595
PBB-073	34.043318
PBB-074	34.782607
PBB-075	34.504959
PBB-076	34.168937
PBB-077	34.870142
PBB-078	34.711225
PBB-079	34.863727
PBB-080	34.88039
PBB-081	34.952034
PBB-082	37.195979
PBB-083	37.339815
PBB-084	37.028179
PBB-085	37.618128
PBB-086	37.371343
PBB-087	37.506609
PBB-088	37.313845
PBB-089	37.046036
PBB-090	37.737395
PBB-091	37.417558
PBB-092	37.635264
PBB-093	37.232445
PBB-094	37.214595
PBB-095	37.315724
PBB-096	36.942241
PBB-097	37.488307
PBB-098	37.356877
PBB-099	37.90835
PBB-100	37.746275
PBB-101	37.7818
PBB-102	37.320283
PBB-103	37.635719
PBB-104	37.225632
PBB-105	37.8914
PBB-106	37.910771
PBB-107	37.954662
PBB-108	37.896089
PBB-109	37.725663
PBB-110	37.542456
PBB-111	37.986776
PBB-112	37.63606
PBB-113	37.590749
PBB-114	38.134294
PBB-115	37.901211
PBB-116	37.669622
PBB-117	37.813845
PBB-118	38.150344
PBB-119	37.881261
PBB-120	38.188116
PBB-121	37.953502
PBB-122	37.621552
PBB-123	38.091462
PBB-124	37.921611
PBB-125	37.39991
PBB-126	38.338418
PBB-127	38.333606
PBB-128	40.888949
PBB-129	40.812248
PBB-130	41.000404
PBB-131	40.726086
PBB-132	40.627765
PBB-133	41.096243
PBB-134	40.633437
PBB-135	40.773509
PBB-136	40.463686
PBB-137	41.246589
PBB-138	41.164395
PBB-139	41.139694
PBB-140	40.975868
PBB-141	41.105353
PBB-142	40.75481
PBB-143	40.614256
PBB-144	41.027581
PBB-145	40.556872
PBB-146	41.270953
PBB-147	41.02955
PBB-148	41.099777
PBB-149	40.899357
PBB-150	40.781428
PBB-151	40.926692
PBB-152	40.499934
PBB-153	41.441795
PBB-154	41.252548
PBB-155	41.099249
PBB-156	41.521642
PBB-157	41.357731
PBB-158	41.298772
PBB-159	41.530163
PBB-160	41.215999
PBB-161	41.342708
PBB-162	41.40542
PBB-163	41.152177
PBB-164	41.002186
PBB-165	41.236075
PBB-166	41.407887
PBB-167	41.648087
PBB-168	41.392873
PBB-169	41.843913
PBB-170	44.531969
PBB-171	44.402324
PBB-172	44.618646
PBB-173	44.196664
PBB-174	44.231096
PBB-175	44.51493
PBB-176	44.13968
PBB-177	44.285917
PBB-178	44.399226
PBB-179	44.05466
PBB-180	44.797009
PBB-181	44.618771
PBB-182	44.589009
PBB-183	44.662636
PBB-184	44.478337
PBB-185	44.482749
PBB-186	44.012684
PBB-187	44.545883
PBB-188	44.389509
PBB-189	45.005714
PBB-190	44.795453
PBB-191	44.773328
PBB-192	44.841547
PBB-193	44.631577
PBB-194	48.176964
PBB-195	47.904311
PBB-196	48.023644
PBB-197	47.897119
PBB-198	47.988443
PBB-199	47.889906
PBB-200	47.605573
PBB-201	47.776777
PBB-202	47.682889
PBB-203	48.159814
PBB-204	47.97295
PBB-205	48.297651
PBB-206	51.543855
PBB-207	51.400974
PBB-208	51.278076
PBB-209	54.884004
PBDD-01	25.697748
PBDD-02	26.138315
PBDD-03	29.396555
PBDD-04	29.602102
PBDD-05	29.239322
PBDD-06	29.106843
PBDD-07	29.553399
PBDD-08	29.493841
PBDD-09	28.96693
PBDD-10	29.771258
PBDD-11	30.03959
PBDD-12	30.005327
PBDD-13	33.153876
PBDD-14	33.012726
PBDD-15	32.854964
PBDD-16	33.333201
PBDD-17	33.24546
PBDD-18	32.657348
PBDD-19	32.998135
PBDD-20	33.52781
PBDD-21	33.490062
PBDD-22	32.920818
PBDD-23	32.552426
PBDD-24	33.077246
PBDD-25	33.170531
PBDD-26	33.741923
PBDD-27	36.61323
PBDD-28	36.556438
PBDD-29	37.132519
PBDD-30	37.095297
PBDD-31	36.432609
PBDD-32	36.3583
PBDD-33	36.924361
PBDD-34	36.916952
PBDD-35	36.306823
PBDD-36	36.630679
PBDD-37	36.781384
PBDD-38	36.264204
PBDD-39	37.024082
PBDD-40	36.67837
PBDD-41	36.405007
PBDD-42	36.956655
PBDD-43	36.468391
PBDD-44	37.232352
PBDD-45	36.911012
PBDD-46	36.000614
PBDD-47	36.723689
PBDD-48	37.478774
PBDD-49	39.931884
PBDD-50	40.624478
PBDD-51	40.413771
PBDD-52	40.571347
PBDD-53	40.014235
PBDD-54	40.865562
PBDD-55	40.507824
PBDD-56	40.253542
PBDD-57	40.132928
PBDD-58	40.350106
PBDD-59	39.793321
PBDD-60	40.622521
PBDD-61	40.294599
PBDD-62	40.061863
PBDD-63	43.800491
PBDD-64	43.987068
PBDD-65	43.410566
PBDD-66	44.32615
PBDD-67	44.205576
PBDD-68	43.924342
PBDD-69	43.876057
PBDD-70	44.100533
PBDD-71	43.631502
PBDD-72	43.616931
PBDD-73	47.627414
PBDD-74	47.311358
PBDD-75	51.013895
PBDE-003	25.310619
PBDE-004	27.717609
PBDE-005	28.041891
PBDE-006	28.060201
PBDE-009	28.532151
PBDE-011	28.738119
PBDE-014	28.878472
PBDE-016	31.080355
PBDE-017	31.466115
PBDE-018	31.581838
PBDE-019	31.059856
PBDE-020	31.415208
PBDE-021	31.689671
PBDE-022	31.676194
PBDE-023	31.941974
PBDE-024	31.669382
PBDE-025	31.820809
PBDE-026	31.858386
PBDE-027	31.406481
PBDE-028	32.102941
PBDE-029	32.103755
PBDE-031	32.128379
PBDE-034	31.812791
PBDE-036	32.239827
PBDE-038	32.18198
PBDE-039	32.521435
PBDE-040	34.469924
PBDE-041	34.697376
PBDE-042	34.831723
PBDE-043	35.018042
PBDE-044	34.855806
PBDE-045	34.707346
PBDE-046	34.444149
PBDE-048	35.080083
PBDE-049	35.27662
PBDE-050	34.886331
PBDE-051	34.805404
PBDE-052	35.301267
PBDE-053	34.846184
PBDE-054	34.417393
PBDE-055	35.106453
PBDE-056	34.939321
PBDE-057	35.361076
PBDE-058	35.236765
PBDE-059	35.109762
PBDE-060	35.38053
PBDE-061	35.613855
PBDE-062	35.448967
PBDE-063	35.626079
PBDE-064	35.330712
PBDE-065	35.353731
PBDE-067	35.505216
PBDE-068	35.636658
PBDE-070	35.464494
PBDE-071	34.905574
PBDE-072	35.674974
PBDE-073	35.146828
PBDE-074	35.777592
PBDE-076	35.147554
PBDE-078	35.674148
PBDE-079	36.068668
PBDE-080	36.060642
PBDE-081	35.937548
PBDE-083	38.384943
PBDE-084	38.147759
PBDE-085	38.506413
PBDE-086	38.415715
PBDE-087	38.54801
PBDE-088	38.390847
PBDE-089	38.071265
PBDE-090	38.732759
PBDE-091	38.480489
PBDE-092	38.768721
PBDE-093	38.302492
PBDE-094	38.392158
PBDE-095	38.518925
PBDE-096	38.058739
PBDE-097	38.464144
PBDE-098	38.290595
PBDE-100	38.689899
PBDE-101	38.932856
PBDE-102	38.419052
PBDE-103	38.732395
PBDE-104	38.255446
PBDE-105	38.673612
PBDE-106	38.820386
PBDE-107	38.859452
PBDE-108	38.939534
PBDE-109	38.743078
PBDE-110	38.585078
PBDE-111	39.153505
PBDE-112	38.651346
PBDE-113	38.866431
PBDE-114	39.21943
PBDE-116	39.021303
PBDE-117	38.960734
PBDE-118	39.096283
PBDE-119	38.794431
PBDE-120	39.328163
PBDE-121	39.049075
PBDE-122	38.549707
PBDE-123	39.014689
PBDE-124	39.016077
PBDE-125	38.553221
PBDE-126	39.237743
PBDE-127	39.44625
PBDE-128	41.701643
PBDE-129	41.845129
PBDE-130	41.974267
PBDE-131	41.835237
PBDE-132	41.663832
PBDE-133	42.207581
PBDE-134	41.723751
PBDE-135	41.907594
PBDE-136	41.695016
PBDE-137	42.234858
PBDE-138	42.142819
PBDE-139	42.207035
PBDE-140	41.967491
PBDE-141	42.346552
PBDE-142	41.919344
PBDE-143	41.752361
PBDE-144	42.233269
PBDE-145	41.842299
PBDE-146	42.392162
PBDE-147	42.106331
PBDE-148	42.185622
PBDE-149	42.140412
PBDE-150	41.949879
PBDE-151	42.128005
PBDE-152	41.737868
PBDE-153	42.585425
PBDE-154	42.346323
PBDE-155	42.146158
PBDE-156	42.41968
PBDE-157	42.271939
PBDE-158	42.321084
PBDE-159	42.673864
PBDE-160	42.30988
PBDE-161	42.596335
PBDE-162	42.492449
PBDE-163	42.249167
PBDE-164	42.246581
PBDE-165	42.483029
PBDE-166	42.728753
PBDE-167	42.768813
PBDE-168	42.435581
PBDE-169	42.929517
PBDE-170	45.487237
PBDE-171	45.461909
PBDE-172	45.740975
PBDE-173	45.278279
PBDE-174	45.303834
PBDE-175	45.70439
PBDE-176	45.300973
PBDE-177	45.338929
PBDE-178	45.581863
PBDE-179	45.205847
PBDE-180	45.932545
PBDE-181	45.772758
PBDE-182	45.791136
PBDE-183	45.896609
PBDE-184	45.66844
PBDE-185	45.738973
PBDE-186	45.21627
PBDE-187	45.745131
PBDE-188	45.55832
PBDE-189	46.115498
PBDE-190	45.863173
PBDE-191	46.039712
PBDE-192	46.124484
PBDE-193	45.881724
PBDE-194	49.306666
PBDE-195	48.998412
PBDE-196	49.071234
PBDE-197	49.074657
PBDE-198	49.183345
PBDE-199	49.109765
PBDE-200	48.820093
PBDE-201	49.107835
PBDE-202	48.972527
PBDE-203	49.499335
PBDE-204	49.24518
PBDE-205	49.556392
PBDE-206	52.752968
PBDE-207	52.586004
PBDE-208	52.580049
PBDE-209	56.25633
PBDF-001	24.669392
PBDF-002	25.107025
PBDF-003	25.292327
PBDF-004	24.815088
PBDF-005	28.238322
PBDF-006	28.632408
PBDF-007	28.255312
PBDF-008	28.114554
PBDF-009	28.563506
PBDF-010	28.310815
PBDF-011	27.941754
PBDF-012	28.802927
PBDF-013	28.588945
PBDF-014	28.574988
PBDF-015	29.084375
PBDF-016	28.820003
PBDF-017	28.555414
PBDF-018	28.711216
PBDF-019	29.277969
PBDF-020	28.160574
PBDF-021	32.036326
PBDF-022	31.906003
PBDF-023	31.746054
PBDF-024	32.218702
PBDF-025	31.882486
PBDF-026	31.470117
PBDF-027	32.068008
PBDF-028	32.087123
PBDF-029	32.636641
PBDF-030	32.343657
PBDF-031	31.911904
PBDF-032	31.620144
PBDF-033	32.16409
PBDF-034	31.927371
PBDF-035	31.530134
PBDF-036	31.853001
PBDF-037	31.810611
PBDF-038	32.011442
PBDF-039	32.156503
PBDF-040	32.293524
PBDF-041	32.857966
PBDF-042	32.578581
PBDF-043	31.995554
PBDF-044	32.576716
PBDF-045	32.348697
PBDF-046	32.382454
PBDF-047	31.920869
PBDF-048	32.562465
PBDF-049	35.537516
PBDF-050	35.541231
PBDF-051	36.10722
PBDF-052	35.767568
PBDF-053	35.29722
PBDF-054	35.313385
PBDF-055	35.875673
PBDF-056	35.590578
PBDF-057	35.130562
PBDF-058	35.546015
PBDF-059	35.467721
PBDF-060	35.113731
PBDF-061	35.68404
PBDF-062	35.531718
PBDF-063	35.04932
PBDF-064	35.449209
PBDF-065	36.07327
PBDF-066	35.817832
PBDF-067	35.351284
