Compound Id	Total energy
PBDE-025	-2538.89482
PBDE-026	-2538.89778
PBDE-027	-2538.81223
PBDE-028	-2538.89285
PBDE-029	-2538.75813
PBDE-031	-2538.89551
PBDE-034	-2538.90607
PBDE-036	-2538.95934
PBDE-038	-2538.77255
PBDE-039	-2538.9594
PBDE-040	-2753.19094
PBDE-041	-2753.16548
PBDE-042	-2753.26142
PBDE-043	-2753.23877
PBDE-044	-2753.26394
PBDE-045	-2753.15792
PBDE-046	-2753.17878
PBDE-048	-2753.23749
PBDE-049	-2753.33297
PBDE-050	-2753.22055
PBDE-051	-2753.24925
PBDE-052	-2753.33493
PBDE-053	-2753.25079
PBDE-054	-2753.15974
PBDE-055	-2753.1999
PBDE-056	-2753.23595
PBDE-057	-2753.27181
PBDE-058	-2753.30348
PBDE-059	-2753.19316
PBDE-060	-2753.2003
PBDE-061	-2753.049
PBDE-062	-2753.02862
PBDE-063	-2753.27198
PBDE-064	-2753.19074
PBDE-065	-2753.03997
PBDE-067	-2753.26982
PBDE-068	-2753.36914
PBDE-070	-2753.30492
PBDE-071	-2753.2239
PBDE-072	-2753.37155
PBDE-073	-2753.29061
PBDE-074	-2753.26835
PBDE-076	-2753.21879
PBDE-078	-2753.26351
PBDE-079	-2753.34846
PBDE-080	-2753.41804
PBDE-081	-2753.26416
PBDE-083	-2967.64343
PBDE-084	-2967.56801
PBDE-085	-2967.64044
PBDE-086	-2967.52793
PBDE-087	-2967.64313
PBDE-088	-2967.51924
PBDE-089	-2967.56184
PBDE-090	-2967.71283
PBDE-091	-2967.63769
PBDE-092	-2967.71515
PBDE-093	-2967.52858
PBDE-094	-2967.63425
PBDE-095	-2967.63938
PBDE-096	-2967.55215
PBDE-097	-2967.6433
PBDE-098	-2967.62927
PBDE-100	-2967.69876
PBDE-101	-2967.7138
PBDE-102	-2967.63354
PBDE-103	-2967.70068
PBDE-104	-2967.61446
PBDE-105	-2967.60325
PBDE-106	-2967.55195
PBDE-107	-2967.67422
PBDE-108	-2967.67009
PBDE-109	-2967.54245
PBDE-110	-2967.59987
PBDE-111	-2967.74051
PBDE-112	-2967.55244
PBDE-113	-2967.66584
PBDE-114	-2967.55277
PBDE-116	-2967.30528
PBDE-117	-2967.55228
PBDE-118	-2967.67215
PBDE-119	-2967.65905
PBDE-120	-2967.73817
PBDE-121	-2967.7251
PBDE-122	-2967.61212
PBDE-123	-2967.67713
PBDE-124	-2967.6795
PBDE-125	-2967.60163
PBDE-126	-2967.65247
PBDE-127	-2967.71698
PBDE-128	-3181.9461
PBDE-129	-3181.92874
PBDE-130	-3182.01817
PBDE-131	-3181.92434
PBDE-132	-3181.94599
PBDE-133	-3182.08977
PBDE-134	-3181.93268
PBDE-135	-3182.01795
PBDE-136	-3181.94032
