Compound Id	Total energy of the corresponding cation
PBDD-12	-2579.77851
PBDD-13	-2793.9641
PBDD-14	-2793.99085
PBDD-15	-2794.00412
PBDD-16	-2794.02678
PBDD-17	-2794.02492
PBDD-18	-2794.00075
PBDD-19	-2794.03814
PBDD-20	-2794.06465
PBDD-21	-2794.06052
PBDD-22	-2794.03981
PBDD-23	-2794.01958
PBDD-24	-2794.04205
PBDD-25	-2794.02007
PBDD-26	-2794.04324
PBDD-27	-3008.19405
PBDD-28	-3008.25529
PBDD-29	-3008.28165
PBDD-30	-3008.27863
PBDD-31	-3008.25474
PBDD-32	-3008.28055
PBDD-33	-3008.30473
PBDD-34	-3008.30557
PBDD-35	-3008.27853
PBDD-36	-3008.27518
PBDD-37	-3008.31012
PBDD-38	-3008.28701
PBDD-39	-3008.29177
PBDD-40	-3008.30873
PBDD-41	-3008.27025
PBDD-42	-3008.34293
PBDD-43	-3008.32338
PBDD-44	-3008.32873
PBDD-45	-3008.3492
PBDD-46	-3008.30216
PBDD-47	-3008.30669
PBDD-48	-3008.30982
PBDD-49	-3222.48383
PBDD-50	-3222.51099
PBDD-51	-3222.52918
PBDD-52	-3222.5633
PBDD-53	-3222.54051
PBDD-54	-3222.5475
PBDD-55	-3222.56595
PBDD-56	-3222.52623
PBDD-57	-3222.55158
PBDD-58	-3222.58886
PBDD-59	-3222.56251
PBDD-60	-3222.57198
PBDD-61	-3222.58583
PBDD-62	-3222.54994
PBDD-63	-3436.75746
PBDD-64	-3436.79438
PBDD-65	-3436.76805
PBDD-66	-3436.77923
PBDD-67	-3436.78416
PBDD-68	-3436.80793
PBDD-69	-3436.80552
PBDD-70	-3436.78426
PBDD-71	-3436.82702
PBDD-72	-3436.8273
PBDD-73	-3651.01494
PBDD-74	-3651.03518
PBDD-75	-3865.24434
PBDE-003	-2101.21514
PBDE-004	-2315.54402
PBDE-005	-2315.49203
PBDE-006	-2315.51817
PBDE-009	-2315.47722
PBDE-011	-2315.46573
PBDE-014	-2315.43743
PBDE-016	-2529.81869
PBDE-017	-2529.91725
PBDE-018	-2529.85494
PBDE-019	-2529.86276
PBDE-020	-2529.80481
PBDE-021	-2529.73883
PBDE-022	-2529.94528
PBDE-023	-2529.79462
PBDE-024	-2529.81158
PBDE-025	-2529.8279
PBDE-026	-2529.812
PBDE-027	-2529.85448
PBDE-028	-2529.95069
PBDE-029	-2529.82552
PBDE-031	-2529.96467
PBDE-034	-2529.8191
PBDE-036	-2529.77728
PBDE-038	-2529.76197
PBDE-039	-2529.8247
PBDE-040	-2744.09203
PBDE-041	-2744.1403
PBDE-042	-2744.20471
PBDE-043	-2744.12987
PBDE-044	-2744.13033
PBDE-045	-2744.13969
PBDE-046	-2744.13495
PBDE-048	-2744.19365
PBDE-049	-2744.23351
PBDE-050	-2744.21118
PBDE-051	-2744.2577
PBDE-052	-2744.16524
PBDE-053	-2744.17467
PBDE-054	-2744.16617
PBDE-055	-2744.05258
PBDE-056	-2744.23815
PBDE-057	-2744.10519
PBDE-058	-2744.10462
PBDE-059	-2744.13001
PBDE-060	-2744.18121
PBDE-061	-2744.03588
PBDE-062	-2744.04535
PBDE-063	-2744.26148
