Compound Id	Electronic energy
PCDE-067	-16786.67718
PCB-088	-17124.03764
PCB-055	-14946.10421
PCN-50	-14019.02771
PCB-080	-14631.72823
PCB-095	-17070.51082
PCB-102	-17045.95267
PCDE-047	-16938.89115
PCDE-063	-16688.87279
PCB-091	-17014.81894
PCDE-070	-16756.44983
PCDE-074	-16668.74132
PCDE-061	-16910.08074
PBDE-030	-14991.066
PCB-056	-14932.31135
PCDE-066	-16685.58293
PCB-092	-16832.61131
PCDE-042	-17012.07936
PCB-155	-18925.26818
PCDE-055	-16787.64236
PCB-101	-16777.31388
PCB-079	-14632.16616
PCDE-041	-17136.06778
PCB-078	-14726.90185
PCB-112	-16875.81058
PCB-099	-16715.83772
PCB-145	-19132.56937
PCB-082	-16877.33867
PCDE-056	-16748.77637
PCB-081	-14664.54285
PCB-086	-16956.53958
PCB-083	-16882.36081
PCDE-060	-16664.9969
PCDE-077	-16518.02042
PCB-117	-16799.52785
PCDD-12	-14943.6173
PCB-085	-16766.26257
PCB-087	-16833.80713
PBDE-032	-14963.57245
PCB-077	-14629.983
PCB-115	-16759.69865
PCDE-102	-19030.37506
PCB-120	-16502.11096
PCB-148	-18751.85777
PCB-110	-16804.75728
PCDE-119	-18755.10762
PBDE-033	-14916.9354
PCB-151	-18857.11114
PCB-154	-18684.60945
PCDE-116	-19041.47798
PCDE-117	-18811.73932
PCB-136	-19151.29188
PCN-67	-15649.91595
PCDE-090	-18766.43382
PCDE-091	-19145.51305
PCB-108	-16571.12937
PBDE-035	-14551.48762
PCB-106	-16649.62794
PCB-123	-16531.44405
PCB-131	-18877.95813
PCB-107	-16541.40437
PCB-134	-18925.3449
PCDE-110	-18830.41917
PCN-69	-15781.27182
PCN-71	-15862.74006
PCB-118	-16487.02686
PCB-135	-18862.37049
PCDD-14	-16957.35005
PBDE-037	-14454.26329
PCB-144	-18809.51213
PCDE-108	-18429.22492
PCDE-109	-18881.21935
PCB-122	-16652.15461
PCDE-123	-18611.94782
PCDE-087	-18760.2317
PCDE-089	-19013.09367
PCB-105	-16549.79802
PCB-188	-20904.73453
PCB-133	-18592.41874
PCB-127	-16312.4628
PCB-146	-18533.80337
PCB-132	-18863.52238
PCDE-085	-18725.32155
PCB-168	-18493.19832
PCB-153	-18472.44369
PCB-141	-18628.48795
PCB-158	-18513.74868
PCB-163	-18563.3185
PCB-130	-18583.84764
PCB-202	-22958.01339
PCB-176	-20967.64633
PCB-138	-18529.11588
PCDE-105	-18439.08519
PCDE-082	-18889.88741
PCB-126	-16306.91747
PCB-186	-21094.06505
PCB-129	-18678.47157
PCDE-149	-20953.72668
PBDE-069	-16520.0415
PCDE-146	-20548.26835
PCB-175	-20655.69021
PCB-183	-20582.13734
PCDE-139	-20952.95272
PCB-128	-18572.91797
PCB-185	-20745.21915
PBDE-047	-16574.1121
PCB-187	-20635.62518
PCN-73	-17569.67864
PCB-181	-20677.45425
PCB-137	-18557.3182
PCB-167	-18254.89435
PCDE-140	-20694.02885
PBDE-066	-16329.45106
PCDE-166	-20682.90883
PCDE-167	-20228.76354
PCB-157	-18323.8281
PCDE-137	-20628.63466
PCDD-27	-18765.51981
PCDE-130	-20606.87007
PCB-174	-20735.80489
PCB-197	-22832.41996
PCB-192	-20447.0497
PCB-201	-22894.93351
PCDE-138	-20496.91755
PBDE-077	-16000.80407
PCB-204	-22864.41741
PCB-172	-20442.69467
PCDE-156	-20296.89052
PCB-180	-20377.97889
PCDE-187	-22901.60275
PCDE-157	-20229.82435
PCB-190	-20421.43697
PCB-191	-20366.32146
PCDE-128	-20626.80208
PCB-170	-20428.19432
PCDE-174	-22829.34892
PCB-198	-22652.05623
PCDE-181	-22988.27075
PCB-169	-18041.55463
PCB-203	-22572.11889
PCDE-180	-22460.03317
PCB-196	-22577.56993
PCB-199	-22637.35486
PCDE-177	-22703.44421
PCDD-42	-18486.04905
PCDE-189	-22133.44272
PCB-195	-22640.93612
PCDE-170	-22599.22784
PCDE-203	-24906.49027
PCB-208	-24977.68815
PBDE-115	-18037.19315
PCB-205	-22331.81103
PCDF-114	-18074.67662
PCDE-194	-24522.65636
PCB-206	-24628.06717
PCDE-206	-27067.74401
PCDF-118	-20071.42632
PCDE-209	-29438.30109
PCDF-131	-22049.03871
PCDF-135	-24243.72536
PCDD-75	-26509.7762
PCB-001	-10456.75052
PCDE-001	-12079.01396
PCN-05	-9497.77866
PCB-007	-11822.01431
PBDE-001	-12087.00329
PCDE-014	-13420.15926
PCB-019	-13805.31115
PCDE-012	-13390.46463
PCB-018	-13576.78101
PCB-015	-11531.19605
PCB-024	-13620.75095
PCB-032	-13502.24886
PCB-026	-13314.68338
PCB-031	-13261.2303
PCDE-032	-15372.83316
PCB-053	-15375.97282
PCDE-017	-15400.12255
PCDE-039	-14869.27337
PCN-28	-12447.0767
PCDE-038	-15059.17311
PCDE-021	-15165.02646
PCB-052	-15130.56261
PCDF-016	-13102.17887
PBDE-008	-13388.20258
PCB-061	-15077.6932
PCB-041	-15219.51614
PBDE-015	-13035.23421
PCDE-075	-16945.45888
PCDE-068	-16716.2007
PCDE-049	-16968.29806
PCB-098	-17034.83893
PCDE-071	-17121.75934
PCB-070	-14870.00321
PCB-060	-14893.4957
PCB-121	-16716.88983
PCDE-079	-16489.17867
PCN-53	-14123.59685
PCB-084	-17138.8471
PCB-090	-16767.12292
PCDE-081	-16556.53078
PCB-113	-16820.94499
PCB-119	-16704.52754
PCB-097	-16833.63123
PCB-116	-17016.42343
PCDE-100	-19067.03868
PCB-125	-16878.77673
PCDE-120	-18421.72848
PCDE-101	-18779.25915
PCN-66	-15655.83218
PCDE-115	-18742.22934
PCDE-099	-18749.6809
PCB-114	-16586.95888
PCB-139	-18748.09852
PCB-149	-18794.69865
PCDE-097	-18734.07404
PCDE-118	-18445.48008
PCB-143	-18926.51324
PCB-124	-16583.65939
PCDE-114	-18467.72675
PCDE-154	-20723.04787
PCDE-126	-18310.58573
PCB-179	-21024.30898
PBDE-075	-16400.33011
PCB-178	-20709.62953
PCDE-147	-21031.66557
PCDE-153	-20527.6596
PCDE-163	-20691.94127
PCB-182	-20619.55665
PCB-177	-20704.33248
PCB-156	-18307.71044
PCB-171	-20651.02033
PCDE-132	-20841.88242
PCDF-083	-16253.63043
PCB-193	-20419.41938
PCDD-48	-18224.50705
PCB-200	-22989.71397
PBDE-099	-18156.04821
PBDE-082	-18408.7043
PCDE-190	-22624.01254
PCB-189	-20139.518
PCB-207	-24908.76979
PCDE-199	-24750.84822
PCDE-195	-25058.58743
PCDD-66	-22196.76316
PCDD-73	-24313.67857
BBz-01	-4140.08905
BBz-02	-5125.40602
BBz-03	-5080.53722
BBz-04	-5070.64288
BBz-05	-6194.76216
BBz-06	-6138.98459
BBz-07	-6104.08735
BBz-08	-7337.53809
BBz-09	-7291.54207
BBz-10	-7280.36136
BBz-11	-8563.61924
BBz-12	-9920.93335
CBz-00	-3282.82801
CBz-01	-4241.24152
CBz-02	-5349.45792
CBz-03	-5291.38798
CBz-04	-5280.3203
CBz-05	-6549.19878
CBz-06	-6480.01995
CBz-07	-6433.33916
CBz-08	-7829.30807
CBz-09	-7771.45218
CBz-10	-7759.88015
CBz-11	-9200.90771
CBz-12	-10722.03287
PBB-001	-10324.18093
PBB-002	-10138.43678
PBB-003	-10095.90649
PBB-004	-11824.29381
PBB-005	-11655.99441
PBB-006	-11602.2809
PBB-007	-11567.66208
PBB-008	-11558.81322
PBB-009	-11600.88556
PBB-010	-11796.08563
PBB-011	-11395.89344
PBB-012	-11427.13803
PBB-013	-11350.29683
PBB-014	-11424.6218
PBB-015	-11302.19194
PBB-016	-13238.82931
PBB-017	-13142.27962
PBB-018	-13180.63518
PBB-019	-13409.71958
PBB-020	-12989.8222
PBB-021	-13029.33975
PBB-022	-12942.27492
PBB-023	-13016.2445
PBB-024	-13202.30656
PBB-025	-12897.4909
PBB-026	-12939.75244
PBB-027	-13164.27998
PBB-028	-12848.34212
PBB-029	-12972.58733
PBB-030	-13122.65268
PBB-031	-12887.24209
PBB-032	-13107.06224
PBB-033	-12965.15807
PBB-034	-12978.34748
PBB-035	-12736.25468
PBB-036	-12743.31581
PBB-037	-12685.08951
PBB-038	-12843.08715
PBB-039	-12688.1199
PBB-040	-14710.70836
PBB-041	-14686.68648
PBB-042	-14608.48885
PBB-043	-14679.34821
PBB-044	-14652.91874
PBB-045	-14898.02203
PBB-046	-14905.68814
PBB-047	-14506.2106
PBB-048	-14626.764
PBB-049	-14550.19877
PBB-050	-14811.17201
PBB-051	-14801.94377
PBB-052	-14595.2256
PBB-053	-14848.86289
PBB-054	-15106.37557
PBB-055	-14415.03281
PBB-056	-14404.39872
PBB-057	-14410.80412
PBB-058	-14425.57422
PBB-059	-14627.67188
PBB-060	-14361.7558
PBB-061	-14519.64009
PBB-062	-14659.13144
PBB-063	-14354.29069
PBB-064	-14563.33486
PBB-065	-14692.64633
PBB-066	-14306.46036
PBB-067	-14363.16058
PBB-068	-14325.03139
PBB-069	-14542.6164
PBB-070	-14354.45223
PBB-071	-14608.13396
PBB-072	-14371.05543
PBB-073	-14622.03744
PBB-074	-14304.98345
PBB-075	-14477.8879
PBB-076	-14471.18377
PBB-077	-14122.74878
PBB-078	-14213.59667
PBB-079	-14135.39946
PBB-080	-14145.51902
PBB-081	-14152.76999
PBB-082	-16210.31094
PBB-083	-16209.34059
PBB-084	-16451.72364
PBB-085	-16102.35447
PBB-086	-16257.27555
PBB-087	-16152.41323
PBB-088	-16429.4766
PBB-089	-16427.88153
PBB-090	-16100.60316
PBB-091	-16341.87409
PBB-092	-16151.43342
PBB-093	-16470.68345
PBB-094	-16428.59839
PBB-095	-16395.05956
PBB-096	-16676.54906
PBB-097	-16150.67175
PBB-098	-16358.70397
PBB-099	-16042.3067
PBB-100	-16249.2714
PBB-101	-16092.98965
PBB-102	-16369.20355
PBB-103	-16301.71014
PBB-104	-16581.86899
PBB-105	-15875.80786
PBB-106	-15966.12855
PBB-107	-15877.26453
PBB-108	-15902.30167
PBB-109	-16134.48343
PBB-110	-16122.15205
PBB-111	-15901.93599
PBB-112	-16174.41759
PBB-113	-16136.55438
PBB-114	-15903.88782
PBB-115	-16066.25082
PBB-116	-16281.90563
PBB-117	-16105.54354
PBB-118	-15823.9622
PBB-119	-16026.288
PBB-120	-15845.98984
PBB-121	-16044.26765
PBB-122	-15970.28612
PBB-123	-15864.04052
PBB-124	-15915.77648
PBB-125	-16189.54179
PBB-126	-15651.90599
PBB-127	-15667.58533
PBB-128	-17756.03548
PBB-129	-17839.13114
PBB-130	-17760.65325
PBB-131	-18034.81899
PBB-132	-18025.73621
PBB-133	-17765.72467
PBB-134	-18082.35234
PBB-135	-18032.65164
PBB-136	-18304.66926
PBB-137	-17724.71551
PBB-138	-17696.31632
PBB-139	-17919.37495
PBB-140	-17926.8683
PBB-141	-17781.21645
PBB-142	-18134.68445
PBB-143	-18080.97119
PBB-144	-17978.06777
PBB-145	-18282.18549
PBB-146	-17700.91914
PBB-147	-17966.28847
PBB-148	-17933.12208
PBB-149	-17967.16291
PBB-150	-18203.70462
PBB-151	-18025.48051
PBB-152	-18330.86992
PBB-153	-17636.77813
PBB-154	-17868.01927
PBB-155	-18103.25241
PBB-156	-17478.84994
PBB-157	-17493.24582
PBB-158	-17671.70255
PBB-159	-17508.90208
PBB-160	-17815.50653
PBB-161	-17696.65189
PBB-162	-17498.56696
PBB-163	-17715.76788
PBB-164	-17763.41465
PBB-165	-17739.70153
PBB-166	-17741.06522
PBB-167	-17436.95931
PBB-168	-17665.34611
PBB-169	-17235.94673
PBB-170	-19436.72399
PBB-171	-19654.98385
PBB-172	-19447.35578
PBB-173	-19798.21028
PBB-174	-19737.00365
PBB-175	-19667.46535
PBB-176	-19962.1035
PBB-177	-19708.30091
PBB-178	-19721.17675
PBB-179	-20017.07135
PBB-180	-19376.9334
PBB-181	-19676.5059
PBB-182	-19631.65032
PBB-183	-19596.23741
PBB-184	-19855.3597
PBB-185	-19741.302
PBB-186	-20069.23215
PBB-187	-19649.44565
PBB-188	-19909.77492
PBB-189	-19151.94153
PBB-190	-19403.18256
PBB-191	-19362.39861
PBB-192	-19432.67653
PBB-193	-19414.56333
PBB-194	-21175.45801
PBB-195	-21470.45181
PBB-196	-21418.04069
PBB-197	-21665.5914
PBB-198	-21488.9891
PBB-199	-21477.62921
PBB-200	-21807.42803
PBB-201	-21726.36976
PBB-202	-21787.64203
PBB-203	-21411.55248
PBB-204	-21694.30124
PBB-205	-21153.9752
PBB-206	-23291.84474
PBB-207	-23563.02558
PBB-208	-23630.08011
PBB-209	-25519.06165
PBDD-01	-13503.98359
PBDD-02	-13356.04391
PBDD-03	-14931.74112
PBDD-04	-14885.44004
PBDD-05	-15023.9775
PBDD-06	-15010.59034
PBDD-07	-14857.09733
PBDD-08	-14866.03797
PBDD-09	-15051.45109
PBDD-10	-14782.70563
PBDD-11	-14700.11386
PBDD-12	-14702.32151
PBDD-13	-16443.37439
PBDD-14	-16535.14402
PBDD-15	-16493.12191
PBDD-16	-16330.67121
PBDD-17	-16341.89012
PBDD-18	-16543.42598
PBDD-19	-16455.90879
PBDD-20	-16286.56452
PBDD-21	-16293.27107
PBDD-22	-16487.75134
PBDD-23	-16632.0392
PBDD-24	-16440.92795
PBDD-25	-16347.64992
PBDD-26	-16174.86018
PBDD-27	-18178.72043
PBDD-28	-18068.77138
PBDD-29	-17890.40494
PBDD-30	-17899.38697
PBDD-31	-18110.07628
PBDD-32	-18197.89124
PBDD-33	-17997.80674
PBDD-34	-18000.1576
PBDD-35	-18207.46529
PBDD-36	-18021.44593
PBDD-37	-17986.51338
PBDD-38	-18178.80776
PBDD-39	-17869.32876
PBDD-40	-18025.49462
PBDD-41	-18083.58554
PBDD-42	-17946.96516
PBDD-43	-18132.20698
PBDD-44	-17822.93497
PBDD-45	-17972.05944
PBDD-46	-18314.12795
PBDD-47	-17986.46137
PBDD-48	-17695.50466
PBDD-49	-19906.06137
PBDD-50	-19689.64855
PBDD-51	-19645.26575
PBDD-52	-19607.99102
PBDD-53	-19809.48923
PBDD-54	-19475.00511
PBDD-55	-19640.24299
PBDD-56	-19696.11571
PBDD-57	-19790.41361
PBDD-58	-19746.12763
PBDD-59	-19944.26686
PBDD-60	-19591.47498
PBDD-61	-19753.34444
PBDD-62	-19802.41601
PBDD-63	-21546.96794
PBDD-64	-21500.18404
PBDD-65	-21707.45087
PBDD-66	-21329.29522
PBDD-67	-21315.05409
PBDD-68	-21469.2996
PBDD-69	-21478.9474
PBDD-70	-21356.8395
PBDD-71	-21620.17576
PBDD-72	-21622.62711
PBDD-73	-23271.83526
PBDD-74	-23431.71611
PBDD-75	-25289.36087
PBDE-003	-11764.99628
PBDE-004	-13755.68623
PBDE-005	-13507.9423
PBDE-006	-13486.04979
PBDE-009	-13326.80036
PBDE-011	-13146.14342
PBDE-014	-13176.75264
PBDE-016	-15265.79978
PBDE-017	-15142.01194
PBDE-018	-15163.12741
PBDE-019	-15374.25155
PBDE-020	-14973.06641
PBDE-021	-14946.38134
PBDE-022	-14862.73289
PBDE-023	-14918.26632
PBDE-024	-15058.96776
PBDE-025	-14852.18772
PBDE-026	-14871.44849
PBDE-027	-15072.02146
PBDE-028	-14743.56564
PBDE-029	-14762.47359
PBDE-031	-14764.01759
PBDE-034	-14891.60958
PBDE-036	-14602.0887
PBDE-038	-14660.86544
PBDE-039	-14502.62947
PBDE-040	-16838.18678
PBDE-041	-16782.256
PBDE-042	-16705.99956
PBDE-043	-16757.04744
PBDE-044	-16728.37199
PBDE-045	-16917.11969
PBDE-046	-16953.3564
PBDE-048	-16676.92075
PBDE-049	-16596.51599
PBDE-050	-16844.71173
PBDE-051	-16819.04389
PBDE-052	-16620.34709
PBDE-053	-16845.34844
PBDE-054	-17078.62642
PBDE-055	-16468.58152
PBDE-056	-16457.69451
PBDE-057	-16441.53144
PBDE-058	-16431.78531
PBDE-059	-16589.73678
PBDE-060	-16347.65375
PBDE-061	-16351.72916
PBDE-062	-16578.82227
PBDE-063	-16321.77176
PBDE-064	-16470.9839
PBDE-065	-16634.85231
PBDE-067	-16363.79315
PBDE-068	-16304.26633
PBDE-070	-16350.55091
PBDE-071	-16564.02015
PBDE-072	-16327.48543
PBDE-073	-16544.87632
PBDE-074	-16245.86992
PBDE-076	-16452.04826
PBDE-078	-16139.84756
PBDE-079	-15979.42507
PBDE-080	-16036.08083
PBDE-081	-16032.72049
PBDE-083	-18384.91582
PBDE-084	-18552.33069
PBDE-085	-18268.14886
PBDE-086	-18403.53386
PBDE-087	-18291.76554
PBDE-088	-18517.7932
PBDE-089	-18527.93637
PBDE-090	-18244.40395
PBDE-091	-18409.29641
PBDE-092	-18269.34316
PBDE-093	-18583.00557
PBDE-094	-18508.11028
PBDE-095	-18437.79414
PBDE-096	-18684.25682
PBDE-097	-18296.02762
PBDE-098	-18478.19665
PBDE-100	-18335.06222
PBDE-101	-18181.2425
PBDE-102	-18417.4681
PBDE-103	-18362.50634
PBDE-104	-18607.16707
PBDE-105	-17999.72199
PBDE-106	-18065.79743
PBDE-107	-17974.65224
PBDE-108	-17974.17054
PBDE-109	-18167.02176
PBDE-110	-18130.58876
PBDE-111	-17951.06018
PBDE-112	-18231.56343
PBDE-113	-18113.70531
PBDE-114	-17935.43298
PBDE-116	-18288.31644
PBDE-117	-18100.02451
PBDE-118	-17889.37675
PBDE-119	-18058.40377
PBDE-120	-17866.71568
PBDE-121	-18039.37512
PBDE-122	-18045.97878
PBDE-123	-17911.01553
PBDE-124	-17936.07354
PBDE-125	-18166.44671
PBDE-126	-17644.12169
PBDE-127	-17621.83561
PBDE-128	-20024.49988
PBDE-129	-20085.28753
PBDE-130	-20002.26105
PBDE-131	-20207.23681
PBDE-132	-20225.36614
PBDE-133	-19981.24032
PBDE-134	-20280.79358
PBDE-135	-20206.87256
PBDE-136	-20391.03133
PBDE-137	-19936.4647
PBDE-138	-19905.07497
PBDE-139	-20055.60224
PBDE-140	-20098.14316
PBDE-141	-19962.74346
PBDE-142	-20317.41392
PBDE-143	-20212.63671
PBDE-144	-20085.3132
PBDE-145	-20343.14536
PBDE-146	-19884.27994
PBDE-147	-20128.61816
PBDE-148	-20079.57537
PBDE-149	-20057.42482
PBDE-150	-20259.7906
PBDE-151	-20158.32269
PBDE-152	-20419.35358
PBDE-153	-19787.81938
PBDE-154	-19980.35863
PBDE-155	-20181.25384
PBDE-156	-19645.36217
PBDE-157	-19634.61809
PBDE-158	-19754.33294
PBDE-159	-19622.10434
PBDE-160	-19942.54765
PBDE-161	-19737.52969
PBDE-162	-19613.54022
PBDE-163	-19825.84113
PBDE-164	-19783.80423
PBDE-165	-19808.03714
PBDE-166	-19799.79327
PBDE-167	-19521.47341
PBDE-168	-19707.07585
PBDE-169	-19253.93022
PBDE-170	-21748.05628
PBDE-171	-21874.40749
PBDE-172	-21728.68142
PBDE-173	-22069.63408
PBDE-174	-21965.06099
PBDE-175	-21858.31762
PBDE-176	-22103.92212
PBDE-177	-21956.05332
PBDE-178	-21939.88121
PBDE-179	-22188.63505
PBDE-180	-21623.06539
PBDE-181	-21908.58206
PBDE-182	-21829.56763
PBDE-183	-21750.43948
PBDE-184	-21964.24535
PBDE-185	-21939.43136
PBDE-186	-22211.7139
PBDE-187	-21831.40476
PBDE-188	-22048.81218
PBDE-189	-21330.8235
PBDE-190	-21583.34563
PBDE-191	-21453.8921
PBDE-192	-21565.53431
PBDE-193	-21531.54828
PBDE-194	-23521.40939
PBDE-195	-23790.3244
PBDE-196	-23712.45823
PBDE-197	-23855.01311
PBDE-198	-23775.32931
PBDE-199	-23745.15697
PBDE-200	-24035.25086
PBDE-201	-23889.71459
PBDE-202	-23983.51097
PBDE-203	-23658.0179
PBDE-204	-23886.58947
PBDE-205	-23335.49265
PBDE-206	-25625.99057
PBDE-207	-25840.24473
PBDE-208	-25876.8435
PBDE-209	-27815.72296
PBDF-001	-11712.17834
PBDF-002	-11566.10398
PBDF-003	-11552.93626
PBDF-004	-11661.00832
PBDF-005	-13085.88329
PBDF-006	-13025.90652
PBDF-007	-13124.46084
PBDF-008	-13115.09849
PBDF-009	-13006.28312
PBDF-010	-13038.86775
PBDF-011	-13191.48688
PBDF-012	-12925.52378
PBDF-013	-12987.5625
PBDF-014	-12958.9652
PBDF-015	-12845.65684
PBDF-016	-12865.91055
PBDF-017	-13020.16332
PBDF-018	-12950.30174
PBDF-019	-12831.09484
PBDF-020	-13083.99004
PBDF-021	-14530.16713
PBDF-022	-14581.30747
PBDF-023	-14543.31966
PBDF-024	-14429.05498
PBDF-025	-14468.74146
PBDF-026	-14641.34906
PBDF-027	-14566.81741
PBDF-028	-14487.81489
PBDF-029	-14367.71314
PBDF-030	-14401.58897
PBDF-031	-14566.32412
PBDF-032	-14612.3384
PBDF-033	-14477.48542
PBDF-034	-14505.48885
PBDF-035	-14670.70061
PBDF-036	-14537.81669
PBDF-037	-14524.8002
PBDF-038	-14462.12193
PBDF-039	-14477.2766
PBDF-040	-14377.29247
PBDF-041	-14252.85784
PBDF-042	-14274.53506
PBDF-043	-14464.92058
PBDF-044	-14325.95317
PBDF-045	-14341.73417
PBDF-046	-14367.24722
PBDF-047	-14502.38168
PBDF-048	-14357.29508
PBDF-049	-16156.31074
PBDF-050	-16046.73843
PBDF-051	-15921.12662
PBDF-052	-15962.12669
PBDF-053	-16146.23996
PBDF-054	-16123.73828
PBDF-055	-15983.39453
PBDF-056	-16018.51436
PBDF-057	-16203.86544
PBDF-058	-16015.07792
PBDF-059	-16009.17473
PBDF-060	-16175.65444
PBDF-061	-15941.15866
PBDF-062	-16064.91539
PBDF-063	-16146.26213
PBDF-064	-16114.00403
PBDF-065	-15967.62969
PBDF-066	-15996.82023
PBDF-067	-16173.86682
PBDF-068	-15958.33407
PBDF-069	-15946.47738
PBDF-070	-16105.34138
PBDF-071	-15872.58536
PBDF-072	-15988.92414
PBDF-073	-16094.32145
PBDF-074	-16076.40795
PBDF-075	-16237.52375
PBDF-076	-15987.73439
PBDF-077	-16078.30315
PBDF-078	-16013.9653
PBDF-079	-15863.57883
PBDF-080	-15880.68736
PBDF-081	-15833.46039
PBDF-082	-15809.22941
PBDF-083	-15730.93599
PBDF-084	-15932.41353
PBDF-085	-15902.06401
PBDF-086	-15968.71387
PBDF-087	-17758.33285
PBDF-088	-17606.33624
PBDF-089	-17642.68228
PBDF-090	-17839.33378
PBDF-091	-17566.40001
PBDF-092	-17561.68746
PBDF-093	-17740.65427
PBDF-094	-17482.35785
PBDF-095	-17617.73245
PBDF-096	-17700.02689
PBDF-097	-17654.77377
PBDF-098	-17643.96754
PBDF-099	-17826.00731
PBDF-100	-17549.88842
PBDF-101	-17687.29519
PBDF-102	-17764.02157
PBDF-103	-17611.8785
PBDF-104	-17727.54423
PBDF-105	-17643.91583
PBDF-106	-17627.03436
PBDF-107	-17800.78589
PBDF-108	-17526.88153
PBDF-109	-17656.3501
PBDF-110	-17547.86155
PBDF-111	-17689.30823
PBDF-112	-17529.51388
PBDF-113	-17500.33958
PBDF-114	-17396.15401
PBDF-115	-19337.47184
PBDF-116	-19327.73428
PBDF-117	-19522.03856
PBDF-118	-19222.0484
PBDF-119	-19370.83748
PBDF-120	-19448.37952
PBDF-121	-19212.37603
PBDF-122	-19340.56873
PBDF-123	-19377.92795
PBDF-124	-19301.7715
PBDF-125	-19306.09132
PBDF-126	-19438.07544
PBDF-127	-19469.8142
PBDF-128	-19287.96162
PBDF-129	-19412.07272
PBDF-130	-19146.78592
PBDF-131	-21038.0526
PBDF-132	-21182.32799
PBDF-133	-21214.85576
PBDF-134	-21110.51565
PBDF-135	-23008.37047
PBN-01	-8008.42632
PBN-02	-7931.46471
PBN-03	-9226.07975
PBN-04	-9179.79123
PBN-05	-9247.2881
PBN-06	-9242.80655
PBN-07	-9162.68996
PBN-08	-9180.2417
PBN-09	-9287.48212
PBN-10	-9148.16321
PBN-11	-9075.43133
PBN-12	-9079.45804
PBN-13	-10527.78575
PBN-14	-10548.72986
PBN-15	-10527.13281
PBN-16	-10436.44555
PBN-17	-10458.07331
PBN-18	-10586.87774
PBN-19	-10498.60155
PBN-20	-10394.3691
PBN-21	-10407.76352
PBN-22	-10524.64212
PBN-23	-10595.77737
PBN-24	-10485.95279
PBN-25	-10463.5457
PBN-26	-10352.388
PBN-27	-11982.53245
PBN-28	-11913.58092
PBN-29	-11798.5617
PBN-30	-11816.03957
PBN-31	-11954.20603
PBN-32	-11963.29538
PBN-33	-11843.41354
PBN-34	-11847.66056
PBN-35	-11979.53251
PBN-36	-11867.38883
PBN-37	-11843.14809
PBN-38	-11962.35575
PBN-39	-11797.47534
PBN-40	-11880.19337
PBN-41	-11946.46121
PBN-42	-11810.45997
PBN-43	-11918.21342
PBN-44	-11751.38649
PBN-45	-11822.38211
PBN-46	-12015.74187
PBN-47	-11853.75168
PBN-48	-11685.62661
PBN-49	-13479.45502
PBN-50	-13337.69347
PBN-51	-13314.18096
PBN-52	-13285.78233
PBN-53	-13415.4487
PBN-54	-13215.88204
PBN-55	-13308.29855
PBN-56	-13370.16316
PBN-57	-13385.90876
PBN-58	-13346.26072
PBN-59	-13466.30263
PBN-60	-13271.49048
