Compound Id	Solvent accessible surface
PCDE-120	299.6
PCDE-101	288.96
PCN-66	263.63
PCDE-115	287.09
PCDE-099	289.34
PCB-114	279.76
PCB-139	288.62
PCB-149	288.59
PCDE-097	286.82
PCDE-118	297.49
PCB-143	285.77
PCB-124	281.98
PCDE-114	294.81
PCDE-154	304.73
PCDE-126	296.54
PCB-179	296.85
PBDE-075	293.37
PCB-178	305.03
PCDE-147	295.71
PCDE-153	305.36
PCDE-163	302.72
PCB-182	305.05
PCB-177	301.93
PCB-156	296.02
PCB-171	302.07
PCDE-132	299.63
PCDF-083	266.62
PCB-193	307.45
PCDD-48	276.24
PCB-200	310.75
PBDE-099	305.12
PBDE-082	295.21
PCDE-190	316.37
PCB-189	312.02
PCB-207	327.18
PCDE-199	331.48
PCDE-195	321.76
PCDD-66	306.74
PCDD-73	319.4
BBz-01	144.37
BBz-02	164.91
BBz-03	169.34
BBz-04	169.18
BBz-05	185.72
BBz-06	189.55
BBz-07	193.89
BBz-08	206.12
BBz-09	210.18
BBz-10	210.22
BBz-11	226.6
BBz-12	242.82
CBz-00	120.13
CBz-01	138.85
CBz-02	155.23
CBz-03	158.14
CBz-04	158.13
CBz-05	171.7
CBz-06	174.54
CBz-07	177.66
CBz-08	188.21
CBz-09	191.24
CBz-10	190.63
CBz-11	204.5
CBz-12	217.89
PBB-001	215.59
PBB-002	222.93
PBB-003	223.03
PBB-004	231.39
PBB-005	236.27
PBB-006	240.7
PBB-007	240.08
PBB-008	240.76
PBB-009	240.31
PBB-010	232.8
PBB-011	247.61
PBB-012	243.35
PBB-013	247.48
PBB-014	247.55
PBB-015	247.58
PBB-016	252.05
PBB-017	256.16
PBB-018	256.18
PBB-019	245.78
PBB-020	261.07
PBB-021	256.69
PBB-022	261.16
PBB-023	260.6
PBB-024	253.8
PBB-025	265.31
PBB-026	265.27
PBB-027	257.45
PBB-028	265.13
PBB-029	260.83
PBB-030	257.79
PBB-031	265.22
PBB-032	257.8
PBB-033	261.13
PBB-034	264.52
PBB-035	268.22
PBB-036	272.29
PBB-037	268.17
PBB-038	264.04
PBB-039	272.19
PBB-040	272.74
PBB-041	272.22
PBB-042	276.81
PBB-043	276.61
PBB-044	276.64
PBB-045	266.18
PBB-046	265.8
PBB-047	280.93
PBB-048	276.77
PBB-049	280.72
PBB-050	270.28
PBB-051	270.76
PBB-052	280.71
PBB-053	270.95
PBB-054	254.37
PBB-055	281.53
PBB-056	281.39
PBB-057	285.73
PBB-058	284.69
PBB-059	277.96
PBB-060	281.73
PBB-061	277.17
PBB-062	274.13
PBB-063	285.62
PBB-064	278.65
PBB-065	273.98
PBB-066	285.72
PBB-067	285.57
PBB-068	288.85
PBB-069	281.94
PBB-070	285.78
PBB-071	277.12
PBB-072	289.03
PBB-073	280.41
PBB-074	285.7
PBB-075	282.68
PBB-076	280.96
PBB-077	288.82
PBB-078	288.79
PBB-079	292.91
PBB-080	296.97
PBB-081	288.62
PBB-082	293.15
PBB-083	297.31
PBB-084	285.91
PBB-085	296.94
PBB-086	292.85
PBB-087	296.97
PBB-088	286.49
PBB-089	286.47
PBB-090	301.49
PBB-091	290.89
PBB-092	301.41
PBB-093	286.91
PBB-094	290.78
PBB-095	291.04
PBB-096	274.72
PBB-097	297.16
PBB-098	290.34
PBB-099	301.31
PBB-100	295.1
PBB-101	301
PBB-102	291.13
PBB-103	295.28
PBB-104	279.01
PBB-105	301.95
PBB-106	302.03
PBB-107	305.99
PBB-108	305.13
PBB-109	298.82
PBB-110	297.82
PBB-111	309.16
PBB-112	299.13
PBB-113	302.65
PBB-114	302.15
PBB-115	299.09
PBB-116	290.13
PBB-117	299.2
PBB-118	306.2
PBB-119	302.4
PBB-120	309.45
PBB-121	306.5
PBB-122	301.32
PBB-123	305.43
PBB-124	305.56
PBB-125	297
PBB-126	309.43
PBB-127	313.56
PBB-128	313.67
PBB-129	313.59
PBB-130	317.74
PBB-131	306.31
PBB-132	306.74
PBB-133	321.82
PBB-134	306.62
PBB-135	310.81
PBB-136	294.28
PBB-137	317.6
PBB-138	317.54
PBB-139	311.38
PBB-140	310.86
PBB-141	317.41
PBB-142	302.84
PBB-143	306.91
PBB-144	311.35
PBB-145	295.11
PBB-146	321.79
PBB-147	311.74
PBB-148	315.38
PBB-149	311.39
PBB-150	299.2
PBB-151	311.69
PBB-152	296.04
PBB-153	321.67
PBB-154	315.82
PBB-155	303.56
PBB-156	322.54
PBB-157	321.8
PBB-158	318.97
PBB-159	325.57
PBB-160	315.03
PBB-161	322.92
PBB-162	325.84
PBB-163	319.67
PBB-164	317.54
PBB-165	323.88
PBB-166	315.16
PBB-167	326.07
PBB-168	321.38
PBB-169	330.21
PBB-170	333.8
PBB-171	326.88
PBB-172	337.85
PBB-173	322.73
PBB-174	327.08
PBB-175	331.07
PBB-176	314.7
PBB-177	327.56
PBB-178	331.53
PBB-179	314.6
PBB-180	337.88
PBB-181	327.63
PBB-182	331.62
PBB-183	331.75
PBB-184	319.6
PBB-185	327.63
PBB-186	310.81
PBB-187	332.33
PBB-188	319.47
PBB-189	342.32
PBB-190	335.76
PBB-191	339.34
PBB-192	339.88
PBB-193	339.19
PBB-194	354.02
PBB-195	343.33
PBB-196	347.5
PBB-197	335.31
PBB-198	347.48
PBB-199	347.74
PBB-200	330.58
PBB-201	335.01
PBB-202	334.59
PBB-203	348.22
PBB-204	335.65
PBB-205	354.93
PBB-206	363.87
PBB-207	351.3
PBB-208	350.77
PBB-209	366.58
PBDD-01	227.27
PBDD-02	229.23
PBDD-03	247.73
PBDD-04	252.03
PBDD-05	249.91
PBDD-06	250.3
PBDD-07	252.23
PBDD-08	252.3
PBDD-09	247.37
PBDD-10	250.07
PBDD-11	254.07
PBDD-12	254.22
PBDD-13	268.62
PBDD-14	270.67
PBDD-15	270.83
PBDD-16	272.66
PBDD-17	272.78
PBDD-18	267.75
PBDD-19	274.71
PBDD-20	276.62
PBDD-21	276.78
PBDD-22	271.87
PBDD-23	269.99
PBDD-24	274.67
PBDD-25	272.85
PBDD-26	274.73
PBDD-27	287.02
PBDD-28	291.27
PBDD-29	293.19
PBDD-30	293.4
PBDD-31	288.41
PBDD-32	290.44
PBDD-33	295.21
PBDD-34	295.31
PBDD-35	290.29
PBDD-36	291.41
PBDD-37	295.53
PBDD-38	290.48
PBDD-39	293.47
PBDD-40	292.48
PBDD-41	288.26
PBDD-42	299.7
PBDD-43	294.87
PBDD-44	297.65
PBDD-45	296.76
PBDD-46	290.24
PBDD-47	295.45
PBDD-48	295.58
PBDD-49	306.78
PBDD-50	311.63
PBDD-51	311.91
PBDD-52	316.08
PBDD-53	311.18
PBDD-54	314.12
PBDD-55	313.11
PBDD-56	308.88
PBDD-57	310.89
PBDD-58	315.12
PBDD-59	310.21
PBDD-60	316.07
PBDD-61	315.02
PBDD-62	310.7
PBDD-63	327.14
PBDD-64	331.43
PBDD-65	326.47
PBDD-66	332.46
PBDD-67	332.84
PBDD-68	331.83
PBDD-69	331.6
PBDD-70	329.35
PBDD-71	330.54
PBDD-72	330.59
PBDD-73	347.97
PBDD-74	346.82
PBDD-75	362.6
PBDE-003	233.18
PBDE-004	235.21
PBDE-005	243.56
PBDE-006	246.89
PBDE-009	256.3
PBDE-011	259.15
PBDE-014	258.26
PBDE-016	254.98
PBDE-017	259.77
PBDE-018	260.22
PBDE-019	254.42
PBDE-020	267.77
PBDE-021	264.02
PBDE-022	268.29
PBDE-023	268.42
PBDE-024	264.51
PBDE-025	271.36
PBDE-026	271.26
PBDE-027	268.13
PBDE-028	271.94
PBDE-029	276.99
PBDE-031	271.96
PBDE-034	271.46
PBDE-036	285.24
PBDE-038	275.13
PBDE-039	283.47
PBDE-040	274.86
PBDE-041	275.38
PBDE-042	279.62
PBDE-043	280.08
PBDE-044	280.02
PBDE-045	274.45
PBDE-046	275.1
PBDE-048	280.72
PBDE-049	284.72
PBDE-050	279.08
PBDE-051	279.66
PBDE-052	284.92
PBDE-053	279.77
PBDE-054	269.6
PBDE-055	288.07
PBDE-056	288.22
PBDE-057	292.11
PBDE-058	292.26
PBDE-059	288.23
PBDE-060	288.99
PBDE-061	293.95
PBDE-062	285.15
PBDE-063	293.05
PBDE-064	289.4
PBDE-065	285.06
PBDE-067	291.71
PBDE-068	296.34
PBDE-070	291.98
PBDE-071	288.66
PBDE-072	296.34
PBDE-073	292.86
PBDE-074	292.63
PBDE-076	287.84
PBDE-078	300.03
PBDE-079	305.1
PBDE-080	310.79
PBDE-081	299.78
PBDE-083	299.83
PBDE-084	294.42
PBDE-085	300.18
PBDE-086	295.94
PBDE-087	300.55
PBDE-088	294.95
PBDE-089	295.72
PBDE-090	304.6
PBDE-091	299.44
PBDE-092	305
PBDE-093	294.19
PBDE-094	299.94
PBDE-095	299.39
PBDE-096	289.71
PBDE-097	300.69
PBDE-098	299.7
PBDE-100	303.84
PBDE-101	305.55
PBDE-102	300.2
PBDE-103	303.94
PBDE-104	294.29
PBDE-105	308.79
PBDE-106	308.43
PBDE-107	312.62
PBDE-108	313.11
PBDE-109	308.95
PBDE-110	308.87
PBDE-111	316.92
PBDE-112	309.19
PBDE-113	313.3
PBDE-114	308.97
PBDE-116	300.95
PBDE-117	309.93
PBDE-118	312.16
PBDE-119	312.91
PBDE-120	316.34
PBDE-121	317.39
PBDE-122	308.56
PBDE-123	312.5
PBDE-124	312.74
PBDE-125	309.17
PBDE-126	320.04
PBDE-127	326.58
PBDE-128	315.83
PBDE-129	315.72
PBDE-130	320.23
PBDE-131	314.86
PBDE-132	315.59
PBDE-133	324.48
PBDE-134	314.29
PBDE-135	319.49
PBDE-136	310.02
PBDE-137	320.53
PBDE-138	321.07
PBDE-139	319.67
PBDE-140	320.03
PBDE-141	320.94
PBDE-142	309.94
PBDE-143	316.14
PBDE-144	319.69
PBDE-145	310.2
PBDE-146	325.49
PBDE-147	318.94
PBDE-148	324.54
PBDE-149	319.78
PBDE-150	314.17
PBDE-151	319.17
PBDE-152	309.86
PBDE-153	325.89
PBDE-154	324.88
PBDE-155	318.41
PBDE-156	329.03
PBDE-157	329.34
PBDE-158	329.38
PBDE-159	333.17
PBDE-160	325.3
PBDE-161	333.74
PBDE-162	333.38
PBDE-163	329.4
PBDE-164	329.6
PBDE-165	333.78
PBDE-166	325.96
PBDE-167	332.87
PBDE-168	333.78
PBDE-169	341.26
PBDE-170	336.02
PBDE-171	334.92
PBDE-172	340.48
PBDE-173	330.22
PBDE-174	335.7
PBDE-175	339.59
PBDE-176	330.6
PBDE-177	335.86
PBDE-178	339.34
PBDE-179	330.42
PBDE-180	341.5
PBDE-181	334.69
PBDE-182	340.51
PBDE-183	340.33
PBDE-184	334.73
PBDE-185	334.85
PBDE-186	325.56
PBDE-187	339.72
PBDE-188	334.49
PBDE-189	349.33
PBDE-190	345.7
PBDE-191	350.1
PBDE-192	349.96
PBDE-193	350.23
PBDE-194	356.45
PBDE-195	350.51
PBDE-196	356.14
PBDE-197	350.83
PBDE-198	355.07
PBDE-199	355.93
PBDE-200	346.24
PBDE-201	350.88
PBDE-202	350.78
PBDE-203	355.49
PBDE-204	350.25
PBDE-205	366.3
PBDE-206	370.7
PBDE-207	366.43
PBDE-208	366.23
PBDE-209	381.76
PBDF-001	215.12
PBDF-002	220.45
PBDF-003	220.37
PBDF-004	218.95
PBDF-005	235.31
PBDF-006	239.83
PBDF-007	238.21
PBDF-008	238.11
PBDF-009	239.99
PBDF-010	239.82
PBDF-011	231.36
PBDF-012	241.13
PBDF-013	243.64
PBDF-014	243.69
PBDF-015	245.09
PBDF-016	245.15
PBDF-017	239.74
PBDF-018	243.56
PBDF-019	244.97
PBDF-020	241.82
PBDF-021	255.7
PBDF-022	258.31
PBDF-023	258.49
PBDF-024	260.26
PBDF-025	260.21
PBDF-026	251.66
PBDF-027	259.15
PBDF-028	262.86
PBDF-029	264.75
PBDF-030	264.52
PBDF-031	256.17
PBDF-032	260.74
PBDF-033	263.05
PBDF-034	262.9
PBDF-035	254.47
PBDF-036	259.5
PBDF-037	262.78
PBDF-038	260.43
PBDF-039	260.14
PBDF-040	264.2
PBDF-041	265.7
PBDF-042	265.61
PBDF-043	266.43
PBDF-044	268.17
PBDF-045	268.15
PBDF-046	264.59
PBDF-047	262.41
PBDF-048	264.38
PBDF-049	274.85
PBDF-050	278.73
PBDF-051	280.63
PBDF-052	280.45
PBDF-053	271.68
PBDF-054	280.79
PBDF-055	283.2
PBDF-056	283.08
PBDF-057	274.52
PBDF-058	279.76
PBDF-059	283.21
PBDF-060	274.61
PBDF-061	280.8
PBDF-062	276.41
PBDF-063	271.29
PBDF-064	281.59
PBDF-065	284.1
PBDF-066	283.85
PBDF-067	275.57
PBDF-068	284.17
PBDF-069	287.48
PBDF-070	279.29
PBDF-071	285.07
PBDF-072	281.01
PBDF-073	281.85
PBDF-074	285.25
PBDF-075	276.33
PBDF-076	283.41
PBDF-077	279.84
PBDF-078	282.75
PBDF-079	284.87
PBDF-080	284.86
PBDF-081	285.11
PBDF-082	288.61
PBDF-083	286.1
PBDF-084	287.07
PBDF-085	290.82
PBDF-086	283.15
PBDF-087	297.22
PBDF-088	299.71
PBDF-089	299.64
PBDF-090	290.67
PBDF-091	300.19
PBDF-092	303.45
PBDF-093	294.65
PBDF-094	301.08
PBDF-095	296.46
PBDF-096	291.63
PBDF-097	302.27
PBDF-098	305.6
PBDF-099	296.47
PBDF-100	303.76
PBDF-101	299.27
PBDF-102	294.08
PBDF-103	300.29
PBDF-104	296.16
PBDF-105	303.01
PBDF-106	306.3
PBDF-107	297.52
PBDF-108	304.53
PBDF-109	300.32
PBDF-110	304.58
PBDF-111	302.29
PBDF-112	303.74
PBDF-113	307.28
PBDF-114	305.42
PBDF-115	318.55
PBDF-116	321.92
PBDF-117	312.75
PBDF-118	320.26
PBDF-119	315.44
PBDF-120	310.58
PBDF-121	320.62
PBDF-122	315.98
PBDF-123	314.64
PBDF-124	312.36
PBDF-125	322.76
PBDF-126	317.89
PBDF-127	315.99
PBDF-128	323.3
PBDF-129	318.88
PBDF-130	324.34
PBDF-131	338.96
PBDF-132	333.86
PBDF-133	332.63
PBDF-134	331.44
PBDF-135	349.42
PBN-01	188.12
PBN-02	191.28
PBN-03	208.08
PBN-04	212.52
PBN-05	208.95
PBN-06	209.39
PBN-07	212.84
PBN-08	212.42
PBN-09	204.93
PBN-10	211.56
PBN-11	215.58
PBN-12	215.46
PBN-13	228.44
PBN-14	228.96
PBN-15	229.43
PBN-16	232.76
PBN-17	232.47
PBN-18	225.17
PBN-19	233.47
PBN-20	237.02
PBN-21	236.84
PBN-22	229.39
PBN-23	225.59
PBN-24	233.44
PBN-25	232.87
PBN-26	235.97
PBN-27	244.44
PBN-28	249.7
PBN-29	253.06
PBN-30	252.86
PBN-31	245.09
PBN-32	245.94
PBN-33	253.74
PBN-34	253.59
PBN-35	245.38
PBN-36	249.7
PBN-37	253.66
PBN-38	245.51
PBN-39	252.94
PBN-40	249.45
PBN-41	244.69
PBN-42	257.38
PBN-43	249.86
PBN-44	257.25
PBN-45	253.99
PBN-46	241.25
PBN-47	253.95
PBN-48	256.25
PBN-49	260.75
PBN-50	269.16
PBN-51	270.07
PBN-52	273.9
PBN-53	265.6
PBN-54	273.28
PBN-55	269.4
PBN-56	264.83
PBN-57	265.96
PBN-58	270.24
PBN-59	261.86
PBN-60	274.13
PBN-61	269.82
PBN-62	265.71
PBN-63	280.95
PBN-64	285.23
PBN-65	280.16
PBN-66	289.58
PBN-67	290.39
PBN-68	285.99
PBN-69	285.73
PBN-70	285.31
PBN-71	281.99
PBN-72	284.83
PBN-73	301.05
PBN-74	296.87
PBN-75	316.74
PCB-000	198.47
PCB-038	250.48
PCB-049	261.55
PCB-050	255.82
PCB-057	265.91
PCB-058	265.82
PCB-059	258.72
PCB-062	256.64
PCB-068	268.56
PCB-073	261.4
PCB-089	269.34
PCB-094	272.39
PCB-096	264.58
PCB-100	275.14
PCB-104	267.56
PCB-109	274.95
PCB-111	284.79
PCB-140	288.52
PCB-142	282.71
PCB-147	288.44
PCB-150	284.06
PCB-152	280.8
PCB-159	298.4
PCB-160	288.67
PCB-161	293.98
PCB-162	298.57
PCB-164	291
PCB-165	293.93
PCB-166	289.18
PCB-173	299.21
PCB-184	300.13
PCB-194	320.58
PCB-209	340.62
PCDD-03	239.24
PCDD-04	242.15
PCDD-05	240.83
PCDD-06	241.1
PCDD-07	242.08
PCDD-08	242.41
PCDD-09	237.88
PCDD-13	255.61
PCDD-15	257.42
PCDD-16	258.63
PCDD-17	258.91
PCDD-18	254.51
PCDD-19	260.23
PCDD-20	261.36
PCDD-21	261.8
PCDD-22	257.35
PCDD-23	256.07
PCDD-24	260.11
PCDD-25	258.19
PCDD-26	259.44
PCDD-28	273.5
PCDD-29	275.01
PCDD-30	275.21
PCDD-31	270.79
PCDD-32	272.59
PCDD-33	276.58
PCDD-34	276.91
PCDD-35	272.46
PCDD-36	274.03
PCDD-37	276.98
PCDD-38	272.53
PCDD-39	274.99
PCDD-40	273.82
PCDD-41	271.33
PCDD-43	275.48
PCDD-44	277.77
PCDD-45	276.88
PCDD-46	271.13
PCDD-47	276.28
PCDD-49	286.28
PCDD-50	290.31
PCDD-51	290.47
PCDD-52	293.33
PCDD-53	289.02
PCDD-54	291.26
PCDD-55	290.51
PCDD-56	287.77
PCDD-57	289.2
PCDD-58	292.21
PCDD-59	287.77
PCDD-60	292.95
PCDD-61	291.97
PCDD-62	289.36
PCDD-63	303.06
PCDD-64	305.98
PCDD-65	301.57
PCDD-67	306.89
PCDD-68	305.78
PCDD-69	305.92
PCDD-70	304.11
PCDD-71	304.49
PCDD-72	304.65
PCDD-74	318.27
PCDE-004	235.32
PCDE-006	244.24
PCDE-011	247.82
PCDE-016	252.25
PCDE-018	253.72
PCDE-019	243.03
PCDE-020	261.23
PCDE-026	264.8
PCDE-027	253.56
PCDE-034	262.44
PCDE-036	266.88
PCDE-040	268.17
PCDE-043	270.53
PCDE-044	270.62
PCDE-045	259.38
PCDE-046	266.92
PCDE-050	262.65
PCDE-051	269.34
PCDE-052	272.85
PCDE-053	268.88
PCDE-054	258.25
PCDE-057	281.38
PCDE-058	280.22
PCDE-059	269.91
PCDE-069	272.9
PCDE-072	282.96
PCDE-073	273.28
PCDE-076	270.35
PCDE-078	280.09
PCDE-080	287.1
PCDE-083	287.12
PCDE-084	275.91
PCDE-086	283.89
PCDE-088	275.71
PCDE-092	289.71
PCDE-093	276.01
PCDE-094	285.36
PCDE-095	278.77
PCDE-096	274.54
PCDE-098	286.19
PCDE-103	282.06
PCDE-104	277.78
PCDE-106	294.39
PCDE-107	297.67
PCDE-111	300.6
PCDE-112	286.19
PCDE-113	289.77
PCDE-121	292.85
PCDE-122	293.38
PCDE-124	296.21
PCDE-125	286.24
PCDE-127	300.22
PCDE-129	300.32
PCDE-131	292.53
PCDE-133	306.12
PCDE-134	292.24
PCDE-135	302.12
PCDE-136	291.02
PCDE-141	302.8
PCDE-142	289.07
PCDE-143	298.61
PCDE-144	295.45
PCDE-145	290.76
PCDE-148	305.02
PCDE-150	294.43
PCDE-151	294.97
PCDE-152	291.2
PCDE-155	297.25
PCDE-158	302.92
PCDE-159	313.62
PCDE-160	299.94
PCDE-161	305.82
PCDE-162	313.6
PCDE-164	302.97
PCDE-165	306.17
PCDE-168	305.86
PCDE-169	313.87
PCDE-171	308.94
PCDE-172	319.08
PCDE-173	305.6
PCDE-175	311.64
PCDE-176	307.33
PCDE-178	311.48
PCDE-179	307.46
PCDE-182	318.22
PCDE-183	311.68
PCDE-184	310.54
PCDE-185	308.36
PCDE-186	304.41
PCDE-188	310.8
PCDE-191	319.1
PCDE-192	319.36
PCDE-193	319.42
PCDE-196	331.72
PCDE-197	323.47
PCDE-198	325.15
PCDE-200	320.58
PCDE-201	324.32
PCDE-202	323.57
PCDE-204	324.03
PCDE-205	332.58
PCDE-207	336.96
PCDE-208	337.02
PCDF-001	210.55
PCDF-002	215.1
PCDF-003	214.91
PCDF-004	213.89
PCDF-005	226.79
PCDF-006	229.73
PCDF-007	228.53
PCDF-008	228.81
PCDF-009	229.72
PCDF-010	229.99
PCDF-011	222.78
PCDF-012	231.28
PCDF-013	233.15
PCDF-014	233.16
PCDF-015	233.95
PCDF-017	230.1
PCDF-018	233.15
PCDF-019	233.91
PCDF-020	231.92
PCDF-021	242.89
PCDF-022	244.5
PCDF-023	245.02
PCDF-024	245.92
PCDF-025	246.2
PCDF-026	238.48
PCDF-027	244.89
PCDF-028	247.84
PCDF-029	248.86
PCDF-030	249.07
PCDF-031	241.98
PCDF-032	246.64
PCDF-033	247.69
PCDF-034	247.83
PCDF-035	240.62
PCDF-036	245.19
PCDF-037	248.25
PCDF-038	246
PCDF-039	246.57
PCDF-040	249.37
PCDF-041	250.21
PCDF-042	250.57
PCDF-043	251.22
PCDF-044	251.96
PCDF-045	252.46
PCDF-046	249.6
PCDF-047	248.23
PCDF-048	249.16
PCDF-049	258.1
PCDF-050	261.09
PCDF-051	261.97
PCDF-052	262.29
PCDF-053	254.86
PCDF-054	262.75
PCDF-055	263.74
PCDF-056	263.98
PCDF-057	256.49
PCDF-058	261.43
PCDF-059	264.38
PCDF-060	256.57
PCDF-061	262.2
PCDF-062	257.79
PCDF-063	254.65
PCDF-064	262.86
PCDF-065	263.97
PCDF-066	264.2
PCDF-067	257.22
PCDF-068	264.35
PCDF-069	267.37
PCDF-070	259.93
PCDF-071	265.15
PCDF-072	261.12
PCDF-073	263.19
