Compound Id	Total energy in a solution represented by the Conductor-like Screening Model (COMSO)
PCDE-149	-3341.3761
PBDE-069	-2753.52772
PCDE-146	-3341.48267
PCB-175	-3291.36368
PCB-183	-3291.36744
PCDE-139	-3341.34351
PCB-128	-3050.31652
PCB-185	-3291.20585
PBDE-047	-2753.59623
PCB-187	-3291.36562
PCN-73	-3018.88834
PCB-181	-3291.21348
PCB-137	-3050.4176
PCB-167	-3050.46557
PCDE-140	-3341.38839
PBDE-066	-2753.59791
PCDE-166	-3341.14078
PCDE-167	-3341.4232
PCB-157	-3050.34653
PCDE-137	-3341.34408
PCDD-27	-3122.95073
PCDE-130	-3341.35689
PCB-174	-3291.25076
PCB-197	-3532.18117
PCB-192	-3291.24826
PCB-201	-3532.17603
PCDE-138	-3341.34336
PBDE-077	-2753.59037
PCB-204	-3532.16631
PCB-172	-3291.28751
PCDE-156	-3341.29216
PCB-180	-3291.29247
PCDE-187	-3582.23234
PCDE-157	-3341.30909
PCB-190	-3291.13314
PCB-191	-3291.28934
PCDE-128	-3341.23404
PCB-170	-3291.17498
PCDE-174	-3582.14645
PCB-198	-3532.08009
PCDE-181	-3582.07083
PCB-169	-3050.37533
PCB-203	-3532.08571
PCDE-180	-3582.20701
PCB-196	-3532.10413
PCB-199	-3532.09898
PCDE-177	-3582.13067
PCDD-42	-3123.38801
PCDE-189	-3582.15987
PCB-195	-3531.96931
PCDE-170	-3582.09815
PCDE-203	-3822.93641
PCB-208	-3772.88698
PBDE-115	-2967.84331
PCB-205	-3532.01001
PCDF-114	-3073.01276
PCDE-194	-3822.93494
PCB-206	-3772.81737
PCDE-206	-4063.66985
PCDF-118	-3313.83084
PCDE-209	-4304.42457
PCDF-131	-3554.59098
PCDF-135	-3795.27502
PCDD-75	-4086.36407
PCB-001	-1845.59361
PCDE-001	-2136.65605
PCN-05	-1814.68457
PCB-007	-2086.6588
PBDE-001	-2110.12396
PCDE-014	-2377.80469
PCB-019	-2327.68344
PCDE-012	-2377.65265
PCB-018	-2327.73509
PCB-015	-2086.75216
PCB-024	-2327.52236
PCB-032	-2327.73998
PCB-026	-2327.77216
PCB-031	-2327.77713
PCDE-032	-2618.69092
PCB-053	-2568.74371
PCDE-017	-2618.68024
PCDE-039	-2618.86947
PCN-28	-2296.49824
PCDE-038	-2618.55005
PCDE-021	-2618.46095
PCB-052	-2568.79086
PCDF-016	-2350.4554
PBDE-008	-2324.68225
PCB-061	-2568.30286
PCB-041	-2568.49929
PBDE-015	-2324.73804
PCDE-075	-2859.67855
PCDE-068	-2859.81463
PCDE-049	-2859.71557
PCB-098	-2809.62215
PCDE-071	-2859.61502
PCB-070	-2568.69631
PCB-060	-2568.54309
PCB-121	-2809.7936
PCDE-079	-2859.76847
PCN-53	-2537.30005
PCB-084	-2809.50286
PCB-090	-2809.67544
PCDE-081	-2859.61316
PCB-113	-2809.67271
PCB-119	-2809.67281
PCB-097	-2809.54197
PCB-116	-2809.11411
PCDE-100	-3100.60143
PCB-125	-2809.54934
PCDE-120	-3100.68277
PCDE-101	-3100.60342
PCN-66	-2778.25354
PCDE-115	-3100.41746
PCDE-099	-3100.59681
PCB-114	-2809.41052
PCB-139	-3050.49276
PCB-149	-3050.51187
PCDE-097	-3100.47102
PCDE-118	-3100.5471
PCB-143	-3050.36866
PCB-124	-2809.58368
PCDE-114	-3100.39803
PCDE-154	-3341.50625
PCDE-126	-3100.51099
PCB-179	-3291.32562
PBDE-075	-2753.53577
PCB-178	-3291.36074
PCDE-147	-3341.36514
PCDE-153	-3341.46081
PCDE-163	-3341.34656
PCB-182	-3291.37239
PCB-177	-3291.24859
PCB-156	-3050.32287
PCB-171	-3291.25169
PCDE-132	-3341.28474
PCDF-083	-2832.2419
PCB-193	-3291.28572
PCDD-48	-3123.28195
PCB-200	-3532.04377
PBDE-099	-2967.98871
PBDE-082	-2967.89119
PCDE-190	-3582.05081
PCB-189	-3291.20391
PCB-207	-3772.8938
PCDE-199	-3822.98786
PCDE-195	-3822.82627
PCDD-66	-3604.83279
PCDD-73	-3845.60661
BBz-01	-1030.34204
BBz-02	-1244.81604
BBz-03	-1244.86357
BBz-04	-1244.8711
BBz-05	-1459.23878
BBz-06	-1459.28879
BBz-07	-1459.32263
BBz-08	-1673.62107
BBz-09	-1673.65967
BBz-10	-1673.66844
BBz-11	-1887.96001
BBz-12	-2102.22444
CBz-00	-815.74795
CBz-01	-1056.88567
CBz-02	-1297.82758
CBz-03	-1297.96048
CBz-04	-1297.96303
CBz-05	-1538.73701
CBz-06	-1538.86019
CBz-07	-1538.98111
CBz-08	-1779.6133
CBz-09	-1779.72795
CBz-10	-1779.7269
CBz-11	-2020.45734
CBz-12	-2261.16974
PBB-001	-1819.05819
PBB-002	-1819.09253
PBB-003	-1819.09478
PBB-004	-2033.62779
PBB-005	-2033.5215
PBB-006	-2033.63115
PBB-007	-2033.5716
PBB-008	-2033.63596
PBB-009	-2033.57687
PBB-010	-2033.54721
PBB-011	-2033.66062
PBB-012	-2033.5551
PBB-013	-2033.66259
PBB-014	-2033.59846
PBB-015	-2033.6658
PBB-016	-2248.08963
PBB-017	-2248.13955
PBB-018	-2248.14516
PBB-019	-2248.13519
PBB-020	-2248.08943
PBB-021	-2247.93534
PBB-022	-2248.09428
PBB-023	-2247.98384
PBB-024	-2247.96783
PBB-025	-2248.13856
PBB-026	-2248.14347
PBB-027	-2248.12297
PBB-028	-2248.14406
PBB-029	-2247.98792
PBB-030	-2248.00547
PBB-031	-2248.14857
PBB-032	-2248.12625
PBB-033	-2248.09119
PBB-034	-2248.13448
PBB-035	-2248.11783
PBB-036	-2248.1595
PBB-037	-2248.12043
PBB-038	-2247.96307
PBB-039	-2248.16232
PBB-040	-2462.54729
PBB-041	-2462.50062
PBB-042	-2462.59676
PBB-043	-2462.54961
PBB-044	-2462.60011
PBB-045	-2462.54993
PBB-046	-2462.59346
PBB-047	-2462.64629
PBB-048	-2462.55345
PBB-049	-2462.64934
PBB-050	-2462.5872
PBB-051	-2462.64395
PBB-052	-2462.65366
PBB-053	-2462.64748
PBB-054	-2462.65613
PBB-055	-2462.49822
PBB-056	-2462.54515
PBB-057	-2462.54481
PBB-058	-2462.58757
PBB-059	-2462.53554
PBB-060	-2462.50444
PBB-061	-2462.30703
PBB-062	-2462.33607
PBB-063	-2462.55072
PBB-064	-2462.54326
PBB-065	-2462.34093
PBB-066	-2462.59481
PBB-067	-2462.54963
PBB-068	-2462.63635
PBB-069	-2462.57314
PBB-070	-2462.59864
PBB-071	-2462.57686
PBB-072	-2462.63963
PBB-073	-2462.61739
PBB-074	-2462.55557
PBB-075	-2462.5805
PBB-076	-2462.49636
PBB-077	-2462.56997
PBB-078	-2462.52013
PBB-079	-2462.61018
PBB-080	-2462.65044
PBB-081	-2462.52506
PBB-082	-2676.95454
PBB-083	-2677.00003
PBB-084	-2677.00433
PBB-085	-2677.00354
PBB-086	-2676.86803
PBB-087	-2677.00596
PBB-088	-2676.91162
PBB-089	-2677.00057
PBB-090	-2677.04974
PBB-091	-2677.05457
PBB-092	-2677.05171
PBB-093	-2676.9164
PBB-094	-2677.0451
PBB-095	-2677.05683
PBB-096	-2677.06585
PBB-097	-2677.00321
PBB-098	-2677.04101
PBB-099	-2677.05387
PBB-100	-2677.09139
PBB-101	-2677.05585
PBB-102	-2677.04965
PBB-103	-2677.09326
PBB-104	-2677.10327
PBB-105	-2676.95174
PBB-106	-2676.86534
PBB-107	-2676.99696
PBB-108	-2676.9926
PBB-109	-2676.90231
PBB-110	-2676.98682
PBB-111	-2677.03739
PBB-112	-2676.90686
PBB-113	-2677.02954
PBB-114	-2676.87242
PBB-115	-2676.90702
PBB-116	-2676.62677
PBB-117	-2676.91243
PBB-118	-2677.00206
PBB-119	-2677.02661
PBB-120	-2677.04142
PBB-121	-2677.06673
PBB-122	-2676.94592
PBB-123	-2676.99536
PBB-124	-2676.9972
PBB-125	-2676.97482
PBB-126	-2676.96858
PBB-127	-2677.0072
PBB-128	-2891.35935
PBB-129	-2891.3162
PBB-130	-2891.40181
PBB-131	-2891.36245
PBB-132	-2891.40696
PBB-133	-2891.44596
PBB-134	-2891.36709
PBB-135	-2891.45001
PBB-136	-2891.47028
PBB-137	-2891.36579
PBB-138	-2891.40651
PBB-139	-2891.41252
PBB-140	-2891.44417
PBB-141	-2891.36817
PBB-142	-2891.19686
PBB-143	-2891.35858
PBB-144	-2891.41384
PBB-145	-2891.42102
PBB-146	-2891.45105
PBB-147	-2891.41728
PBB-148	-2891.48735
PBB-149	-2891.45551
PBB-150	-2891.50762
PBB-151	-2891.41808
PBB-152	-2891.42587
PBB-153	-2891.45549
PBB-154	-2891.4921
PBB-155	-2891.54503
PBB-156	-2891.31559
PBB-157	-2891.34927
PBB-158	-2891.34915
PBB-159	-2891.35468
PBB-160	-2891.18912
PBB-161	-2891.38773
PBB-162	-2891.39267
PBB-163	-2891.35889
PBB-164	-2891.38106
PBB-165	-2891.39744
PBB-166	-2891.19544
PBB-167	-2891.39759
PBB-168	-2891.41677
PBB-169	-2891.36358
PBB-170	-3105.71723
PBB-171	-3105.76311
PBB-172	-3105.75911
PBB-173	-3105.64526
PBB-174	-3105.76138
PBB-175	-3105.8047
PBB-176	-3105.82176
PBB-177	-3105.76714
PBB-178	-3105.8086
PBB-179	-3105.82608
PBB-180	-3105.76434
PBB-181	-3105.69502
PBB-182	-3105.79819
PBB-183	-3105.80961
PBB-184	-3105.8589
PBB-185	-3105.69485
PBB-186	-3105.69826
PBB-187	-3105.81406
PBB-188	-3105.86335
PBB-189	-3105.70856
PBB-190	-3105.6391
PBB-191	-3105.74039
PBB-192	-3105.67673
PBB-193	-3105.745
PBB-194	-3320.07178
PBB-195	-3320.0433
PBB-196	-3320.11343
PBB-197	-3320.17041
PBB-198	-3320.08254
PBB-199	-3320.11712
PBB-200	-3320.09585
PBB-201	-3320.17377
PBB-202	-3320.17719
PBB-203	-3320.08882
PBB-204	-3320.13311
PBB-205	-3320.02263
PBB-206	-3534.39063
PBB-207	-3534.44191
PBB-208	-3534.44436
PBB-209	-3748.71062
PBDD-01	-2373.8996
PBDD-02	-2373.9603
PBDD-03	-2588.31016
PBDD-04	-2588.34746
PBDD-05	-2588.29965
PBDD-06	-2588.33137
PBDD-07	-2588.38909
PBDD-08	-2588.38951
PBDD-09	-2588.32557
PBDD-10	-2588.35969
PBDD-11	-2588.44969
PBDD-12	-2588.44962
PBDD-13	-2802.67063
PBDD-14	-2802.66918
PBDD-15	-2802.7361
PBDD-16	-2802.79419
PBDD-17	-2802.79471
PBDD-18	-2802.7309
PBDD-19	-2802.77275
PBDD-20	-2802.83036
PBDD-21	-2802.83065
PBDD-22	-2802.76724
PBDD-23	-2802.71823
PBDD-24	-2802.78302
PBDD-25	-2802.78289
PBDD-26	-2802.84325
PBDD-27	-3016.95749
PBDD-28	-3017.09037
PBDD-29	-3017.14933
PBDD-30	-3017.14954
PBDD-31	-3017.08618
PBDD-32	-3017.08295
PBDD-33	-3017.14745
PBDD-34	-3017.14716
PBDD-35	-3017.08379
PBDD-36	-3017.13528
PBDD-37	-3017.17233
PBDD-38	-3017.12202
PBDD-39	-3017.18373
PBDD-40	-3017.16733
PBDD-41	-3017.13282
PBDD-42	-3017.20794
PBDD-43	-3017.15753
PBDD-44	-3017.21907
PBDD-45	-3017.20304
PBDD-46	-3017.10428
PBDD-47	-3017.17133
PBDD-48	-3017.23275
PBDD-49	-3231.36816
PBDD-50	-3231.4319
PBDD-51	-3231.4863
PBDD-52	-3231.52199
PBDD-53	-3231.47221
PBDD-54	-3231.5347
PBDD-55	-3231.51788
PBDD-56	-3231.48402
PBDD-57	-3231.48083
PBDD-58	-3231.51502
PBDD-59	-3231.46481
PBDD-60	-3231.53175
PBDD-61	-3231.5149
PBDD-62	-3231.48076
PBDD-63	-3445.76271
PBDD-64	-3445.79633
PBDD-65	-3445.74666
PBDD-66	-3445.81316
PBDD-67	-3445.83356
PBDD-68	-3445.82838
PBDD-69	-3445.82961
PBDD-70	-3445.83163
PBDD-71	-3445.82351
PBDD-72	-3445.82337
PBDD-73	-3660.10686
PBDD-74	-3660.1018
PBDD-75	-3874.37843
PBDE-003	-2110.2001
PBDE-004	-2324.60788
PBDE-005	-2324.56358
PBDE-006	-2324.67887
PBDE-009	-2324.61492
PBDE-011	-2324.72539
PBDE-014	-2324.6758
PBDE-016	-2539.05606
PBDE-017	-2539.10477
PBDE-018	-2539.10395
PBDE-019	-2539.04861
PBDE-020	-2539.11193
PBDE-021	-2538.95197
PBDE-022	-2539.11538
PBDE-023	-2538.99435
PBDE-024	-2538.95182
PBDE-025	-2539.15674
PBDE-026	-2539.15721
PBDE-027	-2539.10239
PBDE-028	-2539.16179
PBDE-029	-2539.02621
PBDE-031	-2539.16165
PBDE-034	-2539.15773
PBDE-036	-2539.19615
PBDE-038	-2539.02873
PBDE-039	-2539.20345
PBDE-040	-2753.49749
PBDE-041	-2753.45268
PBDE-042	-2753.54702
PBDE-043	-2753.49306
PBDE-044	-2753.5458
PBDE-045	-2753.45402
PBDE-046	-2753.49325
PBDE-048	-2753.50153
PBDE-049	-2753.59517
PBDE-050	-2753.49393
PBDE-051	-2753.54381
PBDE-052	-2753.5955
PBDE-053	-2753.54262
PBDE-054	-2753.4776
PBDE-055	-2753.49737
PBDE-056	-2753.55384
PBDE-057	-2753.53751
PBDE-058	-2753.58704
PBDE-059	-2753.49095
PBDE-060	-2753.50257
PBDE-061	-2753.33274
PBDE-062	-2753.29822
PBDE-063	-2753.54206
PBDE-064	-2753.49997
PBDE-065	-2753.30105
PBDE-067	-2753.54273
PBDE-068	-2753.6312
PBDE-070	-2753.59794
PBDE-071	-2753.54336
PBDE-072	-2753.6313
PBDE-073	-2753.57844
PBDE-074	-2753.54722
PBDE-076	-2753.50977
PBDE-078	-2753.54441
PBDE-079	-2753.62308
PBDE-080	-2753.65574
PBDE-081	-2753.55374
PBDE-083	-2967.93033
PBDE-084	-2967.89068
PBDE-085	-2967.94052
PBDE-086	-2967.80363
PBDE-087	-2967.93892
PBDE-088	-2967.80732
PBDE-089	-2967.88777
PBDE-090	-2967.98088
PBDE-091	-2967.94088
PBDE-092	-2967.97874
PBDE-093	-2967.80807
PBDE-094	-2967.9272
PBDE-095	-2967.9407
PBDE-096	-2967.88014
PBDE-097	-2967.93955
PBDE-098	-2967.93191
PBDE-100	-2967.97969
PBDE-101	-2967.98757
PBDE-102	-2967.93597
PBDE-103	-2967.97873
PBDE-104	-2967.91901
PBDE-105	-2967.93569
PBDE-106	-2967.83989
PBDE-107	-2967.97474
PBDE-108	-2967.96831
PBDE-109	-2967.83485
PBDE-110	-2967.93083
PBDE-111	-2968.00767
PBDE-112	-2967.83919
PBDE-113	-2967.96434
PBDE-114	-2967.84514
PBDE-116	-2967.57115
PBDE-117	-2967.84758
PBDE-118	-2967.97997
PBDE-119	-2967.96414
PBDE-120	-2968.01239
PBDE-121	-2967.99889
PBDE-122	-2967.9364
PBDE-123	-2967.9814
PBDE-124	-2967.98111
PBDE-125	-2967.92598
PBDE-126	-2967.96664
PBDE-127	-2967.99891
PBDE-128	-3182.28248
PBDE-129	-3182.23778
PBDE-130	-3182.32039
PBDE-131	-3182.24209
PBDE-132	-3182.28391
PBDE-133	-3182.3591
PBDE-134	-3182.24294
PBDE-135	-3182.32267
PBDE-136	-3182.27648
PBDE-137	-3182.28818
PBDE-138	-3182.3296
PBDE-139	-3182.29146
PBDE-140	-3182.3227
PBDE-141	-3182.28652
PBDE-142	-3182.0806
PBDE-143	-3182.23408
PBDE-144	-3182.29053
PBDE-145	-3182.23256
PBDE-146	-3182.36841
PBDE-147	-3182.2927
PBDE-148	-3182.36135
PBDE-149	-3182.33252
PBDE-150	-3182.31703
PBDE-151	-3182.29094
PBDE-152	-3182.23311
PBDE-153	-3182.37734
PBDE-154	-3182.3712
PBDE-155	-3182.35512
PBDE-156	-3182.27528
PBDE-157	-3182.31639
PBDE-158	-3182.26951
PBDE-159	-3182.3072
PBDE-160	-3182.10401
PBDE-161	-3182.3028
PBDE-162	-3182.35424
PBDE-163	-3182.27418
PBDE-164	-3182.31092
PBDE-165	-3182.30881
PBDE-166	-3182.11505
PBDE-167	-3182.35933
PBDE-168	-3182.34558
PBDE-169	-3182.33792
PBDE-170	-3396.62642
PBDE-171	-3396.63029
PBDE-172	-3396.66439
PBDE-173	-3396.51211
PBDE-174	-3396.62773
PBDE-175	-3396.66816
PBDE-176	-3396.62694
PBDE-177	-3396.633
PBDE-178	-3396.66959
PBDE-179	-3396.62573
PBDE-180	-3396.67302
PBDE-181	-3396.56216
PBDE-182	-3396.66606
PBDE-183	-3396.67843
PBDE-184	-3396.66558
PBDE-185	-3396.55991
PBDE-186	-3396.50554
PBDE-187	-3396.67888
PBDE-188	-3396.66669
PBDE-189	-3396.65209
PBDE-190	-3396.53769
PBDE-191	-3396.6473
PBDE-192	-3396.57178
PBDE-193	-3396.65271
PBDE-194	-3610.96774
PBDE-195	-3610.89996
PBDE-196	-3610.97244
PBDE-197	-3610.97171
PBDE-198	-3610.93786
PBDE-199	-3610.97316
PBDE-200	-3610.8958
PBDE-201	-3610.97346
PBDE-202	-3610.9727
PBDE-203	-3610.94729
PBDE-204	-3610.93603
PBDE-205	-3610.91405
PBDE-206	-3825.24002
PBDE-207	-3825.23942
PBDE-208	-3825.2404
PBDE-209	-4039.50529
PBDF-001	-2082.8343
PBDF-002	-2082.86083
PBDF-003	-2082.85383
PBDF-004	-2082.79742
PBDF-005	-2297.2625
PBDF-006	-2297.29687
PBDF-007	-2297.25524
PBDF-008	-2297.28812
PBDF-009	-2297.34306
PBDF-010	-2297.35176
PBDF-011	-2297.15876
PBDF-012	-2297.2761
PBDF-013	-2297.27298
PBDF-014	-2297.3159
PBDF-015	-2297.37016
PBDF-016	-2297.37706
PBDF-017	-2297.22986
PBDF-018	-2297.30947
PBDF-019	-2297.36305
PBDF-020	-2297.24981
PBDF-021	-2511.63238
PBDF-022	-2511.64122
PBDF-023	-2511.7079
PBDF-024	-2511.76358
PBDF-025	-2511.77181
PBDF-026	-2511.56362
PBDF-027	-2511.6401
PBDF-028	-2511.74141
PBDF-029	-2511.79686
PBDF-030	-2511.80488
PBDF-031	-2511.61019
PBDF-032	-2511.6961
PBDF-033	-2511.7551
PBDF-034	-2511.76304
PBDF-035	-2511.5691
PBDF-036	-2511.71242
PBDF-037	-2511.75479
PBDF-038	-2511.75751
PBDF-039	-2511.61211
PBDF-040	-2511.72344
PBDF-041	-2511.77777
PBDF-042	-2511.7844
PBDF-043	-2511.71593
PBDF-044	-2511.77353
PBDF-045	-2511.77982
PBDF-046	-2511.74112
PBDF-047	-2511.67348
PBDF-048	-2511.73177
PBDF-049	-2725.94093
PBDF-050	-2726.07016
PBDF-051	-2726.12639
PBDF-052	-2726.13394
PBDF-053	-2725.92175
PBDF-054	-2726.07464
PBDF-055	-2726.13409
PBDF-056	-2726.14155
PBDF-057	-2725.93182
PBDF-058	-2726.1263
PBDF-059	-2726.16712
PBDF-060	-2725.96699
PBDF-061	-2726.17164
PBDF-062	-2726.00626
PBDF-063	-2725.95811
PBDF-064	-2726.07316
PBDF-065	-2726.13302
PBDF-066	-2726.14037
PBDF-067	-2725.9453
PBDF-068	-2726.15881
PBDF-069	-2726.19962
PBDF-070	-2726.01308
PBDF-071	-2726.20394
PBDF-072	-2726.05297
PBDF-073	-2726.11336
PBDF-074	-2726.15468
PBDF-075	-2725.96614
PBDF-076	-2726.16178
PBDF-077	-2726.08604
PBDF-078	-2726.04802
PBDF-079	-2726.10668
PBDF-080	-2726.1127
PBDF-081	-2726.14254
PBDF-082	-2726.18235
PBDF-083	-2726.18635
PBDF-084	-2726.13359
PBDF-085	-2726.1738
PBDF-086	-2726.09249
PBDF-087	-2940.36795
PBDF-088	-2940.42835
PBDF-089	-2940.43524
PBDF-090	-2940.22128
PBDF-091	-2940.48323
PBDF-092	-2940.52261
PBDF-093	-2940.31869
PBDF-094	-2940.52838
PBDF-095	-2940.35847
PBDF-096	-2940.31029
PBDF-097	-2940.48657
PBDF-098	-2940.52615
PBDF-099	-2940.32263
PBDF-100	-2940.53494
PBDF-101	-2940.36724
PBDF-102	-2940.31893
PBDF-103	-2940.49383
PBDF-104	-2940.33705
PBDF-105	-2940.4849
PBDF-106	-2940.52476
PBDF-107	-2940.33619
PBDF-108	-2940.53384
PBDF-109	-2940.38181
PBDF-110	-2940.52565
PBDF-111	-2940.48016
PBDF-112	-2940.46135
PBDF-113	-2940.50038
PBDF-114	-2940.50897
PBDF-115	-3154.7759
PBDF-116	-3154.81448
PBDF-117	-3154.60712
PBDF-118	-3154.82458
PBDF-119	-3154.6521
PBDF-120	-3154.60385
PBDF-121	-3154.84513
PBDF-122	-3154.68364
PBDF-123	-3154.66508
PBDF-124	-3154.6586
PBDF-125	-3154.84753
PBDF-126	-3154.6866
PBDF-127	-3154.67076
PBDF-128	-3154.84636
PBDF-129	-3154.70173
PBDF-130	-3154.82423
PBDF-131	-3369.13271
PBDF-132	-3368.96765
PBDF-133	-3368.95122
PBDF-134	-3368.94735
PBDF-135	-3583.228
PBN-01	-1547.0965
PBN-02	-1547.14614
PBN-03	-1761.54953
PBN-04	-1761.60654
PBN-05	-1761.55579
PBN-06	-1761.5776
PBN-07	-1761.6398
PBN-08	-1761.64024
PBN-09	-1761.41491
PBN-10	-1761.60762
PBN-11	-1761.69308
PBN-12	-1761.69456
PBN-13	-1975.96181
PBN-14	-1975.95853
PBN-15	-1976.00947
PBN-16	-1976.07495
PBN-17	-1976.07377
PBN-18	-1975.82995
PBN-19	-1976.06101
PBN-20	-1976.12869
PBN-21	-1976.1292
PBN-22	-1975.90016
PBN-23	-1975.82192
PBN-24	-1976.07384
PBN-25	-1976.07723
PBN-26	-1976.13644
PBN-27	-2190.2724
PBN-28	-2190.39795
PBN-29	-2190.46987
PBN-30	-2190.46857
PBN-31	-2190.21787
PBN-32	-2190.20437
PBN-33	-2190.46063
PBN-34	-2190.45987
PBN-35	-2190.18852
PBN-36	-2190.42798
PBN-37	-2190.47691
PBN-38	-2190.21847
PBN-39	-2190.4974
PBN-40	-2190.29882
PBN-41	-2190.22905
PBN-42	-2190.52647
PBN-43	-2190.28565
PBN-44	-2190.54951
PBN-45	-2190.36628
PBN-46	-2189.98642
PBN-47	-2190.49086
PBN-48	-2190.56207
PBN-49	-2404.47912
PBN-50	-2404.7605
PBN-51	-2404.80262
PBN-52	-2404.84981
PBN-53	-2404.58414
PBN-54	-2404.87865
PBN-55	-2404.67127
PBN-56	-2404.60339
