Compound Id	Weight
9016	151.940740
4514586	78.918337
4514549	126.904473
11083	161.963920
6988	161.963920
11366	195.924948
1253	152.047344
3102535	96.044939
6186	201.872217
13836549	185.990419
13868660	237.904626
457140	229.945683
107412	149.985941
12197	52.0313
61346	167.976519
6187	201.872217
13866746	167.999841
13857694	145.969006
13866817	145.969006
9253	167.911190
83734	167.911190
5977	117.914383
29040	179.919775
6108	75.944142
10054	92.039278
16841	135.970291
13837280	129.914383
9254	151.940740
21106179	70.003035
692	30.010565
12201	84.0939
6151	119.934512
62827	134.015491
8883	136.125201
13837988	145.969006
13875356	233.867974
13875212	233.867974
11038	281.854110
2282428	195.890224
9251	195.890224
71312	239.839709
11153	67.982906
454215	179.919775
15077490	211.860674
2018165	99.989134
6119	161.863868
2293678	239.839709
109705	282.009104
10765	70.078250
56442	56.0626
4449912	56.0626
22814	33.997237
99596	147.965812
13835316	95.953355
6098	61.992328
14694	133.950162
13836674	76.007978
13875160	126.023628
23055	129.975234
14829	115.959584
6105	52.012457
553742	95.953355
6104	83.953355
558928	95.953355
6086	26.015650
2056044	202.002876
3441	195.890224
6130	101.943934
12577	102.009263
34863	255.961333
34866	255.961333
34665	255.961333
34664	255.961333
37904	255.961333
34864	255.961333
34188	255.961333
34865	255.961333
34868	255.961333
37905	255.961333
34869	255.961333
37918	255.961333
37915	255.961333
34867	255.961333
25605	255.961333
26011	255.961333
34870	255.961333
34666	255.961333
21924	255.961333
34667	255.961333
34871	255.961333
34873	255.961333
56784	255.961333
34872	255.961333
8351654	127.997040
22408	77.945072
73583	165.956390
2340753	177.899646
10325184	177.899646
21111806	114.028107
21108550	114.028107
9325	114.028107
9228	129.998556
4444456	109.969006
11708	329.840246
6093	127.902840
6148	99.989134
13838404	249.762836
6179	199.852088
748	27.010899
9256	119.999841
10614293	113.133026
11109	84.0939
24142	210.234751
13622	196.219101
16180	182.203451
7891	168.187801
29025	126.140851
12635	154.172151
11121	98.109551
7713	70.078250
12809	140.156501
7833	112.125201
7556	56.0626
7954	42.046950
555074	98.109551
4516601	112.125201
4483639	70.078250
4516599	112.125201
4512361	112.125201
4483638	70.078250
4512642	112.125201
6085	28.0313
8544	68.0626
7788	82.078250
6149	135.904961
10053	135.988762
11117	80.0626
6827	166.172151
7676	112.007978
13875281	126.023628
13875230	126.023628
6128	66.028107
391	33.987721
71390	145.893418
2916	171.852324
558875	183.852324
12446	84.0939
7957	56.0626
10113	70.078250
6087	49.992328
18971812	146.011013
13299573	211.926003
3631	183.971433
15755	195.984656
67470	195.984656
15756	195.984656
15524	195.984656
14441700	114.004784
2062437	175.944847
11911	165.891061
11154	175.888976
30713	133.950162
21106172	195.924948
127983	29.997989
11148	34.021878
10512	106.054928
10526	120.070578
24590970	191.915296
11865	134.086228
6042	131.930033
13875320	169.973112
7673	155.957462
13875258	169.973112
13875392	169.973112
21108548	221.934176
14995	195.984656
14994	195.984656
15475	195.984656
15478	195.984656
518	81.932171
967	263.847003
12499	183.994756
71433	100.070827
9484	84.018685
11099	68.0626
11110	82.078250
11086	96.0939
14692	138.140851
24263	136.125201
11857	96.0939
391428	136.125201
6309	68.0626
7557	54.046950
558883	68.0626
56020	68.0626
553642	110.109551
16791	110.109551
454209	94.059407
9633	132.131429
9377	104.100129
9243	48.037528
923	44.001063
7850	148.101878
7714	92.039278
10437	78.023628
6097	64.007978
6083	93.941812
10487	118.054928
9614	96.037528
13861343	162.899461
11756	91.026943
15476	195.984656
274	43.989829
56144	201.937547
11864	110.109551
11845	96.0939
6125	97.969006
12456	138.140851
17880	124.125201
7558	54.046950
29036	205.813352
1087	63.9619
7001	195.924948
10606755	168.000984
55075	421.678828
13868640	233.867974
11351244	92.0626
7090	146.034335
7553	119.957462
61213	114.004784
23886	222.000306
33421	222.000306
15477	195.984656
26010	222.000306
30600	222.000306
33455	222.000306
33934	222.000306
33932	222.000306
15473	222.000306
17099	222.000306
17098	222.000306
33933	222.000306
15474	222.000306
63863	166.048147
454638	204.187801
6121	78.023628
6315	92.039278
7330	66.046950
6307	135.988762
12219	206.067013
7848	192.051363
11863	178.035713
7810	164.020063
7766	150.004413
7711	135.988762
7552	121.973112
6092	107.957462
6088	141.927948
26516	231.974898
11087	203.943598
8543	111.984656
12209	82.078250
9286	102.009263
11806	68.0626
6342	165.891061
120464	120.070578
7733	70.041865
7738	68.026215
21111820	98.019021
8329688	157.954269
6735	205.973112
92731	227.896453
6326	131.930033
19766	229.885975
6665	207.014328
512621	161.105603
9642	40.0313
