Compound Id	ALOGP [ALogP]
7827	0.140
18607	0.468
18219	1.976
11783	0.889
10586285	0.463
21105871	0.182
6739	-0.460
434	0.505
10205670	0.038
24043	0.425
68676	1.5
6852	-0.052
7546	-0.430
15495	-1.064
10328	0.960
7145	-0.090
13846959	-0.797
937	0.0
9363	0.236
62632	-3.623
78998	-3.335
11884	-2.759
16177	-2.471
15853	-2.183
67360	-1.895
11866	-1.031
15846	-1.607
29026	-1.319
11846	-0.743
7770	-0.455
7717	-0.167
19475	0.175
7685	0.745
87265	1.228
21106148	0.608
8817	0.0
7566	0.121
13853943	-0.090
15486	-2.424
18920	-1.848
9391	0.639
28982	-0.153
13839110	0.824
9824	-0.264
11434292	5.274
65763	1.212
68328	4.328
331	-0.7
21169510	1.950
7689	0.534
63906	0.696
2246	0.0
13837787	-0.507
13839151	0.824
13865680	-0.153
11604	-0.153
12060	-0.635
14678	-0.923
11489	0.051
2991	-0.264
21106365	0.170
23101	5.166
55123	-1.249
12012	-0.961
11125	-0.673
7782	-0.385
7734	0.193
7577	-0.058
13630	0.889
7278	0.046
6781	0.608
13839128	0.824
7202	1.416
235	-0.192
11584	0.9
13571291	0.636
6807	0.284
13839174	0.824
13839105	0.824
13846663	1.096
8657	-0.512
11589	0.067
9579	0.240
11755	-0.108
7761	0.137
10492	0.425
11784	0.744
11785	0.744
6311	0.769
21106524	0.450
89076	1.632
14227	0.490
19476	0.708
2185	0.0
62484	1.431
6838	-0.154
10257	1.320
8799	0.0
10498	0.825
9349	-0.270
13839123	0.824
11576	1.044
8071	0.505
21105795	-0.653
8374	-0.604
11761	0.695
7956	0.050
6794	0.719
924	0.218
12637	-2.847
6775	0.069
5889	-0.750
21106091	0.761
3951	0.914
763	-0.921
5882	0.420
7140	0.402
238	-0.240
9994	-0.419
61001	0.844
2003	3.061
21168826	0.450
20124	0.889
8816	0.0
8788	0.0
11672	0.069
29008	-0.973
6550	-0.758
6688	1.520
61538	1.466
10246	1.466
79969	-0.702
15093	0.539
7176	-0.449
6840	0.302
7616	0.105
61111	0.480
4446445	-0.388
4444608	0.188
394562	0.608
30595	0.653
8899	0.591
13876539	-0.158
62310	-0.776
7234	-0.318
16804	2.750
21105998	0.755
12244	1.466
61411	2.108
6333	0.361
6706	0.189
8060	-0.540
8341	-0.460
10441	0.301
11833	-0.565
6406	1.165
13835126	0.490
65701	1.166
6023	0.423
5678	0.0
10248	1.466
69177	2.108
10244	2.108
9911	1.466
1005	-0.154
8552	-1.018
7803	-1.306
171	-0.230
122090	5.641
8070	0.402
13846749	-0.199
13859497	-0.495
10652594	1.385
11841	1.015
11749	0.533
8569	-1.180
12220	-1.756
7823	-0.604
11849	-0.314
3168	0.551
455420	-1.429
10709	-0.277
13837797	1.284
71876	-0.314
18688	1.818
62249	1.567
55084	-1.094
7694	-0.806
7482	-0.518
11716	-0.806
7515	-0.230
7076	0.550
