Compound Id	ChiPathCluster [VPC-5]
12220	0.0
7823	0.0
11849	0.0
3168	0.0
455420	0.0
10709	0.0
13837797	0.0
71876	0.122
18688	0.538
62249	0.635
55084	0.088
7694	0.101
7482	0.101
11716	0.071
7515	0.071
7076	0.122
7757	0.101
7511	0.101
7509	0.101
29005	0.101
10420	0.101
7475	0.113
7463	0.083
11910	0.118
7872	0.042
7875	0.042
7913	0.042
8568	0.042
14846	0.071
7800	0.071
11843	0.042
29012	0.042
7538	0.071
7536	0.071
7706	0.042
11680	0.083
11706	0.071
10653	0.059
7012	0.096
11065	0.096
28981	0.317
8525	0.059
7081	0.303
6313	0.0
6335	0.0
441	0.0
7838	0.0
5949	0.0
29029	0.0
7772	0.0
256	0.0
512	0.0
172	0.0
15443	0.346
66021	0.124
8674	0.298
13863629	0.1
13835351	0.520
6773	0.652
16736486	17.654
6621	0.603
13860641	0.489
21106525	0.331
13854136	0.324
13835151	0.239
10991	0.390
13860692	0.336
1019	0.0
62517	0.260
10903	0.587
6177	0.214
7064	0.294
6341	0.0
259	0.046
13249	0.032
7701	0.032
7888	0.032
12013	0.032
2863	0.032
7866	0.032
10033	0.032
370	0.032
12071	0.032
10035	0.032
4963	0.370
6907	0.329
553171	0.083
2041618	N/A
9411	0.105
7559	0.0
15965	0.269
6897	0.277
6883	0.272
7211	0.326
21105897	0.412
5439	0.034
7190	0.340
7469	0.331
10001	0.249
11625	0.7
6586	0.846
6675	1.120
472932	0.150
7073	0.254
8554	0.0
55130	0.265
10433	0.149
11992	0.234
7671	0.772
10446	0.658
7657	0.3
22453	0.352
7065	0.185
11045	0.071
7472	0.283
11207996	0.203
29016	0.160
7747	0.117
7627	0.262
10571	0.214
11647	0.411
66809	0.114
13865424	0.285
7175	0.416
7157	0.492
21112023	0.337
11582	0.334
7172	0.402
16119	0.986
864	0.0
79280	0.246
28947	0.456
7042	0.522
13837760	0.162
76894	N/A
205483	0.386
7737	0.0
6322	0.0
7132	0.287
8763	3.221
13848808	0.404
10837	0.6
13869434	0.525
21159695	0.375
6835	0.580
21108576	0.367
7533	0.831
56559	0.204
9053802	0.204
29000	0.129
7434	0.402
6312	0.0
8398	0.129
11898	0.0
72522	0.0
7928	0.0
14348	0.0
2581	0.0
11891	0.0
7917	0.0
7915	0.0
7901	0.0
7892	0.0
7882	0.0
8574	0.0
932	0.0
7812	0.0
7837	0.0
6040	0.0
258	0.0
1004	0.0
682	0.0
13872989	0.0
8665	0.208
6950	0.307
552744	0.030
70806	1.434
11671339	20.677
10251740	0.143
69914	20.801
13862665	0.034
21168813	0.501
175	0.0
6630	0.731
13840647	0.733
13860491	0.588
13839012	0.650
20545	0.236
8012	0.212
9564	0.356
7044	0.735
11003	0.359
10452	29.735
6314	0.0
4510484	0.224
66896	0.375
10437074	0.135
21105878	0.281
13839308	0.212
6753	1.0
374462	0.111
13869462	0.591
21106519	0.350
13860775	0.318
21106015	0.0
11809	0.0
12823	0.340
6649	0.466
6035	0.441
61739	0.721
392447	0.203
7142	0.286
66895	0.375
66887	0.375
9893	0.390
63518	0.375
59482	0.375
10696	39.646
67414	25.613
7074	0.202
7670	0.725
10797	0.939
6176	0.352
7534	0.465
10791	0.371
28986	0.195
10788	0.371
7621	0.454
10777	0.0
12972	0.153
9976	0.153
7514	0.123
215929	0.123
11025	0.144
7016	0.102
7871	0.072
21153	0.072
7802	0.072
12218	0.072
12632	0.072
7760	0.072
11095	0.072
7607	0.102
6321	0.0
558020	0.041
7790	0.0
6881	0.381
12061	0.256
67460	0.273
6790	0.609
8319	0.707
62964	3.008
62467	0.468
11193	0.663
11591	0.322
10411	0.414
10181338	0.329
59573	1.0
14998	1.732
13837190	0.0
1020	0.0
8141	0.153
8186	0.431
11600	0.259
10169	1.388
10343	0.907
447	0.275
12643	0.139
13846658	0.560
11596	0.354
28973	0.219
27296	0.219
11651	0.234
466305	0.848
9218	0.327
8183	0.399
7189	0.347
4878	0.169
13848793	0.451
21108577	0.405
123	0.201
26824	28.736
7028	0.25
7478	0.065
62489	0.136
21429023	17.654
2275	0.0
13835344	0.420
11793	0.204
13871721	0.0
6164	0.158
65785	0.340
6674	0.906
10616	0.526
526	0.296
11228	0.0
7003	0.118
21106520	0.142
13874733	0.142
6780	0.425
8098	0.462
70714	0.234
28969	0.203
7241	0.098
6577	0.606
9120	0.485
13853758	0.590
11525	0.075
4481813	0.0
13876103	0.521
8058	0.529
6593	1.066
14672	0.204
13850082	1.114
63903	0.280
17443	0.099
62808	0.045
6855	0.781
13638	0.0
18717	1.219
15954	0.482
7622	0.552
7310	0.234
63156	0.0
12626	0.0
28994	0.0
61765	0.302
10772140	0.0
13860335	0.179
10939	0.549
3463	16.075
7679	0.153
6296	2.115
5894	0.0
11586	0.427
1448	0.510
217	0.0
7459	0.295
11024	0.295
7026	0.194
11239	0.0
11861	0.091
11036	0.156
11029	0.247
11794	0.091
10511	0.091
21011	0.129
11678	0.183
3644	0.0
6320	0.0
10947	0.129
10787	0.447
60524	0.0
55091	0.359
2606	0.376
7208	0.377
1446	0.417
8520	36.908
7626	0.544
11526	0.034
124968	0.038
21105905	0.221
21106560	0.236
10437215	0.109
2039535	0.120
7161	0.947
13885245	0.331
62472	0.475
7678	0.194
11819	0.241
99440	1.364
123993	0.967
12225	0.1
693	0.0
11080	0.199
10197150	0.030
13255	0.601
83962	6.693
13839199	0.129
13634	0.151
7221	0.160
456015	0.264
7030	0.051
8860	0.861
642951	0.811
11773	0.274
6898	0.426
8262	0.819
6089	0.0
13835977	0.0
7677	0.25
60121	0.281
21106518	0.402
9970	0.194
8273	0.797
73479	0.424
7443	0.171
86394	1.438
9454	0.320
8282	0.748
13856959	0.460
6453	1.852
78828	23.069
62530	0.230
7242	0.197
65750	0.255
24041	0.112
5708	0.182
23730	0.058
23621376	0.0
21111781	0.385
7225	0.114
21106470	0.358
247721	0.344
7029	0.088
21106581	0.442
11283	3.226
156255	0.519
13869480	0.262
11488212	0.537
10992	0.434
62597	0.0
4937830	0.0
844	0.055
21105870	0.2
2005981	0.0
199342	1.631
6745	0.781
6916	0.329
11996	0.577
55188	0.577
11077	0.423
7240	0.135
66996	0.113
25886	0.162
12957	0.141
19953955	0.0
21943	0.112
19956441	0.0
19957731	0.0
7636	0.197
6146	0.0
62230	1.194
59674	0.0
11021	0.320
21106535	0.166
10181339	0.279
5596	0.191
13849989	0.394
132	0.257
70715	0.196
15855	0.947
84036	0.211
13328	17.020
10784857	N/A
22191	0.261
6123	0.0
8576	0.0
7851	0.0
15387	0.0
7811	0.0
7835	0.0
7769	0.0
7716	0.0
7564	0.0
6101	0.0
7466	0.059
11732	0.585
15803	1.881
7236	0.238
4437893	0.436
4489	0.124
12066	0.0
13835836	0.184
6720	1.615
11042	0.246
10940	0.382
10937	0.393
20570	0.323
19477	0.190
14169248	0.341
13648	0.230
15409	0.348
78	0.109
17868	0.415
4449	0.519
75951	0.239
72551	0.239
72793	0.273
11543	0.390
18	0.446
21105848	0.479
556589	0.440
880	0.249
7155	0.659
16359	0.766
8329	0.651
13842613	0.364
21132380	0.394
29001	0.203
11632	0.249
30516	0.228
26325090	0.0
21106145	0.484
10488	0.088
10292746	17.657
68832	0.203
23255	0.0
11699	0.071
11695	0.080
11739	0.447
11194	1.069
6165	0.158
10008	0.075
10790	0.447
62466	0.436
11595	0.578
6492	0.789
10451	49.558
2975965	2.263
8900	0.0
11230	0.0
99681	2.182
29015	0.0
8904	0.0
10018	0.0
12954	0.208
13867413	0.043
13054	0.366
24641	0.330
11056	0.585
11216	0.814
11210	1.103
11795	0.042
789	0.162
7131	0.343
13854242	0.357
1266019	0.423
558878	0.359
25890	0.208
68152	0.569
65936	0.084
11180	0.258
5830	0.251
6610	0.596
62485	0.362
10756	1.654
10181341	0.274
58234	6.450
5142	0.684
136966	0.361
64155	0.653
553578	0.359
18724	1.148
7688	0.110
220998	0.208
654	0.0
4366810	0.215
10422	0.169
558917	0.394
57726	3.534
6330	0.0
61707	0.0
10892	0.451
89258	1.140
18019	25.691
13860434	0.416
60886	1.285
13871718	0.273
1114	0.0
68224	27.734
68503	1.570
24533	0.171
8903	0.0
11265	1.066
120489	0.088
13869414	0.228
6301	0.606
19709	0.419
1664	0.082
2241	0.217
11107	0.029
10986	0.468
2441	5.873
137720	1.212
5593	0.377
4599	2.173
13836589	0.0
21106173	0.566
707	6.421
10384035	0.103
8855	0.392
5026296	6.450
10464	0.059
59483	42.188
17131	2.919
12161	1.391
26325086	0.761
7856	0.0
8562	0.0
7730	0.0
173	0.0
191058	0.489
9219586	2.318
65234	1.670
56117	2.177
21106366	0.352
25889	0.493
192748	0.736
13850142	1.553
390927	1.553
69340	0.273
81815	0.084
1577	0.045
71	0.358
6514	1.645
4445317	2.961
14556	0.265
20132	0.660
21782117	17.657
6774	0.479
11752	0.072
8960	0.0
6334	0.0
11460	0.305
10438331	1.511
10628694	0.385
6604	1.053
10756390	28.273
13803	1.362
63631	0.0
11788	0.335
455090	0.263
7223	0.196
11629	0.424
13856352	0.262
55443	0.273
453675	0.273
11465	0.312
120621	0.321
20119	0.051
55205	0.051
13816	0.072
26765	0.102
21181	0.087
10254	0.590
4962	0.313
592	0.0
7146	0.398
8521	46.819
29117	1.547
78467	0.349
28682	0.201
222538	0.224
7630	0.117
15427	0.273
11286	1.053
67465	0.837
10243171	0.393
11332993	0.473
392	0.156
206493	0.714
1361549	0.440
109838	0.0
28992	0.199
20843	0.319
13229	0.733
17784	1.183
12816	0.127
13104	1.363
5993	0.0
62589	0.348
7686	0.306
7624	0.667
7406	0.404
192642	0.262
70988	0.429
7018	0.065
3350	0.414
21361761	0.587
13849981	0.606
71089	0.1
10437135	0.140
65523	0.199
21106900	0.548
58563	0.278
86435	0.409
15413	2.022
10449	59.470
6842	2.862
7506	0.448
2656	3.597
13836520	0.034
9943	0.122
5978	0.0
17347	0.815
12445	0.806
3008	0.864
3277	1.180
9965	0.336
6270	1.596
13848341	0.125
26325182	1.295
105291	0.234
7791	0.0
71193	0.885
2925	1.576
70652	0.435
2424	1.462
21105859	0.309
502245	0.506
123860	0.0
73390	0.209
9088156	24.664
13848467	0.158
72556	0.158
122446	0.755
773	0.0
13835235	0.0
21106140	0.625
7480	0.108
108106	34.151
21106008	0.520
14299946	33.632
502855	0.462
7340	0.474
8158	0.474
13835376	0.0
127750	0.0
13839109	0.042
25552	0.585
13865630	0.184
256210	0.537
15702	0.586
589165	0.309
64699	0.862
5915	0.207
764	0.136
953	0.276
2157	0.474
3544	1.122
2038738	0.076
10710415	0.154
1348	0.115
13867714	0.358
59577	0.623
29107	0.0
15517	1.071
4103087	0.723
10996	0.551
194092	0.610
7092	0.610
13835224	0.0
1078	0.046
499714	0.865
11557190	32.981
970	1.153
24972	0.503
24535	0.676
8902	0.0
10437836	0.407
10437239	0.268
14627	0.575
25472	0.822
8470	0.460
3210	0.682
76154	1.330
13836591	0.0
455353	0.0
6658	1.320
26325085	0.901
124	0.331
13662	0.191
62265	0.889
13836399	0.0
16778	0.0
7705	0.118
11694	0.098
123207	0.376
67594	1.817
992	0.532
11930	0.563
13644	0.274
60329	0.0
7727	0.0
7728	0.0
7021	0.051
10948	0.058
1143	0.0
376	0.065
10801109	3.484
8030	1.004
8093	0.755
13658	0.759
21106586	0.375
21105699	0.475
13865426	0.163
71628	0.438
13837329	0.661
13837319	0.659
8241	0.659
11422351	1.752
1609	0.0
83866	0.383
67270	0.865
20198	5.013
361	0.485
7199	0.522
14916	0.936
10733068	35.599
16736498	15.622
6528	0.659
2297441	0.660
6033	0.749
13839553	0.0
10025	0.065
6524	0.818
8243	0.659
13860	0.498
1015	0.293
204209	0.694
61266	1.441
13874867	0.130
71430	0.374
13837303	0.677
7397	0.292
26325087	0.934
1906	0.309
363458	0.201
7684	0.241
13856009	0.251
1278	0.927
76394	0.139
7279	0.295
71787	0.105
11244	0.0
63889	0.217
13835336	0.0
83850	0.383
13835209	0.0
5004	0.065
7150	0.562
15016	0.0
503239	0.302
13837537	0.0
20848	0.918
13835293	0.324
6371	2.154
9873	2.009
11610	0.256
13839441	0.0
72056	0.0
34095	0.0
18685	0.0
62628	0.0
11875	0.0
40130	1.469
191	0.065
8528	0.179
10101	0.330
2849146	0.176
185	0.434
4590	0.407
18177	0.430
13854944	0.1
13836021	0.0
13884973	0.874
68568	0.298
13842001	0.432
15753	0.954
8733	0.0
1266393	0.072
6600	0.969
3693	1.153
4333	0.867
13090	0.995
