Compound Id	KappaShapeIndices [Kier1]
10498	5.0
9349	6.125
13839123	7.111
11576	9.091
8071	8.1
21105795	7.111
8374	11.077
11761	7.0
7956	3.0
6794	9.091
924	7.111
12637	12.0
6775	8.1
5889	5.143
21106091	10.083
3951	6.0
763	2.0
5882	10.083
7140	8.1
238	7.111
9994	2.25
61001	11.077
2003	11.796
21168826	7.111
20124	7.639
8816	11.796
8788	12.535
11672	8.1
29008	3.2
6550	7.639
6688	14.063
61538	8.1
10246	8.1
79969	11.077
15093	9.091
7176	9.091
6840	9.242
7616	6.0
61111	5.143
4446445	9.0
4444608	7.0
394562	5.0
30595	9.091
8899	3.2
13876539	7.111
62310	11.077
7234	6.125
16804	10.083
21105998	9.091
12244	8.1
61411	9.091
6333	5.0
6706	9.091
8060	13.432
8341	7.639
10441	4.0
11833	6.0
6406	7.0
13835126	8.1
65701	8.1
6023	8.1
5678	14.352
10248	8.1
69177	9.091
10244	9.091
9911	8.1
1005	5.0
8552	8.0
7803	9.0
171	4.0
122090	14.0
8070	8.1
13846749	10.083
13859497	7.639
10652594	13.067
11841	9.0
11749	6.0
8569	9.0
12220	11.0
7823	7.0
11849	7.0
3168	5.0
455420	9.0
10709	5.0
13837797	7.0
71876	13.0
18688	9.0
62249	8.0
55084	11.0
7694	10.0
7482	9.0
11716	10.0
7515	8.0
7076	10.0
7757	14.0
7511	12.0
7509	11.0
29005	10.0
10420	9.0
7475	8.0
7463	7.0
11910	6.0
7872	12.0
7875	14.0
7913	16.0
8568	10.0
14846	12.0
7800	11.0
11843	9.0
29012	8.0
7538	10.0
7536	9.0
7706	7.0
11680	7.0
11706	8.0
10653	6.0
7012	6.0
11065	6.0
28981	9.0
8525	6.0
7081	7.0
6313	5.0
6335	5.0
441	9.0
7838	8.0
5949	7.0
29029	10.0
7772	6.0
256	5.0
512	4.0
172	3.0
15443	6.125
66021	5.143
8674	8.1
13863629	5.143
13835351	11.077
6773	11.077
16736486	13.005
6621	6.694
13860641	7.111
21106525	7.111
13854136	6.125
13835151	6.125
10991	7.111
13860692	6.125
1019	3.2
62517	8.1
10903	9.551
6177	7.0
7064	8.0
6341	6.0
259	6.0
13249	17.0
7701	7.0
7888	13.0
12013	15.0
2863	12.0
7866	11.0
10033	19.0
370	10.0
12071	21.0
10035	22.0
4963	8.1
6907	11.077
553171	10.0
2041618	16.0
9411	9.0
7559	4.0
15965	10.083
6897	9.091
6883	8.1
7211	10.083
21105897	10.083
5439	6.0
7190	8.1
7469	8.0
10001	7.0
11625	9.091
6586	9.551
6675	8.1
472932	7.111
7073	10.0
8554	4.167
55130	9.0
10433	9.0
11992	8.0
7671	10.0
10446	8.0
7657	9.0
22453	9.0
7065	8.0
11045	9.0
7472	8.0
11207996	8.0
29016	9.0
7747	8.0
7627	7.0
10571	7.0
11647	8.1
66809	6.125
13865424	7.111
7175	9.091
7157	9.091
21112023	8.1
11582	9.091
7172	10.083
16119	8.1
864	2.0
79280	10.083
28947	11.077
7042	11.077
13837760	6.125
76894	15.0
205483	9.091
7737	3.2
6322	5.0
7132	7.111
8763	13.309
13848808	9.091
10837	11.077
13869434	7.111
21159695	8.1
6835	9.551
21108576	8.1
7533	9.0
56559	19.0
9053802	15.0
29000	6.0
7434	9.0
6312	5.0
8398	6.0
11898	21.0
72522	20.0
7928	19.0
14348	18.0
2581	17.0
11891	16.0
7917	15.0
7915	14.0
7901	13.0
7892	12.0
7882	11.0
8574	10.0
932	9.0
7812	7.0
7837	8.0
6040	6.0
258	5.0
1004	4.0
682	3.0
13872989	4.0
8665	7.111
6950	5.76
552744	6.0
70806	11.111
11671339	13.067
10251740	6.125
69914	13.067
13862665	7.0
21168813	8.1
175	4.0
6630	7.111
13840647	7.111
13860491	7.111
13839012	9.551
20545	20.0
8012	7.0
9564	7.111
7044	11.077
11003	9.551
10452	10.083
6314	5.0
4510484	9.0
66896	17.053
10437074	5.143
21105878	8.1
13839308	7.111
6753	10.173
374462	4.167
13869462	7.111
21106519	9.091
13860775	7.111
21106015	4.0
11809	5.0
12823	7.111
6649	8.0
6035	9.091
61739	8.592
392447	9.091
7142	8.1
66895	13.067
66887	12.071
9893	9.091
63518	11.077
59482	10.083
10696	14.063
67414	16.056
7074	10.0
7670	10.0
10797	8.0
6176	7.0
7534	9.0
10791	7.0
28986	8.0
10788	7.0
7621	7.0
10777	6.0
12972	12.0
9976	10.0
7514	8.0
215929	9.0
11025	7.0
7016	6.0
7871	12.0
21153	13.0
7802	9.0
12218	11.0
12632	10.0
7760	8.0
11095	7.0
7607	6.0
6321	5.0
558020	5.143
7790	4.167
6881	8.1
12061	8.1
67460	9.091
6790	7.639
8319	7.639
62964	16.056
62467	8.1
11193	8.0
11591	9.091
10411	9.091
10181338	9.091
59573	7.0
14998	7.0
13837190	5.0
1020	4.167
8141	4.167
8186	8.1
11600	6.125
10169	13.959
10343	12.071
447	7.111
12643	5.143
13846658	9.551
11596	10.083
28973	10.083
27296	9.091
11651	8.1
466305	12.071
9218	9.091
8183	10.083
7189	8.1
4878	6.125
13848793	7.639
21108577	10.083
123	7.111
26824	17.0
7028	4.167
7478	8.0
62489	6.125
21429023	13.005
2275	3.2
13835344	9.091
11793	7.0
13871721	5.0
6164	6.0
65785	12.071
6674	8.1
10616	10.083
526	9.091
11228	5.0
7003	9.0
21106520	5.143
13874733	5.143
6780	6.694
8098	6.694
70714	5.143
28969	8.1
7241	6.125
6577	11.484
9120	11.077
13853758	8.1
11525	6.0
4481813	4.0
13876103	10.083
8058	12.457
6593	8.32
14672	6.0
13850082	14.0
63903	7.111
17443	6.125
62808	5.143
6855	9.551
13638	6.125
18717	8.0
15954	8.0
7622	7.0
7310	10.083
63156	7.0
12626	6.0
28994	4.0
61765	8.1
10772140	5.0
13860335	6.125
10939	6.125
3463	12.055
7679	5.143
6296	8.1
5894	5.0
11586	11.077
1448	11.077
217	0.0
7459	7.0
11024	7.0
7026	4.167
11239	6.0
11861	10.0
11036	8.0
11029	8.0
11794	7.0
10511	8.0
21011	6.0
11678	7.0
3644	4.0
6320	5.0
10947	6.0
10787	7.0
60524	5.0
55091	7.0
2606	7.0
7208	10.083
1446	9.091
8520	17.0
7626	7.0
11526	6.0
124968	5.143
21105905	6.125
21106560	6.125
10437215	8.1
2039535	7.111
7161	9.091
13885245	10.083
62472	11.077
7678	5.143
11819	8.0
99440	8.0
123993	9.0
12225	4.167
693	3.0
11080	6.125
10197150	8.0
13255	5.143
83962	10.516
13839199	5.143
13634	6.125
7221	6.125
456015	6.125
7030	4.167
8860	9.242
642951	12.071
11773	8.1
6898	10.083
8262	9.551
6089	2.0
13835977	4.0
7677	5.143
60121	8.1
21106518	8.1
9970	6.125
8273	9.551
73479	8.1
7443	7.111
86394	10.083
9454	9.091
8282	8.592
13856959	12.457
6453	12.055
78828	15.0
62530	7.111
7242	6.125
65750	9.091
24041	9.0
5708	7.0
23730	6.0
23621376	6.0
21111781	8.1
7225	6.125
21106470	6.694
247721	11.077
7029	4.167
21106581	10.083
11283	13.959
156255	5.143
13869480	7.111
11488212	9.091
10992	7.111
62597	5.0
4937830	4.0
844	7.0
21105870	8.1
2005981	4.0
199342	13.067
6745	10.083
6916	12.071
11996	7.0
55188	7.0
11077	6.125
7240	6.125
66996	5.143
25886	9.0
12957	7.0
19953955	7.0
21943	8.0
19956441	8.0
19957731	11.0
7636	5.143
6146	5.0
62230	9.0
59674	6.0
11021	7.111
21106535	6.0
10181339	9.091
5596	6.125
13849989	11.0
132	8.1
70715	5.143
15855	9.091
84036	8.0
13328	11.796
10784857	16.056
22191	9.0
6123	4.0
8576	11.0
7851	9.0
15387	10.0
7811	7.0
7835	8.0
7769	6.0
