Compound Id	ChiPath [SP-3]
7459	1.478
11024	1.478
7026	1.644
11239	1.333
11861	1.885
11036	1.747
11029	1.563
11794	1.135
10511	1.385
21011	0.866
11678	1.478
3644	0.0
6320	0.816
10947	1.394
10787	1.782
60524	0.816
55091	1.732
2606	1.732
7208	3.702
1446	3.354
8520	2.975
7626	0.943
11526	1.394
124968	1.894
21105905	2.302
21106560	2.302
10437215	2.691
2039535	2.422
7161	3.582
13885245	3.242
62472	4.147
7678	1.894
11819	1.321
99440	1.021
123993	2.497
12225	1.644
693	0.0
11080	2.199
10197150	1.321
13255	1.957
83962	5.731
13839199	1.894
13634	2.302
7221	2.302
456015	2.302
7030	1.644
8860	5.344
642951	4.604
11773	3.046
6898	3.298
8262	4.713
6089	0.0
13835977	0.5
7677	1.894
60121	2.949
21106518	2.920
9970	2.144
8273	4.819
73479	3.284
7443	2.713
86394	4.525
9454	2.940
8282	4.178
13856959	5.210
6453	6.856
78828	3.828
62530	2.422
7242	2.302
65750	2.941
24041	1.997
5708	1.732
23730	1.394
23621376	0.957
21111781	3.115
7225	2.302
21106470	3.466
247721	3.731
7029	1.644
21106581	3.702
11283	6.582
156255	2.290
13869480	2.622
11488212	3.354
10992	2.622
62597	0.707
4937830	0.5
844	0.943
21105870	2.691
2005981	0.0
199342	4.504
6745	3.583
6916	4.128
11996	1.0
55188	1.914
11077	2.199
7240	2.302
66996	1.894
25886	1.971
12957	1.478
19953955	1.207
21943	1.747
19956441	1.457
19957731	2.207
7636	1.957
6146	0.0
62230	2.561
59674	0.957
11021	2.713
21106535	1.394
10181339	2.877
5596	2.540
13849989	2.260
132	3.003
70715	1.894
15855	3.582
84036	1.852
13328	9.465
10784857	N/A
22191	1.655
6123	0.0
8576	2.207
7851	1.707
15387	1.957
7811	1.207
7835	1.457
7769	0.957
7716	0.707
7564	0.5
6101	0.0
7466	1.478
11732	1.0
15803	3.354
7236	2.302
4437893	5.585
4489	2.305
12066	1.25
13835836	1.563
6720	3.354
11042	2.305
10940	2.540
10937	2.540
20570	2.593
19477	2.121
14169248	1.971
13648	2.593
15409	3.574
78	2.302
17868	3.966
4449	2.540
75951	1.924
72551	2.174
72793	2.283
11543	1.882
18	3.626
21105848	3.686
556589	3.519
880	2.529
7155	4.645
16359	4.098
8329	5.616
13842613	2.199
21132380	2.199
29001	0.943
11632	1.971
30516	2.240
26325090	1.957
21106145	3.641
10488	1.894
10292746	10.329
68832	1.571
23255	0.816
11699	1.832
11695	1.563
11739	1.280
11194	2.474
6165	1.061
10008	1.894
10790	1.782
62466	2.920
11595	3.702
6492	4.406
10451	4.786
2975965	7.355
8900	1.25
11230	0.816
99681	4.055
29015	1.5
8904	1.5
10018	1.5
12954	2.509
13867413	1.478
13054	3.157
24641	2.368
11056	1.0
11216	1.884
11210	2.561
11795	1.135
789	1.981
7131	2.593
13854242	3.609
1266019	2.957
558878	2.260
25890	2.759
68152	2.091
65936	2.302
11180	1.732
5830	2.422
6610	5.339
62485	3.003
10756	3.810
10181341	2.529
58234	5.230
5142	3.241
136966	2.713
64155	4.208
553578	2.260
18724	2.830
7688	1.894
220998	3.009
654	0.0
4366810	2.260
10422	2.018
558917	2.260
57726	4.344
6330	0.816
61707	1.333
10892	3.349
89258	5.156
18019	3.621
13860434	3.573
